GRP_1,GRP_2,labels,filename
-55283.39569444457,15936.064336753081,strawberry,strawberry_0002
-23002.750331972482,-921.0666946620067,strawberry,strawberry_0016
-15060.83920327354,15716.111353565177,lotus,lotus_0018
-36656.76507134264,-1923.666696352764,sunflower,sunflower_0085
-59345.98416645105,-494.76101634780633,lotus,lotus_0024
-22845.14866474663,2262.338927339504,lotus,lotus_0030
-20775.521077203062,2384.731915434801,joshua_tree,joshua_tree_0037
-12665.541654333467,2102.4867829230193,joshua_tree,joshua_tree_0023
-40226.43948565418,2970.4216105697424,sunflower,sunflower_0046
-35443.22359143464,2967.602839152938,sunflower,sunflower_0052
-24358.96346107864,4722.035473058433,bonsai,bonsai_0029
-13005.292565505859,-7659.166588489009,bonsai,bonsai_0015
-59555.576698967176,4497.595224391697,bonsai,bonsai_0001
-2682.294191773924,1204.2573626598544,bonsai,bonsai_0014
-12660.317563488967,12093.74445587059,bonsai,bonsai_0028
-73618.63821056324,17030.166508719598,sunflower,sunflower_0053
-12919.302466505615,5273.9012546786735,sunflower,sunflower_0047
-34749.900034602215,4874.444882547887,joshua_tree,joshua_tree_0022
-32284.15438163958,10153.134429579895,joshua_tree,joshua_tree_0036
-6308.100510080371,-5196.0721812230495,lotus,lotus_0031
-44665.859394615916,3394.3101469364333,sunflower,sunflower_0084
-25120.662196127567,378.5502204281279,lotus,lotus_0025
-22703.197694269653,-3450.550256484752,lotus,lotus_0019
-41202.438613322556,-25850.664963725336,strawberry,strawberry_0017
-38494.63071824896,10244.435642992266,strawberry,strawberry_0003
-70156.03293418881,16351.991517502976,strawberry,strawberry_0029
-43196.89839471116,695.2510034105723,strawberry,strawberry_0015
-21209.582333706967,-10552.710946962192,strawberry,strawberry_0001
-15615.383855744969,403.47190334125787,lotus,lotus_0033
-21752.506163187914,-6423.82980904317,lotus,lotus_0027
-61248.69827664997,5440.010017253976,joshua_tree,joshua_tree_0020
-59390.72880330551,10104.734227707511,sunflower,sunflower_0079
-41164.40578455723,6271.3119297121475,joshua_tree,joshua_tree_0034
