ISM_1,ISM_2,labels,filename
84081.39382597439,-13853.494916767742,strawberry,strawberry_0002
-15719.874682871385,13380.396318703864,strawberry,strawberry_0016
-52191.04372399271,-19504.361340096468,lotus,lotus_0018
-2644.433812363685,14665.507649961472,sunflower,sunflower_0085
64533.894164984005,-5327.353904816109,lotus,lotus_0024
6653.629991947841,12295.864779337771,lotus,lotus_0030
-58353.74267397936,-17072.44961068011,joshua_tree,joshua_tree_0037
-59736.96975561677,-17473.710938294993,joshua_tree,joshua_tree_0023
75755.6432237392,-11720.556025866215,sunflower,sunflower_0046
45776.167345623086,-5021.393719785505,sunflower,sunflower_0052
6110.595889525663,12197.849403439124,bonsai,bonsai_0029
-54171.82335888539,-18467.38900617542,bonsai,bonsai_0015
54854.39945651162,-6201.473440740494,bonsai,bonsai_0001
-47064.807628416806,-13172.023908504576,bonsai,bonsai_0014
-21241.440209800614,25171.569287709986,bonsai,bonsai_0028
80466.33242693225,-12708.215794451002,sunflower,sunflower_0053
-52794.19037891481,-19010.822566695988,sunflower,sunflower_0047
-12527.850452982793,39673.192801594974,joshua_tree,joshua_tree_0022
-65137.0824827431,-19165.502563410697,joshua_tree,joshua_tree_0036
-51986.177511938615,-19501.760309998434,lotus,lotus_0031
39402.92751947627,-4593.243550844113,sunflower,sunflower_0084
-36386.881894185266,-39538.18834593576,lotus,lotus_0025
-44034.99363335877,-41481.26009509439,lotus,lotus_0019
59690.31975373921,1009.2130747643783,strawberry,strawberry_0017
47354.04440761783,-4652.702607221087,strawberry,strawberry_0003
49610.07693458428,-6235.959185388534,strawberry,strawberry_0029
43698.96794719042,-2664.774192821168,strawberry,strawberry_0015
-18357.84018376573,3331.9595838717723,strawberry,strawberry_0001
-40518.49597894992,-10268.738958214492,lotus,lotus_0033
-45413.979568181036,-7707.799635852869,lotus,lotus_0027
16756.245372044912,891.4245177450659,joshua_tree,joshua_tree_0020
27175.22032210473,-3787.795714240301,sunflower,sunflower_0079
12083.751148268977,7479.433267811975,joshua_tree,joshua_tree_0034
-25318.926335574237,5929.819273008802,sunflower,sunflower_0051
-25689.165835523043,60226.604797233274,sunflower,sunflower_0045
61555.29217556459,-2700.611831226586,joshua_tree,joshua_tree_0008
40091.309924811976,-5535.171734251708,bonsai,bonsai_0002
-20802.25725396677,17492.791943202912,bonsai,bonsai_0016
-52391.20418901517,-8184.250197200708,bonsai,bonsai_0017
-13915.469699903653,9084.66198072838,bonsai,bonsai_0003
60497.472095132194,-9059.225332708045,joshua_tree,joshua_tree_0009
-37389.96403840692,3453.6208735403475,sunflower,sunflower_0044
51466.99291881563,-4008.732529345834,sunflower,sunflower_0050
-32368.025103508637,59766.87839534679,joshua_tree,joshua_tree_0035
64495.693253658865,-7362.982147676696,sunflower,sunflower_0078
23070.043387233443,356.48408641597524,joshua_tree,joshua_tree_0021
-48509.61974192078,-8676.545926796038,lotus,lotus_0026
59501.43256982407,-6197.970581117568,lotus,lotus_0032
18034.938924481292,-996.538934098644,strawberry,strawberry_0014
-65415.08042852768,-27892.108974379193,strawberry,strawberry_0028
-50815.307894181016,-20760.68905975499,strawberry,strawberry_0010
76237.10660979322,-12406.342279935403,strawberry,strawberry_0004
-55085.404343443945,-19666.240073712863,lotus,lotus_0036
33392.070142189616,-3058.874981948569,sunflower,sunflower_0083
-20597.611689220248,-19478.050294766585,lotus,lotus_0022
-18123.742832936434,15633.989984316227,joshua_tree,joshua_tree_0019
-21461.092202844644,12893.062628238935,sunflower,sunflower_0054
-43091.654820822165,-3291.5947968397713,sunflower,sunflower_0040
46532.19974601086,-6273.550663775661,joshua_tree,joshua_tree_0025
-50091.32120494269,-19774.6986474906,sunflower,sunflower_0068
-15888.04284280452,20556.79884366306,joshua_tree,joshua_tree_0031
59441.033134561054,-242.9027092247136,bonsai,bonsai_0007
