GRP_1,GRP_2,labels,filename
-15060.83920327354,15716.111353565177,lotus,lotus_0018
-36656.765071342634,-1923.666696352764,sunflower,sunflower_0085
-59345.98416645105,-494.76101634780633,lotus,lotus_0024
-22845.14866474663,2262.338927339504,lotus,lotus_0030
-20775.521077203062,2384.731915434801,joshua_tree,joshua_tree_0037
-12665.541654333467,2102.4867829230193,joshua_tree,joshua_tree_0023
-40226.43948565418,2970.4216105697424,sunflower,sunflower_0046
-35443.22359143464,2967.602839152938,sunflower,sunflower_0052
-24358.96346107864,4722.035473058433,bonsai,bonsai_0029
-13005.292565505859,-7659.166588489009,bonsai,bonsai_0015
-59555.576698967176,4497.595224391697,bonsai,bonsai_0001
-12660.317563488967,12093.74445587059,bonsai,bonsai_0028
-73618.63821056324,17030.166508719598,sunflower,sunflower_0053
-12919.302466505615,5273.9012546786735,sunflower,sunflower_0047
-34749.900034602215,4874.444882547887,joshua_tree,joshua_tree_0022
-32284.15438163958,10153.134429579895,joshua_tree,joshua_tree_0036
-44665.859394615916,3394.3101469364333,sunflower,sunflower_0084
-22703.197694269653,-3450.550256484752,lotus,lotus_0019
-41202.438613322556,-25850.664963725336,strawberry,strawberry_0017
-70156.03293418881,16351.991517502976,strawberry,strawberry_0029
-43196.89839471116,695.2510034105723,strawberry,strawberry_0015
-15615.383855744969,403.47190334125776,lotus,lotus_0033
-21752.506163187914,-6423.82980904317,lotus,lotus_0027
-61248.69827664997,5440.010017253976,joshua_tree,joshua_tree_0020
-44406.009608724984,14703.082858137368,bonsai,bonsai_0002
-18827.843824710868,4909.165951884955,bonsai,bonsai_0003
-39647.4280127942,27917.582171804283,joshua_tree,joshua_tree_0009
-23096.45234332233,5366.051342728089,sunflower,sunflower_0044
-44688.665529137186,8125.7487688414785,sunflower,sunflower_0050
-30338.28789358733,5916.900152117691,joshua_tree,joshua_tree_0035
-35612.26899033348,-2897.123373400904,sunflower,sunflower_0078
-44711.07725776376,9063.831172870241,joshua_tree,joshua_tree_0021
-29531.290116940098,9420.738745910252,lotus,lotus_0026
-11035.349596765827,-7460.12883045602,strawberry,strawberry_0028
-59560.080002171904,19937.575632713866,strawberry,strawberry_0004
-6626.556362913188,-2533.077830512405,lotus,lotus_0036
-26702.536404814036,5739.034518758846,joshua_tree,joshua_tree_0019
-16411.750731346416,-7396.470661499616,sunflower,sunflower_0054
-18543.30680342676,-10195.942621447472,sunflower,sunflower_0040
-24953.54958318852,-9794.96272367081,sunflower,sunflower_0068
-28354.87319829138,8743.067174534659,joshua_tree,joshua_tree_0031
-28687.3952363487,-3857.032897458563,bonsai,bonsai_0007
-62815.55267952902,4056.134028882342,bonsai,bonsai_0013
-67353.9320078816,13847.386689369443,bonsai,bonsai_0006
-42296.988205919086,15729.006200929816,joshua_tree,joshua_tree_0030
-45478.61597270506,16213.421925259607,joshua_tree,joshua_tree_0024
-6964.012017421945,1835.5710768083152,sunflower,sunflower_0041
-51821.53162151783,-4096.9004249310665,sunflower,sunflower_0055
-35227.715353163185,9180.284394603916,joshua_tree,joshua_tree_0018
-29923.667987858506,-8832.221082782042,sunflower,sunflower_0082
-42882.05776201984,20453.782305764482,strawberry,strawberry_0005
-14096.481443715034,3506.191171938084,strawberry,strawberry_0011
-9737.626348023585,5071.233316276692,strawberry,strawberry_0007
-37862.94923433005,8094.177508371878,strawberry,strawberry_0013
-46560.16342744544,438.14716704392083,lotus,lotus_0021
-46885.315067033946,5063.384124146178,sunflower,sunflower_0080
-49139.49382068212,11864.052609389597,sunflower,sunflower_0057
-25192.20355106521,-11942.04777366262,joshua_tree,joshua_tree_0032
-26263.471947536764,5957.116847803404,joshua_tree,joshua_tree_0026
-25607.929892097047,-1890.4749510721606,bonsai,bonsai_0010
-56075.73559948548,11851.107190383504,bonsai,bonsai_0004
-13174.463549518268,-6100.716705873972,bonsai,bonsai_0038
-54708.98452108113,11067.045017907029,bonsai,bonsai_0039
-70956.00757525302,10040.08857825973,bonsai,bonsai_0005
-19423.91892572785,-7975.033576439603,joshua_tree,joshua_tree_0027
-47173.018792255476,11878.238335656035,sunflower,sunflower_0056
-9430.894095800082,529.5640499420167,sunflower,sunflower_0042
-46459.48494891964,3029.782534258951,lotus,lotus_0034
-32937.857253756,1797.7061452851776,lotus,lotus_0020
-3690.1041653485604,-1869.5964332321905,sunflower,sunflower_0081
-31530.030635907773,-7329.555111236858,strawberry,strawberry_0012
1129.396866277839,4002.127637606641,strawberry,strawberry_0006
-13687.304056339908,-3610.949168563457,bonsai,bonsai_0102
-19731.111214630382,-12195.816643629907,lotus,lotus_0047
96.6216349982185,-10827.494217896601,water_lilly,water_lilly_0027
-14474.239769139667,60.4054134805636,water_lilly,water_lilly_0033
-25905.938969579765,-982.25804938143,lotus,lotus_0053
1814.78836309844,-1168.816735751348,bonsai,bonsai_0116
-28721.55312165008,1723.542657999929,sunflower,sunflower_0019
-57696.67737475957,12453.353693301533,joshua_tree,joshua_tree_0054
-38686.790708223314,8830.727915383484,joshua_tree,joshua_tree_0040
-49832.82653828024,19316.824809108664,bonsai,bonsai_0076
-28011.41126448423,6323.733771600175,bonsai,bonsai_0062
-6483.741855577187,-7176.608617909091,bonsai,bonsai_0089
-45117.60551065576,4279.51875139573,bonsai,bonsai_0088
-42567.44046315816,2096.210268424012,bonsai,bonsai_0063
-28144.499687635405,6019.949057997785,sunflower,sunflower_0030
-35585.90152078622,4309.909964372472,sunflower,sunflower_0024
-27344.546585794393,-506.62139584150077,joshua_tree,joshua_tree_0041
-12633.044770079423,2164.8705586276665,joshua_tree,joshua_tree_0055
-22997.617268494643,-271.30981992517457,water_lilly,water_lilly_0032
-56999.719007212276,14301.102709364695,bonsai,bonsai_0117
-38721.02193782736,-2200.890251593144,lotus,lotus_0052
-17761.25298099478,3773.2105152247414,lotus,lotus_0046
-32136.815580868228,6193.685270608715,bonsai,bonsai_0115
-29640.254748459087,1333.7421238040793,water_lilly,water_lilly_0030
-35636.209635555584,-5070.680661707143,bonsai,bonsai_0101
-26041.84693737912,-8084.324984407382,lotus,lotus_0044
-17114.66486937191,126.75215478784023,joshua_tree,joshua_tree_0043
-21704.679940646998,2188.033816637728,sunflower,sunflower_0032
-23327.75166112151,2565.697888280398,sunflower,sunflower_0026
-47374.42911359772,15622.8977609109,bonsai,bonsai_0049
-30963.5858902024,-8800.885522587387,bonsai,bonsai_0061
-13327.254755920694,-6553.55258581515,bonsai,bonsai_0075
-710.7582938303891,2755.8836422149457,bonsai,bonsai_0074
-56945.21383369657,12820.89951803772,bonsai,bonsai_0060
-18714.9141537488,-10867.350031856768,sunflower,sunflower_0027
-35164.574561676076,5504.896928009319,sunflower,sunflower_0033
-38409.611922199576,15163.219534869662,joshua_tree,joshua_tree_0056
-45616.464052639785,2166.966872761563,joshua_tree,joshua_tree_0042
-45267.41235964478,-402.9672026862123,lotus,lotus_0045
-41693.93383130402,19242.37049641129,bonsai,bonsai_0100
-36330.58680611252,13041.768387313206,bonsai,bonsai_0114
-30270.184595252027,-12709.414883613912,lotus,lotus_0051
-5003.749486297968,2952.2930850617245,water_lilly,water_lilly_0031
-18716.11974236605,-10258.181712664982,water_lilly,water_lilly_0019
-16075.690948811975,7062.064546139922,bonsai,bonsai_0128
-36895.289226302884,12120.953404992995,lotus,lotus_0055
-56574.57149078072,8639.871519992805,bonsai,bonsai_0104
-18050.441849709794,361.53774699874725,lotus,lotus_0041
-33929.64231556197,570.9618226364354,water_lilly,water_lilly_0021
-24940.091954611933,-17037.544190024513,water_lilly,water_lilly_0009
-51254.38741414337,6916.940931459632,sunflower,sunflower_0023
-26907.181023994952,12567.602733047259,joshua_tree,joshua_tree_0046
-40122.10918535309,28166.660352834282,joshua_tree,joshua_tree_0052
-22150.200939512757,322.23784081176035,bonsai,bonsai_0064
-3187.49494833807,427.11091607516676,bonsai,bonsai_0065
-44972.076560212336,14519.818402586912,joshua_tree,joshua_tree_0053
-14981.922885201526,4845.005430936443,sunflower,sunflower_0022
-18762.967640345592,8774.309207373559,sunflower,sunflower_0036
-12374.712599798544,9405.174367945523,water_lilly,water_lilly_0008
-24392.388840850468,5467.205400260821,water_lilly,water_lilly_0020
-34477.981982170735,8327.567077994201,bonsai,bonsai_0111
-30663.442654069437,-41.499748715045826,lotus,lotus_0054
-31080.200374475902,4697.301710680282,water_lilly,water_lilly_0022
-36196.262162475614,922.8507853585063,bonsai,bonsai_0107
-12963.779502068292,7628.482457212809,lotus,lotus_0042
-12392.04899194574,-3607.869190209363,lotus,lotus_0056
-48575.58877917298,3663.2937052777506,bonsai,bonsai_0113
-2622.015041047374,9365.25469435617,water_lilly,water_lilly_0036
-54359.98187459408,21253.58079074469,sunflower,sunflower_0034
-32771.82227516986,8487.377880126705,joshua_tree,joshua_tree_0051
-46082.30923875079,7017.084433626382,joshua_tree,joshua_tree_0045
-45489.42433211168,11004.459442686599,bonsai,bonsai_0067
-50666.39718391964,13070.059919371899,bonsai,bonsai_0098
