ISM_1,ISM_2,labels,filename
-10719.643819490202,9765.178949220197,strawberry,strawberry_0016
-40190.55399458575,-5092.149679715302,lotus,lotus_0018
46826.79593121087,-9016.575981536793,lotus,lotus_0024
7534.196187294497,3479.232287894313,lotus,lotus_0030
47400.43262224244,8219.226013450325,sunflower,sunflower_0046
44555.67031329508,-13032.830991365438,bonsai,bonsai_0001
-38095.94650009995,-6667.141607572054,bonsai,bonsai_0014
-7361.227978644468,4273.674647828585,bonsai,bonsai_0028
58183.10496694367,548.5485750694016,sunflower,sunflower_0053
-38553.83127217824,8745.287155930002,sunflower,sunflower_0047
-2086.732876483004,-14803.627583809019,joshua_tree,joshua_tree_0022
-45476.669813229855,1502.0587388885008,lotus,lotus_0031
24770.149628944546,8114.831039862019,sunflower,sunflower_0084
45025.67189619996,-1151.2597049601127,strawberry,strawberry_0017
33036.66217721078,2761.1813138276552,strawberry,strawberry_0003
35427.80450294115,10103.209662166104,strawberry,strawberry_0015
-15538.817815468281,7732.1444262226405,strawberry,strawberry_0001
-34541.28022939385,-4278.039013850126,lotus,lotus_0027
11002.781471693595,4482.992183893831,joshua_tree,joshua_tree_0020
11726.877223298958,24691.778136260487,sunflower,sunflower_0079
19289.1023590798,5020.057020693571,joshua_tree,joshua_tree_0034
-23467.671666065326,21539.55718702248,sunflower,sunflower_0051
-12031.540518539769,-24394.522204018613,sunflower,sunflower_0045
40633.883209733154,-5806.606628561474,joshua_tree,joshua_tree_0008
-11778.004397191064,9845.750901814275,bonsai,bonsai_0016
-7958.930348243864,2177.4847509272126,bonsai,bonsai_0003
47267.56663202329,-8554.180552906051,joshua_tree,joshua_tree_0009
-25894.285246129293,5644.067684340519,sunflower,sunflower_0044
-8140.98353237016,-12689.363777063094,joshua_tree,joshua_tree_0035
44478.356361461134,-3110.0493688101433,sunflower,sunflower_0078
22503.224405552133,-4423.217596136859,joshua_tree,joshua_tree_0021
11306.222821350966,8595.534991523991,strawberry,strawberry_0014
-46137.18304745328,-8431.65923297867,lotus,lotus_0036
13461.485232401377,27307.22576613957,sunflower,sunflower_0083
-14236.164285894092,4633.7176293993925,joshua_tree,joshua_tree_0019
-14583.861300578284,16457.057016694165,sunflower,sunflower_0054
-29279.013305476048,10658.113435111394,sunflower,sunflower_0040
43768.40579738958,-13091.016811814576,joshua_tree,joshua_tree_0025
-47637.85195787257,4909.881626927837,sunflower,sunflower_0068
-7945.907187502213,-2251.417281695741,joshua_tree,joshua_tree_0031
43933.050124989946,-2276.3728739907165,bonsai,bonsai_0007
46894.83822705537,-14499.875878830206,bonsai,bonsai_0013
11358.412732811234,3011.431234067775,bonsai,bonsai_0012
25116.05970620176,4440.025884285511,joshua_tree,joshua_tree_0030
24177.98005328687,-9296.911957571912,sunflower,sunflower_0069
-16508.339533946022,7643.848108381501,sunflower,sunflower_0041
45470.344664728655,-8182.946228044087,sunflower,sunflower_0055
-7929.5332093544985,-5874.539494855211,joshua_tree,joshua_tree_0018
-34870.25295754943,2492.129776901525,lotus,lotus_0023
-13393.926295722657,2345.7975602956008,strawberry,strawberry_0011
-46640.267217146866,-7898.577145039493,strawberry,strawberry_0007
22765.7186916222,3320.060925981988,strawberry,strawberry_0013
15647.43078498792,13198.844608866211,lotus,lotus_0021
33813.892813736566,-4613.9655972995115,sunflower,sunflower_0080
19571.51080641019,14399.109296529023,lotus,lotus_0035
-3218.8847357042273,1838.6196227979333,lotus,lotus_0009
787.9164547327575,23632.493544437628,sunflower,sunflower_0043
1091.83796416299,874.3548508560104,joshua_tree,joshua_tree_0032
-8120.65239676011,-8168.400972608513,joshua_tree,joshua_tree_0026
3449.2537738751234,7072.338740473789,bonsai,bonsai_0010
46570.44764964823,-13075.971258709542,bonsai,bonsai_0004
-34971.31913565242,568.0710121468454,bonsai,bonsai_0038
