PCA_1,PCA_2,labels,filename
-17822.536395388255,-5143.5966332246835,lotus,lotus_0004
6627.600549486809,2877.7815179724,bonsai,bonsai_0066
10422.326821879258,-208.29318079056333,sunflower,sunflower_0069
101.95022995123831,6604.9527232742175,joshua_tree,joshua_tree_0017
-3702.869794531117,-5243.075934038001,water_lilly,water_lilly_0035
923.6503717730172,3919.129676935339,joshua_tree,joshua_tree_0062
19680.768372842216,-29.01103838404521,sunflower,sunflower_0066
4347.138792896079,-3165.0599249963043,bonsai,bonsai_0023
-14287.822398152173,-5694.6589247982665,lotus,lotus_0047
-15737.195797209952,-3910.253779166333,bonsai,bonsai_0089
-3804.633538298488,2839.320666071438,joshua_tree,joshua_tree_0035
-7584.838736940716,7679.901987632785,sunflower,sunflower_0025
9138.52913485565,-1449.5277459492931,bonsai,bonsai_0020
18004.745710126146,6165.521284102334,bonsai,bonsai_0076
15094.729785500756,-1180.2774050154167,bonsai,bonsai_0067
9528.447363045987,-2638.0560208513557,lotus,lotus_0039
-1033.7787424209869,-3973.958323150985,sunflower,sunflower_0030
5520.0783067253915,-4120.4501880821945,water_lilly,water_lilly_0014
-13840.909170683977,1555.883083168011,bonsai,bonsai_0065
-19341.95987607126,2276.0148621534463,lotus,lotus_0007
-9668.026087198681,1111.97161408223,sunflower,sunflower_0062
11084.209848489,-9007.270451970217,lotus,lotus_0035
21509.0672123372,-7817.950859003882,sunflower,sunflower_0055
-17857.63471628413,1707.6452852605844,bonsai,bonsai_0097
4377.706399250869,2451.809542967278,bonsai,bonsai_0012
11278.005580474948,8477.915939569439,bonsai,bonsai_0110
12797.60516046911,8727.615585478698,strawberry,strawberry_0018
10561.009378322284,7062.5608099479,bonsai,bonsai_0031
-10225.289504752156,2154.0342338149358,water_lilly,water_lilly_0004
-19358.23052056627,1123.8707578497354,bonsai,bonsai_0018
13732.84715897382,-806.7829477556978,bonsai,bonsai_0033
-2339.703949784371,8690.106311862774,bonsai,bonsai_0044
-17303.21570953242,-45.94749244731307,water_lilly,water_lilly_0010
-8501.280682464205,-4106.622923870147,sunflower,sunflower_0020
-7702.723911959806,3416.527769738113,bonsai,bonsai_0082
7687.558800842651,267.9194205861201,sunflower,sunflower_0013
16607.29963991252,2478.997712192105,bonsai,bonsai_0069
-10461.943452041607,495.6307237241901,sunflower,sunflower_0075
17886.791917869752,7259.562146539867,bonsai,bonsai_0095
17422.368265106397,-5704.821923527194,joshua_tree,joshua_tree_0013
18086.607689105917,-6818.43097542811,bonsai,bonsai_0122
17170.5059422101,31.098369862566944,bonsai,bonsai_0096
-908.78685210594,615.371771524637,bonsai,bonsai_0028
-7272.100431863713,-3502.057943807464,bonsai,bonsai_0075
-3961.751206156079,1873.9866789894734,joshua_tree,joshua_tree_0049
-15049.511009847307,-2031.0616857832777,lotus,lotus_0040
-9588.870393218647,2903.4019753784614,lotus,lotus_0054
1650.9240023076748,-3868.907265880874,bonsai,bonsai_0083
15495.439662545989,-5197.366592299959,bonsai,bonsai_0104
-9814.009252829692,2624.745629280197,lotus,lotus_0044
-49.44407338509402,3176.0140656389863,lotus,lotus_0009
-16527.029498016607,1308.8867078564367,bonsai,bonsai_0057
1544.3860616016266,-4011.0314991016967,water_lilly,water_lilly_0005
-7098.185982762807,-1982.5609597766552,sunflower,sunflower_0018
-1807.6948876647305,2713.488856411865,joshua_tree,joshua_tree_0018
6414.270781124423,12125.185533641035,bonsai,bonsai_0026
3889.0658649533693,-2807.5146504980444,bonsai,bonsai_0010
-12976.350853915164,2337.760528118433,lotus,lotus_0012
-402.6383599504734,-8053.1730576246655,sunflower,sunflower_0085
2596.637077750184,-7331.598123653825,sunflower,sunflower_0043
-7445.5841629116285,-8091.952783170794,water_lilly,water_lilly_0012
-16255.110076201392,7448.33187671986,water_lilly,water_lilly_0031
17114.066376075,-3975.396104297169,bonsai,bonsai_0001
-341.74691928191885,-5402.937144077748,lotus,lotus_0055
14455.403808869538,-1956.5926007870648,joshua_tree,joshua_tree_0025
-17818.14869336509,-20.241516182115625,sunflower,sunflower_0081
-8670.191265841959,519.1350088891875,water_lilly,water_lilly_0020
-9691.31817986646,185.59623107901606,sunflower,sunflower_0063
-21851.59994785444,4471.495904217929,strawberry,strawberry_0006
-241.6916859348867,14374.584538344461,bonsai,bonsai_0105
13222.960984323046,-4024.2959262555823,joshua_tree,joshua_tree_0050
6107.342899850102,143.37070343891168,joshua_tree,joshua_tree_0015
15627.60724399595,-1255.0944258447905,bonsai,bonsai_0032
-10986.63213937962,4144.102949488589,water_lilly,water_lilly_0006
7187.073625399181,-2260.1435221697125,sunflower,sunflower_0079
-18122.73881998082,-5688.493986232596,sunflower,sunflower_0001
12615.0893748704,-3708.669449853297,sunflower,sunflower_0048
-11781.933389292957,4694.059751016111,water_lilly,water_lilly_0007
-2242.386220662208,-2541.034632437459,water_lilly,water_lilly_0017
-9131.711897398014,-789.1208797516985,sunflower,sunflower_0022
19185.19897487916,3759.8404503744814,strawberry,strawberry_0024
-3279.777852548401,6103.7855358058705,bonsai,bonsai_0003
-769.3356158672998,-1542.0192493621673,joshua_tree,joshua_tree_0022
7239.356732517332,4016.462234597705,bonsai,bonsai_0084
-16101.556311434711,-6522.245596468863,sunflower,sunflower_0076
-5837.721365205851,-6523.5659001298145,lotus,lotus_0005
19262.76476868305,-2234.814324873779,lotus,lotus_0001
-4040.1139683420015,2149.1811637468672,sunflower,sunflower_0033
7141.489987579822,9793.265506259087,strawberry,strawberry_0012
20526.9546822518,-1841.8140365929496,strawberry,strawberry_0029
-1803.0373744918868,-2233.275375164672,sunflower,sunflower_0082
7858.401646280424,4731.672876632895,bonsai,bonsai_0108
-15756.354426503518,6227.80113508957,lotus,lotus_0042
-12714.109817479199,-2480.954186870505,bonsai,bonsai_0017
18094.056052440388,2439.536233136404,sunflower,sunflower_0046
-1620.4583322026058,-3869.60245557091,sunflower,sunflower_0015
-18783.42629659833,1141.1894499196335,bonsai,bonsai_0102
4161.022553867787,-2683.078689004271,bonsai,bonsai_0081
20741.901577353234,-3077.2475255151026,sunflower,sunflower_0065
16216.682635669438,801.5895815162662,bonsai,bonsai_0005
6329.879789556928,462.95105807928917,joshua_tree,joshua_tree_0003
11460.629472688815,7809.173903591031,bonsai,bonsai_0077
-4621.116725339575,-360.51277636952796,sunflower,sunflower_0036
-8848.840328651759,3038.450823677556,joshua_tree,joshua_tree_0023
18782.459308642843,392.9197180385968,bonsai,bonsai_0090
2421.054569474683,-1320.3529863296565,bonsai,bonsai_0061
-17118.158718276583,-3351.3423817941966,lotus,lotus_0016
6165.0822772743295,-1615.680345581958,sunflower,sunflower_0074
-12824.75022889132,6080.729377541085,joshua_tree,joshua_tree_0044
-2089.05766203345,128.79696660763585,joshua_tree,joshua_tree_0045
-1482.1937341407456,721.0146685324107,strawberry,strawberry_0026
-9818.098843156786,2934.4062576262604,lotus,lotus_0003
15629.748585798208,-414.755804571619,sunflower,sunflower_0049
-3411.5401734128386,-281.1924522717881,strawberry,strawberry_0016
-6169.446746568883,-97.87593021998043,joshua_tree,joshua_tree_0019
-12037.742787456637,4529.944112776007,water_lilly,water_lilly_0032
-15197.326305161303,-1791.4555351567294,sunflower,sunflower_0021
8144.477082699644,1905.2343333110998,bonsai,bonsai_0035
12351.81935581079,-601.337307702076,bonsai,bonsai_0056
-16029.942671110228,-5184.2186215607235,lotus,lotus_0019
-295.00134325977064,2256.6077432454954,joshua_tree,joshua_tree_0038
-2432.8830713442244,-7800.452294908208,sunflower,sunflower_0007
20922.040994509804,-7527.500067903077,joshua_tree,joshua_tree_0063
-10410.517848902382,-6359.303636544602,water_lilly,water_lilly_0009
11004.283854869467,-5054.1502235866965,bonsai,bonsai_0093
-12292.179759480148,-7275.092357267085,sunflower,sunflower_0011
-2647.2316894170435,-5676.394794001961,water_lilly,water_lilly_0021
-12536.785287742669,-1304.7265264553305,lotus,lotus_0053
-14840.44795679564,-340.792713847099,bonsai,bonsai_0045
-14220.534616539253,-3757.729206363376,strawberry,strawberry_0028
-10743.891940156229,562.732993161455,lotus,lotus_0026
16695.67352187904,6396.83180889038,strawberry,strawberry_0031
-7770.73727041229,-1953.442197736824,lotus,lotus_0017
19108.18179600399,-838.4215787759273,sunflower,sunflower_0057
-9939.661261049983,4184.059872605065,joshua_tree,joshua_tree_0037
