TSNE_1,TSNE_2,labels,filename
42.494526,29.478834000000006,bonsai,bonsai_0032
-17.989507999999994,-4.216354,bonsai,bonsai_0115
56.00680500000001,34.273563,bonsai,bonsai_0117
15.603841,-1.504798,bonsai,bonsai_0010
-37.877987,-12.917499,water_lilly,water_lilly_0007
7.4215803,-15.299993,bonsai,bonsai_0118
-19.00868,-35.034620000000004,water_lilly,water_lilly_0026
-48.00335,-28.215225,water_lilly,water_lilly_0016
30.516317,20.518703,joshua_tree,joshua_tree_0030
55.98374,37.12767,bonsai,bonsai_0113
-9.098384,-28.060154,sunflower,sunflower_0004
-54.257206,-24.408587,strawberry,strawberry_0009
-38.770386,-19.30546,lotus,lotus_0046
26.147516,23.005323,bonsai,bonsai_0063
49.45563,34.463608,lotus,lotus_0038
-21.396017,-37.30372,lotus,lotus_0037
-34.403286,-5.260008,lotus,lotus_0059
-55.46947,-26.224144,bonsai,bonsai_0127
-16.358456,-9.413955,bonsai,bonsai_0078
52.27483400000001,42.892975,bonsai,bonsai_0096
-36.816883,-21.959335,water_lilly,water_lilly_0008
63.454784,25.771162,bonsai,bonsai_0122
-29.14956,-17.424587,bonsai,bonsai_0128
-4.958547,18.535017,joshua_tree,joshua_tree_0003
47.61283,2.181455,sunflower,sunflower_0072
24.328207,-0.0025888295,lotus,lotus_0052
-13.55938,1.5849586000000002,sunflower,sunflower_0025
-32.911137,-30.436712,lotus,lotus_0023
-35.558376,-8.600480000000001,lotus,lotus_0014
54.87508,25.234488,joshua_tree,joshua_tree_0025
12.435992,2.5242026,bonsai,bonsai_0101
-23.949337,22.503643,joshua_tree,joshua_tree_0061
-1.4586358999999998,21.45762,lotus,lotus_0034
-42.646473,-40.333363,strawberry,strawberry_0010
-56.11631,-32.39715,bonsai,bonsai_0040
50.59916,34.934708,bonsai,bonsai_0021
53.059723,26.474064,joshua_tree,joshua_tree_0060
-25.824978,-18.148516,sunflower,sunflower_0022
14.03118,1.3472166,bonsai,bonsai_0029
-51.43441,-1.1380078000000002,sunflower,sunflower_0062
-7.046314,-11.416948,bonsai,bonsai_0028
