GRP_1,GRP_2,labels,filename
29255.758368477906,-9141.23896763543,motorbike,motorbike_0360
10095.192510667895,13334.98214935896,ketch,ketch_0054
15434.758034510118,-23315.735652064806,motorbike,motorbike_0561
13334.798043329507,-3892.652031839949,airplane,airplane_0494
32189.684599355307,7054.33598468728,airplane,airplane_0395
25074.50575882043,-11950.775831021001,motorbike,motorbike_0595
25965.113562033468,-3776.3780336319933,airplane,airplane_0093
28515.102454042008,13167.577166187451,airplane,airplane_0266
29282.092469410025,-8133.111888867489,airplane,airplane_0423
25356.703351488068,-7749.947864424807,motorbike,motorbike_0233
54895.26760373997,12465.973689926863,motorbike,motorbike_0089
48149.64925236883,-2198.784187742125,motorbike,motorbike_0390
52059.77051046437,-5135.007657823204,motorbike,motorbike_0636
16511.100412910437,2779.744539183988,ferry,ferry_0041
8065.438503701906,-9745.84125176144,airplane,airplane_0226
12525.836398236761,-10688.939929858465,helicopter,helicopter_0022
22616.396578484902,-4909.66150022886,airplane,airplane_0526
11085.529349384371,-7639.840642142496,airplane,airplane_0240
12564.868481464388,-6936.158535811732,helicopter,helicopter_0028
12418.282380044318,1795.5092599971078,car,car_0054
29938.627610921958,-690.0877270456419,airplane,airplane_0766
40643.30411330694,5288.692086767286,motorbike,motorbike_0121
7377.590115888649,-517.3925523709313,car,car_0063
35976.86195204023,832.7083452619709,motorbike,motorbike_0631
10523.860523032536,15916.50257994364,airplane,airplane_0388
24615.33740881488,-9147.689098581535,airplane,airplane_0337
10233.255182770197,-206.89741131740521,airplane,airplane_0263
12687.290648190226,4520.466825820195,airplane,airplane_0295
38798.260787730665,-5719.47137852578,motorbike,motorbike_0395
30375.796421240786,-486.7513130883257,motorbike,motorbike_0746
52016.142748490645,-3389.566998185554,motorbike,motorbike_0738
27050.55715137879,-11158.579109688362,motorbike,motorbike_0557
33458.32978433677,6657.5079482571255,airplane,airplane_0573
48143.05009225724,-16805.12180571281,motorbike,motorbike_0221
31713.802190055445,-7054.554771958003,motorbike,motorbike_0648
21683.024668343878,882.2029528434142,airplane,airplane_0625
24929.08444062537,-3586.046893167951,motorbike,motorbike_0784
26821.023216137535,-3638.234701127445,motorbike,motorbike_0520
5482.0012035510545,-983.5584698474797,car,car_0075
15216.655987866336,-2483.6977986988877,airplane,airplane_0438
13248.55871583798,-2541.518780075418,car,car_0100
22162.868772199687,-10921.225783595546,motorbike,motorbike_0305
43970.702722275,7466.542154525547,airplane,airplane_0034
11787.2145677861,-8260.635242994953,car,car_0021
17902.518402521244,3977.3206605897863,airplane,airplane_0489
40581.09776933335,-9823.290698810417,motorbike,motorbike_0186
32735.15659957992,-11557.25246289228,motorbike,motorbike_0681
9537.091210095732,-981.6401975461833,airplane,airplane_0318
23114.76782358042,6743.069708771539,motorbike,motorbike_0205
11365.135254579463,-13078.910132941064,motorbike,motorbike_0193
33.84295745382349,6004.513670229196,airplane,airplane_0453
38683.29875370792,-13274.07720741108,motorbike,motorbike_0634
39111.46381167944,-61.39287093836072,airplane,airplane_0152
11474.329907773194,18263.969053741337,airplane,airplane_0786
13947.150789573288,-18602.58555945912,ferry,ferry_0046
8198.227721537716,1839.6473471547988,helicopter,helicopter_0013
14693.547233165073,8525.722972837866,ketch,ketch_0091
22542.65147819534,-6704.114021927664,motorbike,motorbike_0023
29579.170760233457,-371.98954111949547,airplane,airplane_0457
27618.35756276624,-6401.706872539809,motorbike,motorbike_0538
33869.114021483,3330.258042566205,airplane,airplane_0469
15404.909883611732,-2392.101319512953,airplane,airplane_0598
22441.530056366366,-7661.064647589696,ketch,ketch_0048
26454.341835256317,-2846.7831598286125,airplane,airplane_0365
22251.532633628613,-11227.869656485807,helicopter,helicopter_0084
14287.398040109412,-414.42187126884886,airplane,airplane_0487
-2370.5803334085595,-11590.73368471224,car,car_0099
27785.269764172866,-11128.387472669543,airplane,airplane_0206
19228.81131337548,1893.4622363453773,airplane,airplane_0646
10094.165397736313,-4083.837642338279,airplane,airplane_0042
23174.80007447332,-4257.727582589125,airplane,airplane_0692
34315.21497670065,2086.640716202523,motorbike,motorbike_0668
24469.415483310084,4170.002839649541,airplane,airplane_0776
22031.21915457072,-6167.880632992356,car,car_0108
7516.143712377207,3078.0847112213714,motorbike,motorbike_0056
47918.24196193382,7076.1258883368555,motorbike,motorbike_0095
22217.074491173,6053.541270761402,airplane,airplane_0607
37634.034182242765,3500.307882511001,motorbike,motorbike_0574
44617.162458302235,-383.2223545545288,motorbike,motorbike_0226
41146.48448553965,-2529.672570518584,airplane,airplane_0454
29882.424123063636,3018.9305939873525,motorbike,motorbike_0622
2508.296903103075,-10008.316962706764,helicopter,helicopter_0041
17772.54118694242,23996.651622181256,airplane,airplane_0636
25515.547741205508,1072.5897553966934,ferry,ferry_0049
31903.002074160297,-14334.066913273222,motorbike,motorbike_0288
39631.8259943791,-5706.893457278643,motorbike,motorbike_0316
8267.362133097502,14278.87136522528,motorbike,motorbike_0050
29649.14636984582,1947.3023818682004,airplane,airplane_0157
33790.31480950674,-14605.823807899296,motorbike,motorbike_0706
21836.817760242382,4431.39961772702,airplane,airplane_0551
19486.02736148328,7429.068942154988,airplane,airplane_0638
18378.39886106332,4789.91559036499,airplane,airplane_0699
38203.53599817925,-3945.0453043887346,motorbike,motorbike_0510
19152.78725532661,-13369.135593029669,airplane,airplane_0002
33095.19237911887,-4467.546487605448,motorbike,motorbike_0296
27378.800768167755,-16088.290798144773,helicopter,helicopter_0071
29724.983243978237,-834.7249007503194,motorbike,motorbike_0207
25449.57919487897,-13978.131855914982,motorbike,motorbike_0577
24118.07922696633,9755.185314708033,motorbike,motorbike_0310
16295.048698325445,-4883.526911105494,airplane,airplane_0160
40380.34913729196,7821.644041049612,airplane,airplane_0138
26647.570976344083,-5453.173937451429,motorbike,motorbike_0047
13899.638972032437,7103.596236847176,car,car_0024
16123.023697916724,-1156.5476629076145,ketch,ketch_0094
34662.32963728751,2272.1135885643,airplane,airplane_0364
23350.270249082143,-13701.324229737544,helicopter,helicopter_0023
39890.08494014224,-2496.1165407906633,motorbike,motorbike_0271
13062.00521072619,-12072.483601513406,helicopter,helicopter_0050
16134.082445947339,10051.443399124206,airplane,airplane_0678
29354.971392867923,-15909.151521114734,motorbike,motorbike_0611
29997.350085664122,-6942.781864016914,car,car_0026
45142.13672285949,-4330.00858332324,motorbike,motorbike_0403
21785.73849250496,-4422.912632526451,airplane,airplane_0412
43115.41667592368,5260.329689079374,motorbike,motorbike_0163
27085.830742715883,-10368.869243413292,airplane,airplane_0184
37657.19467050757,-12288.698631637186,motorbike,motorbike_0750
22119.111000855093,-1432.7541246120786,motorbike,motorbike_0025
15694.008845374898,6043.0374373230015,airplane,airplane_0642
26666.19040842065,-4432.960240472337,motorbike,motorbike_0020
27452.56956330268,-12871.718537658391,airplane,airplane_0108
22339.326788518127,-8433.255697288227,motorbike,motorbike_0400
39335.975729436315,2507.204637158899,motorbike,motorbike_0688
26056.665392608964,-16216.45756941031,airplane,airplane_0041
4192.690276615622,-25999.80217419283,helicopter,helicopter_0011
26145.378274813844,-9707.31255586442,motorbike,motorbike_0547
-1415.5411759607819,-5816.2306555218065,airplane,airplane_0495
42851.13925696204,-1235.8227946580532,motorbike,motorbike_0713
28539.83400558564,-2669.245219925834,motorbike,motorbike_0587
21692.084733917796,-10139.216216392268,ketch,ketch_0092
15573.182211794516,-4853.8843266308695,airplane,airplane_0009
16140.468385939219,-8507.591038926783,airplane,airplane_0321
13504.247531576533,-20532.711017035967,motorbike,motorbike_0389
11917.13848294452,-5671.273131819574,car,car_0069
13824.48356375891,-1177.0617295724335,airplane,airplane_0368
5004.04645915981,-2875.9695041265763,motorbike,motorbike_0206
12243.727706884192,5525.661772413045,ketch,ketch_0035
25710.419656566333,-7850.511400138357,airplane,airplane_0065
18328.1333828056,-11857.509628282662,helicopter,helicopter_0024
33596.322831596764,466.4338388395245,motorbike,motorbike_0195
23581.508591086542,-4131.966284852525,airplane,airplane_0037
14296.316136628267,-3513.1527924841166,airplane,airplane_0325
30834.176538345942,7833.5041676177625,airplane,airplane_0581
14908.823556450168,7042.962930031103,airplane,airplane_0533
6952.043667051796,301.0841382929993,motorbike,motorbike_0381
31024.720075153262,-9536.595146661664,motorbike,motorbike_0427
32579.179829897617,3397.056535798415,motorbike,motorbike_0302
24580.2301563598,-6032.109734531236,airplane,airplane_0155
23052.703149069443,19262.49442817937,airplane,airplane_0609
48517.11132130623,-6711.957328513886,motorbike,motorbike_0727
11124.603588325595,-18439.018710536882,airplane,airplane_0733
38335.78544750608,-230.04390882914737,airplane,airplane_0455
24415.57981606875,5634.607405581512,airplane,airplane_0764
20343.59247827594,-6618.1876634400705,car,car_0031
7256.774914035263,-21118.210374151742,motorbike,motorbike_0684
27354.625026885296,-15611.609898733623,motorbike,motorbike_0562
23379.61038814376,-12272.163051071153,motorbike,motorbike_0546
15249.542715189978,6522.219697402664,airplane,airplane_0323
14745.751533732346,12164.292472562664,airplane,airplane_0493
36742.03182459687,22342.403448656933,airplane,airplane_0787
-235.52599096479926,-21672.322775695306,airplane,airplane_0342
18491.69418631076,-9443.345319008762,motorbike,motorbike_0695
34834.445658626384,13867.022120003518,airplane,airplane_0629
11482.569523415625,4636.2748153902085,ketch,ketch_0049
23937.404890911148,11941.342194466755,motorbike,motorbike_0270
18506.062266565194,10746.979447999533,motorbike,motorbike_0357
27268.55372852504,-12240.877585691975,motorbike,motorbike_0689
30020.58781429512,-8352.070288952506,motorbike,motorbike_0674
24816.800257802264,-18678.963884234774,motorbike,motorbike_0639
10235.129501562,5029.354642022269,ketch,ketch_0071
26310.115987118203,13619.69746753088,airplane,airplane_0790
30706.221994710337,-7355.17603471553,motorbike,motorbike_0625
15938.760354312008,820.1302046156085,airplane,airplane_0182
23407.20867533209,-10150.832067004172,motorbike,motorbike_0790
