ISM_1,ISM_2,labels,filename
-34445.61535132411,21474.06337995965,motorbike,motorbike_0360
19958.838931296505,-16704.801690087606,ketch,ketch_0054
10648.923710203255,-3643.369996852525,motorbike,motorbike_0561
31449.97901231408,-1212.3036339123328,airplane,airplane_0494
9556.025781536062,1965.281969760717,airplane,airplane_0395
-24095.896683471005,-15022.213526636991,motorbike,motorbike_0595
-22290.63942010381,11748.125330052571,airplane,airplane_0093
8022.076634185411,13692.687448166986,airplane,airplane_0266
-8064.275017641414,-13044.945277427705,airplane,airplane_0423
46.38184047850575,-7060.665805212644,motorbike,motorbike_0233
10004.24485346059,46619.769592825076,motorbike,motorbike_0089
-21808.576087238893,27827.055627303565,motorbike,motorbike_0390
-24277.97783741981,35665.574043227,motorbike,motorbike_0636
12883.049687412136,-10084.411422034147,ferry,ferry_0041
19796.186597898446,1721.362791406929,airplane,airplane_0226
14382.47993842839,-11991.334212384087,helicopter,helicopter_0022
17444.50763831806,2833.949637691446,airplane,airplane_0526
40684.56112967063,-5504.491202435745,airplane,airplane_0240
6007.02495403602,-11215.619340409023,helicopter,helicopter_0028
22440.59967412174,-7279.104081536768,car,car_0054
953.6728935936659,7442.711645027691,airplane,airplane_0766
-16258.315353088228,11276.659324041648,motorbike,motorbike_0121
24162.08938170996,-7645.320435964611,car,car_0063
-34346.317419463085,12278.261084308715,motorbike,motorbike_0631
27014.341772279327,2498.679339090929,airplane,airplane_0388
22459.202088462534,28157.26266548709,airplane,airplane_0337
16126.271922543918,-9692.337277613553,airplane,airplane_0263
22726.635672246288,-7535.316477373182,airplane,airplane_0295
-34503.37887690035,18860.71594784375,motorbike,motorbike_0395
-31815.82032053995,6667.56272741254,motorbike,motorbike_0746
-23065.762449041344,34067.19825040669,motorbike,motorbike_0738
-20787.681949350357,-11992.08432671006,motorbike,motorbike_0557
13160.617452043249,1577.1800615295126,airplane,airplane_0573
-25803.15872065876,32332.58727459128,motorbike,motorbike_0221
-26093.724206326704,1888.6300500951127,motorbike,motorbike_0648
15269.870078472937,11623.284166871112,airplane,airplane_0625
-30304.640562366247,-17056.08517628451,motorbike,motorbike_0784
-29545.453764482714,3683.9075657398635,motorbike,motorbike_0520
29106.585162198222,-3744.3488142414913,car,car_0075
7176.185180337979,-4777.282515127155,airplane,airplane_0438
23517.247131345543,-7424.317332279952,car,car_0100
-21620.057890098265,-12217.42025700834,motorbike,motorbike_0305
-15913.588410113372,8182.677747428104,airplane,airplane_0034
21118.70073001567,-9237.533866586668,car,car_0021
20811.967117425665,-1811.389614708465,airplane,airplane_0489
-30504.548358312997,23820.85976104291,motorbike,motorbike_0186
-31038.762541179232,11899.657846591736,motorbike,motorbike_0681
18045.387199810157,1508.7516911582752,airplane,airplane_0318
11340.97522175016,4721.457266846757,motorbike,motorbike_0205
21387.7109499754,-9917.053342352763,motorbike,motorbike_0193
36583.93021092092,6921.637289481697,airplane,airplane_0453
-31966.43272833634,8293.23699777519,motorbike,motorbike_0634
3361.021886959752,10434.546605246362,airplane,airplane_0152
27003.87399476356,-1667.725610906232,airplane,airplane_0786
15792.555605090627,-7944.787879764437,ferry,ferry_0046
20236.740740785182,-8297.839529227833,helicopter,helicopter_0013
25209.970549227477,-11456.90573359801,ketch,ketch_0091
-29690.33729530261,-12280.434593036209,motorbike,motorbike_0023
10745.10919921999,499.0481728294912,airplane,airplane_0457
-29210.00426865549,-6050.243045387623,motorbike,motorbike_0538
29541.7103860455,940.2780631222903,airplane,airplane_0469
8801.980141304695,-3863.026486712165,airplane,airplane_0598
-11291.158097433452,-11836.151888750232,ketch,ketch_0048
11060.960523048689,8760.271650776,airplane,airplane_0365
-10809.615883505983,-13162.460018283655,helicopter,helicopter_0084
14201.265903164,1596.8918442251772,airplane,airplane_0487
26841.434033767582,-3760.6212672462098,car,car_0099
-20838.13359155988,-9228.234863658006,airplane,airplane_0206
7904.720662369107,-9129.129421012998,airplane,airplane_0646
17021.599353536825,11991.04021367943,airplane,airplane_0042
-351.2441458519133,1525.3525516382035,airplane,airplane_0692
-32286.812273789623,11772.298242374749,motorbike,motorbike_0668
3254.663656201424,6159.252302152608,airplane,airplane_0776
19365.665993532777,-5345.6469997296745,car,car_0108
43049.54277470504,21499.083998535432,motorbike,motorbike_0056
7352.778466791508,48032.47339236793,motorbike,motorbike_0095
2279.148350949773,-11425.024134790758,airplane,airplane_0607
-35756.49387034445,8137.132171930394,motorbike,motorbike_0574
5664.349189436003,19911.99647006741,motorbike,motorbike_0226
15413.023968515825,33736.37458082863,airplane,airplane_0454
23552.180004197333,21647.870440696235,motorbike,motorbike_0622
5453.504916681497,-18864.19503272663,helicopter,helicopter_0041
22782.767102036534,7690.713539620753,airplane,airplane_0636
10810.148101459896,2839.689333075372,ferry,ferry_0049
