ISM_1,ISM_2,labels,filename
23004.22140915812,-16484.395253712326,ketch,ketch_0054
7158.201074237621,16399.827617402407,airplane,airplane_0266
-9953.671590336366,-12002.203649647789,airplane,airplane_0423
14459.094640984793,-12096.247452106709,ferry,ferry_0041
42874.687025935935,-7020.013779485692,airplane,airplane_0240
25514.13483715396,-9837.152050751818,car,car_0054
-15391.496821737783,8142.722002539952,motorbike,motorbike_0121
-36767.8718975092,16515.25123408805,motorbike,motorbike_0631
27227.43277302449,23867.178627169484,airplane,airplane_0337
-27677.81321980871,40829.75453393976,motorbike,motorbike_0738
-20628.17572098325,-14432.332473869796,motorbike,motorbike_0557
-26920.95395931852,36427.447807662575,motorbike,motorbike_0221
30241.024430890186,-5932.5492765960935,car,car_0075
8355.872817712123,-7984.132981888817,airplane,airplane_0438
23738.794705344702,-10186.402622181353,car,car_0100
-19227.510553077373,8763.330571334824,airplane,airplane_0034
-33581.46511671064,16882.777290449925,motorbike,motorbike_0681
24373.905249848238,-10678.333066097686,motorbike,motorbike_0193
26893.65357922499,-1121.8918523810594,airplane,airplane_0786
33272.03697753114,6894.016432413738,airplane,airplane_0469
-11867.975782373733,-14499.902537179842,ketch,ketch_0048
-22083.41108382185,-12119.96421044238,airplane,airplane_0206
8729.012312921577,-7324.486889803515,airplane,airplane_0646
19085.579164844563,13563.514310205508,airplane,airplane_0042
-829.3990327256349,443.4230851772048,airplane,airplane_0692
-33778.204178093525,14834.394129684659,motorbike,motorbike_0668
23444.2018543279,-5189.624742734476,car,car_0108
6197.256852077536,20953.83916481983,motorbike,motorbike_0226
16455.461976767478,34334.402529632556,airplane,airplane_0454
21296.857690200057,24801.949535577423,motorbike,motorbike_0622
24339.36930714439,14555.674138048364,airplane,airplane_0636
-27451.934603883976,32320.152539404764,motorbike,motorbike_0316
48099.89022890954,9692.276901803929,motorbike,motorbike_0050
2446.888031228738,21275.28670128555,airplane,airplane_0157
18300.65091334793,-6209.247669875132,airplane,airplane_0638
