MDS_1,MDS_2,labels,filename
26097.272309518463,7541.859572674761,motorbike,motorbike_0061
15470.877466034834,-3863.672813385181,ketch,ketch_0072
835.9158185094225,17494.083949630553,motorbike,motorbike_0073
7382.460906766996,-1790.8038167778327,airplane,airplane_0576
-13852.44165238662,-1400.3993043137823,motorbike,motorbike_0458
13809.597901922436,9730.796644854423,airplane,airplane_0376
13191.910536395188,3444.43885997322,airplane,airplane_0723
-17338.519687921602,-4332.155550864435,motorbike,motorbike_0043
-13349.178341932242,-5303.506689964891,ketch,ketch_0044
10071.27637982642,9416.300822224184,airplane,airplane_0372
17546.82004897867,-2742.212551407531,airplane,airplane_0388
-16225.265166870195,-8139.286077840274,motorbike,motorbike_0450
14923.609043449003,315.3333893817301,helicopter,helicopter_0004
933.6609391862736,-3125.66882609038,ketch,ketch_0104
-11328.555756710228,9462.223263028829,motorbike,motorbike_0281
-12814.748017652086,-1167.8516111708375,motorbike,motorbike_0213
954.2971797973172,1835.8325119720034,airplane,airplane_0242
-1954.95417750018,-3341.7259499409492,ketch,ketch_0109
-11314.469228590691,1012.4992224414264,motorbike,motorbike_0126
-10282.659842986484,-8385.417588182616,motorbike,motorbike_0604
-17025.929703883165,-5953.525290480374,airplane,airplane_0184
-5613.360312338062,-2124.46025927432,airplane,airplane_0075
11163.298625444048,2520.40740023387,airplane,airplane_0426
-10181.500581667773,-624.6452363557507,motorbike,motorbike_0231
14092.034534431676,10520.988975133976,airplane,airplane_0149
1768.0129963084607,-9274.644363884136,motorbike,motorbike_0389
3091.4891238061327,-4361.244244883426,airplane,airplane_0764
-16132.235826689617,-8324.996655540437,motorbike,motorbike_0666
6213.3505426862475,2150.259328419498,airplane,airplane_0431
-16306.592693796109,-1973.2335191114303,motorbike,motorbike_0388
12739.652995598652,1120.704803026642,car,car_0100
-19291.741656517912,-1739.7587684162106,motorbike,motorbike_0784
28734.742048196666,5039.0362902880715,motorbike,motorbike_0553
7337.205616831764,-7588.2303784546375,helicopter,helicopter_0027
16021.714511129492,-2446.2391706449835,car,car_0093
11841.58689976482,-3529.119518654723,airplane,airplane_0686
-13872.323499504244,-4644.864406746069,ketch,ketch_0098
-4210.720636952914,2531.464713723272,airplane,airplane_0103
-18511.66732333481,-4857.901182927473,motorbike,motorbike_0007
5112.143125398062,3227.5848410303192,ferry,ferry_0046
-813.3388056918881,-16345.612202193357,motorbike,motorbike_0537
22521.12597125625,-2384.02958123179,airplane,airplane_0032
7754.398684403745,17020.3454025747,motorbike,motorbike_0380
6539.554980000105,10202.338653119235,car,car_0121
7236.951787250609,15028.629540548698,motorbike,motorbike_0171
-1614.7173288910026,-569.2977916167031,airplane,airplane_0225
