GRP_1,GRP_2,labels,filename
-9530.008750659852,1218.2928250556624,4,4_3155
-10960.382300854226,1292.4761728542226,1,1_176
-9967.16335736136,1404.841885617844,1,1_9978
-9547.648723899201,2290.144470045686,0,0_5942
-7232.226889163147,-2240.657652530167,3,3_6371
-11242.464827767626,917.6723147007608,1,1_3843
-11439.23541699504,-302.969320622472,1,1_9520
-11800.247948371652,1612.9918056680015,1,1_672
-10045.140122694198,-682.5554586107389,7,7_3494
-10363.771894923,1840.8658341848611,3,3_7435
-11361.579435200074,623.9329622965282,1,1_6430
-9196.258895320405,1784.193613019277,2,2_7785
-8283.998211221831,1451.409529033307,9,9_3879
-7468.8078137977345,1374.0799453958075,0,0_1535
-9024.013620331927,2437.7004692192586,3,3_7554
-9942.226733610412,1177.9057923224316,7,7_8110
-8278.473651227381,-1358.6072113319115,9,9_1255
-9880.057063179513,909.9482423532494,9,9_1452
-11683.078464391812,392.9472329251576,1,1_7091
-10941.399836085586,1942.4008138961692,7,7_7801
-9212.030335121424,2922.210540934125,0,0_2096
-10278.901354916688,1861.6050404409295,7,7_8391
-11287.658261326716,852.3388457715351,7,7_3753
-9964.895873400717,1581.6258621695938,4,4_7726
-9493.660134603148,-915.0399340246007,4,4_4268
-8962.329703466077,-637.7182921884353,3,3_1114
-11813.426377788359,2917.108497159959,2,2_2940
-8771.678413772117,1637.0232077198293,3,3_8946
-8394.997670315226,-1046.5325918452097,9,9_8534
-9942.866806477192,3815.062162221868,3,3_6940
-8790.948629885483,4809.639702685351,3,3_5046
-9441.91267010136,1287.9203824975953,4,4_2537
-10945.72151436196,1765.386348581309,0,0_1796
-9154.324912074084,202.90462440096303,0,0_9310
-9634.274867504471,372.40808827307814,4,4_2771
-9176.942111401378,2930.136001377912,2,2_4889
-8785.739227084141,317.1442781966007,9,9_7680
-10783.274391007608,1953.1739521758545,1,1_4651
-9323.60051788386,-186.1625782205326,3,3_5214
-7988.442281364469,251.80389611693454,4,4_803
-11292.234280739587,1790.83365679999,7,7_917
-9743.471768305148,-1029.357529670287,4,4_3490
-10426.862086323486,162.7254061025593,2,2_4248
-9743.749517833166,365.91798251392083,2,2_4339
-9007.814846389692,2934.1443505252873,3,3_8864
-7189.030488310685,-227.5864593844524,9,9_2147
-8813.883147748951,2979.1606531241296,2,2_9389
-10741.956863589598,3720.173790481253,2,2_9798
-11093.563685155083,1699.397490640905,2,2_7400
-11722.227107591709,2312.096530643487,7,7_5246
-11703.571000143918,1740.0562495744882,1,1_3314
-11499.399013904109,1222.1851455865124,1,1_754
-8207.909232217653,-1841.263049607948,9,9_4319
-11483.492257522144,1426.6983027738418,1,1_1136
-9211.548459924092,-644.9048861299387,4,4_3437
-10954.225912797185,1109.392925814443,4,4_8442
-9167.868409812876,-1381.36846608233,9,9_6887
-10044.97834628203,-492.073714443274,9,9_4235
-9798.85041487392,1606.6732730339359,4,4_9672
-8062.7306023044885,2811.64507661695,2,2_1050
-9469.346950448587,-505.32797936987663,4,4_8626
-10852.228620122456,2029.497238780216,1,1_203
-10691.188973337268,49.67727090033611,2,2_2269
-10896.033240625316,2645.647569667575,9,9_2740
-8331.864482648629,-786.4264309058757,9,9_3856
-8400.690643802976,-1471.7308866552414,9,9_5705
-8845.197128599057,-867.7204402978106,9,9_678
-10305.048974735066,2931.0914402294625,7,7_9515
-9462.650606035662,-2000.223750491593,3,3_1062
-8691.969710982254,353.90065972521086,4,4_4519
-10029.004974401489,895.3560502561189,4,4_1060
-8257.944124031661,1141.2598691649507,3,3_6862
-11445.0265704948,1581.8601032212553,1,1_6799
-9346.034282635068,284.16259009558644,4,4_5696
-9875.373197472454,3167.4332480579005,9,9_673
-9052.844607758208,1191.4909289712284,2,2_8830
-7820.579092644282,1892.7775250230081,3,3_6811
-9137.650535439368,2642.698310618049,2,2_4055
-9470.203047880066,1898.0363218428533,9,9_8762
-9855.585923295068,219.0768401442807,4,4_1849
-9599.337061841588,576.2023156992781,1,1_9049
-8303.091401569858,1445.7389280375244,2,2_3105
-9184.097374822708,1818.530591238609,3,3_216
-8969.172989798131,495.7341218716151,2,2_9046
-9582.044428309418,-1058.8985323083036,3,3_6690
-10446.14679833475,89.89891077602806,1,1_4595
