GRP_1,GRP_2,labels,filename
-10446.14679833475,89.89891077602806,1,1_4595
-6824.06249380292,3591.398758789385,0,0_9939
-8164.812319060588,3445.565942875505,2,2_3267
-8400.690643802976,-1471.7308866552414,9,9_5705
-10233.333695464744,-336.2919217475024,2,2_728
-7351.916626375583,4388.533461233625,9,9_6168
-8590.558732457604,2713.0538968759765,2,2_5629
-10254.305796740317,86.40985008667644,9,9_6967
-6126.43755053856,5110.795543521345,0,0_8023
-10246.783965827808,2379.024578869917,7,7_5240
-12285.348151419317,2561.0992067576417,7,7_3400
-8760.333846303205,2535.102808021253,3,3_883
-10487.629500659505,1774.4274456703056,1,1_342
-10175.422744606165,792.5891970572569,4,4_1077
-10853.315049414665,1112.8084555701537,1,1_393
-10868.429241933709,3953.5577910175425,7,7_4061
-10800.7964708055,360.8377218589012,1,1_8138
-9320.840672457518,-139.55854598104088,3,3_1727
-8564.079368868082,154.5405206508569,9,9_3711
-10469.390569424762,876.6751222272846,1,1_1729
-11466.909937812019,4513.9855813706,7,7_3360
-8207.909232217653,-1841.263049607948,9,9_4319
-11138.445236442269,2434.39241610658,7,7_8688
-12713.016409001635,1141.2044717213926,2,2_4546
-10301.32868569232,-127.58200963929642,9,9_3483
-8104.66963176734,955.5207407730887,0,0_7225
-8496.31603002211,1070.7980026072369,3,3_9305
-11241.415047379549,908.4600000131419,3,3_1681
-10428.835335761556,1113.518068076624,9,9_3404
-9236.282463809106,732.6398270928537,9,9_5587
-9469.346950448587,-505.32797936987663,4,4_8626
-11596.405585496992,1103.5383887680123,1,1_3148
-11612.386115231491,542.8332663291221,7,7_1361
-9220.72191618129,1935.246411079348,4,4_555
-10426.862086323486,162.7254061025593,2,2_4248
-9476.6402921845,3043.3444612336907,4,4_829
-10259.377480513731,2368.3910993650893,7,7_7356
-8114.90263228442,3674.759894506684,0,0_1808
-9993.567271804588,-761.7814459263466,9,9_4616
-10356.177210698565,1222.8494022220602,1,1_3925
-9630.367760753006,1497.5602294383425,7,7_9463
-8434.445962752641,979.620710377051,0,0_4091
-9961.514761418046,778.6469521873485,1,1_3230
-9800.430861357994,1799.1424627663953,7,7_8008
-9477.463545404447,1291.1038513302597,4,4_1649
-9875.373197472454,3167.4332480579005,9,9_673
-9175.4041875616,1171.47577154582,0,0_4477
-12104.642686901267,534.1729835978847,1,1_204
-8969.172989798131,495.7341218716151,2,2_9046
-10238.64992492523,-599.9179193028276,3,3_6665
-9709.862395034072,-715.8049986441588,7,7_4148
-10319.702325480535,4059.651847727516,2,2_5895
-11029.53171954422,1969.3428853142761,0,0_2294
-10075.886493016476,-1270.6196738603967,2,2_4427
-11883.708948992022,459.4746008035713,7,7_6380
-10951.665939152479,1641.4810519443845,7,7_4566
-11242.464827767626,917.6723147007608,1,1_3843
-10622.562324864786,3908.0113674349122,7,7_9147
-9855.585923295068,219.0768401442807,4,4_1849
-8071.5640875107165,-1095.534100723155,3,3_51
-8717.226026048516,623.3077632764928,9,9_6401
-11807.189208687827,3751.599521451462,7,7_4800
-7114.468648037868,3574.026633681265,0,0_2557
-9906.708714517425,1573.7894811753674,3,3_8435
-8309.305437966197,-1125.0861279589176,9,9_292
-10691.188973337268,49.67727090033611,2,2_2269
-10088.161403125168,1252.3740131857278,1,1_1674
-8839.137259610874,2514.067802291501,4,4_2847
-10078.194565359652,554.9162579044863,2,2_4167
-9615.227843765135,-660.4218012966649,9,9_1013
-10644.24891079723,818.6464277036473,2,2_9603
-9775.223148285188,-125.42344981310407,7,7_946
-9607.670575481085,2111.33397786797,3,3_3221
-9990.30776684493,1211.6789887298162,0,0_4857
-11499.399013904109,1222.1851455865124,1,1_754
-11957.678403247564,382.7544318636419,1,1_6726
-9446.79662282351,4410.154057636477,3,3_3049
-9708.598432562465,1961.2617470520481,2,2_2260
-9748.29647099389,1503.5666731112906,3,3_9182
-10612.835469655407,2010.580482129145,2,2_4684
-10313.12720907052,1173.4483472074091,1,1_5889
-11005.803249918145,1199.7675637653426,4,4_1145
-9071.910316239837,2629.65990824262,3,3_8867
-8996.098202994772,-285.85521179068365,4,4_8775
-11420.62645219291,490.2215440109119,1,1_8729
-8206.62751123718,1566.4686793193093,0,0_8127
-9351.075850754309,1224.7604038858406,3,3_3085
-8911.478023873024,217.70444984903645,4,4_3841
-10554.104578629527,-675.3617234450974,2,2_974
-7808.075565235235,-1243.6724293483312,9,9_2448
-8751.131694807167,544.1911565331311,4,4_2005
-10161.38832825662,4394.007747283432,0,0_3358
-8353.268194505657,649.5600529436249,9,9_281
-10920.013141520096,2085.1857051763377,2,2_2437
-9467.2089514401,-609.097481335524,4,4_484
-9475.286996991164,-535.9447857102705,4,4_4414
-8283.998211221831,1451.4095290333069,9,9_3879
-10218.197079776892,405.59483574492447,0,0_2996
-9609.737208393388,3883.211546497384,2,2_6797
-10192.31394984895,3211.8471924522887,7,7_1186
-11528.596731944981,1348.091038519305,2,2_3035
-10832.866397692324,-53.57395795833395,9,9_893
-5806.912910496692,1569.7761835305866,3,3_87
-10464.54194051404,1267.5188273740018,4,4_9625
-8466.546441840706,-2058.45680452891,9,9_2049
-9211.548459924092,-644.9048861299387,4,4_3437
-8005.168577679016,1808.3540784929446,3,3_1354
-11445.0265704948,1581.8601032212553,1,1_6799
-9063.78960335758,600.9452792126417,9,9_8839
-7742.005294291309,3025.355008132809,2,2_1053
-9668.061080815016,1990.0313356244958,7,7_9576
-9743.749517833166,365.91798251392083,2,2_4339
-9323.60051788386,-186.1625782205326,3,3_5214
-9886.12335212308,1265.912709120924,9,9_8680
-6019.41655043103,2527.243855601463,4,4_6737
-8936.512302968496,959.6953476943968,4,4_2436
-8577.522615997133,355.4928336977359,7,7_617
-7723.912699655808,2921.322209916439,3,3_1828
-8051.739690879294,425.4593230638409,3,3_5542
-7677.0402748086535,1188.9129131411141,0,0_4959
-10607.275889646093,3473.0988342949768,7,7_8202
-9367.527709689466,2452.559480679988,7,7_658
-8044.451806756679,2907.845674546369,3,3_3326
-10736.909702182234,1605.6577777247385,9,9_4967
-8988.8210211987,1422.6578451865948,4,4_4438
-10941.621340721143,2262.3164719558144,9,9_3005
-10715.014461532526,772.4076021193837,1,1_7014
-10356.491425195474,551.9041567941017,2,2_2110
-8329.520095222604,2332.9620328807537,4,4_7301
-11049.516328887012,850.6692997851947,2,2_3212
-10044.490502683308,1392.0127464129694,4,4_1509
-10694.849061276773,608.1792419336617,1,1_354
-10554.80643886737,-448.4252720035897,7,7_9413
-9338.448774730097,-475.7705227162603,4,4_3137
-11810.648091885296,2595.778838782319,2,2_477
-7648.290912108463,2247.3646183671954,2,2_9346
-8428.418571194767,1002.9771344041542,3,3_4244
-10494.538750195972,363.7063667102623,4,4_708
-11031.65570689907,1783.9442193270374,7,7_9314
-10216.253016027384,1566.242475766513,1,1_2013
-9052.844607758208,1191.4909289712284,2,2_8830
-8743.170524461764,2188.0123523024813,3,3_8206
-10695.857020177282,1928.2385559593079,1,1_239
-9378.92649895366,-1054.0562351750661,4,4_4893
-11571.81048084519,2567.1017471735104,7,7_5190
-11381.349531179629,2727.107701391626,7,7_7111
-9140.508734795632,308.13304224076177,4,4_9152
-9472.915091868656,526.6327958639266,1,1_5933
-9988.973799754649,1143.8336415550066,4,4_9102
-9879.84081173167,1205.3624209377133,1,1_196
-9567.990759084229,-438.839614734983,9,9_9079
-11234.471656325957,2939.0712056221673,0,0_5244
-11189.760340780127,263.70397854913085,7,7_1770
-11908.749071540598,869.6047509228218,1,1_1448
-12415.976689413377,3010.9712028355816,7,7_1935
-11906.5846971216,450.85779188389154,1,1_6239
-12304.783388845759,2324.8744622656877,7,7_9851
-7283.799254391267,3187.438675085841,0,0_8021
-7606.202846598373,4844.857106494063,9,9_2129
-8830.41922058308,575.2469254222437,1,1_4538
-9809.23944351327,4719.282363732191,0,0_6588
-9071.168801476297,3084.372301741893,0,0_9552
-9573.607639179772,781.7878140317923,9,9_3060
-9140.759435228647,355.79509089804696,9,9_12
-9030.017413038058,2250.942397420425,4,4_7589
-7593.767950262694,6.9795964716668095,4,4_7741
-9663.273307280113,781.5065393999323,3,3_8597
-9865.966017228387,3564.383550775052,0,0_4062
-7971.395201176447,-947.4583742024008,4,4_1461
-7988.442281364469,251.80389611693454,4,4_803
-10211.255026117777,1935.776799135161,0,0_3458
-8849.742353942436,-1625.6750627570405,9,9_4122
-9715.60084726582,102.0160084217639,9,9_598
-8836.030392187626,1203.9076009584549,2,2_7922
-8009.560404960246,-102.45683469331459,4,4_3172
-9252.880918560448,334.14266611192363,4,4_8675
-9780.313019528625,-1021.0157921339653,4,4_5969
-12110.613673879086,459.440210319524,1,1_7567
-10726.775795355812,1402.939146263254,1,1_809
-7954.905043856542,396.0550985543212,0,0_5505
