ISM_1,ISM_2,labels,filename
-4431.100627585784,-9937.226269442268,4,4_3155
-8872.441774933459,2232.7190761691527,1,1_9978
890.1909978842857,9269.196791509292,3,3_6371
-4563.420312674171,5622.606451582465,2,2_7785
7485.897082461845,-11024.002384780413,9,9_3879
354.52957732625185,10399.01372224774,3,3_7554
2101.7213686572,-7145.053914399784,9,9_1255
-1650.8758714553367,-6275.143815985904,7,7_7801
487.4499626998983,-6047.912048223244,7,7_8391
1349.484306994296,-10758.433743475618,4,4_7726
2789.0582143133447,9392.754916333872,3,3_1114
-4312.505933928247,12333.93755606971,2,2_2940
-307.44806274516134,14140.829738640832,3,3_5046
17283.668864846262,3349.595580170119,0,0_1796
22592.64386528672,1487.6237582660995,0,0_9310
-6541.913966020288,439.35494730260734,1,1_4651
-85.35828318093745,6559.088612369516,3,3_5214
5063.896597401462,-8426.117683025377,4,4_803
-3187.578394459605,-3714.6239659068438,7,7_917
-3481.059499888994,7453.2421533033585,2,2_4339
3450.0024950071197,10269.428696276716,3,3_8864
-295.92946190282953,5715.506778677925,2,2_9389
-5962.234295562147,3800.945414623134,7,7_5246
-8025.429470770196,1607.368328575943,1,1_3314
-7473.21024488067,1489.8913763555115,1,1_754
2163.8614027371445,-7664.554857653969,9,9_4319
-9351.513666379564,667.2074070424397,1,1_1136
-4104.189817518152,-9820.758756075638,4,4_8442
-1372.552040691919,-9588.237453760818,4,4_8626
-2787.984198279405,-3191.509090071661,7,7_9515
-3085.4335037694623,-5515.810297708094,3,3_1062
-347.4486578021908,-9624.185282700373,4,4_4519
1633.1968181535074,8056.432270020539,3,3_6862
-8889.796087387098,1481.0031905391031,1,1_6799
-4730.35166275079,-5201.647019838936,9,9_673
3083.6065743457216,1816.0345577557816,2,2_8830
-5769.219376300046,-5169.115793363921,9,9_8762
-9052.445475991848,2254.0383540151693,1,1_9049
-2089.544546491302,7983.7705663729,2,2_3105
-8158.277409746385,6361.1189576213965,2,2_9046
-1911.584825641881,-10252.750066366325,4,4_6362
701.6906181218327,-5972.8342166830125,9,9_954
-1000.1207567164804,-6726.689977387329,9,9_2448
-3316.0178635707316,12056.720555142883,2,2_280
11645.527861672745,4398.349676647044,0,0_4062
-4343.6744737070285,8923.693793242239,2,2_4427
-911.3508286378357,-9581.636149807371,4,4_1437
-5696.5080487359655,293.852227559565,7,7_6679
-4972.4763858465,-9600.258096204188,4,4_8775
-7033.5527181802845,3890.3952038786188,1,1_3925
14207.437530411962,-6503.473191530282,0,0_7898
-8572.405603098705,2348.633632555873,1,1_1729
10700.242158933192,4198.816575013942,0,0_6894
-8103.891623785453,202.51203790116767,1,1_1430
5974.913380033513,-12453.748371204772,4,4_6025
-717.0366263965564,-10160.499271101606,9,9_3927
20209.55385826248,-5972.769303073992,0,0_5452
-7503.769689333492,112.1086269567162,1,1_7023
-6618.942803695321,763.364134525904,4,4_829
-5177.174134191087,1123.086764911402,2,2_3599
104.27366149257624,10975.705881376673,3,3_4894
2596.1187280662507,10651.993867667055,3,3_7983
-222.65686133110714,-6201.2477340777905,7,7_9147
240.32435955193463,9736.134439583073,3,3_9177
193.47923580251282,6208.222609127882,3,3_7690
16282.891632946365,4600.279041250907,0,0_7225
-932.0461231066928,8788.485495948873,2,2_892
-846.3717808837462,-8361.027800819056,9,9_8663
-3957.985204411901,-4504.192386283117,7,7_4148
2302.1471066772438,10954.226138217984,3,3_9390
6982.251853952213,-14880.310810759993,4,4_1145
-390.2369699829284,-10474.208917597018,4,4_6552
14023.84295139114,-7613.045770750702,0,0_9939
-3113.0271458239836,-10380.373433037763,4,4_1111
-7575.822848393458,-2450.641833111955,9,9_3005
13141.106526418424,907.3014308929198,0,0_4642
-7437.337608863423,2117.7870356420585,1,1_5746
-4648.1405550929885,-6368.681117761888,4,4_7076
1245.569970483285,3221.093027562871,2,2_7245
-6544.14886367935,-91.54757122029379,2,2_119
1651.291856202757,-9256.880430290184,4,4_2680
-8367.9000530301,1055.2652467205494,1,1_1054
-3445.216839319274,5301.765813887878,3,3_883
-8045.555418529406,5239.6201513249325,1,1_8164
-1424.442523579428,-5606.36355440955,7,7_6380
22742.667484762147,2313.4802675971537,0,0_5415
11068.643821956975,3142.418533286273,0,0_2190
-4066.527145963507,8023.640567295715,2,2_5748
-4659.332262972072,-2867.935526595384,7,7_4061
-224.15620312858886,9054.56786402468,2,2_3134
-406.75366086442233,-4902.578381478626,7,7_4767
-3652.6460291142375,-3711.7843948590053,7,7_1173
-2538.827708347233,8121.056469050865,2,2_3081
-3512.2642910975123,-3185.086460391438,7,7_2482
-655.9405933647686,6203.246931732516,3,3_3896
-6035.651511588503,368.45873196360253,1,1_682
193.91361341114498,-10788.906883032489,4,4_4414
4145.916649050515,11977.758727889726,9,9_2129
504.44392142667033,11273.10129126126,3,3_3049
2720.439396939812,8580.303831776808,3,3_7312
12850.133487812285,-9990.65065013886,0,0_1808
-435.7765378187248,-12191.914345022695,4,4_1509
465.557849423822,15357.683157517358,3,3_8050
4859.853577809271,-6462.216493547679,7,7_1718
14263.395494839144,3698.6451853802228,0,0_2042
1857.3941217965937,10356.264288900496,3,3_8346
7087.60191294938,-3830.7618807213425,7,7_3011
17458.70614139216,4424.9039585496475,0,0_3458
-5080.961556259618,-4813.537097337658,2,2_659
11446.76412770474,-838.4239597042081,0,0_7536
-1400.7334807327506,-2286.8305077059954,7,7_9771
-4126.468052502519,246.55047291512372,7,7_4225
1211.221928429135,8830.639937192649,2,2_9266
-8435.903878762692,2680.5646073184225,1,1_7567
-7319.231889717517,953.5870153974984,1,1_506
-3625.9740093007613,-8717.099543795297,4,4_1077
-2564.1739947699825,-2989.133185754459,7,7_5425
-4856.590807862837,-3035.0964840098213,2,2_3035
817.7743042117514,-7687.6950368138305,9,9_9467
-3591.751653842793,-4492.7651278869225,7,7_946
1452.2762238423404,10619.771540245853,2,2_731
6513.310613784487,7068.418878513994,2,2_8615
-5976.652620411014,9915.176226815754,2,2_5502
1878.9282114636533,-9348.322015104506,4,4_4976
-5990.75226274842,10876.457404922792,2,2_5157
-5225.5821466218395,8141.866088489214,2,2_4103
-7879.2794736505175,259.4408606521152,7,7_1260
14541.112077079153,601.7477097729395,0,0_2236
-900.0403669841687,-6279.41542397274,9,9_6401
-5871.509992588368,370.7175348499407,7,7_1949
-1839.6623271545361,-4445.362196280023,9,9_8181
-854.5467826496395,-10142.18824840958,4,4_708
-572.1946580423295,14303.204768911291,3,3_5038
927.898492749521,7793.735508702977,3,3_2953
12828.981644891059,5823.735109590697,0,0_4186
19954.63850616084,1693.0804485051597,0,0_5405
3972.7705152273993,4206.69249105925,3,3_531
-2899.019897688889,-10603.522425738212,4,4_3137
-8461.88528148648,1086.445934720805,1,1_6192
-7831.532759050014,2711.948250291377,1,1_1305
-2435.01514267647,-2639.8417489124067,7,7_9781
3864.838532923962,-12393.628182558046,4,4_3232
19558.533995596154,3890.9112769551507,0,0_188
-8351.116301826725,544.6801587573358,1,1_9549
