TSNE_1,TSNE_2,labels,filename
-78.95979,-17.541439999999998,4,4_3155
11.874663,36.397186,1,1_9978
14.736766,81.015816,3,3_6371
24.794838,-18.216045,2,2_7785
-39.106285,-71.700005,9,9_3879
-16.292622,85.22707,3,3_7554
-30.562632,-37.008583,9,9_1255
-27.726028000000003,10.214815,7,7_7801
-38.041615,17.409208,7,7_8391
-67.91674,-54.25739,4,4_7726
11.421561,78.66019,3,3_1114
18.838482,3.2062016,2,2_2940
-23.000832,90.71634,3,3_5046
19.804691,-91.43654,0,0_1796
10.725048,-85.74283,0,0_9310
82.941795,8.866468,1,1_4651
1.3924953000000002,69.90550999999999,3,3_5214
-49.353237,-56.51998,4,4_803
-10.524623,-8.233664,7,7_917
40.612602,13.268786,2,2_4339
-5.2897870000000005,94.66525,3,3_8864
24.025097,-30.460403000000003,2,2_9389
-13.3612,43.875114,7,7_5246
76.79193000000002,31.713552000000004,1,1_3314
75.03322,29.802294,1,1_754
-26.669994,-41.713245,9,9_4319
79.62763000000002,41.34519,1,1_1136
-86.457825,-25.970997,4,4_8442
-65.499146,-34.794094,4,4_8626
-3.5016115,7.4844255,7,7_9515
-7.7675133,1.4247767,3,3_1062
-59.555347,-27.60128,4,4_4519
27.059114,71.50045,3,3_6862
86.49999,22.32934,1,1_6799
-66.351395,39.68188,9,9_673
16.084889999999998,-32.40825,2,2_8830
-57.67787,23.43222,9,9_8762
12.165594,35.83703,1,1_9049
53.41339,-22.581152,2,2_3105
19.276922,20.803385,2,2_9046
-70.3235,-26.923098,4,4_6362
-23.301334,-36.42077000000001,9,9_954
-44.015553,-10.69595,9,9_2448
25.569344,10.878294,2,2_280
54.293457,-53.881557,0,0_4062
33.889763,23.139587,2,2_4427
-12.216111,-38.777237,4,4_1437
-48.09241,48.59714,7,7_6679
-86.09258,-17.277168,4,4_8775
8.299491,37.086548,1,1_3925
-1.4556465,-77.68231999999998,0,0_7898
83.61455,43.97850800000001,1,1_1729
59.92489000000001,-56.76489300000001,0,0_6894
88.18635,-6.460719,1,1_1430
-54.49770400000001,-67.143135,4,4_6025
-63.693268,-5.1080537,9,9_3927
-1.0247027,-88.94545,0,0_5452
63.45203000000001,48.64781,1,1_7023
-97.694786,18.924625,4,4_829
50.99154,-7.012074,2,2_3599
-2.5350032,76.93004,3,3_4894
6.108821400000001,96.326996,3,3_7983
-14.051551000000002,-19.82063,7,7_9147
21.161114,72.49684,3,3_9177
13.61902,59.131897,3,3_7690
32.109814,-73.40340400000002,0,0_7225
43.567577,-22.868841,2,2_892
-42.17358,-28.028915,9,9_8663
-6.3531923,-12.197869,7,7_4148
13.475484,84.55541,3,3_9390
-61.8205,-68.80136999999999,4,4_1145
-100.91622,-1.1925268999999998,4,4_6552
-0.9631999,-62.683865,0,0_9939
-83.47689,-13.519229,4,4_1111
-35.52187,1.4914136999999998,9,9_3005
49.36635,-65.07205,0,0_4642
48.388058,38.687416,1,1_5746
-85.21934499999998,10.234238,4,4_7076
13.018807,-37.870052,2,2_7245
-18.78745,43.78657000000001,2,2_119
-61.457897,-47.641632,4,4_2680
65.73131,12.3451395,1,1_1054
24.062399,66.85589,3,3_883
6.081437599999999,38.56993,1,1_8164
-18.007978,-16.517183,7,7_6380
11.317294,-86.21945,0,0_5415
33.902496,-49.20271,0,0_2190
23.963184,-23.468843,2,2_5748
-35.37801,33.38442,7,7_4061
46.170692,-24.187284,2,2_3134
-24.68598,3.6987658,7,7_4767
-46.41963,13.165765,7,7_1173
24.133495,-21.953732,2,2_3081
-4.3895645,6.746434,7,7_2482
-1.4732664,61.256973,3,3_3896
82.1569,6.0921745000000005,1,1_682
-64.48093,-48.923557,4,4_4414
20.12177,-40.134823,9,9_2129
-10.871462,73.352455,3,3_3049
11.361529,78.715614,3,3_7312
-10.48565,-70.09876,0,0_1808
-84.60925,-46.670258,4,4_1509
-19.16451,94.80433,3,3_8050
-31.510532,-52.1275,7,7_1718
43.30288,-61.173405,0,0_2042
-0.4810843,77.6786,3,3_8346
-4.08828,-29.13264,7,7_3011
29.615316,-75.57044,0,0_3458
0.8996439,7.0857334000000005,2,2_659
19.32029,-52.393223,0,0_7536
-44.226738,38.034473,7,7_9771
1.8781661,15.499965,7,7_4225
49.119877,-27.581985,2,2_9266
24.75172,38.46114,1,1_7567
54.84591999999999,37.506004,1,1_506
-51.14496,-26.958334000000004,4,4_1077
-24.696796,13.028856,7,7_5425
37.317337,-27.155449,2,2_3035
-46.54857,-1.9939861,9,9_9467
-9.145546,2.717767,7,7_946
51.524868,-29.679438,2,2_731
37.236988,-34.391890000000004,2,2_8615
22.782894,-4.0099225,2,2_5502
-66.33406,-37.100346,4,4_4976
33.134693,10.010574,2,2_5157
42.486015,-16.384346,2,2_4103
74.779434,2.012979,7,7_1260
33.957592,-77.7522,0,0_2236
-41.337864,-19.732609,9,9_6401
-35.109646000000005,43.971107,7,7_1949
-62.07546600000001,15.669015,9,9_8181
-74.64473000000002,-34.615784000000005,4,4_708
-22.933819,90.79956,3,3_5038
21.87333,58.873184,3,3_2953
26.231764,-55.94603000000001,0,0_4186
16.257998,-72.82844,0,0_5405
26.93964,64.32935,3,3_531
-77.21515,-36.135036,4,4_3137
62.15676,29.889822,1,1_6192
49.35642,43.538944,1,1_1305
-45.572598,46.61210300000001,7,7_9781
-56.88357,-57.865902,4,4_3232
16.388573,-72.87025,0,0_188
71.58697,36.89155,1,1_9549
15.964593,-82.64401,0,0_8117
-65.18813,-59.10113000000001,4,4_2498
-39.301064,-61.08939,9,9_3404
-31.717896000000003,13.934895499999998,7,7_9929
16.302464999999998,-65.74476999999999,2,2_9768
-82.53106,-11.539974,4,4_7589
41.42295,-75.55187,0,0_3536
38.842896,30.307549,1,1_3852
-59.20044300000001,22.702513,9,9_6496
-44.0269,56.78770400000001,7,7_1520
-15.341427,-44.653885,9,9_2259
-16.120344,-12.9128275,7,7_8786
25.41477,76.38051,3,3_1798
86.99547,41.878563,1,1_6135
-19.94268,68.32979,3,3_9182
-10.803804,77.47801,3,3_6563
3.2706919,-97.40499,0,0_4403
-19.736965,42.751335,7,7_7356
1.8958689,-81.84701,0,0_8056
-9.507776,-10.659519,7,7_3589
67.116615,8.706213,1,1_9313
12.847339,-63.50201800000001,0,0_9714
-42.01184,8.225103,9,9_7594
-20.618546,-44.93181,9,9_6022
-83.12240600000001,-12.91035,4,4_8879
-53.27659,-33.59127,4,4_1735
63.917576,18.57942,1,1_7325
-54.489697,-34.274677000000004,4,4_4893
-36.49101,-20.39491,9,9_9170
55.062286,-11.852993,2,2_6027
-51.45183,-0.17361745,9,9_8457
34.906586,-58.589672,0,0_8614
30.076561,-55.546364,0,0_9631
-66.38279,24.23414,9,9_7061
33.67753,-72.21141,0,0_6280
-74.0839,-45.52926,4,4_9353
91.692055,-12.405657,1,1_2421
-32.853832000000004,11.698188,7,7_6944
-56.1129,24.987284,9,9_7377
-55.65844,12.012094,9,9_8955
-95.513954,-14.834523,4,4_7741
47.171303,-23.088915,2,2_1936
4.0403686,-3.1455278,2,2_1224
19.36923,79.04946,3,3_3085
-70.43672,-45.850117,9,9_151
83.52495,5.810560700000001,1,1_9336
40.310894,15.351307,2,2_2390
-25.75263,-0.7197180000000001,3,3_5734
62.23743,35.17418,1,1_3019
-54.353947,-66.04888000000001,4,4_2882
