ISM_1,ISM_2,labels,filename
2266.064118983127,-241.20190566806443,obj76_,obj76__20
2195.2911128737005,20119.784359385627,obj67_,obj67__250
2254.843132287904,-217.9292963933382,obj76_,obj76__145
-32736.766228084896,4387.513202041407,obj75_,obj75__300
2331.9957963511965,-281.2069829576882,obj74_,obj74__300
2392.3432386636277,-3718.3588864966478,obj67_,obj67__25
2330.6084723089825,-278.4974997606116,obj74_,obj74__260
-29679.826876559237,5596.043425550761,obj75_,obj75__260
2343.204809751647,-299.48780855677035,obj74_,obj74__45
2478.9242590615163,-424.23221395450014,obj72_,obj72__205
65376.41452114293,-887.9893963737303,obj100_,obj100__160
2434.933871853809,-371.8361803991935,obj73_,obj73__205
-47439.978428347444,-4572.45611388314,obj75_,obj75__40
2332.448282205227,-17576.341029826148,obj67_,obj67__330
-16891.705820179635,9516.406752285206,obj100_,obj100__55
-13680.232668440596,10223.74050505118,obj100_,obj100__40
2316.127755103834,-18967.24624513559,obj67_,obj67__325
-51394.54407049101,-7151.0371808164255,obj75_,obj75__55
2482.2914225905083,-429.20479061778815,obj72_,obj72__210
61173.64575249332,820.6406896360389,obj100_,obj100__175
2435.444940549643,-372.5679445497625,obj73_,obj73__210
2440.7919336246623,-380.5464004937692,obj73_,obj73__10
2344.0788678035283,-300.6066507439047,obj74_,obj74__50
2331.113953532878,-279.10564930800547,obj74_,obj74__275
2497.3332330629155,-450.5855922563681,obj72_,obj72__15
-28975.605391410063,5869.514435707255,obj75_,obj75__275
2334.9279938362884,-288.94290873573016,obj74_,obj74__5
-35052.152334142,3213.8582133835143,obj75_,obj75__315
2257.1462290302343,-232.1971954698465,obj76_,obj76__0
2390.157043536512,-2335.4156197595607,obj67_,obj67__30
2331.188645250689,-281.4705784942026,obj74_,obj74__315
2251.2377370958857,-214.88652987705714,obj76_,obj76__150
2244.663904642167,16483.435499906933,obj67_,obj67__245
2276.855256299616,-251.11289370397645,obj76_,obj76__35
2026.2994807389211,-32306.140066349653,obj67_,obj67__290
-52423.66572178589,-7810.970871472653,obj75_,obj75__115
2345.72090882034,-302.33727012210784,obj74_,obj74__115
2250.852450064729,-217.60651179186092,obj76_,obj76__185
2433.904122811224,-370.1014282704676,obj73_,obj73__170
50097.30033704975,4813.304108174137,obj100_,obj100__215
2507.1775664867064,-464.98646112904055,obj72_,obj72__170
2255.773496513209,-230.12318197298973,obj76_,obj76__350
2347.1515049398004,-304.3417589138169,obj74_,obj74__85
2221.3587994596187,-24846.81214511585,obj67_,obj67__125
2306.4359890279447,-274.3819892280181,obj76_,obj76__230
-57640.29415709245,-11054.925541361616,obj75_,obj75__80
