ISM_1,ISM_2,labels,filename
7771.263096020199,2672.076505892356,left down,left down_74_74
2990.723900568184,10231.13238129749,mid left up,mid left up_317_317
-6555.687668110346,-4019.053965391855,mid right down,mid right down_374_374
-732.7940031721038,-3411.730739603999,mid left down,mid left down_276_276
-15217.840340084267,-6515.598731937813,right down,right down_568_568
13548.001180053792,-1077.7935339748587,left up,left up_121_121
140.12732701843316,5144.7266378441245,mid left up,mid left up_306_306
7696.08186217215,-6647.584793614798,mid left down,mid left down_267_267
-11495.939165676444,-3942.884173987051,right down,right down_579_579
8937.008890172607,2112.7947161773805,left up,left up_130_130
10974.674157848578,-758.2185391868222,left down,left down_90_90
1727.2780610135885,-5490.840726200388,mid left down,mid left down_254_254
-7460.692964443985,-72.15573658467771,right down,right down_595_595
4072.107867362517,6420.4976185464975,mid left up,mid left up_335_335
-5278.049551923985,-8085.896172994225,mid right down,mid right down_389_389
4793.532220519926,655.1464331403091,mid left down,mid left down_245_245
10631.998113019215,-3288.762524709042,left down,left down_30_30
-13752.642558614009,-2381.169289303898,right down,right down_584_584
2031.2769995339886,4914.082689077221,mid left up,mid left up_324_324
4308.318354395605,827.4701867288356,mid left up,mid left up_296_296
8093.265483880586,175.21643297911444,left up,left up_112_112
-4739.821053208558,-6862.4330769373655,mid right down,mid right down_398_398
7391.871202377733,699.5460126989218,left up,left up_173_173
14143.149196009974,-6531.681753406168,left down,left down_18_18
7125.302598450905,-2842.4073532097045,mid left down,mid left down_224_224
-7149.98911697888,2555.1741289341394,mid right up,mid right up_507_507
7251.294099665382,3904.902833918789,mid left up,mid left up_345_345
8323.942471410055,541.875183721363,left down,left down_80_80
11904.09724711682,1101.4677171563271,left up,left up_162_162
689.0201276805137,-6573.538781533675,mid left down,mid left down_235_235
-4576.592990523316,8825.937317838401,mid right up,mid right up_516_516
7078.337336778037,-3490.785883506356,left down,left down_20_20
436.512467761017,3222.7452014429186,mid left up,mid left up_354_354
-6196.815891823763,4185.057790276543,mid right up,mid right up_497_497
-12965.829153719651,-314.0313199825673,right down,right down_518_518
14383.052212263616,-5145.658873784989,left up,left up_151_151
292.15266036877927,86.88699499650045,mid right down,mid right down_419_419
-10370.164243335375,2125.140007496021,right up,right up_683_683
-574.8798624002433,7762.724951771299,mid left up,mid left up_367_367
-4556.731639479655,5313.803142017473,mid right up,mid right up_448_448
901.592841201718,-6497.83853487501,mid left down,mid left down_206_206
8315.828159694054,-1584.487646922688,left down,left down_64_64
-5741.629542332124,7833.609385544443,mid right up,mid right up_486_486
-6587.627561045205,-8533.084961521561,mid right down,mid right down_408_408
9116.350574644672,2495.4427161564167,left up,left up_140_140
-7206.834355413686,9419.485861153827,mid right up,mid right up_459_459
-9810.138948369493,1294.93404160632,right up,right up_692_692
2116.2569002756914,-3685.749066391116,mid left down,mid left down_217_217
-1611.3560354607596,8562.679431040453,mid right up,mid right up_444_444
7846.372050775225,6314.804367763813,left up,left up_182_182
-14083.353985581567,1313.3767407741175,right up,right up_650_650
-4719.754358386272,-7739.961128074739,mid right down,mid right down_415_415
9527.044112004987,-2939.7920061672467,left down,left down_13_13
-954.3343874262728,7843.876593788331,mid right up,mid right up_455_455
16969.38043453263,7478.309062717803,left up,left up_193_193
-14772.477954611726,-2817.58570447134,right up,right up_641_641
-7213.078293694901,-7785.104485511351,mid right down,mid right down_404_404
5075.662918530008,-2509.9642003732506,mid left down,mid left down_228_228
4900.237733321173,4831.88467907287,mid left up,mid left up_349_349
-4532.557186706546,7131.397554920796,mid right up,mid right up_466_466
-237.05652491145923,-1262.4209005929386,mid right down,mid right down_437_437
-9644.938460403293,-3594.552293538011,right down,right down_536_536
-12671.980257715342,2601.830606973305,right up,right up_672_672
2408.915515196889,-2103.5318055334706,mid left down,mid left down_239_239
-4949.786735598102,3888.004147835371,mid right up,mid right up_477_477
4456.605318254546,3764.3335016694678,mid left up,mid left up_358_358
-2595.6173018150007,-3141.8321994138287,mid right down,mid right down_426_426
-14041.534174844302,5031.534864998418,right up,right up_663_663
9385.136547070326,-4229.553097685413,left down,left down_57_57
-11782.320903545371,-2683.2281524446303,right down,right down_527_527
4367.5766123643325,-73.68423154125962,mid left down,mid left down_287_287
-455.7269047091602,-531.6351697453458,mid right down,mid right down_385_385
-14024.953341929688,-1983.9265723588696,right down,right down_546_546
2295.0330511196357,-5415.773935720395,mid left down,mid left down_258_258
-15260.498018818702,-4329.550756252766,right down,right down_599_599
2876.0251378076564,4413.493477523884,mid left up,mid left up_339_339
8181.186072968278,227.50146858500838,left down,left down_47_47
-13558.96569274816,-2112.871033624045,right down,right down_557_557
-159.57116156876862,-6803.37736447568,mid right down,mid right down_394_394
-16552.021755292677,3040.4179245077344,right up,right up_613_613
6994.982440611626,-3108.516142806051,mid left down,mid left down_249_249
-13882.76581610363,-3719.5480275117616,right down,right down_603_603
-12531.349611612883,596.8875515161833,right down,right down_588_588
1123.1921608603502,6319.038392479906,mid left up,mid left up_328_328
-13809.38931448436,-4175.158195710117,right down,right down_564_564
-9184.246434541115,3405.099225428259,right up,right up_620_620
-6239.4440099192525,1709.8152082411075,mid right down,mid right down_378_378
14039.06778530999,-5659.414821483702,left down,left down_107_107
-11577.715059790084,5300.9738373706705,right up,right up_631_631
-11593.544202622756,-8014.0337644097635,right down,right down_575_575
-6546.537577315111,-992.0295694001744,mid right down,mid right down_379_379
8180.4545989225635,-1755.100794269899,left down,left down_106_106
8279.431708108756,-1933.88328072736,left down,left down_82_82
-9912.544305404814,-8294.341276172121,right down,right down_565_565
-11079.359092245064,-190.1079826835997,right up,right up_621_621
13672.017902905503,-5734.160469928899,left down,left down_22_22
-9551.919889423569,4756.8089487783145,right up,right up_630_630
-8563.388684148207,-4282.701113427096,right down,right down_574_574
4764.446935970392,-673.9597719310244,mid left down,mid left down_259_259
2668.5387224372557,8737.59028751718,mid left up,mid left up_338_338
-10816.853804254944,-7713.725380992364,right down,right down_598_598
11592.098151950537,-6219.506425224482,left down,left down_66_66
3267.304335547383,-2390.256349385072,mid left down,mid left down_286_286
-9124.96799115853,-7835.444725522467,right down,right down_547_547
-4341.526189260195,-7002.041243858953,mid right down,mid right down_384_384
5396.270677705501,-7147.517904604275,mid left down,mid left down_248_248
-11100.564508732894,-3838.614508334073,right down,right down_602_602
4457.740153523155,3317.2201979601928,mid left up,mid left up_329_329
-11528.331286342856,-7624.3724202532285,right down,right down_589_589
-3109.4021667049824,209.768926609438,mid right down,mid right down_395_395
-10332.454150659045,-6495.407068790832,right down,right down_556_556
-15462.092726443552,-815.9783738217166,right up,right up_612_612
-2725.232239567361,-5717.151071266871,mid right down,mid right down_436_436
-14860.266874321982,-3681.550765316208,right down,right down_537_537
-15295.990993737158,-2556.1879534223003,right up,right up_673_673
3812.736218003785,-527.610221462356,mid left down,mid left down_229_229
8715.396897784429,1692.2663860654459,left down,left down_76_76
-2289.837438092224,3474.460685821652,mid right up,mid right up_467_467
627.1168731719999,10049.164131256955,mid left up,mid left up_348_348
-7670.620393436829,-7452.7108234242405,mid right down,mid right down_427_427
-15575.676652235401,7666.022078338531,right up,right up_662_662
-14759.491703315207,-4065.1482008666053,right down,right down_526_526
5084.963500166336,348.5009985561489,mid left down,mid left down_238_238
633.4867731890025,6515.643684587235,mid left up,mid left up_359_359
-5361.84369923155,9317.41825614965,mid right up,mid right up_476_476
-12915.090462453589,1779.6107695495184,right up,right up_651_651
-1003.8182853617044,-2385.556942508856,mid right down,mid right down_414_414
-6480.995974732618,9523.107218088486,mid right up,mid right up_445_445
11370.813114483752,-3131.7282422937487,left down,left down_92_92
12725.269866992527,7289.400456459751,left up,left up_183_183
-7990.8445041110035,812.1306688580574,right up,right up_640_640
-1897.272402538967,-1744.9629929389962,mid right down,mid right down_405_405
-5643.284065806362,9242.491173048496,mid right up,mid right up_454_454
9469.64335046855,-5557.227410883313,left down,left down_32_32
11797.62547590257,-1760.671818651839,left up,left up_192_192
-15519.418853872749,-1494.184193920062,right up,right up_682_682
-8625.948586596282,1924.4725017904057,mid right up,mid right up_449_449
4084.719464502724,3170.58178672861,mid left up,mid left up_366_366
5260.381604065475,68.65409235736668,mid left down,mid left down_207_207
11231.115288386209,841.0405071809523,left up,left up_204_204
-8832.08942788059,-8034.232778172574,right down,right down_519_519
-1593.2849571634174,8592.28493917025,mid right up,mid right up_496_496
14265.562291695363,-5020.928053765919,left up,left up_150_150
-2350.0312942791875,-7350.559015687106,mid right down,mid right down_418_418
-5699.468332624017,5100.140392917738,mid right up,mid right up_458_458
-15854.490104012144,7994.243878803585,right up,right up_693_693
3383.0654590531453,-6468.9815701268735,mid left down,mid left down_216_216
-1693.445646488148,5095.7322281417055,mid right up,mid right up_487_487
13552.821357943423,-5985.669161551069,left down,left down_45_45
-2172.05943574209,-3129.4617929265887,mid right down,mid right down_409_409
8341.848345649987,2740.2159828169724,left down,left down_8_8
12299.961926470349,11226.155543823372,left up,left up_141_141
-5901.9109176916345,3234.009928212078,mid right up,mid right up_506_506
6640.5339284274905,-4737.632713633656,mid left down,mid left down_225_225
12602.867803675914,-2337.886334566304,left down,left down_99_99
6659.606930541187,5044.951214221341,mid left up,mid left up_344_344
10796.56711813662,4936.050354238571,left up,left up_172_172
9205.881963163623,-2896.119696641214,left down,left down_39_39
4081.322141030001,-3613.2079792851287,mid left down,mid left down_234_234
3319.0354001322303,8750.114203862617,mid left up,mid left up_355_355
14489.602857837854,11302.725756017859,left up,left up_163_163
-5873.698467881623,2199.8872569169025,mid right down,mid right down_388_388
7219.071459586709,-2577.763385436693,left down,left down_11_11
6588.398315093733,-142.92045931807422,mid left down,mid left down_255_255
11612.984372932346,-3174.584347144924,left down,left down_2_2
12987.092474175057,-3446.687020253814,left down,left down_89_89
2877.0681464649706,10244.759554935094,mid left up,mid left up_334_334
-10937.706517715938,-7970.585410786653,right down,right down_594_594
7017.733373991833,7742.275585569588,mid left up,mid left up_297_297
8096.296084042195,10326.504550133437,left up,left up_113_113
-5379.248762030052,-6925.325419567542,mid right down,mid right down_399_399
12313.745448031555,-7294.948089119564,left down,left down_0_0
334.8138960225036,-3601.9056927283405,mid left down,mid left down_244_244
4981.243866071806,8204.945360637517,mid left up,mid left up_325_325
-10270.864947900329,-5980.793251894498,right down,right down_585_585
10604.114571112816,-5997.018221265088,left down,left down_29_29
-14298.190460618025,-4170.3210186827655,right down,right down_569_569
11191.382097846345,-799.8574451044252,left up,left up_120_120
-2897.439163079461,-281.44074111821726,mid right down,mid right down_375_375
1880.085548852039,6195.2057104211535,mid left up,mid left up_316_316
7345.201508238884,-6281.237586431839,left down,left down_6_6
7100.06341031374,-5194.718193674312,mid left down,mid left down_277_277
-13344.126978235565,-2099.449057952609,right down,right down_578_578
12573.614950269746,-6460.071789061014,left down,left down_55_55
7554.710455936864,362.57537486278227,left up,left up_131_131
7263.7984010889695,4725.697066227529,mid left up,mid left up_307_307
8588.655381136095,982.8968775230376,left down,left down_4_4
1752.4526387517096,1485.8094017810108,mid left down,mid left down_266_266
13450.251901495862,-61.06690190165143,left up,left up_111_111
6069.633896575522,3058.736397917874,mid left up,mid left up_295_295
-7048.613654652862,631.9206529800558,right down,right down_558_558
2230.360393933539,-334.2855953171825,mid left down,mid left down_246_246
5831.295638309893,5195.112514302205,mid left up,mid left up_327_327
-14907.169366040327,-3643.913271159802,right down,right down_587_587
7921.051770617177,-2910.6136334525672,mid left down,mid left down_288_288
-9298.855947722912,-6975.244387001006,right down,right down_549_549
7088.5338050689925,-4966.876487720706,mid left down,mid left down_257_257
5439.481575200415,9996.960213562834,mid left up,mid left up_336_336
