MDS_1,MDS_2,labels,filename
3091.4882558221752,-2512.060453770651,left down,left down_74_74
3819.2371022304683,-1429.0895481386194,mid left up,mid left up_317_317
-1653.8967177749755,-2086.248011629747,mid right down,mid right down_374_374
24.85538427804207,-3913.6573616074547,mid left down,mid left down_276_276
-3011.8600588065306,-1199.7256626671392,right down,right down_568_568
-3631.2358936800733,955.0103277225937,left up,left up_121_121
1766.875960832281,-3548.521298631644,mid left up,mid left up_306_306
-3550.3991643283034,1958.098834478428,mid left down,mid left down_267_267
1192.858601341597,4069.167666219209,right down,right down_579_579
-2624.1342056202343,1983.901799250846,left up,left up_130_130
2915.1096522019743,-757.0732292970165,left down,left down_90_90
389.7214087767279,-3176.442807998777,mid left down,mid left down_254_254
1029.4104615854635,5219.230133104727,right down,right down_595_595
2938.91909180127,-4142.74964409407,mid left up,mid left up_335_335
-1305.6837715638374,-1195.2421391861733,mid right down,mid right down_389_389
819.0592945118749,273.6142966024629,mid left down,mid left down_245_245
2542.0019047988185,-1840.8758855127453,left down,left down_30_30
-4188.350768577277,-588.2662667959169,right down,right down_584_584
-127.79579123875124,3792.495594341208,mid left up,mid left up_324_324
-500.4164618027627,2560.8721828134553,mid left up,mid left up_296_296
-1584.6469804617584,1337.6114803205905,left up,left up_112_112
-2390.497719856522,-3608.249070659776,mid right down,mid right down_398_398
-305.72032202877136,845.7762338626624,left up,left up_173_173
-3767.035971091174,853.2953711171523,left down,left down_18_18
-3162.4405134959948,2147.3419292587478,mid left down,mid left down_224_224
1916.586317416152,4731.0944854427535,mid right up,mid right up_507_507
-1729.8206172102066,2964.7426025830628,mid left up,mid left up_345_345
2715.0237782378995,-2195.7800254177773,left down,left down_80_80
-3060.4151423781177,1193.9249518323402,left up,left up_162_162
-2557.1619128370235,3642.016688924923,mid left down,mid left down_235_235
3141.378859265449,3093.762461162221,mid right up,mid right up_516_516
587.2093915813142,-1072.5067946174465,left down,left down_20_20
1808.8537999577045,-2061.646411191972,mid left up,mid left up_354_354
2048.6085285278828,1373.8611212168876,mid right up,mid right up_497_497
2705.681142062837,1948.8007133282085,right down,right down_518_518
-4011.733902776818,32.060559149259504,left up,left up_151_151
1445.9930574229645,350.4251765614748,mid right down,mid right down_419_419
2615.7271896449465,2880.183282569589,right up,right up_683_683
2756.696404198177,-3090.3274331990947,mid left up,mid left up_367_367
2262.0403802548612,3224.595873589993,mid right up,mid right up_448_448
-2782.1871768719548,3639.679244453108,mid left down,mid left down_206_206
1677.2629566928754,-1447.2660894237326,left down,left down_64_64
2917.193908560764,3261.156497776814,mid right up,mid right up_486_486
-1368.4297923037095,-593.1034582253536,mid right down,mid right down_408_408
2130.7446504278782,-480.0754304728614,left up,left up_140_140
3370.247221225983,2122.0556907148443,mid right up,mid right up_459_459
2674.451928477732,3380.0205029132485,right up,right up_692_692
-2241.1402979841423,3727.172478799804,mid left down,mid left down_217_217
1914.447579362126,4468.291942412111,mid right up,mid right up_444_444
3259.1683207706715,-1156.0182533763875,left up,left up_182_182
2638.7035746787906,1424.7567014028562,right up,right up_650_650
-196.76992296141688,1507.8553062955787,mid right down,mid right down_415_415
2270.061779238984,-2477.777769149305,left down,left down_13_13
2047.4012919510128,3851.957773884534,mid right up,mid right up_455_455
5784.087568787058,40.940342159758465,left up,left up_193_193
-4384.6387108244935,-302.27416233843417,right up,right up_641_641
-1849.8752981736448,-1670.6502686901022,mid right down,mid right down_404_404
970.0339668020856,-1296.7482158148498,mid left down,mid left down_228_228
2922.912061071146,-1823.864203693368,mid left up,mid left up_349_349
1261.7743241526312,-2368.460633483598,mid right up,mid right up_466_466
1027.7450430918477,-423.35871585959353,mid right down,mid right down_437_437
820.2041653780971,4802.475988814893,right down,right down_536_536
-2817.579702290788,-1962.4547839851987,right up,right up_672_672
392.95061120513697,-4701.430753339245,mid left down,mid left down_239_239
-887.4556059496367,-3581.284499331349,mid right up,mid right up_477_477
-2005.6573970914287,3340.836793489387,mid left up,mid left up_358_358
-95.01268560556109,-2307.629309719923,mid right down,mid right down_426_426
1988.6808653346798,1300.0855174576202,right up,right up_663_663
1735.8999314577459,-3081.9097691349357,left down,left down_57_57
1147.7788130999495,2756.830320357796,right down,right down_527_527
1619.0433788433993,-4485.3726735295,mid left down,mid left down_287_287
1122.8092633481488,1293.205774374678,mid right down,mid right down_385_385
-3371.222970898701,-934.26483952683,right down,right down_546_546
546.3599426371494,-3382.453894035588,mid left down,mid left down_258_258
-4034.8870563921614,-832.9178772638808,right down,right down_599_599
-917.5434483068224,3620.262835898601,mid left up,mid left up_339_339
1728.8498967069345,-1248.7619704725125,left down,left down_47_47
-3828.4490769469735,-849.3614827875203,right down,right down_557_557
-426.63665096901167,1608.2242772427094,mid right down,mid right down_394_394
-1450.8282339643604,-1897.0723698681472,right up,right up_613_613
-1927.4611360227786,1716.4588513886936,mid left down,mid left down_249_249
-4251.03669238661,-664.6303258908288,right down,right down_603_603
3287.086905366372,3285.088239630112,right down,right down_588_588
-1079.2372604969169,4544.004587041577,mid left up,mid left up_328_328
-3450.410692635854,-973.5348489536624,right down,right down_564_564
2521.038798984974,2979.4648895339355,right up,right up_620_620
-1141.3368506151985,-3420.586886316666,mid right down,mid right down_378_378
-4202.292978922045,10.43688159313766,left down,left down_107_107
2035.2818773889608,1916.6805261908344,right up,right up_631_631
190.18829195602257,3045.953622617521,right down,right down_575_575
872.035658817417,4200.889839429829,mid right down,mid right down_379_379
2227.8208189072393,-3157.9438458661066,left down,left down_106_106
2009.466217923213,-1557.3341334896259,left down,left down_82_82
-1463.2435018294534,17.57077238970424,right down,right down_565_565
1083.3796245183785,1673.6780486481464,right up,right up_621_621
-3121.957778079147,856.0427792426829,left down,left down_22_22
2175.547439157887,2016.7543803777296,right up,right up_630_630
706.4358514352971,4514.00333262349,right down,right down_574_574
1693.1263685928104,-2214.3871837281886,mid left down,mid left down_259_259
3154.9517959113823,-4043.3889337075148,mid left up,mid left up_338_338
-1211.5328056474382,372.1577807426571,right down,right down_598_598
684.2104166853769,-670.7733661576733,left down,left down_66_66
870.4387425693097,-971.002248240462,mid left down,mid left down_286_286
-28.71143116471004,3914.134394411012,right down,right down_547_547
-2211.581034723536,-3460.455476170455,mid right down,mid right down_384_384
-1755.7803230504974,1960.7681767679285,mid left down,mid left down_248_248
-609.9732863222492,1127.6221151458112,right down,right down_602_602
2369.719312310293,-3811.155797733835,mid left up,mid left up_329_329
-194.83762354329122,2113.439194379712,right down,right down_589_589
373.7776811024062,4678.001716622817,mid right down,mid right down_395_395
-3823.0465731636505,-1800.4478635683975,right down,right down_556_556
-3344.9239539902087,-1092.1160683838223,right up,right up_612_612
-1609.0341615078976,4613.891400510849,mid right down,mid right down_436_436
-4358.175492854308,-438.2209688652133,right down,right down_537_537
-3733.516522595781,-680.8194915651502,right up,right up_673_673
-2159.4149950928745,3271.4669207919464,mid left down,mid left down_229_229
2965.730392127421,-3177.949820846887,left down,left down_76_76
985.1532441218884,-2373.2222567421068,mid right up,mid right up_467_467
3729.0257571487336,-597.5670275235699,mid left up,mid left up_348_348
-1927.9521884906687,-1542.499139660637,mid right down,mid right down_427_427
4351.5230734977695,2526.060701039368,right up,right up_662_662
-3269.9152156545056,-1035.3189606277583,right down,right down_526_526
2062.834887020559,-4401.872824780449,mid left down,mid left down_238_238
1855.7303958040595,2827.461860541493,mid left up,mid left up_359_359
1542.958154697972,5398.857471265756,mid right up,mid right up_476_476
-877.9452144192073,-741.8325781859544,right up,right up_651_651
801.5620941994995,452.21650062716856,mid right down,mid right down_414_414
2793.146796299383,4997.845429120342,mid right up,mid right up_445_445
-2512.968999649888,580.7738025590036,left down,left down_92_92
3525.412932140032,643.1398338923499,left up,left up_183_183
2192.90980577728,3928.6252679852173,right up,right up_640_640
-717.6846131661148,4241.685496672643,mid right down,mid right down_405_405
3275.2635010670756,840.1512811718518,mid right up,mid right up_454_454
-3954.1155337839546,1191.6694793585714,left down,left down_32_32
1202.0306991519521,55.282124885687246,left up,left up_192_192
-3030.750219473321,-1010.296395620453,right up,right up_682_682
-2151.494339889431,-2523.399702568983,mid right up,mid right up_449_449
2496.698858587317,-2138.6612502603907,mid left up,mid left up_366_366
-85.50329248201874,1139.1502474479926,mid left down,mid left down_207_207
-3304.545940332679,1157.7902122194992,left up,left up_204_204
-2571.0782133212065,-1712.2790845166144,right down,right down_519_519
2844.4042646899156,2913.5763649105684,mid right up,mid right up_496_496
-3968.088404701294,48.17980941496065,left up,left up_150_150
-712.6881811082852,-1810.3190744873968,mid right down,mid right down_418_418
2217.052105111901,905.5937617801004,mid right up,mid right up_458_458
4536.76983168115,3308.815526439357,right up,right up_693_693
184.04289229219444,-2496.194993864024,mid left down,mid left down_216_216
890.6571024465413,-3909.8416462348255,mid right up,mid right up_487_487
-4227.806622477418,54.78606307796016,left down,left down_45_45
193.6443021570824,-1856.8043582089101,mid right down,mid right down_409_409
3390.948980212757,-3366.3353765806346,left down,left down_8_8
5753.5722844718985,-1179.7049230481907,left up,left up_141_141
-1618.8949926808332,-3233.818263829181,mid right up,mid right up_506_506
-2872.200569861576,2235.2887481402563,mid left down,mid left down_225_225
2791.5486493741632,-727.4179109974399,left down,left down_99_99
2878.632570901287,-1104.1861740905442,mid left up,mid left up_344_344
1856.0132035297968,261.01289784272893,left up,left up_172_172
-585.466323250721,166.34685025143654,left down,left down_39_39
-1523.2607515117795,2699.154135442219,mid left down,mid left down_234_234
3574.8720921182203,-3103.4584652730205,mid left up,mid left up_355_355
5792.9746703428455,-863.2499056832173,left up,left up_163_163
-922.0856662606552,-3123.476934170313,mid right down,mid right down_388_388
1874.275787569114,-1886.873434316434,left down,left down_11_11
1234.8075224512418,-783.5423643013461,mid left down,mid left down_255_255
-3319.9306840739514,512.4707590182123,left down,left down_2_2
2374.5905843108812,-982.6462312602793,left down,left down_89_89
4110.283508417076,-1459.118134668862,mid left up,mid left up_334_334
107.43449337098377,4594.188366450408,right down,right down_594_594
3845.498765111396,-2060.8452592904982,mid left up,mid left up_297_297
4517.786631810081,-826.3580944408783,left up,left up_113_113
-1230.4804458725534,-1621.656047393785,mid right down,mid right down_399_399
177.31491103438069,-46.32382026050981,left down,left down_0_0
-80.93809808339847,-4516.530160966613,mid left down,mid left down_244_244
3941.8919035028703,-2862.2885800643553,mid left up,mid left up_325_325
-3991.9780962074847,-1605.3972308464677,right down,right down_585_585
-2835.6215679107013,1012.3513333600778,left down,left down_29_29
-4177.6707784136015,-644.6726312426108,right down,right down_569_569
-2877.042325195568,681.8167347000094,left up,left up_120_120
751.7123537111094,3046.014219485696,mid right down,mid right down_375_375
1883.3299464068084,-4460.885420820388,mid left up,mid left up_316_316
284.69848439696204,-1101.5358514947286,left down,left down_6_6
-2982.48910030755,2283.233118899413,mid left down,mid left down_277_277
2389.3511555174914,2804.603736423948,right down,right down_578_578
-4388.063066619316,87.47502163793331,left down,left down_55_55
-1047.9577322742934,1133.3386747075506,left up,left up_131_131
