PCA_1,PCA_2,labels,filename
3010.495911035837,-1523.0307698591625,left down,left down_74_74
3082.678131265751,-642.5549769985113,mid left up,mid left up_317_317
-1022.4288026634956,-777.7218804858952,mid right down,mid right down_374_374
935.517204595818,-2479.401788263739,mid left down,mid left down_276_276
-2454.6461405942177,-954.1916410357534,right down,right down_568_568
-2615.916148071629,-619.0071974621219,left up,left up_121_121
2342.412418504643,-1919.4063555392513,mid left up,mid left up_306_306
-2625.5772017197205,-53.57928330738433,mid left down,mid left down_267_267
272.2523537280253,3080.948285062683,right down,right down_579_579
-1801.152590446374,60.43269445909989,left up,left up_130_130
2113.5459058090078,-351.30899782265755,left down,left down_90_90
1010.6348387916906,-2113.5887317707793,mid left down,mid left down_254_254
114.755374931381,4281.415741021729,right down,right down_595_595
3155.069956862134,-2612.5741406294555,mid left up,mid left up_335_335
-915.2753005261503,-372.71237984363717,mid right down,mid right down_389_389
647.3035498601342,78.31463170042652,mid left down,mid left down_245_245
2149.72869819694,-1002.129155195428,left down,left down_30_30
-3518.305216868631,-613.3299791891028,right down,right down_584_584
23.77592736993593,2496.1606640198524,mid left up,mid left up_324_324
-138.21349082198566,1196.4517362732913,mid left up,mid left up_296_296
-1071.9868150190584,-194.09500020469693,left up,left up_112_112
-1063.9932394547207,-2242.927723981278,mid right down,mid right down_398_398
-155.52711934995781,-9.0212291695216,left up,left up_173_173
-2912.2917978319647,-507.5016372205783,left down,left down_18_18
-2265.6707440837386,55.66287909082633,mid left down,mid left down_224_224
768.4415640619301,4221.590518169988,mid right up,mid right up_507_507
-865.9309283470366,1002.5440682945804,mid left up,mid left up_345_345
2524.880548790561,-1333.408250691326,left down,left down_80_80
-2242.9304803102264,-566.4428635571691,left up,left up_162_162
-1794.026766126788,1735.3497057777606,mid left down,mid left down_235_235
1568.7805613431262,3144.9509219079027,mid right up,mid right up_516_516
613.5542171661605,-880.1250757177742,left down,left down_20_20
2073.9430350659563,-913.7566905381703,mid left up,mid left up_354_354
1222.2896650787186,1508.1169688025554,mid right up,mid right up_497_497
1144.4626493901746,1742.952515011537,right down,right down_518_518
-3173.628889743769,-1191.555625710049,left up,left up_151_151
1127.9204421526786,505.29478000334433,mid right down,mid right down_419_419
1102.4889163576117,2797.736845014389,right up,right up_683_683
2632.24018367608,-1508.3826765243844,mid left up,mid left up_367_367
1220.2207470584715,3039.424809568929,mid right up,mid right up_448_448
-1999.6235857216607,1695.8895498665552,mid left down,mid left down_206_206
1554.1588557723894,-912.9044878980296,left down,left down_64_64
1452.2084370434925,3249.865070780857,mid right up,mid right up_486_486
-1064.0713717665185,112.75544930393353,mid right down,mid right down_408_408
1636.5941418390094,-322.2717743539484,left up,left up_140_140
1644.437417910228,2263.066756499637,mid right up,mid right up_459_459
1187.1233495270858,3188.768013221833,right up,right up_692_692
-1600.6477091823597,1840.012356110056,mid left down,mid left down_217_217
693.4304197536528,3430.104392754204,mid right up,mid right up_444_444
2680.260494059862,-590.1505656715175,left up,left up_182_182
1060.064259520994,1245.8500132432953,right up,right up_650_650
-548.0892257460579,979.2404212246444,mid right down,mid right down_415_415
2122.268634634071,-1421.1431083220596,left down,left down_13_13
888.842395468881,3102.761806027788,mid right up,mid right up_455_455
3060.6830101744513,292.6498667413199,left up,left up_193_193
-3662.0518170864666,-825.5444796709033,right up,right up_641_641
-1302.5579846533294,-713.5524075170277,mid right down,mid right down_404_404
1028.8952207128932,-911.1758954106843,mid left down,mid left down_228_228
2799.4297050008918,-1070.9375325734966,mid left up,mid left up_349_349
1520.2294788530594,-421.66273041126817,mid right up,mid right up_466_466
937.5539930068608,-35.28469244290189,mid right down,mid right down_437_437
-45.85783516019658,3677.814577499809,right down,right down_536_536
-2043.5954035390537,-713.2861582690808,right up,right up_672_672
1256.3362936435315,-3243.94249182752,mid left down,mid left down_239_239
144.24764458296616,-1859.666830790378,mid right up,mid right up_477_477
-1353.1068248551735,1553.368319331981,mid left up,mid left up_358_358
450.8074378913423,-1109.3762492998242,mid right down,mid right down_426_426
548.2039596372479,959.0877634912532,right up,right up_663_663
1856.6121365468848,-1825.3138133908155,left down,left down_57_57
255.3067905182849,2076.1301037389208,right down,right down_527_527
2343.775220399224,-3025.214249475759,mid left down,mid left down_287_287
711.0483122716649,1109.8688263648785,mid right down,mid right down_385_385
-2738.8786606476256,-697.3648405013722,right down,right down_546_546
1179.2358385479336,-2262.329310765116,mid left down,mid left down_258_258
-3263.313019696625,-964.7977363404092,right down,right down_599_599
