TSNE_1,TSNE_2,labels,filename
25.759428,4.451042,left down,left down_74_74
33.379715000000004,-5.4476933,mid left up,mid left up_317_317
-26.712643,-4.681908,mid right down,mid right down_374_374
14.968082999999998,-4.9467870000000005,mid left down,mid left down_276_276
-37.200912,2.0004787,right down,right down_568_568
3.6721306000000014,37.649196999999994,left up,left up_121_121
21.605232,-10.459621,mid left up,mid left up_306_306
-8.885762,24.025234,mid left down,mid left down_267_267
-15.209033999999999,-17.394598000000002,right down,right down_579_579
2.6006348,23.33987,left up,left up_130_130
32.20278,17.448494,left down,left down_90_90
13.809122,-2.1634067999999997,mid left down,mid left down_254_254
-10.157789999999999,-18.878857,right down,right down_595_595
27.685907,-4.272524,mid left up,mid left up_335_335
-24.419188000000002,-2.306701,mid right down,mid right down_389_389
13.288898999999999,11.43637,mid left down,mid left down_245_245
27.090135999999998,17.360016,left down,left down_30_30
-40.311977,-3.0956652,right down,right down_584_584
2.6062787,11.076616,mid left up,mid left up_324_324
-2.2190022000000003,13.677032999999998,mid left up,mid left up_296_296
7.972483599999999,25.135202,left up,left up_112_112
-21.74111700000001,2.4635396000000003,mid right down,mid right down_398_398
9.07435,24.420904,left up,left up_173_173
-8.078266000000001,36.174667,left down,left down_18_18
-5.8041263,22.155718,mid left down,mid left down_224_224
-5.8790174,-23.635962,mid right up,mid right up_507_507
2.3194985,18.4587,mid left up,mid left up_345_345
23.685654,6.479179,left down,left down_80_80
3.8005707,30.139359999999996,left up,left up_162_162
-7.497884299999999,1.0024961,mid left down,mid left down_235_235
-0.12284502,-30.852253,mid right up,mid right up_516_516
17.440964,17.345871,left down,left down_20_20
16.58675,-11.391579,mid left up,mid left up_354_354
1.7806921000000002,-22.621609,mid right up,mid right up_497_497
-17.223932,-26.445829999999997,right down,right down_518_518
-10.367591000000001,39.53566,left up,left up_151_151
8.549886,1.8260299,mid right down,mid right down_419_419
-11.064221,-26.05573,right up,right up_683_683
24.8367,-10.774594,mid left up,mid left up_367_367
1.0399983,-27.552477000000003,mid right up,mid right up_448_448
-7.405770299999999,1.3468173,mid left down,mid left down_206_206
21.661732,13.059991,left down,left down_64_64
-0.23646711,-29.808016,mid right up,mid right up_486_486
-25.12021,-2.7409616000000003,mid right down,mid right down_408_408
35.059162,10.07897,left up,left up_140_140
-2.8836765,-30.273895,mid right up,mid right up_459_459
-11.447422999999999,-25.597462,right up,right up_692_692
-5.8196,11.036873,mid left down,mid left down_217_217
3.0764976,-32.144634,mid right up,mid right up_444_444
33.197165999999996,0.42247346,left up,left up_182_182
-18.58259,-28.573578,right up,right up_650_650
-12.31895,-3.9376452000000004,mid right down,mid right down_415_415
26.391321,15.603938000000001,left down,left down_13_13
3.5687501000000004,-31.027948,mid right up,mid right up_455_455
44.044983,7.570499400000001,left up,left up_193_193
-42.534657,-2.3325763,right up,right up_641_641
-25.580547,-2.0784018,mid right down,mid right down_404_404
16.922745000000006,15.177657,mid left down,mid left down_228_228
17.456125,6.3595242999999995,mid left up,mid left up_349_349
7.826578599999999,-19.559334,mid right up,mid right up_466_466
7.389618,0.8947136,mid right down,mid right down_437_437
-13.793285999999998,-16.84384,right down,right down_536_536
-34.229378000000004,-11.809654,right up,right up_672_672
18.084778,-2.7379954,mid left down,mid left down_239_239
8.123419,-14.070379,mid right up,mid right up_477_477
1.1933842,14.721682999999999,mid left up,mid left up_358_358
6.3542094,-3.1417148,mid right down,mid right down_426_426
-16.260853,-30.909309999999998,right up,right up_663_663
28.12074,14.360291,left down,left down_57_57
-17.084417000000002,-20.179482999999998,right down,right down_527_527
21.264032,-1.0722213,mid left down,mid left down_287_287
7.2815423,1.7823228,mid right down,mid right down_385_385
-39.674988,-5.7645106,right down,right down_546_546
13.705110999999999,-1.5900503000000001,mid left down,mid left down_258_258
-39.48217,0.41707546,right down,right down_599_599
1.9388218000000002,13.253639999999999,mid left up,mid left up_339_339
20.54843,11.033517,left down,left down_47_47
-38.999924,-5.0628386,right down,right down_557_557
1.9579973999999998,3.5927002,mid right down,mid right down_394_394
-37.2535,-16.833078,right up,right up_613_613
-4.679457,19.924639000000006,mid left down,mid left down_249_249
-40.341087,-1.7663034,right down,right down_603_603
-15.787359,-26.638607,right down,right down_588_588
5.449314599999999,-32.775127000000005,mid left up,mid left up_328_328
-37.717907000000004,-2.2490659,right down,right down_564_564
-9.222980999999999,-26.009293,right up,right up_620_620
8.220775,-11.001608000000001,mid right down,mid right down_378_378
-11.5034685,38.852215,left down,left down_107_107
-9.929219,-28.849169,right up,right up_631_631
-17.733818,-13.499630999999999,right down,right down_575_575
-9.763146,-16.296467,mid right down,mid right down_379_379
26.08466,12.429333999999999,left down,left down_106_106
21.901234,13.705561,left down,left down_82_82
-22.646214999999998,-12.48758,right down,right down_565_565
-18.46155,-25.043482,right up,right up_621_621
-6.3544397,36.858295,left down,left down_22_22
-8.116532000000001,-27.748709,right up,right up_630_630
-13.730570000000002,-15.62057,right down,right down_574_574
20.022848,3.1057715,mid left down,mid left down_259_259
29.181936,-6.582323,mid left up,mid left up_338_338
-22.016237,-13.398645000000002,right down,right down_598_598
23.528364,20.422237,left down,left down_66_66
7.9420795,5.51903,mid left down,mid left down_286_286
-14.6286125,-11.930615,right down,right down_547_547
-21.677996,1.7721081000000003,mid right down,mid right down_384_384
8.155984,18.271976000000002,mid left down,mid left down_248_248
-21.244432,-19.214628,right down,right down_602_602
24.617023,-3.5370317000000004,mid left up,mid left up_329_329
-20.80193,-13.739478,right down,right down_589_589
-6.1218615,-10.385073,mid right down,mid right down_395_395
-29.64232,1.1839621,right down,right down_556_556
-40.33737,-9.172838,right up,right up_612_612
-8.59085,-4.6721187,mid right down,mid right down_436_436
-41.79155,-0.46968356,right down,right down_537_537
-41.794228000000004,-5.7479024,right up,right up_673_673
-3.6496477,13.198770000000001,mid left down,mid left down_229_229
24.188501000000002,4.25542,left down,left down_76_76
11.387775,-15.713598999999999,mid right up,mid right up_467_467
34.566837,-7.4999449999999985,mid left up,mid left up_348_348
-26.296491999999997,-2.1610112,mid right down,mid right down_427_427
-10.594741,-34.088295,right up,right up_662_662
-37.136333,-0.62340504,right down,right down_526_526
22.239906,0.510935,mid left down,mid left down_238_238
6.032336,-29.784527,mid left up,mid left up_359_359
-0.19441098,-33.456905,mid right up,mid right up_476_476
-29.722557000000002,-19.999006,right up,right up_651_651
6.506762,0.7351778,mid right down,mid right down_414_414
-1.92632,-33.194706,mid right up,mid right up_445_445
-0.9660464,36.545105,left down,left down_92_92
40.216274,3.0619226000000004,left up,left up_183_183
-9.569804,-22.52163,right up,right up_640_640
-6.2157855,-7.0184880000000005,mid right down,mid right down_405_405
7.110177999999999,-20.846802,mid right up,mid right up_454_454
-9.01033,29.125840999999998,left down,left down_32_32
35.36453,14.41426,left up,left up_192_192
-40.697421999999996,-8.007847,right up,right up_682_682
-29.975159,-10.914192,mid right up,mid right up_449_449
17.32018,4.9947743,mid left up,mid left up_366_366
12.313176,12.131542,mid left down,mid left down_207_207
2.8233533,29.561446999999998,left up,left up_204_204
-28.597994,-1.055993,right down,right down_519_519
3.0135259999999997,-30.498043,mid right up,mid right up_496_496
-9.581678,39.055855,left up,left up_150_150
-18.47468,0.62818485,mid right down,mid right down_418_418
3.2486458,-22.33172,mid right up,mid right up_458_458
-11.7862,-33.432156,right up,right up_693_693
11.5574875,-1.0465681999999998,mid left down,mid left down_216_216
20.461071,-11.086814,mid right up,mid right up_487_487
-11.561722,37.865913,left down,left down_45_45
6.385546700000001,-2.5384889,mid right down,mid right down_409_409
25.625984,3.275204,left down,left down_8_8
42.944195,4.1301985,left up,left up_141_141
6.8297544000000014,-13.580339000000002,mid right up,mid right up_506_506
-7.1406902999999975,20.543491,mid left down,mid left down_225_225
29.745356,20.174606,left down,left down_99_99
19.069313,6.801836,mid left up,mid left up_344_344
38.072272999999996,4.1131473,left up,left up_172_172
11.007254,28.562506,left down,left down_39_39
-5.9354672,15.463273999999998,mid left down,mid left down_234_234
29.806444,-5.7099876,mid left up,mid left up_355_355
43.208977000000004,5.1967154,left up,left up_163_163
7.785545299999999,-11.434865,mid right down,mid right down_388_388
22.832832,13.442938,left down,left down_11_11
17.755226,11.788245,mid left down,mid left down_255_255
-1.9749717,35.437195,left down,left down_2_2
28.533714,20.641481,left down,left down_89_89
34.020008000000004,-6.120872,mid left up,mid left up_334_334
-15.933995999999999,-13.493178,right down,right down_594_594
32.87845,-1.7209438000000001,mid left up,mid left up_297_297
38.9493,-0.11214736,left up,left up_113_113
-23.430628,-2.1268096,mid right down,mid right down_399_399
23.800755,21.203257,left down,left down_0_0
15.541451,-4.1806529999999995,mid left down,mid left down_244_244
31.33826,-3.7614422,mid left up,mid left up_325_325
-29.88519,2.5954273,right down,right down_585_585
-4.959454,30.183432,left down,left down_29_29
-40.476166,-0.81672126,right down,right down_569_569
3.0967586,33.031425,left up,left up_120_120
-4.308422,-9.67202,mid right down,mid right down_375_375
26.63103,-6.465466,mid left up,mid left up_316_316
16.692942000000002,20.000692,left down,left down_6_6
-8.085142,21.070652,mid left down,mid left down_277_277
-17.94875,-21.855686,right down,right down_578_578
-12.263950999999999,35.57513,left down,left down_55_55
8.406751,25.058067,left up,left up_131_131
3.5638769999999997,18.936957999999997,mid left up,mid left up_307_307
24.440929999999998,6.1294146,left down,left down_4_4
10.638065,2.6561964,mid left down,mid left down_266_266
33.881184000000005,18.505644,left up,left up_111_111
18.474949,8.696712,mid left up,mid left up_295_295
-9.534005,-21.290585999999998,right down,right down_558_558
-3.7855712999999995,11.826758,mid left down,mid left down_246_246
26.90483,-1.6146572,mid left up,mid left up_327_327
-40.541022999999996,0.37076238,right down,right down_587_587
-5.782604,23.17064,mid left down,mid left down_288_288
-14.479245,-13.573777999999999,right down,right down_549_549
-7.312956,21.53576,mid left down,mid left down_257_257
34.505154,-3.782947,mid left up,mid left up_336_336
-33.496162,-5.823982,right down,right down_596_596
-2.540101,28.388952000000003,left down,left down_17_17
6.005765,31.514447999999998,left up,left up_133_133
22.073446,-9.68956,mid left up,mid left up_305_305
20.683970000000002,-1.7891643,mid left down,mid left down_264_264
24.742191000000002,10.862327,left down,left down_53_53
26.422424,1.4077877,left up,left up_122_122
2.3309342999999996,19.803335,mid left up,mid left up_314_314
-30.976171,-5.3533125,mid right down,mid right down_377_377
21.070120000000006,0.73581135,mid left down,mid left down_275_275
-7.992872699999999,33.140609999999995,left down,left down_108_108
-18.481009,-29.188051,right up,right up_691_691
27.549158000000002,18.100986,left down,left down_43_43
-4.940006299999999,12.863545,mid left down,mid left down_214_214
5.367387,-13.541931,mid right up,mid right up_485_485
37.52375,-1.5287874,left up,left up_143_143
25.444755999999998,-2.9603324,mid left up,mid left up_364_364
-38.086678000000006,-12.419798,right up,right up_680_680
17.446459,-0.6314057,mid left down,mid left down_205_205
21.262617000000002,-11.797605,mid right up,mid right up_494_494
19.738472,10.555089,left up,left up_152_152
7.1758112999999994,-23.231068,mid right up,mid right up_515_515
5.7766433,5.5983160000000005,mid left down,mid left down_236_236
23.803316,-12.678453999999999,mid right up,mid right up_478_478
16.155935,2.7593343,mid left up,mid left up_357_357
-10.988480000000001,-11.524614999999999,mid right down,mid right down_429_429
4.988848,37.16062,left up,left up_161_161
-29.157709999999998,-1.3494211,right down,right down_528_528
-0.67763823,-29.021666999999997,mid right up,mid right up_504_504
-3.2890644,20.805548,mid left down,mid left down_227_227
25.944368,-1.1569037,mid left up,mid left up_346_346
1.6944821,-28.848003000000002,mid right up,mid right up_469_469
19.810357999999997,11.626469,left up,left up_170_170
-20.205776,2.0379617,mid right down,mid right down_438_438
-22.977736,-13.448681,right down,right down_539_539
7.746592999999999,-10.403345,mid right down,mid right down_425_425
-35.32497,1.5017631999999999,right down,right down_524_524
-5.2257595000000014,-34.253296,right up,right up_660_660
-1.275275,32.97173,left down,left down_48_48
-29.303621000000003,-10.810210000000001,mid right up,mid right up_474_474
-5.1686125,-10.829628999999999,mid right down,mid right down_434_434
25.859629,10.388444999999999,left down,left down_70_70
-34.295567,-12.87936,right up,right up_671_671
-10.500247,-18.142397,right down,right down_535_535
-4.6111665,-7.4284149999999975,mid right up,mid right up_508_508
-1.8694475,-28.553526,mid right up,mid right up_465_465
-8.630671000000001,-33.578185999999995,right up,right up_642_642
24.59577,20.629913000000002,left down,left down_34_34
-6.071535,-21.028536,mid right up,mid right up_489_489
-11.800808,-4.0752444,mid right down,mid right down_407_407
2.9320478,-14.259255,mid right up,mid right up_456_456
36.58384,11.949249,left up,left up_190_190
19.752304000000002,-0.6561720999999999,mid left down,mid left down_218_218
-7.3851085,-22.328960000000002,mid right up,mid right up_498_498
-21.48779,-19.468521,right down,right down_517_517
-11.9416895,-26.734253000000002,right up,right up_653_653
28.959971999999997,20.10053,left down,left down_94_94
-28.351303,1.9211996,mid right down,mid right down_416_416
-1.4964691,19.15888,mid left up,mid left up_368_368
2.2122192000000003,-20.9028,mid right up,mid right up_447_447
9.595934,2.3843906,mid left down,mid left down_209_209
9.678742999999999,36.522422999999996,left up,left up_181_181
2.7929053,14.618116,mid left up,mid left up_309_309
-2.7968836,14.3172035,mid left down,mid left down_268_268
-14.860591000000001,-16.349655,right down,right down_576_576
-27.69034000000001,-18.628432999999998,right up,right up_632_632
-10.973716,37.376647999999996,left down,left down_24_24
0.85739726,18.912453,mid left up,mid left up_318_318
14.01741,10.175627,mid left down,mid left down_279_279
23.3903,14.357776000000001,left down,left down_104_104
-9.136736,-27.683972999999998,right up,right up_623_623
-39.782745,2.8871458,right down,right down_567_567
-4.506264,32.754017,left down,left down_84_84
29.097582,13.09351,left down,left down_58_58
-15.909723999999999,-18.18056,right down,right down_600_600
2.5851452,21.05979,mid left up,mid left up_299_299
-36.799659999999996,-16.978123,right up,right up_610_610
-17.526783,-19.710455,right down,right down_554_554
14.835201000000001,-6.513261,mid right down,mid right down_397_397
-7.1225357,2.445606,mid left down,mid left down_284_284
5.7517314000000015,-3.6272687999999995,mid right down,mid right down_386_386
28.528809999999996,13.456470000000001,left down,left down_60_60
-14.855326999999999,-23.201725,right down,right down_545_545
17.507004000000002,10.502467,mid left up,mid left up_298_298
-27.36693,-19.029222,right up,right up_611_611
-27.954607,0.6320726999999999,mid right down,mid right down_396_396
16.664162,20.613889999999998,left down,left down_3_3
-19.043594,-15.182723999999999,right down,right down_555_555
-12.820128,36.651943,left down,left down_41_41
-15.797634,-20.244932000000002,right down,right down_601_601
-1.2876154,34.14643,left down,left down_79_79
19.088879000000002,-4.944978,mid left down,mid left down_285_285
-30.151989,-3.2186567999999998,right down,right down_544_544
-27.854845,-6.9419960000000005,mid right down,mid right down_387_387
-2.800278,38.741764,left down,left down_1_1
-16.99267,-14.455815,right down,right down_577_577
-6.830867,-25.360101999999998,right up,right up_633_633
27.612955,20.176776999999998,left down,left down_7_7
12.296868,6.3434277,mid left up,mid left up_308_308
8.244684,3.4424069999999998,mid left down,mid left down_269_269
-29.553432,-17.231428,right up,right up_622_622
-30.898840000000003,-3.693754,right down,right down_566_566
-7.3161130000000005,35.372787,left down,left down_5_5
20.161915,-7.8368910000000005,mid left up,mid left up_319_319
-4.637494,29.820421000000003,left down,left down_105_105
20.330328,-4.2477345,mid left down,mid left down_278_278
-4.14725,-25.7042,mid right up,mid right up_457_457
35.850372,13.436376999999998,left up,left up_191_191
12.185371,-0.95901567,mid left down,mid left down_219_219
-32.16791,-12.136925,right up,right up_643_643
