GRP_1,GRP_2,labels,filename
6962.794207208792,-4018.750172068204,2,2_2351
4842.388022301305,-4345.0725872755165,6,6_5258
3698.1738224499613,-4417.021173103376,4,4_1455
7066.411839144687,-5295.062948351601,5,5_6992
8575.545868308971,-4176.21348902606,5,5_6814
5360.428881830282,-5552.202844942583,3,3_5332
6225.160711378986,-4437.182405262685,3,3_6101
5743.303030807816,-3978.418511295552,4,4_3478
4524.368378499677,-5716.976180904007,4,4_8031
6012.848426689011,-4749.821038227654,3,3_6754
8099.490155681813,-5729.394172321366,5,5_3089
7976.0434656463185,-5108.672294257871,0,0_6159
2070.351516715337,-4287.66516672039,4,4_4307
5141.765168477147,-5902.511861989575,1,1_7160
8841.748837409463,-4695.577445975229,5,5_1034
7718.088099769735,-4201.956905567001,0,0_2684
4118.641784644182,-3903.637592525167,2,2_3889
6064.559327488,-5194.182819591423,4,4_5083
6087.310433111536,-3372.5762498817517,0,0_8863
8888.79730606135,-4088.1060444410655,5,5_4954
7029.6563375448795,-2570.4758645483644,0,0_3552
6510.182769905282,-6105.10552127414,1,1_5972
6816.76161365531,-4761.067913014966,5,5_9247
8626.22861809897,-4187.6259507111545,5,5_3412
2761.65640533078,-3620.5614066005573,4,4_1678
6707.327396119587,-5202.355091778767,0,0_9994
8552.092328634159,-4582.040190015936,5,5_6267
7670.024511828498,-4160.929777421504,0,0_2425
7198.5329592109665,-4066.963512985041,6,6_9438
8731.448978984341,-4203.527947435845,5,5_943
4946.601187952878,-4351.52838623519,4,4_6824
3289.119341464621,-3074.084936259268,4,4_7469
4970.86417069154,-5995.171253833525,1,1_1240
7070.283287106386,-6032.5839526669215,6,6_2291
9092.49749730855,-3533.4694826060577,5,5_594
4682.167670289444,-5351.14499780565,6,6_4303
6333.386320463742,-4705.618498108479,4,4_5333
6909.87143196431,-4655.250009237759,6,6_1152
2364.849264661937,-2838.4275992208172,2,2_8069
6027.417890375545,-5583.668155012315,0,0_7523
6128.362584213889,-4474.70396581109,0,0_2787
6841.1454673743,-4292.976906503218,0,0_1445
4211.306460058187,-4395.192499567237,2,2_8989
9208.552900010354,-4636.104466045965,5,5_9465
4403.0731507316505,-4093.7452431048523,4,4_8851
4856.5124168501125,-3190.8191192071863,0,0_4542
6488.711553410034,-4090.5838196662507,1,1_9587
4158.459763222229,-5022.389070000787,4,4_3792
6316.320078399793,-5396.786061496199,0,0_4523
8273.793783996767,-4327.322805115459,3,3_1390
6501.1255826945335,-5204.639467290892,3,3_4994
5598.773640070705,-3749.1050166318105,2,2_9822
7107.763362143092,-8216.975409062266,3,3_8762
7654.058558022667,-3702.8251162964284,5,5_6411
4455.593719085462,-6663.823053513572,1,1_6223
8427.437836886507,-4699.36714676706,5,5_4179
4168.809802350948,-4682.574116300893,2,2_4035
7964.681651505208,-4530.811583971522,6,6_3333
8980.216054928891,-4716.487460224221,5,5_7459
6186.349089958123,-4762.068276032628,6,6_644
5188.329413503957,-6533.50431051518,6,6_6358
5885.143655008173,-4087.9842944770257,4,4_4912
4947.288173265655,-4953.54996806498,6,6_2964
8046.476153192891,-5089.291267807082,2,2_6759
6362.193352088657,-4311.000813567942,0,0_2088
6580.411887222754,-5213.232065261551,3,3_1821
