ISM_1,ISM_2,labels,filename
779.3497453313364,2167.924820438787,2,2_2351
4351.548281654964,1023.8595727473993,6,6_5258
6307.131442956301,-1510.0659754910507,4,4_1455
-1788.1440850199897,6421.7769152337905,5,5_6992
-2491.542327708094,7069.420797475502,5,5_6814
-4323.1861601726205,-503.62189509885627,3,3_5332
-891.6042165531892,-4221.401034566789,3,3_6101
1606.7782023012812,-3220.7269287004865,4,4_3478
5088.727595850188,-1763.0548870200405,4,4_8031
-1386.919157243058,-2832.668625042287,3,3_6754
-2468.1354218051347,5539.6997068833,5,5_3089
5772.91981560435,-1283.0984872278782,0,0_6159
7795.027622416753,112.74955708625471,4,4_4307
-4928.620633994583,-2587.389964043435,1,1_7160
-3190.932312761242,6326.53892986417,5,5_1034
-706.8032042402575,-946.4703624702853,0,0_2684
6313.470018559117,1055.1175640512492,2,2_3889
-2754.2699564920676,-1102.2638091872811,4,4_5083
2285.031201224339,639.6137012071523,0,0_8863
-2172.0865311616544,5971.34479507224,5,5_4954
2687.6393214693644,93.13637810249874,0,0_3552
-5529.403445667935,-400.0234623712297,1,1_5972
-820.3411610386355,5506.785778386305,5,5_9247
-1715.5372309417169,5164.668104371604,5,5_3412
5773.13667989794,-373.6411072040061,4,4_1678
-1102.6921324624125,-741.5553607006423,0,0_9994
-3133.403640826457,6063.513586015894,5,5_6267
844.4067374053528,-3034.437925020617,0,0_2425
-242.3622250215199,1086.9133555774704,6,6_9438
-2361.985624273629,6193.569945684973,5,5_943
-511.11620449854166,-2618.536770810151,4,4_6824
6399.800492463008,-625.7835035358513,4,4_7469
-5148.4973717838875,-1723.6363388910033,1,1_1240
-85.45378701988193,2875.5756116238176,6,6_2291
-2555.984570922193,7131.760962903032,5,5_594
5080.824671319983,-345.48337946784204,6,6_4303
2289.188592829443,593.3178392877414,4,4_5333
1572.9406302882662,1729.3838132818653,6,6_1152
7881.21269319573,1045.8071719162276,2,2_8069
-2537.826104625989,-3944.656830783056,0,0_7523
1908.5177791309175,-3253.864539274416,0,0_2787
-1065.1444284812742,-544.4493538314057,0,0_1445
5860.872113356046,373.5038820073625,2,2_8989
-944.9745942646617,4406.418236432014,5,5_9465
5884.550465436382,-1045.5701725367392,4,4_8851
517.0410053067171,544.769520893459,0,0_4542
522.9955807596797,-3291.729604160791,1,1_9587
5075.027109557982,-915.0112169321512,4,4_3792
-1203.5681010454891,-41.61841604354936,0,0_4523
-2311.791308529224,-291.85307467621897,3,3_1390
-2697.91125150242,-2197.117950865246,3,3_4994
2065.9293220585787,1232.857068952374,2,2_9822
-6331.6206017690865,-893.6616488200087,3,3_8762
-1354.2665104859825,5544.797414536262,5,5_6411
