UMAP_1,UMAP_2,labels,filename
-2.9732632999999997,-2.7570042999999997,2,2_2351
0.3067251,-6.795374000000001,6,6_5258
-3.2138047000000003,-8.355247,4,4_1455
-6.4179955,2.976752,5,5_6992
-10.46563,3.2118263,5,5_6814
-0.22241895,5.2941136,3,3_5332
5.0540676,4.051181,3,3_6101
4.938804599999999,-4.839915,4,4_3478
3.2882981,-7.8771644,4,4_8031
5.779397,-2.4669678,3,3_6754
-7.945092,2.7680717,5,5_3089
0.9569690999999999,-6.4297830000000005,0,0_6159
-0.34450984,-10.045185,4,4_4307
3.03218,10.88505,1,1_7160
-12.322187,7.0277495,5,5_1034
0.8231215000000001,-0.48232958,0,0_2684
-0.47722483,-8.458298,2,2_3889
3.6814612999999996,9.833141,4,4_5083
0.46917972,-3.0121365,0,0_8863
-11.816001,4.757687000000001,5,5_4954
0.86362314,-3.491996,0,0_3552
2.0423658,12.357497,1,1_5972
-5.399108,2.7745109,5,5_9247
-9.631879,4.22968,5,5_3412
-4.2926693,-8.610283,4,4_1678
-0.21337132,-0.9229248,0,0_9994
-12.302566,7.0986247,5,5_6267
2.0670238000000003,-1.1966665,0,0_2425
-1.8908999,-0.6681096,6,6_9438
-9.990629,5.141442,5,5_943
6.511035,-2.1961412,4,4_6824
-0.72251034,-10.847364,4,4_7469
4.5218663,11.953289999999999,1,1_1240
-4.293959,-1.8288461999999999,6,6_2291
-11.150598,3.3869936000000003,5,5_594
2.3571367000000003,-7.9143224000000005,6,6_4303
-1.1618528000000001,-4.9235992,4,4_5333
-2.324688,-3.7077897000000006,6,6_1152
-1.7875081000000002,-9.891737,2,2_8069
3.3427896,4.4504269999999995,0,0_7523
3.0150113,-3.5109627,0,0_2787
-0.11565722,-0.18592504,0,0_1445
-2.463393,-8.217811,2,2_8989
-4.8719616,2.1002657000000005,5,5_9465
-4.2319236,-8.0819845,4,4_8851
-0.98047644,-1.0487254,0,0_4542
0.2640493,7.689636699999999,1,1_9587
1.2802243,-7.3652809999999995,4,4_3792
-0.8707995999999999,0.25470787,0,0_4523
0.12706232,2.4620599999999997,3,3_1390
2.3286797999999997,2.2375824,3,3_4994
-4.1289434,-6.0403056,2,2_9822
-1.9719508999999997,5.9972672,3,3_8762
-4.559167400000001,2.197634,5,5_6411
-0.9905046000000001,11.714624,1,1_6223
-9.684064,5.6320953000000005,5,5_4179
0.7363313,-8.149598,2,2_4035
-4.3206496,-1.1360201,6,6_3333
-11.695271,7.15225,5,5_7459
-0.35312459999999996,-2.9948754,6,6_644
1.6377273,-6.5998907,6,6_6358
4.6972737,-2.644053,4,4_4912
4.010951,-3.1927807,6,6_2964
-0.63866323,-4.663496,2,2_6759
3.5549182999999998,-1.1251693999999999,0,0_2088
0.9072526,2.5558546000000004,3,3_1821
-2.5006923999999997,-1.016275,3,3_2524
-0.41748467,5.451418,3,3_6606
2.5025587000000002,-5.5013447,4,4_6454
0.6752074,0.13509125,0,0_585
-1.4376242000000001,-2.019638,3,3_1871
3.605315,-3.9571507000000006,3,3_8492
-9.372203,4.6906156999999995,5,5_1535
-2.154778,-5.69033,2,2_6615
-0.92624366,-2.0414796,3,3_9428
3.1612236,1.8997418999999998,0,0_3979
-4.819789,-8.8243265,2,2_268
2.9001894,11.513533,1,1_1584
6.2989440000000005,12.309088000000001,1,1_6659
6.0092225,-3.6509644999999997,4,4_1581
2.4956584,-0.20057186,6,6_5090
-0.14507085,0.08284574,0,0_2130
-1.9400060000000001,-11.6237755,2,2_4507
-0.9060360000000001,-9.016105,2,2_7541
-0.51106113,0.40265378,0,0_3914
-4.692198,-7.333672,4,4_7579
1.1057065000000001,-0.53972787,6,6_7152
3.2122517000000004,-0.11450107,0,0_4502
4.028377,13.870334,1,1_3600
-2.6686711,-3.811573,6,6_933
-2.9599357000000004,-7.0321869999999995,2,2_9283
-2.5215417999999996,-2.9052759999999997,4,4_3256
-6.4048123,2.698855,5,5_7380
3.226292,-5.333499,6,6_1799
3.6465836000000005,-1.1996678,0,0_2114
