GRP_1,GRP_2,labels,filename
6962.794207208792,-4018.750172068204,2,2_2351
4842.388022301305,-4345.0725872755165,6,6_5258
5360.428881830282,-5552.202844942583,3,3_5332
4524.368378499677,-5716.976180904007,4,4_8031
8099.490155681813,-5729.394172321366,5,5_3089
2070.351516715337,-4287.66516672039,4,4_4307
5141.765168477147,-5902.511861989575,1,1_7160
6087.3104331115355,-3372.5762498817517,0,0_8863
7029.65633754488,-2570.4758645483644,0,0_3552
6510.182769905282,-6105.105521274139,1,1_5972
2761.65640533078,-3620.5614066005573,4,4_1678
6707.327396119587,-5202.355091778767,0,0_9994
7198.5329592109665,-4066.963512985041,6,6_9438
4946.601187952878,-4351.52838623519,4,4_6824
3289.119341464621,-3074.084936259268,4,4_7469
6841.1454673743,-4292.976906503218,0,0_1445
4211.306460058187,-4395.192499567237,2,2_8989
9208.552900010354,-4636.104466045965,5,5_9465
4158.459763222229,-5022.389070000787,4,4_3792
6316.320078399793,-5396.786061496199,0,0_4523
6501.1255826945335,-5204.639467290892,3,3_4994
5598.773640070705,-3749.1050166318105,2,2_9822
7107.763362143092,-8216.975409062266,3,3_8762
7654.058558022667,-3702.825116296429,5,5_6411
4455.593719085462,-6663.823053513572,1,1_6223
5188.329413503957,-6533.50431051518,6,6_6358
6462.466583108581,-6285.46064388906,3,3_6606
6433.062532204333,-4269.803144988651,2,2_6615
5465.443133713622,-6485.308418123194,1,1_6659
6001.458183253778,-4051.9511412499987,6,6_5090
7215.280223216495,-4803.900472390444,6,6_7152
6586.596576657978,-5232.649589944337,5,5_7380
4886.736748309496,-3138.442842218161,0,0_2114
5940.624766549898,-5783.725930614975,1,1_9408
4767.097999872667,-5851.308652223178,1,1_8850
6226.104509880001,-5706.206008406823,6,6_2757
6257.566583834666,-5879.159559980138,5,5_7175
3558.7866928681206,-3166.661195357169,4,4_2917
6239.804385687429,-5699.78202979687,1,1_1197
8411.697038611479,-4941.879831601829,6,6_9168
7921.283434099311,-2650.20935514136,0,0_4847
5735.312598897594,-4726.2540201569045,0,0_1458
3654.959000243325,-4139.7963325357705,2,2_3135
4639.059599631407,-4357.108799940686,6,6_1340
5738.575156644942,-3278.128478034317,6,6_4058
4088.325784954467,-5191.951499644137,1,1_8044
4734.314314952813,-4847.455341118617,2,2_6129
4679.127908567558,-5607.49079034655,1,1_4825
5706.668883836007,-5329.604099191463,4,4_2262
3417.105899557545,-5710.387196442721,1,1_8888
5561.37456219656,-4129.66930202613,3,3_2080
7997.582432060088,-4488.789505487152,6,6_8559
3360.943570426529,-5906.050400973514,4,4_1306
5712.214537893948,-5513.887427286223,1,1_4243
3934.334106897532,-5610.175929869769,4,4_5600
4195.702247814628,-5344.584947183879,6,6_9446
9026.08014653818,-3644.875343551852,5,5_1619
4802.381165794284,-5262.5461795295505,6,6_9880
6677.957312228491,-4851.856642826653,5,5_8939
5315.086430248752,-6414.015117487454,1,1_8330
8175.415043282364,-4820.362047214212,6,6_7794
7227.570706037924,-4931.425204876208,0,0_6279
7047.834901740007,-3759.151561989988,4,4_5500
7402.5885362955505,-5393.370323884414,3,3_5636
3349.3528361564063,-4650.54639329284,2,2_8195
6178.914721836651,-4107.306402156016,5,5_4462
