UMAP_1,UMAP_2,labels,filename
4.450599,-5.83168,2,2_2351
-1.4341978000000002,5.4608355,6,6_5258
2.5714467,10.605225,3,3_5332
2.7956579,-11.200741,4,4_8031
-2.8792133,-8.318066,5,5_3089
-6.072089,5.752713,4,4_4307
-18.751062,0.96887064,1,1_7160
-10.4983015,-12.614356,0,0_8863
-11.309874,-1.2061183000000002,0,0_3552
0.8317386999999998,13.779638,1,1_5972
-8.376071000000001,12.876563,4,4_1678
-3.2378,13.444888,0,0_9994
4.4654894,7.243933,6,6_9438
13.12358,7.280118499999999,4,4_6824
0.8463783000000001,7.8641224,4,4_7469
9.027136,-12.107119,0,0_1445
0.33036540000000003,6.8040504,2,2_8989
-3.5865808,-10.147977,5,5_9465
1.5216354,2.9193962000000004,4,4_3792
3.2121716,7.2818656000000015,0,0_4523
-7.4872108,1.9024904,3,3_4994
7.6045729999999985,2.54671,2,2_9822
8.693037,3.2479935,3,3_8762
-4.930326,-9.294617,5,5_6411
6.642013499999999,4.057975,1,1_6223
-4.251441000000002,7.715326299999999,6,6_6358
7.316998,-15.7763,3,3_6606
8.770847999999999,7.365633,2,2_6615
1.987934,11.931556,1,1_6659
11.541723,-0.6673505999999999,6,6_5090
-13.589835999999998,-6.3216715,6,6_7152
-0.8675243,4.3576775,5,5_7380
-9.396266,-0.95962924,0,0_2114
7.71088,-7.9492949999999984,1,1_9408
5.543449,9.424492,1,1_8850
3.79143,0.31431332,6,6_2757
-17.049778,-0.82393724,5,5_7175
-16.470295,-6.2742124000000015,4,4_2917
-11.195776,-3.7124605,1,1_1197
-2.0856223000000003,-5.1878133,6,6_9168
-8.549292,-2.9394417,0,0_4847
-10.837595,-0.12896234,0,0_1458
13.196744,-11.117002,2,2_3135
-11.486059,0.7378089,6,6_1340
-7.914821000000001,2.0875485,6,6_4058
6.544274,4.109426999999998,1,1_8044
1.6712096,0.68152547,2,2_6129
-15.772167,11.030612,1,1_4825
11.4746685,14.303277,4,4_2262
8.056928,9.776016,1,1_8888
-14.364235,1.9030011,3,3_2080
2.3238373,-5.544691,6,6_8559
11.055702,-8.465786,4,4_1306
7.763186,-7.884727499999999,1,1_4243
2.5849504,-11.617716,4,4_5600
13.356314,4.795655,6,6_9446
-4.0661006,-13.255728,5,5_1619
-9.376891,10.157378,6,6_9880
-2.9800613,-11.248753,5,5_8939
10.542016,3.4318945,1,1_8330
0.7987283000000001,-4.5490537,6,6_7794
8.243803999999999,-12.369934,0,0_6279
12.285087,7.1856800000000005,4,4_5500
1.7681432,-4.4533486,3,3_5636
-7.216561,5.6341199999999985,2,2_8195
-2.5193172,-11.740352,5,5_4462
-9.7774,-11.126107,2,2_6730
3.861151,10.684241,0,0_6627
-4.3561907,-11.68505,5,5_9255
11.688516,1.820202,0,0_9484
5.0284385999999985,9.443069,1,1_551
6.2158847,-8.97142,1,1_4315
0.39041063,16.352529999999998,1,1_1342
-11.311324,-3.617658,1,1_5146
6.2677264,-6.639616499999999,3,3_1819
-7.769050999999998,0.95554805,3,3_5331
-2.0327935,-10.544641,5,5_8471
-3.4675586000000003,9.793737,6,6_1446
-14.618417,-2.9057286,6,6_337
-1.6854328,-3.419342,3,3_3757
-4.634161,14.403565,1,1_723
-2.8264127,9.33325,4,4_3888
0.46286342,-15.725406,5,5_4768
-5.0392323,-2.2814941,3,3_8933
-9.30699,-0.075277396,0,0_8058
-16.404132999999998,1.5395924,1,1_442
8.021512,12.037173,3,3_286
-4.4429836,-4.095768,3,3_3664
-2.656997,-3.7940185,4,4_4832
-11.5338955,11.306673,4,4_4384
8.689175,-2.2416987,5,5_2035
-8.859961,-10.636026,4,4_8129
-12.649375,-1.2151991000000002,6,6_6947
-12.104017,7.342910000000002,6,6_8095
12.720559,12.722311,3,3_6440
-3.5012,-6.367772,0,0_4625
0.34909177,-4.1730814,2,2_5268
4.521212,13.553579999999998,1,1_6131
-4.1676025,7.7023787,2,2_868
-7.5459895,12.157642,2,2_6645
-3.3319416,13.41778,0,0_2859
-10.008961,-8.84121,4,4_1260
0.30024683,11.16996,1,1_8796
0.82781905,-10.095832,5,5_904
-3.2942655,5.6472,6,6_4221
-14.9503765,1.5190136,3,3_2641
8.447599,1.0456831,2,2_4799
2.251512,-5.0574856,6,6_3137
13.21575,3.3306944,6,6_4884
2.9239998,14.289982,4,4_4268
-0.7210806,1.9741758000000005,3,3_6444
-7.554724,-2.7170472,3,3_4011
-5.0895824,2.4472678,3,3_2100
-2.972424,-8.122921,5,5_61
-2.8796837,9.294099,4,4_9678
-9.232762,-4.048443,0,0_5746
-0.1723667,-4.907785400000002,6,6_8633
9.662756,-8.762081,1,1_791
-2.4290078,4.7756195,1,1_9323
-5.2211995,-15.955185,4,4_2811
7.571713000000001,1.9206078,2,2_6302
-2.1389477,12.420919,6,6_1450
-3.863189,-0.35833427,1,1_8276
-13.615813,0.24704336,6,6_801
-2.1675987,-7.447837400000001,5,5_6542
9.281144,13.04071,6,6_4388
-15.978205,-2.0408032,3,3_3266
2.6965075,-11.394448,2,2_9963
8.090003,2.9629512000000005,2,2_7094
-8.353501,-5.3952575,0,0_3011
-4.5083447,-12.331757,5,5_7957
-9.486704,-14.049479000000002,5,5_4712
-3.0486264,-14.463349,5,5_815
16.948748000000002,6.8705634999999985,2,2_9106
-4.0841074,-7.1284733,0,0_9098
8.568508999999999,-11.380338,6,6_2348
-3.1484847,-14.372695000000002,5,5_1243
-7.237756,-16.22128,4,4_3473
3.7432246,-0.3727148,6,6_1562
14.80065,-4.060983,2,2_6500
3.1108758,16.032288,4,4_1231
6.928829,11.986806,2,2_503
1.5481348999999998,-8.383153,1,1_683
1.0158516,11.733777,1,1_1076
-7.6908,0.6766188,3,3_4282
-5.7032433,-11.216489,5,5_8599
11.628829,-1.0264921,0,0_7164
