GRP_1,GRP_2,labels,filename
-46607.974600612695,12787.030710089188,Bluebell,Bluebell_295
-31361.54222118924,-24672.803404578422,Bluebell,Bluebell_281
-33932.34098379752,7967.467661074939,Bluebell,Bluebell_256
-47097.39159834252,-37741.78133097462,Bluebell,Bluebell_242
-19106.614235646543,15027.217429897437,Snowdrop,Snowdrop_116
-56089.59854595751,10933.499776147848,Snowdrop,Snowdrop_102
-71509.6256994606,17341.392919027963,Tulip,Tulip_574
-61495.02515837622,7501.734681381232,Sunflower,Sunflower_776
-53370.6935446418,6694.2597446711425,Sunflower,Sunflower_762
-37368.21516904898,2495.337930896021,Tulip,Tulip_602
-31179.659673514965,-19236.48641192407,Sunflower,Sunflower_789
-28220.590959501642,202.92162666030842,Tulip,Tulip_616
-21523.279457750978,-6211.092752470376,Tulip,Tulip_617
-38626.14651326458,-7722.874284426174,Tulip,Tulip_603
-35031.415975055,7234.0466128826565,Sunflower,Sunflower_788
-50883.47410825459,-15729.127503223513,Sunflower,Sunflower_763
-32352.528092043438,13490.767143503877,Sunflower,Sunflower_777
-69478.85510536643,14467.176256534165,Tulip,Tulip_561
-42341.38282458814,319.2049883434694,Tulip,Tulip_575
-75433.73735266557,-6989.0104857824435,Snowdrop,Snowdrop_103
-48439.1652290843,34992.126743860914,Snowdrop,Snowdrop_117
-62510.2751713788,15239.043094294768,Bluebell,Bluebell_243
-37011.49143896105,-14451.437844883309,Bluebell,Bluebell_257
-34831.309494103196,-4039.0909558583135,Bluebell,Bluebell_280
-65191.46133523054,13060.54802026118,Bluebell,Bluebell_294
-37175.73187189851,1975.9879047110999,Bluebell,Bluebell_282
-33927.72891643405,-6388.456409355443,Bluebell,Bluebell_296
-66198.2960683404,20761.62958168265,Bluebell,Bluebell_269
-33960.07529826785,9192.244890532722,Bluebell,Bluebell_241
-15309.278070672583,-5164.912341423702,Tigerlilly,Tigerlilly_558
-45912.339142914876,-8335.245115367927,Bluebell,Bluebell_255
-45240.2770083298,16705.964575215647,Snowdrop,Snowdrop_101
-43082.09030121608,687.5456026593013,Snowdrop,Snowdrop_115
-23728.09085994369,-8626.248177596428,Tulip,Tulip_588
-45635.885502407415,-15192.074311829449,Snowdrop,Snowdrop_129
-44735.7676137759,-11013.961639558573,Tulip,Tulip_563
-47900.799985225516,8216.6077100152,Tulip,Tulip_577
-63778.19512355277,11770.585734004619,Windflower,Windflower_1138
-52146.63522691831,7808.8731514134915,Sunflower,Sunflower_749
-38406.95960647232,9883.146276947275,Sunflower,Sunflower_761
-36043.813179425066,9731.938866398888,Sunflower,Sunflower_775
-49888.534872515185,16789.107309797313,Bluebell,Bluebell_309
-55166.93356673968,-10788.405940616845,Tulip,Tulip_615
-46283.53731436865,-530.8571103904196,Tulip,Tulip_601
-43708.242409348015,-368.7951263555562,Tulip,Tulip_629
-46225.6005096598,12101.824121893027,Bluebell,Bluebell_320
-66623.7391321244,1757.3447599637832,Tulip,Tulip_628
-39361.79716383883,-8933.21111553505,Tulip,Tulip_600
-28409.9964002523,10097.323530449621,Tulip,Tulip_614
-18388.89880523205,3295.8665161927897,Bluebell,Bluebell_308
-38170.72910779047,14748.390706585484,Sunflower,Sunflower_774
-48708.692989133095,17546.886415619374,Sunflower,Sunflower_760
-53499.33473247913,10157.237640205089,Sunflower,Sunflower_748
-54334.80113709789,8414.859256362533,Windflower,Windflower_1139
-39167.544011313934,8576.283332285802,Tulip,Tulip_576
-28873.366790181608,9702.080411130666,Tulip,Tulip_562
-51645.86369312982,1816.950324711319,Snowdrop,Snowdrop_128
-60253.66792286299,11477.6835854305,Tulip,Tulip_589
-59886.009752780716,-16515.932238330282,Snowdrop,Snowdrop_114
-40716.39025223683,-748.9192030296896,Snowdrop,Snowdrop_100
-52929.360143336795,-1313.5160461441467,Tigerlilly,Tigerlilly_559
-33290.37973826154,2047.1545579251008,Bluebell,Bluebell_254
-59783.84596599022,37468.27616353369,Bluebell,Bluebell_268
-45183.48392258799,7155.653232946523,Bluebell,Bluebell_297
-59193.56982343388,23552.31642894047,Bluebell,Bluebell_283
-34696.98677599922,-22440.37598185277,Bluebell,Bluebell_287
-31268.97798105357,3852.281973806626,Bluebell,Bluebell_293
-36612.23952152651,9394.893536897249,Tigerlilly,Tigerlilly_549
-74816.56974694223,3396.8764744392797,Bluebell,Bluebell_244
-49498.28512931814,9732.278287227895,Bluebell,Bluebell_250
-35349.954761397385,16949.67193415002,Bluebell,Bluebell_278
-66034.52849690912,-6797.558090953775,Snowdrop,Snowdrop_138
-34705.01344178627,13444.083894469934,Tulip,Tulip_599
-47355.38273567413,1774.3826759859905,Snowdrop,Snowdrop_104
-41947.39048194545,2661.656606927208,Snowdrop,Snowdrop_110
-34038.73916357898,271.20183705060174,Windflower,Windflower_1129
-30700.558404233314,4968.535969820693,Tulip,Tulip_566
-66633.31227340756,225.59912719623668,Tulip,Tulip_572
-15497.770746602595,-1331.05778493694,Sunflower,Sunflower_764
-28750.842530573467,-2019.0961086822656,Sunflower,Sunflower_770
-32394.18761791842,8932.892717884515,Sunflower,Sunflower_758
-21053.41316373384,-6129.456422174434,Tulip,Tulip_638
-55257.52930121408,8134.66689193548,Tulip,Tulip_610
-33171.042945613284,3918.3310156794514,Bluebell,Bluebell_318
-38345.15881840216,11347.175464623178,Tulip,Tulip_604
-48489.37521226105,-17591.8330186499,Tulip,Tulip_605
-59779.779011228275,5093.71853551707,Bluebell,Bluebell_319
-29100.611582835736,-1454.0512812041104,Tulip,Tulip_611
-47030.69847097407,3564.2361666817633,Tulip,Tulip_639
-39680.3307805802,9464.349403177832,Sunflower,Sunflower_759
-24261.62670669622,-15027.020291184399,Sunflower,Sunflower_771
-41143.04294784095,1652.2899441521736,Sunflower,Sunflower_765
-45114.73230600147,-2683.1894774883067,Tulip,Tulip_573
-46515.1298209415,-1803.9849067719808,Tulip,Tulip_567
-65572.3987301953,806.5020674364372,Windflower,Windflower_1128
-15501.50679639137,10719.858857852509,Snowdrop,Snowdrop_111
-52010.506336114384,4849.794992851024,Snowdrop,Snowdrop_105
-28324.796077536204,-3215.431511679158,Tulip,Tulip_598
-63885.219498485574,18319.599915374525,Snowdrop,Snowdrop_139
-55710.611530113085,-6906.387682160012,Tigerlilly,Tigerlilly_560
-50265.563690871866,1658.7897934812177,Bluebell,Bluebell_279
-51325.58561375249,8460.695954099006,Bluebell,Bluebell_251
-28873.676097971547,-12527.278599295834,Tigerlilly,Tigerlilly_548
-18247.51044313635,52645.706369552674,Bluebell,Bluebell_245
-29666.061803306162,-14777.128196212845,Bluebell,Bluebell_292
-35614.357078392415,-9179.124243332375,Bluebell,Bluebell_286
-25531.237147238902,5333.279082672759,Bluebell,Bluebell_290
-41128.359338380964,-751.0239133801881,Bluebell,Bluebell_284
-33168.89399582949,1231.9763155631108,Bluebell,Bluebell_253
-48691.80691980783,11456.183301202273,Bluebell,Bluebell_247
-63246.94735292532,5916.361708419585,Snowdrop,Snowdrop_113
-40159.58469926457,29176.673981254284,Snowdrop,Snowdrop_107
-38104.34583201713,-3252.7240968366564,Tulip,Tulip_571
-47851.547638670876,17161.014197081473,Tulip,Tulip_565
-14711.47948279026,-13474.790463584182,Sunflower,Sunflower_773
-49257.07725557794,-12391.229815696626,Sunflower,Sunflower_767
-36330.1598332572,5802.059875647847,Tulip,Tulip_607
-61761.07929246788,14222.89411588801,Tulip,Tulip_613
-38390.382727400654,-16602.94598523639,Sunflower,Sunflower_798
-4798.825873453331,-2154.437991728232,Tulip,Tulip_612
-36890.624658619665,-6579.3618520390455,Sunflower,Sunflower_799
-59971.02671439588,5721.796619560675,Tulip,Tulip_606
-25163.471573842413,-5928.194246733542,Sunflower,Sunflower_766
-56177.45662959281,19269.82212251238,Sunflower,Sunflower_772
-50106.465899613366,-11859.873052046629,Tulip,Tulip_564
-39846.893097598855,-12403.03076423217,Tulip,Tulip_570
-61020.31861399286,1362.8074457194152,Snowdrop,Snowdrop_106
-52568.00617005163,21848.057946984783,Snowdrop,Snowdrop_112
-41295.121989503925,14011.864466142895,Bluebell,Bluebell_246
-62847.257212458186,7669.453440380744,Bluebell,Bluebell_252
-38321.74309287174,6036.56580927769,Bluebell,Bluebell_285
-34588.437181038615,7748.667387956176,Bluebell,Bluebell_291
-81112.60266458477,3883.7045524089563,Snowdrop,Snowdrop_94
-37861.73371438667,12040.802072635966,Tigerlilly,Tigerlilly_504
-71791.09774320082,-12386.214389879764,Tigerlilly,Tigerlilly_510
-20423.808398099063,-2788.779465837441,Tigerlilly,Tigerlilly_538
-46855.03266978653,-6331.163029640763,Lilly_Valley,Lilly_Valley_170
-46269.25452925057,11065.409708645651,Snowdrop,Snowdrop_149
-50923.386665363454,-13231.121062661448,Lilly_Valley,Lilly_Valley_164
-64047.652650888485,10372.746199543333,Windflower,Windflower_1170
-35257.48001875433,16012.343414933877,Windflower,Windflower_1164
-53801.34680513782,8239.305932596204,Windflower,Windflower_1158
-54494.81505191243,11166.85646944492,Sunflower,Sunflower_729
-33295.385903084934,-6085.7270960439255,Lilly_Valley,Lilly_Valley_206
-44852.507851375565,-6901.387004849904,Lilly_Valley,Lilly_Valley_212
-74470.04076291756,-6287.170478336733,Lilly_Valley,Lilly_Valley_213
-35656.486705277326,9121.711209749335,Lilly_Valley,Lilly_Valley_207
-9346.855049327074,9559.909440035466,Sunflower,Sunflower_728
-75023.05605898905,-4286.238135962271,Windflower,Windflower_1159
-39918.01146912888,-8808.008177705655,Windflower,Windflower_1165
-84583.64100983407,18393.59270712236,Windflower,Windflower_1171
-73981.41301787457,16057.263791910907,Lilly_Valley,Lilly_Valley_165
-70032.65722508349,10413.657701238244,Snowdrop,Snowdrop_148
-27200.380160492256,21757.007253523192,Lilly_Valley,Lilly_Valley_171
