PCA_1,PCA_2,labels,filename
12279.776582764523,-4270.2936336385355,Bluebell,Bluebell_295
-3128.312356386938,-110.48319182331088,Bluebell,Bluebell_281
4811.900087678678,-156.17140365677213,Bluebell,Bluebell_256
20505.254216435675,-5000.4503703365635,Bluebell,Bluebell_242
-8288.971502468166,-4977.044424587203,Snowdrop,Snowdrop_116
3452.4507307163944,-3041.458885264766,Snowdrop,Snowdrop_102
-1520.6587516739194,4387.344347722229,Tulip,Tulip_574
8420.731700042823,13912.763519949964,Sunflower,Sunflower_776
-3351.470767768385,11946.016572328826,Sunflower,Sunflower_762
-12374.511381662329,-4084.7669199227644,Tulip,Tulip_602
4680.333037692813,2753.4602145629915,Sunflower,Sunflower_789
-3045.6271876621167,-4604.096757530195,Tulip,Tulip_616
-4606.593832940247,-7007.0120280125375,Tulip,Tulip_617
6369.431176741761,-350.0977210729692,Tulip,Tulip_603
12788.885663776962,3010.047266146162,Sunflower,Sunflower_788
13152.343439578986,16734.74673878819,Sunflower,Sunflower_763
4310.343907914682,1698.4551439121735,Sunflower,Sunflower_777
-3018.464397353757,4661.852539526404,Tulip,Tulip_561
-16107.020390667903,3701.3269855013546,Tulip,Tulip_575
-70.24325386511559,-4013.768233749365,Snowdrop,Snowdrop_103
4805.803626789674,-8110.531303073957,Snowdrop,Snowdrop_117
20513.298825101047,-5111.792213245123,Bluebell,Bluebell_243
-5389.1883464003695,-8789.575689383366,Bluebell,Bluebell_257
794.7321673896257,-1360.0531764741522,Bluebell,Bluebell_280
790.5275205445153,-3659.8528381824403,Bluebell,Bluebell_294
-2929.7412885900594,-2732.774506751564,Bluebell,Bluebell_282
595.2661476071972,-914.6705618652696,Bluebell,Bluebell_296
12065.359082358189,-9793.699262856682,Bluebell,Bluebell_269
12683.994663587542,-8869.085324993111,Bluebell,Bluebell_241
-9803.438108551363,538.4993300366723,Tigerlilly,Tigerlilly_558
5554.46997911847,-5387.761953439714,Bluebell,Bluebell_255
-10591.27012967789,-6288.5783575307005,Snowdrop,Snowdrop_101
-7389.239656222922,-8650.122760468128,Snowdrop,Snowdrop_115
-9818.50164819063,-1035.8660736285046,Tulip,Tulip_588
-6323.8331448428735,-3238.882378665342,Snowdrop,Snowdrop_129
-5195.376532792285,4528.121425701969,Tulip,Tulip_563
1109.9439409442616,-112.53977440553656,Tulip,Tulip_577
-4420.036262971868,16230.017138250634,Windflower,Windflower_1138
-5278.096372708295,13306.17138281468,Sunflower,Sunflower_749
-931.1362363543376,17172.781724341326,Sunflower,Sunflower_761
10722.15323793044,13470.26609587132,Sunflower,Sunflower_775
1818.2917854643601,-4408.968536371994,Bluebell,Bluebell_309
10432.626125973353,-2146.6138501120645,Tulip,Tulip_615
10913.549111864868,-3315.0050546745656,Tulip,Tulip_601
9830.962845366379,-2210.7317885912803,Tulip,Tulip_629
-1644.8747437997747,-2707.483631742746,Bluebell,Bluebell_320
879.9477850994763,771.0903413345593,Tulip,Tulip_628
179.8546920199104,1402.7093739611755,Tulip,Tulip_600
-4077.3800777779456,-3844.9647848250293,Tulip,Tulip_614
-7166.411873486859,-9842.778745399864,Bluebell,Bluebell_308
