GRP_1,GRP_2,labels,filename
-46607.974600612695,12787.030710089188,Bluebell,Bluebell_295
-31361.54222118924,-24672.803404578422,Bluebell,Bluebell_281
-56089.59854595751,10933.499776147848,Snowdrop,Snowdrop_102
-71509.6256994606,17341.392919027963,Tulip,Tulip_574
-61495.02515837622,7501.734681381232,Sunflower,Sunflower_776
-31179.659673514965,-19236.48641192407,Sunflower,Sunflower_789
-28220.590959501642,202.92162666030842,Tulip,Tulip_616
-21523.279457750978,-6211.092752470376,Tulip,Tulip_617
-35031.415975055,7234.0466128826565,Sunflower,Sunflower_788
-32352.52809204344,13490.767143503877,Sunflower,Sunflower_777
-48439.1652290843,34992.12674386092,Snowdrop,Snowdrop_117
-37175.73187189851,1975.9879047110999,Bluebell,Bluebell_282
-66198.2960683404,20761.62958168265,Bluebell,Bluebell_269
-43082.09030121608,687.5456026593013,Snowdrop,Snowdrop_115
-44735.7676137759,-11013.961639558573,Tulip,Tulip_563
-63778.195123552774,11770.585734004619,Windflower,Windflower_1138
-55166.93356673968,-10788.405940616845,Tulip,Tulip_615
-43708.242409348015,-368.7951263555562,Tulip,Tulip_629
-66623.7391321244,1757.3447599637832,Tulip,Tulip_628
-39361.79716383883,-8933.21111553505,Tulip,Tulip_600
-28409.9964002523,10097.323530449621,Tulip,Tulip_614
-38170.72910779047,14748.390706585484,Sunflower,Sunflower_774
-48708.692989133095,17546.886415619374,Sunflower,Sunflower_760
-53499.33473247913,10157.237640205089,Sunflower,Sunflower_748
-54334.80113709789,8414.859256362533,Windflower,Windflower_1139
-28873.366790181608,9702.080411130666,Tulip,Tulip_562
-51645.86369312982,1816.950324711319,Snowdrop,Snowdrop_128
-60253.66792286299,11477.6835854305,Tulip,Tulip_589
-59783.84596599022,37468.27616353369,Bluebell,Bluebell_268
-34696.98677599922,-22440.37598185277,Bluebell,Bluebell_287
-31268.97798105357,3852.281973806626,Bluebell,Bluebell_293
-74816.56974694223,3396.8764744392797,Bluebell,Bluebell_244
-49498.28512931814,9732.278287227895,Bluebell,Bluebell_250
-41947.39048194545,2661.656606927208,Snowdrop,Snowdrop_110
-34038.73916357898,271.20183705060174,Windflower,Windflower_1129
-28750.842530573467,-2019.0961086822656,Sunflower,Sunflower_770
-32394.18761791842,8932.892717884515,Sunflower,Sunflower_758
-55257.52930121408,8134.66689193548,Tulip,Tulip_610
-33171.042945613284,3918.3310156794514,Bluebell,Bluebell_318
-29100.611582835736,-1454.0512812041104,Tulip,Tulip_611
-47030.69847097407,3564.2361666817633,Tulip,Tulip_639
-41143.04294784095,1652.2899441521736,Sunflower,Sunflower_765
-45114.73230600147,-2683.1894774883067,Tulip,Tulip_573
-65572.3987301953,806.5020674364372,Windflower,Windflower_1128
-15501.50679639137,10719.858857852509,Snowdrop,Snowdrop_111
-52010.506336114384,4849.794992851024,Snowdrop,Snowdrop_105
-63885.21949848557,18319.599915374525,Snowdrop,Snowdrop_139
-51325.58561375249,8460.695954099006,Bluebell,Bluebell_251
-28873.676097971547,-12527.278599295834,Tigerlilly,Tigerlilly_548
-29666.061803306162,-14777.128196212845,Bluebell,Bluebell_292
-25531.237147238906,5333.279082672759,Bluebell,Bluebell_290
-41128.359338380964,-751.0239133801881,Bluebell,Bluebell_284
-33168.89399582949,1231.9763155631108,Bluebell,Bluebell_253
-48691.80691980783,11456.183301202273,Bluebell,Bluebell_247
-47851.547638670876,17161.014197081473,Tulip,Tulip_565
-36330.1598332572,5802.059875647847,Tulip,Tulip_607
-61761.07929246787,14222.89411588801,Tulip,Tulip_613
-4798.825873453331,-2154.437991728232,Tulip,Tulip_612
-59971.02671439588,5721.796619560675,Tulip,Tulip_606
-25163.471573842413,-5928.194246733542,Sunflower,Sunflower_766
-50106.465899613366,-11859.873052046629,Tulip,Tulip_564
-62847.257212458186,7669.453440380744,Bluebell,Bluebell_252
-38321.74309287174,6036.56580927769,Bluebell,Bluebell_285
-34588.437181038615,7748.667387956176,Bluebell,Bluebell_291
-71791.09774320082,-12386.214389879764,Tigerlilly,Tigerlilly_510
-20423.808398099063,-2788.779465837441,Tigerlilly,Tigerlilly_538
-46855.03266978653,-6331.163029640763,Lilly_Valley,Lilly_Valley_170
-46269.25452925057,11065.409708645651,Snowdrop,Snowdrop_149
-64047.652650888485,10372.746199543333,Windflower,Windflower_1170
-35257.48001875433,16012.343414933877,Windflower,Windflower_1164
-53801.34680513782,8239.305932596204,Windflower,Windflower_1158
-44852.507851375565,-6901.387004849904,Lilly_Valley,Lilly_Valley_212
-35656.486705277326,9121.711209749335,Lilly_Valley,Lilly_Valley_207
-75023.05605898905,-4286.238135962271,Windflower,Windflower_1159
-39918.01146912888,-8808.008177705655,Windflower,Windflower_1165
-84583.64100983407,18393.59270712236,Windflower,Windflower_1171
-73981.41301787457,16057.263791910907,Lilly_Valley,Lilly_Valley_165
-70032.65722508349,10413.657701238244,Snowdrop,Snowdrop_148
-27200.380160492256,21757.007253523192,Lilly_Valley,Lilly_Valley_171
-49674.0825656541,4976.767061465277,Tigerlilly,Tigerlilly_539
-49372.48508352127,-11146.778222647345,Snowdrop,Snowdrop_95
-56783.10554143599,5992.588260674944,Snowdrop,Snowdrop_81
-34910.383737784585,-1579.7814620033025,Snowdrop,Snowdrop_83
-34449.918775837265,-1437.4734461652615,Tigerlilly,Tigerlilly_513
-26204.793786471597,4907.149670041496,Windflower,Windflower_1198
-35416.66928775502,19693.85550440444,Lilly_Valley,Lilly_Valley_198
-49405.69566882672,-12216.390095979224,Windflower,Windflower_1167
-45634.05534279967,-9078.987402171053,Windflower,Windflower_1173
-41977.4341861339,3344.407956836013,Lilly_Valley,Lilly_Valley_239
-70263.91075273727,-13437.052137270495,Tigerlilly,Tigerlilly_498
-39180.12029560275,14272.038383920657,Lilly_Valley,Lilly_Valley_211
-60388.07514122576,17311.02521465091,Lilly_Valley,Lilly_Valley_205
-25027.68634999168,-4859.41460217325,Lilly_Valley,Lilly_Valley_210
-38343.30972214436,-3038.375306506377,Lilly_Valley,Lilly_Valley_238
-47260.476735162854,-11555.308796245865,Lilly_Valley,Lilly_Valley_199
-43143.71163191774,1754.9856079499482,Windflower,Windflower_1166
-26715.451514158198,-12893.395034678642,Windflower,Windflower_1199
-30630.68613855355,3606.1482467497167,Tigerlilly,Tigerlilly_506
-33907.388222450965,10682.140751349023,Tigerlilly,Tigerlilly_512
-58034.634225605056,-7216.948138930343,Snowdrop,Snowdrop_82
-78338.74203792315,11937.113033972146,Snowdrop,Snowdrop_86
-29209.393698973774,-16957.907456282042,Tigerlilly,Tigerlilly_502
-36308.9161939071,-4023.240659045816,Lilly_Valley,Lilly_Valley_176
-48875.13886941718,-22755.599278580485,Windflower,Windflower_1189
-46564.08957406414,4193.464058579468,Windflower,Windflower_1162
-13235.967567662125,3887.5232756548658,Lilly_Valley,Lilly_Valley_214
-20100.745800589808,-7119.705159329205,Windflower,Windflower_1200
-45560.05560495826,-1393.1573383149241,Lilly_Valley,Lilly_Valley_229
-44694.50589242767,-2317.681377286718,Tigerlilly,Tigerlilly_488
-35715.71139272122,12626.514338090215,Lilly_Valley,Lilly_Valley_201
-21834.25602497672,-9856.88280697432,Lilly_Valley,Lilly_Valley_188
-53543.00595369509,8919.446084028012,Windflower,Windflower_1177
-55112.6812984974,2207.309998266064,Lilly_Valley,Lilly_Valley_177
-50642.830939313884,16894.318782750877,Windflower,Windflower_1188
-58188.566244074114,5186.433352425152,Lilly_Valley,Lilly_Valley_163
-34901.92713105092,7979.388318466925,Tigerlilly,Tigerlilly_503
-37785.433802234285,23396.401048484022,Tigerlilly,Tigerlilly_517
-52709.77631947535,5510.042520606906,Snowdrop,Snowdrop_85
-59496.11622444176,514.1966541180891,Tigerlilly,Tigerlilly_501
-29436.870581630184,-5479.217741973835,Lilly_Valley,Lilly_Valley_175
5994.216151201949,16574.737298547858,Snowdrop,Snowdrop_158
-37364.327076323694,-6155.844478092892,Lilly_Valley,Lilly_Valley_203
-46578.639676053135,-5865.853310262724,Sunflower,Sunflower_738
-36592.07006332048,10789.945501130811,Lilly_Valley,Lilly_Valley_202
-58718.070328900736,915.3480172205279,Windflower,Windflower_1160
-31408.12253254338,-5621.7772921625465,Windflower,Windflower_1174
-48256.94450278123,-7042.230720598697,Windflower,Windflower_1148
-86902.00358161812,9012.047822967488,Snowdrop,Snowdrop_159
-26227.182541351434,147.59397234187549,Lilly_Valley,Lilly_Valley_174
-55786.728673003694,11981.37277520604,Tigerlilly,Tigerlilly_514
-28649.873692840683,12386.249046697654,Tigerlilly,Tigerlilly_500
-64446.622999768806,-10380.55160923507,Tigerlilly,Tigerlilly_528
-42274.46616216011,453.37450713433776,Snowdrop,Snowdrop_90
-40763.530364021535,-7576.91284619532,Snowdrop,Snowdrop_84
-22253.455530174047,15560.124715145403,Snowdrop,Snowdrop_89
-52138.54563034782,7326.722033973479,Tigerlilly,Tigerlilly_525
-31938.81879090247,-27520.737543508985,Tigerlilly,Tigerlilly_519
-39113.11091715176,-8990.169000328979,Lilly_Valley,Lilly_Valley_179
-62500.51666550747,1070.0401580168989,Windflower,Windflower_1179
-31896.48630228495,-6830.618668040473,Lilly_Valley,Lilly_Valley_186
-48597.9954456063,20029.236519995295,Tigerlilly,Tigerlilly_486
-30418.761272923388,-14754.26403553554,Sunflower,Sunflower_734
-59170.64668672213,12037.059483013745,Lilly_Valley,Lilly_Valley_227
-43295.690123887936,2903.1908018625395,Lilly_Valley,Lilly_Valley_233
-46570.80327395958,13200.670750845478,Tulip,Tulip_640
-48502.25827893716,15059.815190578774,Sunflower,Sunflower_721
-59456.947456836424,18925.40527647466,Lilly_Valley,Lilly_Valley_226
-60498.17596718256,16304.540954011818,Windflower,Windflower_1178
-26357.48365135784,4684.924111811913,Lilly_Valley,Lilly_Valley_193
