ISM_1,ISM_2,labels,filename
25788.405322817827,-20673.29243875992,Bluebell,Bluebell_295
-7281.9639067206335,-6316.0033846423885,Bluebell,Bluebell_281
5444.39899333764,-12101.324369144337,Snowdrop,Snowdrop_102
-7251.18679799183,15185.722036854382,Tulip,Tulip_574
20227.328917668,28671.740264268374,Sunflower,Sunflower_776
2881.2336166264336,-594.5920109771805,Sunflower,Sunflower_789
-9552.433081720392,-9988.622064415373,Tulip,Tulip_616
-14935.724156492044,-13161.734689390903,Tulip,Tulip_617
29550.005092049127,2311.023432149543,Sunflower,Sunflower_788
8802.862166051322,4609.817548009191,Sunflower,Sunflower_777
2793.1172237259148,-27783.08221379021,Snowdrop,Snowdrop_117
-12275.187034657569,-7454.823120046573,Bluebell,Bluebell_282
27483.854087340118,-20229.100882624385,Bluebell,Bluebell_269
-16783.068374881514,-18385.656803412287,Snowdrop,Snowdrop_115
-12639.578216569851,12139.32435948915,Tulip,Tulip_563
-5955.096504975946,49169.67199724372,Windflower,Windflower_1138
29099.117024199986,-7314.7043887741675,Tulip,Tulip_615
29313.24811214125,-9988.868966784192,Tulip,Tulip_629
664.0344964711476,-5722.711419097092,Tulip,Tulip_628
-1555.0316155040766,-4790.548468979428,Tulip,Tulip_600
-15485.056885094731,-6101.826141318029,Tulip,Tulip_614
-9409.929987802188,32107.47222466203,Sunflower,Sunflower_774
7463.318822488217,28094.43023121251,Sunflower,Sunflower_760
7642.967834914046,28783.77124125417,Sunflower,Sunflower_748
-4862.759216672499,25152.5640488216,Windflower,Windflower_1139
-32424.91778549848,13417.977488351089,Tulip,Tulip_562
10317.941760360125,-16551.417897280568,Snowdrop,Snowdrop_128
1105.8633371227213,-6200.703277428046,Tulip,Tulip_589
35502.19478009717,-971.3355561626024,Bluebell,Bluebell_268
-12926.018363484085,-6060.9353187156985,Bluebell,Bluebell_287
2567.932481915307,-11871.588619508335,Bluebell,Bluebell_293
30229.9208114438,-10031.780245230235,Bluebell,Bluebell_244
19427.5077801558,-29301.60876758624,Bluebell,Bluebell_250
19395.63388633496,-28673.495435446694,Snowdrop,Snowdrop_110
-32785.42144709239,18458.347500036165,Windflower,Windflower_1129
-12731.61794073446,-1029.6988301637648,Sunflower,Sunflower_770
-16183.306900376867,5985.4371472963985,Sunflower,Sunflower_758
14371.994304608213,-5320.048198245772,Tulip,Tulip_610
-15224.217323276493,-13648.755143210255,Bluebell,Bluebell_318
17410.669720135495,-6092.52141607409,Tulip,Tulip_611
-860.1063663337511,-17065.553707186915,Tulip,Tulip_639
-14415.529566122663,34489.875803618044,Sunflower,Sunflower_765
4647.97243637976,20181.3438558565,Tulip,Tulip_573
-2548.983621644903,57349.782064626874,Windflower,Windflower_1128
-44650.822213968015,-1614.607066219329,Snowdrop,Snowdrop_111
26484.389835228867,-8171.36070040864,Snowdrop,Snowdrop_105
-17705.728685387072,-4249.351068559,Snowdrop,Snowdrop_139
5609.164956393595,-29518.59247525007,Bluebell,Bluebell_251
13415.577321347117,76.60212236128031,Tigerlilly,Tigerlilly_548
-13198.083256059033,-14369.051875917488,Bluebell,Bluebell_292
-4965.891425176816,-12693.489536738703,Bluebell,Bluebell_290
3478.0532533032783,-9717.580360916536,Bluebell,Bluebell_284
28021.754229455568,-22185.550154689063,Bluebell,Bluebell_253
47647.91474003936,-7398.4120355540945,Bluebell,Bluebell_247
-16102.016943196742,16388.664626216818,Tulip,Tulip_565
-89.66741003787314,-9057.385244378427,Tulip,Tulip_607
48795.803075015305,8685.84356114455,Tulip,Tulip_613
-25745.257091558444,-14111.827334297317,Tulip,Tulip_612
30080.144457336664,-2657.1900734245787,Tulip,Tulip_606
30439.98609598893,-10073.666689753987,Sunflower,Sunflower_766
-17269.301076159914,259.8924855436397,Tulip,Tulip_564
28144.02975369832,-25402.316719812417,Bluebell,Bluebell_252
1253.9841662705635,-8135.406236938988,Bluebell,Bluebell_285
-32707.22272079591,-16591.359124250394,Bluebell,Bluebell_291
50008.28858079762,5884.125792855965,Tigerlilly,Tigerlilly_510
-3578.630367873029,489.8061803845997,Tigerlilly,Tigerlilly_538
15111.039937452055,-7113.30520277621,Lilly_Valley,Lilly_Valley_170
-11403.286474218638,-10464.240819014445,Snowdrop,Snowdrop_149
-19044.810353010536,54074.65052016152,Windflower,Windflower_1170
-35646.834526517865,17230.1303468275,Windflower,Windflower_1164
-13467.752629183497,33161.57520790225,Windflower,Windflower_1158
-19326.37390344589,-3007.5563774571106,Lilly_Valley,Lilly_Valley_212
-25810.642928441426,-9424.577712012388,Lilly_Valley,Lilly_Valley_207
16269.287963639072,41769.28207888181,Windflower,Windflower_1159
49139.967640026436,19838.03850473964,Windflower,Windflower_1165
20225.636846994592,8089.940590962618,Windflower,Windflower_1171
53201.47133596451,10966.756579077748,Lilly_Valley,Lilly_Valley_165
53439.39719025684,-9330.26413621679,Snowdrop,Snowdrop_148
-45113.21268529832,-2771.149569074343,Lilly_Valley,Lilly_Valley_171
11201.218625903548,3594.196448261192,Tigerlilly,Tigerlilly_539
-14540.489590363612,-8532.635821412394,Snowdrop,Snowdrop_95
-27838.72968582088,-2633.049176415101,Snowdrop,Snowdrop_81
18778.013758899462,-13803.533697051487,Snowdrop,Snowdrop_83
-22182.581676485126,312.0612233820998,Tigerlilly,Tigerlilly_513
-37055.45963952668,5960.2393660374755,Windflower,Windflower_1198
-23665.526300557514,-7975.955308615525,Lilly_Valley,Lilly_Valley_198
-17223.05798129903,-4527.367123114445,Windflower,Windflower_1167
-4094.8524197593047,45085.95912590172,Windflower,Windflower_1173
-17098.310073359364,-6876.832363034003,Lilly_Valley,Lilly_Valley_239
19606.805518831447,-80.89683962404588,Tigerlilly,Tigerlilly_498
10327.240622857995,-15282.463254671102,Lilly_Valley,Lilly_Valley_211
25179.508391114327,-24140.403085435533,Lilly_Valley,Lilly_Valley_205
-21533.4313906072,-7560.448992809077,Lilly_Valley,Lilly_Valley_210
-228.21920637247928,-13672.726963065847,Lilly_Valley,Lilly_Valley_238
-20718.923160187547,-5454.894850875959,Lilly_Valley,Lilly_Valley_199
-34595.22439698472,20729.65575052594,Windflower,Windflower_1166
-25557.70703963311,-3008.456872024521,Windflower,Windflower_1199
14635.69886580337,-1596.3196512801721,Tigerlilly,Tigerlilly_506
-17.10210568112504,-5821.390613155472,Tigerlilly,Tigerlilly_512
-4723.743921376524,-16204.1332789922,Snowdrop,Snowdrop_82
-4554.299821488794,-10624.969732249829,Snowdrop,Snowdrop_86
-16458.992956906804,28265.67108229603,Tigerlilly,Tigerlilly_502
-22566.55226857601,-6100.105654836394,Lilly_Valley,Lilly_Valley_176
-365.05248188336265,7375.035501825175,Windflower,Windflower_1189
28683.249388578588,10196.57572883397,Windflower,Windflower_1162
-31987.535083721323,6076.500996624543,Lilly_Valley,Lilly_Valley_214
-7584.348764165188,-5296.471489260282,Windflower,Windflower_1200
1256.4574117898758,-8672.921723506392,Lilly_Valley,Lilly_Valley_229
