MDS_1,MDS_2,labels,filename
-21730.242428092406,1046.5849701782272,Bluebell,Bluebell_295
5629.5706245764795,-1866.3908589650966,Bluebell,Bluebell_281
-12206.802037477188,-9378.627971333002,Snowdrop,Snowdrop_102
5695.805455430766,8380.515655289382,Tulip,Tulip_574
-2863.1755119764525,32082.05671222056,Sunflower,Sunflower_776
-17615.19042241637,-12946.373388417749,Sunflower,Sunflower_789
1453.0749974147527,-22577.36138011764,Tulip,Tulip_616
5033.393288654787,-10918.611848453194,Tulip,Tulip_617
-18223.69603703061,16875.00584117018,Sunflower,Sunflower_788
-7980.1524663957925,12089.536491715935,Sunflower,Sunflower_777
-16062.704008582396,-20138.93239839875,Snowdrop,Snowdrop_117
5354.759024229127,-8132.071771270191,Bluebell,Bluebell_282
-23316.814946845225,-11504.658548621142,Bluebell,Bluebell_269
8353.856959130431,-15451.416882353278,Snowdrop,Snowdrop_115
8888.697024307814,3471.728920345057,Tulip,Tulip_563
15040.621648212164,18269.24819665925,Windflower,Windflower_1138
-14699.282044833451,2180.8854957738927,Tulip,Tulip_615
-14051.276873374994,1057.0125374849847,Tulip,Tulip_629
-1041.9885417426804,17374.641812676058,Tulip,Tulip_628
1568.5025553719065,8464.994645635112,Tulip,Tulip_600
6351.545308598144,-10319.43936468567,Tulip,Tulip_614
15138.964292560002,8554.780457320298,Sunflower,Sunflower_774
6178.668961524039,21123.897431425878,Sunflower,Sunflower_760
4053.819843007048,19054.7030758674,Sunflower,Sunflower_748
9737.973401903511,9931.708737506477,Windflower,Windflower_1139
25285.688450829664,-1366.0910073329328,Tulip,Tulip_562
-19980.980781221468,-10819.391956965548,Snowdrop,Snowdrop_128
-2962.374134663888,2222.3072073061553,Tulip,Tulip_589
-24011.99332387589,-15840.796129443672,Bluebell,Bluebell_268
2612.3283876579485,2532.9084510927883,Bluebell,Bluebell_287
-16213.439867342242,-11957.995131961876,Bluebell,Bluebell_293
-26919.337613143605,-689.4116453236572,Bluebell,Bluebell_244
-17481.30182060527,-8451.15989115961,Bluebell,Bluebell_250
-27869.78700611001,-10597.6382469587,Snowdrop,Snowdrop_110
20966.421371449007,-969.1570091716372,Windflower,Windflower_1129
13624.657089226508,16399.6245154493,Sunflower,Sunflower_770
12173.649402209376,5386.526001778659,Sunflower,Sunflower_758
-9858.105232745333,6050.287016665886,Tulip,Tulip_610
4774.141288936968,-14250.331453281291,Bluebell,Bluebell_318
-7416.013053811516,3423.852465780545,Tulip,Tulip_611
-3189.270231771599,-6294.47124584784,Tulip,Tulip_639
15232.285520063064,22648.977876502817,Sunflower,Sunflower_765
3781.948491927541,11033.060023530603,Tulip,Tulip_573
17464.52393470497,20850.029353349564,Windflower,Windflower_1128
21464.96955933262,-22541.949653147207,Snowdrop,Snowdrop_111
-17244.199150217468,755.7262999420883,Snowdrop,Snowdrop_105
7116.894572608654,-22046.60841800953,Snowdrop,Snowdrop_139
-6370.948662392372,-15297.427669607561,Bluebell,Bluebell_251
-13055.659938402714,15349.059555150769,Tigerlilly,Tigerlilly_548
6389.691660269659,-15939.695724215388,Bluebell,Bluebell_292
2215.303097885166,-3269.0480444728028,Bluebell,Bluebell_290
-4200.596229125405,-600.2234257117442,Bluebell,Bluebell_284
-25063.993157248617,-8798.24522673642,Bluebell,Bluebell_253
-30107.10206557898,-134.53291967779464,Bluebell,Bluebell_247
20768.752761300282,3233.732566200657,Tulip,Tulip_565
-10188.417317851106,-7727.962029696707,Tulip,Tulip_607
-29585.885652250567,2376.438473407287,Tulip,Tulip_613
18424.911401086265,-17376.001632391642,Tulip,Tulip_612
-23789.59010709508,4774.638113733518,Tulip,Tulip_606
-25724.9315012149,15030.736514629367,Sunflower,Sunflower_766
22312.632549589318,9196.405751444085,Tulip,Tulip_564
-30810.677246710802,-11969.629241014729,Bluebell,Bluebell_252
-9204.001925682072,-15432.931549045928,Bluebell,Bluebell_285
23243.776390048515,-23740.613980121627,Bluebell,Bluebell_291
-35596.69294266817,640.3854119495787,Tigerlilly,Tigerlilly_510
3600.8111119329365,9173.578575681486,Tigerlilly,Tigerlilly_538
-12146.854975768909,3314.3019110987866,Lilly_Valley,Lilly_Valley_170
4503.35175218421,-19043.70895651653,Snowdrop,Snowdrop_149
21554.389079100558,19090.42736653817,Windflower,Windflower_1170
27690.42518098314,-3653.293014345879,Windflower,Windflower_1164
14904.216332582839,9740.479813940081,Windflower,Windflower_1158
11791.924619086849,-3137.705926589405,Lilly_Valley,Lilly_Valley_212
14031.599950535201,-13232.336312633535,Lilly_Valley,Lilly_Valley_207
1168.669695647678,23445.41552967095,Windflower,Windflower_1159
-29074.390822618785,16404.38898047556,Windflower,Windflower_1165
-12365.726023432342,8799.526008565777,Windflower,Windflower_1171
-37787.67387188196,2669.1527001503478,Lilly_Valley,Lilly_Valley_165
-39734.54910866488,-11243.194733422411,Snowdrop,Snowdrop_148
25538.134290888658,-16803.709192548416,Lilly_Valley,Lilly_Valley_171
-6834.645802784373,6878.230277963097,Tigerlilly,Tigerlilly_539
7383.6743509192265,-10996.994101841667,Snowdrop,Snowdrop_95
17515.852943303922,-16117.401961275056,Snowdrop,Snowdrop_81
-13609.623735042329,-12351.554397256274,Snowdrop,Snowdrop_83
19960.950599153268,-3587.7357987174864,Tigerlilly,Tigerlilly_513
21716.13407911459,-6755.90243854554,Windflower,Windflower_1198
10440.537907222935,-10085.752369035868,Lilly_Valley,Lilly_Valley_198
15156.926309354842,-3598.4207346001635,Windflower,Windflower_1167
23187.06882869104,15435.715865928865,Windflower,Windflower_1173
5815.802077964033,-8756.759246429056,Lilly_Valley,Lilly_Valley_239
-10846.003839428236,11447.060639102412,Tigerlilly,Tigerlilly_498
-11133.613089536411,-28856.931402536637,Lilly_Valley,Lilly_Valley_211
-28168.123654105835,-6047.2486973265795,Lilly_Valley,Lilly_Valley_205
29526.227256437032,-6381.11181300399,Lilly_Valley,Lilly_Valley_210
-91.88523678251856,29458.615358457886,Lilly_Valley,Lilly_Valley_238
16086.935370998472,-5588.249211359065,Lilly_Valley,Lilly_Valley_199
28520.32352989688,-2296.8394544438197,Windflower,Windflower_1166
23191.168683912645,4090.8062064924293,Windflower,Windflower_1199
-8242.364550007369,1162.2477696873025,Tigerlilly,Tigerlilly_506
77.36108180090673,18259.05819396096,Tigerlilly,Tigerlilly_512
-3102.9603177327867,14050.777679857205,Snowdrop,Snowdrop_82
-5537.9066761939075,-14198.433227040017,Snowdrop,Snowdrop_86
20434.581541906122,14868.337513291555,Tigerlilly,Tigerlilly_502
18126.51832925157,-14084.977699985788,Lilly_Valley,Lilly_Valley_176
-316.33116194859235,6337.624669379673,Windflower,Windflower_1189
-12148.83539721823,2279.3208171109227,Windflower,Windflower_1162
22125.610811199414,-7534.015758522181,Lilly_Valley,Lilly_Valley_214
2286.871701602319,-1191.749929805631,Windflower,Windflower_1200
-3598.0502549900293,1946.957746103961,Lilly_Valley,Lilly_Valley_229
-1344.1015948758925,10042.053916519852,Tigerlilly,Tigerlilly_488
17212.190229733114,-10354.407890847868,Lilly_Valley,Lilly_Valley_201
8306.588987085986,-739.362836252743,Lilly_Valley,Lilly_Valley_188
10354.492647549709,10642.227842103091,Windflower,Windflower_1177
-6213.978241587402,-9925.418702528565,Lilly_Valley,Lilly_Valley_177
-20424.79319807041,-5439.4228752119425,Windflower,Windflower_1188
-11582.88310359992,-26668.31363885616,Lilly_Valley,Lilly_Valley_163
17384.511832269334,3013.901370535397,Tigerlilly,Tigerlilly_503
5552.772321501482,10556.338439215351,Tigerlilly,Tigerlilly_517
-27271.954460387282,668.8342405315018,Snowdrop,Snowdrop_85
-8155.490199751516,9564.784813500324,Tigerlilly,Tigerlilly_501
22193.18928632033,-318.6924133619664,Lilly_Valley,Lilly_Valley_175
-4511.381019497485,-32866.889793906696,Snowdrop,Snowdrop_158
-3833.1693258962,-11567.400032514246,Lilly_Valley,Lilly_Valley_203
-13236.788564898789,24208.20817799223,Sunflower,Sunflower_738
-7427.84592087432,-6732.048096010917,Lilly_Valley,Lilly_Valley_202
1409.4503665732568,26448.50581250492,Windflower,Windflower_1160
13089.055047019972,980.9333809048339,Windflower,Windflower_1174
4087.4795855638795,18058.636761008533,Windflower,Windflower_1148
-30860.979978432002,-15335.054468200378,Snowdrop,Snowdrop_159
20482.36724056813,-10665.489416150189,Lilly_Valley,Lilly_Valley_174
-14869.523423303997,6113.226764732852,Tigerlilly,Tigerlilly_514
23379.212085162682,10505.03157949866,Tigerlilly,Tigerlilly_500
13426.070188746804,21733.96054722934,Tigerlilly,Tigerlilly_528
-632.307256403244,-17467.454345242742,Snowdrop,Snowdrop_90
22828.241154326188,-17231.353496881606,Snowdrop,Snowdrop_84
16755.4758004396,-20627.061918352345,Snowdrop,Snowdrop_89
-807.6348074038777,-2636.9968273759728,Tigerlilly,Tigerlilly_525
-38100.94187845933,10557.548107683158,Tigerlilly,Tigerlilly_519
2883.589684469494,-10287.057720486595,Lilly_Valley,Lilly_Valley_179
-19545.39308714131,4210.905716856079,Windflower,Windflower_1179
5927.13796150378,-3985.892847391463,Lilly_Valley,Lilly_Valley_186
6663.599290126595,12831.008426089003,Tigerlilly,Tigerlilly_486
-11912.096086302898,23241.112081322306,Sunflower,Sunflower_734
-10267.83865197202,-13257.851634501667,Lilly_Valley,Lilly_Valley_227
15024.250780227481,-11861.076868026828,Lilly_Valley,Lilly_Valley_233
-27549.339177994247,7713.530927544701,Tulip,Tulip_640
-7274.807858864532,22502.84011735878,Sunflower,Sunflower_721
6710.76871946394,1243.0492045660485,Lilly_Valley,Lilly_Valley_226
-7074.049626137232,-704.7792855693422,Windflower,Windflower_1178
3094.6831328257826,-19610.93369794463,Lilly_Valley,Lilly_Valley_193
-12788.320254202517,-18274.67242551548,Lilly_Valley,Lilly_Valley_178
-25014.61119929093,2800.3528426237463,Snowdrop,Snowdrop_155
13046.04742970787,8515.926664183651,Windflower,Windflower_1193
13089.598461970983,-15548.151831929219,Tigerlilly,Tigerlilly_530
-1849.4292281295127,-22030.290040277534,Tigerlilly,Tigerlilly_524
