PCA_1,PCA_2,labels,filename
5953.8017095196265,-2299.1255596613823,radcliffe_camera,radcliffe_camera_000015
20431.312704382035,5319.098427372636,radcliffe_camera,radcliffe_camera_000029
10468.046184330573,-750.8459304682152,all_souls,all_souls_000072
-2204.025703483299,-4074.048077386743,all_souls,all_souls_000066
367.4022432745086,3117.761002120296,radcliffe_camera,radcliffe_camera_000217
-3459.681286147981,-5510.486351418576,christ_church,christ_church_000451
-7887.480811015078,-3808.5803819137823,bodleian,bodleian_000165
-1588.8979189362653,376.17213420693315,radcliffe_camera,radcliffe_camera_000405
-11205.553461306165,-4940.086640526336,radcliffe_camera,radcliffe_camera_000439
-1489.4115631755813,17.211500873111802,oxford,oxford_001753
-11019.834160355504,-1531.4616546483255,radcliffe_camera,radcliffe_camera_000161
3234.214685577392,-1882.0349019970388,oxford,oxford_000317
-11269.198458578701,1611.260625764877,oxford,oxford_002501
5348.98136528906,-5538.325131724248,oxford,oxford_001752
13366.428097355196,-10619.616820371517,radcliffe_camera,radcliffe_camera_000160
-13536.933083189111,-3499.3737808751007,magdalen,magdalen_000360
33183.028216774954,11414.071914159294,magdalen,magdalen_000374
-2613.0309243495412,10051.396467071741,radcliffe_camera,radcliffe_camera_000362
-357.89961004197,3030.377212656125,oxford,oxford_000699
-3794.3891694592967,10661.85959445538,christ_church,christ_church_000450
321.2590111327494,-7436.293139264866,all_souls,all_souls_000073
-3627.730847220736,-587.2683882284325,oxford,oxford_000262
-12241.46066458288,-1652.5848122818356,radcliffe_camera,radcliffe_camera_000014
11722.515740145946,8776.76640641332,radcliffe_camera,radcliffe_camera_000016
574.8553344608507,985.8823785093313,bodleian,bodleian_000364
12062.121893916456,4683.470568718529,magdalen,magdalen_000014
-2067.4594667658953,-4493.706329010251,all_souls,all_souls_000065
-6917.35720919018,-567.3990017061387,magdalen,magdalen_000000
3287.8000811497245,590.3034955236695,oxford,oxford_003543
7788.72080213471,-2271.128753522039,radcliffe_camera,radcliffe_camera_000566
529.5818079210403,6873.0341846729525,christ_church,christ_church_000308
-2176.5278660052845,4630.410023025125,magdalen,magdalen_000941
35688.844901529315,6717.2149661785,oxford,oxford_002891
2144.822552800894,-4766.798553824161,radcliffe_camera,radcliffe_camera_000228
285.85143350421833,5202.251290423938,all_souls,all_souls_000105
-8923.464468955679,5966.55752152418,radcliffe_camera,radcliffe_camera_000412
-7950.737906353141,-38.43674235683058,radcliffe_camera,radcliffe_camera_000406
-10194.827851719136,-4911.334139263688,oxford,oxford_002715
3010.238005181903,6590.831830031993,christ_church,christ_church_000532
-5561.616915151927,-1268.356873563074,magdalen,magdalen_000809
-11145.912106669763,-6544.594593832404,oxford,oxford_002701
538.7228788674088,-2025.4539550053205,christ_church,christ_church_000903
10453.94178489205,-5899.0360470976575,radcliffe_camera,radcliffe_camera_000176
-9123.315272419952,3671.4140771451366,christ_church,christ_church_000718
14004.421878543955,10714.79075401814,oxford,oxford_002503
-5575.349827594293,-4902.85246271629,christ_church,christ_church_000724
3539.1611553132752,-6752.006844383443,radcliffe_camera,radcliffe_camera_000163
1433.6680143115145,8730.474578479178,radcliffe_camera,radcliffe_camera_000349
6073.51834427446,-9863.065255151983,radcliffe_camera,radcliffe_camera_000361
381.7011455586323,925.6440185034663,oxford,oxford_000705
-5476.867495075566,5892.770106137169,christ_church,christ_church_000447
-6661.556577929106,-4380.124483191869,bodleian,bodleian_000167
-11730.750172168697,-1299.985183558431,oxford,oxford_002890
-7109.860634169115,-5636.251599697017,radcliffe_camera,radcliffe_camera_000201
-345.17620265290464,7791.151282528775,magdalen,magdalen_000001
-988.90171678489,-6271.283674511984,all_souls,all_souls_000064
27829.86313858028,12891.319711366772,bodleian,bodleian_000198
3039.6343959412825,-2776.285471338604,christ_church,christ_church_000645
7031.426218895452,2239.125290360814,oxford,oxford_002338
4569.181691745572,-6703.058498389326,oxford,oxford_001806
-15059.282807201711,969.4530998473152,christ_church,christ_church_000696
6021.577120879859,8792.608083496856,bodleian,bodleian_000407
7722.661708590955,4459.743207212805,oxford,oxford_000259
8268.590077094803,-8863.296187843665,all_souls,all_souls_000048
2950.3558470613393,-7753.004397773904,oxford,oxford_000926
-3646.492139726761,10380.440183901705,bodleian,bodleian_000163
7151.547504824548,-5375.282201464805,oxford,oxford_001437
1481.660917888986,1194.9867854777294,bodleian,bodleian_000017
-2877.278336697493,456.3813736240269,oxford,oxford_002704
-4442.0191143124,-7004.215419841033,radcliffe_camera,radcliffe_camera_000417
-7282.079983673029,-3446.854924116284,oxford,oxford_001231
11097.088275217591,-2300.546645660445,christ_church,christ_church_000279
