GRP_1,GRP_2,labels,filename
19851.333582987187,-8603.351823380432,christ_church,christ_church_000366
52659.53413441461,21560.673602000006,oxford,oxford_001320
41998.976970311785,-18392.077113635827,oxford,oxford_000719
54945.09785413119,15678.231350759628,all_souls,all_souls_000180
10462.451491894173,28185.952039471318,radcliffe_camera,radcliffe_camera_000217
43934.386486407864,13622.580346525801,radcliffe_camera,radcliffe_camera_000343
42995.96845545877,18761.11958788584,radcliffe_camera,radcliffe_camera_000276
31699.268373659124,-4478.477288706124,radcliffe_camera,radcliffe_camera_000366
52760.8244281813,-13676.679356695284,radcliffe_camera,radcliffe_camera_000230
50096.81922305533,22423.42530225085,radcliffe_camera,radcliffe_camera_000139
44285.09064939863,13655.66707630179,bodleian,bodleian_000085
42066.83036109917,18094.247917089768,radcliffe_camera,radcliffe_camera_000221
51376.59516640124,1533.128138815429,oxford,oxford_002336
7239.062057931143,35932.18246124752,bodleian,bodleian_000192
52953.49304935864,20016.190052185444,oxford,oxford_001666
52638.70850190602,295.95263665235854,radcliffe_camera,radcliffe_camera_000220
23060.952097098798,-9908.89652106306,radcliffe_camera,radcliffe_camera_000350
33158.314584668435,15263.634904863171,oxford,oxford_003482
20930.343256591103,4704.582649500333,radcliffe_camera,radcliffe_camera_000463
33877.113616895884,19528.720617883173,radcliffe_camera,radcliffe_camera_000370
37340.44066359972,29958.22889190864,all_souls,all_souls_000035
52510.5990034996,28637.504076896206,oxford,oxford_002745
46295.83182761823,8820.976010811779,oxford,oxford_000669
42227.24115263167,-8418.946431738459,radcliffe_camera,radcliffe_camera_000394
22911.49036329437,5440.845670173258,radcliffe_camera,radcliffe_camera_000325
54223.29026946175,-15341.727854623992,christ_church,christ_church_000724
23167.523423515762,18628.595782851622,oxford,oxford_001122
31867.82135603105,9983.832611874179,radcliffe_camera,radcliffe_camera_000167
24876.537765643232,-12416.937015100915,radcliffe_camera,radcliffe_camera_000478
21306.91989301884,32131.083650820565,oxford,oxford_000525
49175.471370816376,12583.501217777537,bodleian,bodleian_000264
54998.567747029745,1242.754313069905,christ_church,christ_church_000820
33801.81335154454,-6820.353659210474,oxford,oxford_000177
34137.512953171296,12527.891073305242,oxford,oxford_000733
35339.65782492677,24619.54948537164,radcliffe_camera,radcliffe_camera_000417
49987.61130300904,869.5385599756848,radcliffe_camera,radcliffe_camera_000533
51468.05312631898,-13900.603629964686,oxford,oxford_001278
51525.58084886205,4263.875199670062,christ_church,christ_church_000904
50792.13041869611,-13220.72353516161,oxford,oxford_002734
49553.05158540088,-8361.299596437668,oxford,oxford_002985
41117.49729476912,7572.5517061141445,all_souls,all_souls_000150
34331.73323686422,-30954.285882280907,magdalen,magdalen_000650
66881.78251671472,12332.143332872827,oxford,oxford_002715
38023.90004226535,20678.525797588136,radcliffe_camera,radcliffe_camera_000116
41758.54802147304,14107.215692051348,christ_church,christ_church_000758
51344.32849231985,855.958057057425,bodleian,bodleian_000258
40013.71923566129,7729.595043513971,all_souls,all_souls_000015
40837.73334945635,-13446.70591321765,christ_church,christ_church_000911
44435.32862033624,9822.8574610756,radcliffe_camera,radcliffe_camera_000397
71712.98140693553,178.49384564717315,magdalen,magdalen_000783
63485.90619250568,1980.0434328459673,radcliffe_camera,radcliffe_camera_000326
33522.491504066995,-209.1435532092907,radcliffe_camera,radcliffe_camera_000209
33868.72484015368,-12034.967572682308,all_souls,all_souls_000175
