ISM_1,ISM_2,labels,filename
78455.20499421278,1695.3559488452427,radcliffe_camera,radcliffe_camera_000235
-57061.49918163968,-18811.13957588196,magdalen,magdalen_000320
86655.0097270036,-23391.12198916329,radcliffe_camera,radcliffe_camera_000458
-68712.93292469598,-59893.29098570464,radcliffe_camera,radcliffe_camera_000390
-42450.209438706835,12571.78822195792,christ_church,christ_church_000623
-48485.89846952288,4635.451415660185,oxford,oxford_002858
-54774.67054221337,-27005.398548774127,magdalen,magdalen_000050
-1821.6701238682433,58930.64453223054,radcliffe_camera,radcliffe_camera_000367
-50669.881858376306,1421.1803826701891,magdalen,magdalen_000053
-28066.2823748175,43937.46983786244,christ_church,christ_church_000645
-31844.837938925968,37437.206973058914,oxford,oxford_003053
-26417.04975103164,55328.207172067225,radcliffe_camera,radcliffe_camera_000417
36364.35687384735,-23136.907030598704,all_souls,all_souls_000087
-15329.391025783203,33462.50075178546,christ_church,christ_church_000549
29804.20886987058,-22887.130581555804,radcliffe_camera,radcliffe_camera_000063
-9546.993247522068,-74526.54248963308,radcliffe_camera,radcliffe_camera_000286
-21625.68467195287,50458.70038340747,oxford,oxford_002890
-53181.3013598378,-24166.142696336738,bodleian,bodleian_000290
-34574.863182393085,55729.91358470586,radcliffe_camera,radcliffe_camera_000155
45995.887927765056,-5937.758660196104,magdalen,magdalen_000198
-52292.09653571638,-4521.635193482937,radcliffe_camera,radcliffe_camera_000150
-76754.63812366257,-63975.38421285974,oxford,oxford_000478
56314.307889928874,60031.461712604076,radcliffe_camera,radcliffe_camera_000248
-21001.55733975853,78845.97377845533,radcliffe_camera,radcliffe_camera_000459
17855.86820372994,55497.07454129413,radcliffe_camera,radcliffe_camera_000100
-8316.01264503173,2794.004811858429,christ_church,christ_church_000435
-32940.614217112736,41175.57871674252,magdalen,magdalen_000051
-14312.985817448865,35671.28371602744,radcliffe_camera,radcliffe_camera_000350
43097.19518690559,-19851.773419590758,bodleian,bodleian_000067
1584.871758208403,95966.15291886208,oxford,oxford_003060
38560.84864163606,-1744.4451871416918,bodleian,bodleian_000165
-27210.79660448197,18579.81883023537,christ_church,christ_church_000450
-54551.610092188836,-7627.769271547649,radcliffe_camera,radcliffe_camera_000457
92087.22495902552,1150.116188175104,radcliffe_camera,radcliffe_camera_000397
60298.59836349952,-2.284506968720483,radcliffe_camera,radcliffe_camera_000276
-25221.830088166967,44239.899133772764,oxford,oxford_002745
59357.31446602678,6666.373580890645,oxford,oxford_003382
37540.25243078343,-1442.7493971529957,radcliffe_camera,radcliffe_camera_000139
-13200.334028872374,22569.404665400434,radcliffe_camera,radcliffe_camera_000324
38095.969205567766,-14445.561726874019,oxford,oxford_003315
-24399.105992256907,88749.72391161363,oxford,oxford_000741
57444.50305350687,5026.306492955983,bodleian,bodleian_000036
17882.96044732737,-8616.64714309255,magdalen,magdalen_000000
-53849.35182048385,-30035.444286364007,all_souls,all_souls_000175
26370.058942222597,-31650.93959007529,christ_church,christ_church_000903
24544.26105333341,-19997.634092139568,all_souls,all_souls_000105
-19298.014542535282,29904.012316704564,oxford,oxford_000158
71442.66766907294,20130.39777611847,radcliffe_camera,radcliffe_camera_000043
-52638.225524720736,10843.50503967177,christ_church,christ_church_000308
52773.31851928234,-39477.26429025555,all_souls,all_souls_000132
56011.621133539404,20207.362399505088,bodleian,bodleian_000192
41746.943794346946,-9334.666219775096,bodleian,bodleian_000132
16325.1865908786,-61004.94172556701,radcliffe_camera,radcliffe_camera_000447
-17522.152411119132,30940.06323485821,christ_church,christ_church_000718
38926.98474895171,-22648.59668681217,oxford,oxford_000910
38913.7170407201,-22236.48677182689,bodleian,bodleian_000356
-53545.52405405835,-27067.553070911534,oxford,oxford_000545
-32403.451444674756,34506.17177514754,radcliffe_camera,radcliffe_camera_000116
-29949.900551152103,18731.021505324352,oxford,oxford_001892
-5454.561930674287,-61072.912601253076,oxford,oxford_003543
-71417.06796785914,4498.195058163411,radcliffe_camera,radcliffe_camera_000419
35960.56940351587,46851.655023974,radcliffe_camera,radcliffe_camera_000092
-17274.946979146516,-63093.55126429205,radcliffe_camera,radcliffe_camera_000240
37361.911262189285,-33804.282553514124,oxford,oxford_001123
46406.709484718944,-30015.648207333823,oxford,oxford_001320
20640.25386399824,30619.82666401334,oxford,oxford_001122
-35603.19998011063,-44891.952124337215,magdalen,magdalen_000058
-47570.48271772733,-13587.613188304043,christ_church,christ_church_000664
7164.256085186392,4634.182630493408,radcliffe_camera,radcliffe_camera_000246
-90393.02117395787,-75728.62856648282,christ_church,christ_church_001020
-8513.187174830127,54400.547764913375,radcliffe_camera,radcliffe_camera_000249
-33725.577574520285,-6425.536112107775,oxford,oxford_002562
54214.45672615325,-35451.178494675456,all_souls,all_souls_000073
-56170.21980747026,13145.937121120049,radcliffe_camera,radcliffe_camera_000108
-89132.40835367997,-74641.22599114635,bodleian,bodleian_000198
-10492.407462262141,6042.789128463868,christ_church,christ_church_000078
-53190.28545255541,-40316.80585677167,oxford,oxford_000174
51399.97445542847,-2571.883212274397,christ_church,christ_church_001033
-56914.78894885449,-9638.615641556009,radcliffe_camera,radcliffe_camera_000164
11944.47665500712,92593.62510002038,radcliffe_camera,radcliffe_camera_000255
-31833.08327280107,-48371.84324289661,radcliffe_camera,radcliffe_camera_000176
70269.20417908087,-57.228976451358086,magdalen,magdalen_000446
35935.66859630939,-66341.99086844322,oxford,oxford_000238
30293.13998665013,47227.23392308591,radcliffe_camera,radcliffe_camera_000006
88237.5478695609,-3274.106102720499,radcliffe_camera,radcliffe_camera_000083
-56119.50920032966,5324.292066642835,christ_church,christ_church_000366
3695.290457389733,-55991.57201316855,christ_church,christ_church_000820
-53116.219510185496,-24125.861354250766,oxford,oxford_002615
-39704.791189645286,581.3973328181605,christ_church,christ_church_000532
-35043.75563265589,-5758.299159582723,oxford,oxford_002888
-56134.12586203782,-33421.242978215334,magdalen,magdalen_001105
51873.979997652285,58557.975300909726,radcliffe_camera,radcliffe_camera_000456
-45465.8703194613,7148.911474992245,magdalen,magdalen_000774
-692.8443630139877,53801.88285054717,radcliffe_camera,radcliffe_camera_000326
53167.27933520058,-1980.824130906358,oxford,oxford_001349
-43837.418163774084,-33412.78068347567,radcliffe_camera,radcliffe_camera_000218
76214.29221524314,18240.888167555,oxford,oxford_002397
-12141.674868889955,46013.4907585812,radcliffe_camera,radcliffe_camera_000481
-52042.85657416919,-23702.868335724517,oxford,oxford_000620
-50789.23797132604,-40248.43993903729,radcliffe_camera,radcliffe_camera_000029
-26840.827213291574,24931.514386825176,christ_church,christ_church_000073
-41543.56208577658,-19456.034987348183,magdalen,magdalen_000110
25181.64645740876,86540.02448228185,radcliffe_camera,radcliffe_camera_000172
52958.93944631823,-21661.88623476298,all_souls,all_souls_000174
-37730.67017675384,-47909.766769889786,all_souls,all_souls_000001
-29099.396744093563,51130.23813646331,oxford,oxford_002083
-11815.290253904453,49792.609941196846,radcliffe_camera,radcliffe_camera_000420
56202.041250124494,-36706.03446642198,all_souls,all_souls_000090
78626.8796016812,42942.064653689216,radcliffe_camera,radcliffe_camera_000198
-28541.7175637756,23468.690099832842,radcliffe_camera,radcliffe_camera_000362
-16321.782211771782,12250.9190151917,radcliffe_camera,radcliffe_camera_000238
48695.712650015215,-16516.229771686394,magdalen,magdalen_000809
73986.88110694988,-2469.790484530889,bodleian,bodleian_000076
57972.11903963192,-38391.660156867234,bodleian,bodleian_000077
52339.92830680865,8914.456917419833,bodleian,bodleian_000106
-24931.369264603618,31784.533800823257,christ_church,christ_church_000190
31092.632394346816,-23736.848515254303,oxford,oxford_000705
-58243.927771507,11706.327559009642,radcliffe_camera,radcliffe_camera_000163
-26780.491936067367,61173.207564581535,magdalen,magdalen_000360
77644.77394951311,476.4682857677749,oxford,oxford_000669
12039.738560545195,69223.81542821495,radcliffe_camera,radcliffe_camera_000531
15135.88080671907,90177.18586595113,oxford,oxford_003132
29706.444398964864,-26004.445542151494,all_souls,all_souls_000214
49853.75615708703,6534.002061757783,radcliffe_camera,radcliffe_camera_000098
-28045.419081135744,-2754.7268834628167,oxford,oxford_001228
-24810.98480007895,-35420.4054866595,magdalen,magdalen_000591
-9441.055192680426,-72749.46710243303,oxford,oxford_000636
8799.566567170705,14215.669435111353,radcliffe_camera,radcliffe_camera_000021
51072.4584195829,-24852.08869337752,bodleian,bodleian_000294
43041.16863565087,-34953.249386052164,oxford,oxford_000901
-54155.710514144026,11513.551896588262,oxford,oxford_001753
49982.068862503125,-10471.60611377643,christ_church,christ_church_000311
-20478.12567643377,43030.195703017904,oxford,oxford_002841
-36159.48458907952,40709.95197792791,radcliffe_camera,radcliffe_camera_000387
-13741.451420434812,33811.9815251178,bodleian,bodleian_000298
-19829.65404623153,-17809.24242212916,oxford,oxford_001278
-58498.16397649138,-7082.2417082138345,oxford,oxford_002503
4318.890128224035,55720.60995228202,radcliffe_camera,radcliffe_camera_000173
-30398.93553082625,-23901.32453405301,magdalen,magdalen_000001
-2233.7532645232363,45733.67414937039,christ_church,christ_church_000642
24663.279730341103,-30434.630576505602,oxford,oxford_001806
52987.64139922613,45744.34896572595,radcliffe_camera,radcliffe_camera_000338
-57732.38781952957,-7048.293586517904,oxford,oxford_002985
-25910.087239089728,22555.321833321945,oxford,oxford_000719
54212.431758402214,-35449.9031324113,all_souls,all_souls_000014
-25468.88189589326,57795.88832100754,radcliffe_camera,radcliffe_camera_000470
-33040.514571578904,16454.57982830951,radcliffe_camera,radcliffe_camera_000405
41571.244479146895,59328.03071078949,radcliffe_camera,radcliffe_camera_000026
-29514.77048677969,56618.283381847454,magdalen,magdalen_000560
-44207.74134693248,-25734.099014479823,radcliffe_camera,radcliffe_camera_000167
22974.935886731826,71514.4886199944,radcliffe_camera,radcliffe_camera_000014
37616.113411599326,-21522.32109653706,oxford,oxford_001308
44303.780705653495,-2540.832673970066,radcliffe_camera,radcliffe_camera_000076
-35750.19306793478,17237.790660897936,magdalen,magdalen_000545
33711.74492045216,-32582.614026006933,magdalen,magdalen_000052
23264.53829477005,-18215.263532021683,all_souls,all_souls_000051
21991.266402714584,-30458.324654525015,all_souls,all_souls_000093
-57036.461755656805,7222.940489127888,all_souls,all_souls_000015
-69583.8562739316,-7581.732342459843,all_souls,all_souls_000002
-23325.5066517172,39831.03953466543,christ_church,christ_church_000451
59749.73608936381,4456.065148314953,radcliffe_camera,radcliffe_camera_000519
-49472.63745344826,-24883.163007464304,all_souls,all_souls_000072
-29466.242723943444,51848.45541651915,oxford,oxford_003482
-28132.691163840118,44115.107719639265,oxford,oxford_001893
-49395.461435848985,45192.68239157369,radcliffe_camera,radcliffe_camera_000228
-29785.615531421125,-23948.207460843456,oxford,oxford_000130
21554.414211073377,1935.788580909028,oxford,oxford_002904
-28913.074560843754,44889.14301697123,magdalen,magdalen_000504
-4549.283728008695,-75078.68136784734,bodleian,bodleian_000107
-48972.8081107705,1988.527031463643,bodleian,bodleian_000016
-18789.801426214566,25094.481929342423,magdalen,magdalen_000449
-24905.837391825098,78194.43289214322,radcliffe_camera,radcliffe_camera_000431
-51102.37895358374,-333.4568458951228,radcliffe_camera,radcliffe_camera_000269
-22531.004979950736,14866.988822797564,christ_church,christ_church_000673
-31074.965874658392,60000.962782141774,all_souls,all_souls_000182
-46383.879591525154,10746.12695110454,christ_church,christ_church_000146
-30931.48433423136,69849.25254689013,radcliffe_camera,radcliffe_camera_000340
-8106.637161609331,-63883.340726819675,all_souls,all_souls_000180
6692.4206433803565,-3371.093762581375,all_souls,all_souls_000064
-59765.74840443608,13364.733368798628,oxford,oxford_002510
-20653.062181559537,-62609.26526302992,radcliffe_camera,radcliffe_camera_000138
46378.302187161775,-26757.042952618285,oxford,oxford_003069
-9713.41554746067,21686.47212549936,christ_church,christ_church_000911
42559.06939662533,8027.967871059628,radcliffe_camera,radcliffe_camera_000520
4132.903308479615,-53215.25911662414,radcliffe_camera,radcliffe_camera_000370
-13923.006629357895,49031.798752373405,oxford,oxford_000440
41529.69101114055,27595.187577188575,oxford,oxford_000623
45812.49606002887,-28928.698093347713,oxford,oxford_002317
-66169.84906636133,-5374.831509765536,bodleian,bodleian_000168
55688.94006174778,3246.820880574736,radcliffe_camera,radcliffe_camera_000523
-74340.18363378935,-7809.300506072428,all_souls,all_souls_000209
-36483.957546288926,21441.492450869533,bodleian,bodleian_000009
