GRP_1,GRP_2,labels,filename
-9171.943397874327,797.8220798429553,train,train_7691
-4435.200153971762,245.55701893389406,bird,bird_4374
-9013.6795230748,2576.0496015238173,boat,boat_7727
-6555.171809659627,3994.765726571307,chair,chair_5826
-10711.652677203032,8142.989238249455,bird,bird_3341
-12834.598760226541,985.3491614229426,boat,boat_1171
-14337.55435448329,960.120181681996,boat,boat_5544
-16890.263848333892,2720.2516373455137,chair_diningtable,chair_diningtable_7517
-4725.127028905548,1917.4198271543264,diningtable,diningtable_3798
-7212.9947248879025,-913.1218165752657,chair,chair_4742
-14720.794239639392,-2627.504522011195,horse,horse_2910
-4826.286992684597,1940.8258429329198,bird,bird_556
-14108.604626776254,6499.6647971058455,sheep,sheep_535
-9757.585259996458,2842.060837783881,boat,boat_1133
-7460.831219652737,3827.7588172526475,sheep,sheep_5854
-9834.733855316572,2085.2928252008014,diningtable,diningtable_8539
-7460.831219652737,3827.7588172526475,chair,chair_8086
-15293.912216189556,154.62534368932097,boat,boat_5683
-5665.315315542939,3472.229038328905,horse,horse_3491
-17442.072154138466,3932.8057770686964,boat,boat_6797
-3645.8942210392547,4796.256483384044,chair,chair_5419
-4426.592284945118,2560.6976668344673,boat,boat_8016
-23284.267120664917,10000.789871514142,diningtable,diningtable_6423
-14252.96757083892,2491.6370213511827,sheep,sheep_5586
-8866.264058615643,-669.7484654546863,bird,bird_1046
-7460.831219652737,3827.7588172526475,dog,dog_6228
-11869.056444859507,4721.639993644671,boat,boat_6842
-1710.4886997450565,-2767.7864525320256,diningtable,diningtable_5153
-11224.082141596127,5193.113437073817,chair_diningtable,chair_diningtable_5817
-14885.510777659785,-276.9474224626309,boat,boat_436
-13071.636214694428,5362.841116967734,boat,boat_7390
-10131.253315891328,3881.570308702729,horse,horse_254
-4212.0542919235295,2117.0233727231603,horse,horse_97
-11764.545825075098,-454.78624269946016,diningtable,diningtable_4282
-15730.152515108935,7016.766275657518,train,train_6397
-10599.446920756329,4015.3700773780793,chair,chair_5298
-11060.902373881248,206.8946944509281,diningtable,diningtable_6604
-6647.281667811462,4136.713164154068,bird,bird_2901
-11022.982477379299,1045.0968514747087,boat,boat_5585
-6621.981474360163,4883.966489668739,chair_diningtable,chair_diningtable_3282
-17740.95518649387,6129.77685326307,dog,dog_164
-18153.92987264286,2354.471872678976,boat,boat_6082
-7460.831219652737,3827.7588172526475,bird,bird_6957
-8768.115315722256,1322.8966737262633,horse,horse_136
-14604.088691512645,3727.984328523016,boat,boat_2642
-12641.168352272833,-2741.8965227130193,sheep,sheep_601
-8977.720073442943,-904.8970690537053,horse,horse_4470
-7460.831219652737,3827.7588172526475,sheep,sheep_5711
-15112.228281654023,1003.652045904859,boat,boat_2678
-5676.953269347929,4135.374588416088,boat,boat_2511
-14446.05359367087,1623.1142300413794,cow,cow_5722
-8558.041062020706,-2478.7739122084586,dog,dog_2134
-15678.464419719208,-3952.857142701219,boat,boat_6879
-9338.739782694658,7127.2921884238785,dog,dog_4301
-9750.022080121009,2194.5967372190953,horse,horse_474
-12351.663159003154,2080.8875772714005,boat,boat_6099
-11226.902955499729,4858.142837960149,boat,boat_1113
-7921.688247748784,-961.9281355397974,chair,chair_801
-12654.57467189345,1374.5763572147596,boat,boat_1221
-6905.874560087124,3764.3465342065383,cow,cow_8565
-8785.051563308869,2880.5872055846144,dog,dog_7262
-10882.834272130129,-1867.634376848385,horse,horse_2932
-17072.3720418304,83.16585818664781,dog,dog_4304
-7460.831219652737,3827.7588172526475,dog,dog_4486
-15022.049165213884,9521.386177195658,boat,boat_4803
-19526.901030004195,5362.592058912814,train,train_4781
-19238.8557389342,668.8250285296418,boat,boat_3173
-12826.545872757282,-4190.537504544037,diningtable,diningtable_6430
-7460.831219652737,3827.7588172526475,dog,dog_7345
-5772.884314238327,2549.3115798734852,chair_diningtable,chair_diningtable_686
-15024.483821610364,-3945.879340493026,bird,bird_8545
-13021.629902776853,9088.801146222995,dog,dog_6210
-8101.595852298055,5658.520942904611,bird,bird_1369
-21561.315877521683,4503.965634861883,boat,boat_2597
-18422.842817038214,-641.8951895740215,cow,cow_8204
-11780.405465263997,-3190.503745473889,dog,dog_4592
-11600.468805136226,1303.7003313383025,bird,bird_5096
-8346.22348155567,-1658.251960975197,horse,horse_800
-19729.251274221882,2477.492892186427,boat,boat_3107
-10588.187274285301,2851.348660720276,sheep,sheep_5975
-13032.724091786165,4406.646009020331,chair,chair_7028
-12598.139639802519,7019.231348732239,chair,chair_6816
-3248.0582073410123,7348.302480092319,dog,dog_5423
-14864.897899842419,9461.385948661537,boat,boat_7547
-1962.123151500477,-1245.2618121898215,chair_diningtable,chair_diningtable_6942
-14672.962322760766,6691.166294804526,boat,boat_7648
-10912.413997765792,2165.6118257129433,bird,bird_1371
-8193.284756369305,794.5496632364566,dog,dog_98
-15982.563184890763,5319.467041584959,diningtable,diningtable_2807
-13753.230588897148,957.6498247364387,boat,boat_7599
-8608.508356175957,6218.293538310229,boat,boat_488
-17067.40946774424,2168.5931510327187,boat,boat_1334
-15945.6781612291,298.4987780201535,cow,cow_2094
-11788.581181939076,-1173.563320472726,bird,bird_5829
-15405.821191930096,5619.58398485574,boat,boat_6947
-11583.571706044098,-83.13778964694689,sheep,sheep_5920
-18265.24376712369,-1700.793326407003,boat,boat_4978
-9304.639046400118,-114.70191672042664,horse,horse_6686
-17320.48498592473,6690.70370884666,boat,boat_3588
-9168.533147519189,3858.770021327809,horse,horse_3433
-13119.163621238711,2047.9547702638495,boat,boat_4809
-14722.943915777028,3953.098039765556,horse,horse_6619
-9657.972865539687,3960.074314666859,diningtable,diningtable_8061
-15190.26703186616,2426.6906663644104,diningtable,diningtable_4552
-20034.850959569452,1598.1025833604378,boat,boat_5714
-11112.564037530368,5747.341441112176,diningtable,diningtable_6737
-414.5102385778949,-679.3110346807367,diningtable,diningtable_413
-11019.135275495933,1608.0321836957544,boat,boat_5624
-18299.149446559943,-1730.8113321404376,cow,cow_1866
-10835.673920528672,1759.3914605300945,train,train_4388
-7460.831219652737,3827.7588172526475,chair,chair_8028
-14949.017094803068,5781.179308819794,boat,boat_1053
-14882.219339545976,5726.904947284828,boat,boat_4951
-3955.0624941359742,1944.202580411412,chair_diningtable,chair_diningtable_7119
-2643.744468471029,1048.7778083091323,horse,horse_314
-6532.975305524837,4694.278071469686,chair,chair_7366
-20099.68690538532,151.88201316780913,boat,boat_5378
-19620.748301916177,11341.761917402913,diningtable,diningtable_4503
-7698.153933125059,-141.72222539858709,chair,chair_6178
-7000.739579726167,-602.7295903748395,chair,chair_8158
-8586.693713828021,1668.4468948044464,boat,boat_4638
-5969.4871919925645,6222.834397270761,bird,bird_6503
-6826.55665848941,3019.7490357972947,bird,bird_1415
-13644.706530090027,6158.824826826045,chair,chair_3688
-7460.831219652737,3827.7588172526475,dog,dog_6645
-16987.558597053427,6699.777946554087,horse,horse_7087
-11412.778200162109,1374.19566312812,horse,horse_7080
-7213.53087176705,3831.4642683883144,boat,boat_4995
-13031.723261820578,-1334.7101761470335,cow,cow_402
-13600.657937041142,-1205.6615546954442,boat,boat_8384
-5697.797730828921,4794.416241238326,diningtable,diningtable_7981
-14723.485200273188,5486.637959352625,boat,boat_4422
-18436.376176144408,4584.693780896375,boat,boat_8301
-4484.401764539098,3950.7209189572322,diningtable,diningtable_3897
-20552.532649059696,-2296.0736160878205,dog,dog_1406
-19224.03304976788,10591.96969110055,boat,boat_1986
-14163.95791890861,4117.366562961992,chair_diningtable,chair_diningtable_7164
-14661.114435766223,4576.783295649206,horse,horse_8420
-17621.066285702225,154.7877980005421,bird,bird_786
-8738.962404448583,3955.240568439058,diningtable,diningtable_4490
-17445.13074579084,-286.59676430674483,sheep,sheep_5882
-9062.722788322606,-1653.6075931742275,diningtable,diningtable_2058
-7651.36944219927,822.6406895552886,boat,boat_2629
-16191.56732345462,2415.0833643772785,boat,boat_2662
-10431.817631950034,3415.7735266673444,horse,horse_1855
-6454.858832077363,8684.371264287438,chair_diningtable,chair_diningtable_578
-16090.181285067583,1431.279071401147,sheep,sheep_6033
-17206.750293703113,11470.243029203166,diningtable,diningtable_6424
-9691.74952995638,-2632.734571892939,dog,dog_612
-10685.109072236175,11282.395419024975,sheep,sheep_5985
-14382.387276988062,2293.798580664152,horse,horse_7154
-12450.243076011326,-3528.1562334848322,sheep,sheep_4626
-12607.185829579475,-644.2287271258404,horse,horse_5315
-17171.492764211594,-2849.485068905012,horse,horse_3434
-15072.316807952871,-3215.573400828681,sheep,sheep_3819
-6127.349300369627,-1027.0246573583552,dog,dog_184
-7827.7734592587985,4266.379242455611,chair,chair_7564
-14439.381703988276,6828.457891240749,boat,boat_7833
-7578.240543611649,1926.3580199694472,horse,horse_3129
-10208.220875309806,2548.277661455697,diningtable,diningtable_1668
-8712.940737981513,3009.516318898258,sheep,sheep_2409
-4353.506057109574,5784.0604030172435,bird,bird_8144
-7974.585325276852,5350.722588042821,dog,dog_7539
-13326.879141234842,1329.7297546117854,boat,boat_3352
-6182.530966233457,4921.739761691213,dog,dog_1368
-982.7849252116921,2505.084392130118,diningtable,diningtable_502
-6576.933864675761,7698.374634566373,diningtable,diningtable_6507
-14802.658366350925,-1974.5128877872467,cow,cow_5446
-6679.647011040758,6933.1673951499415,diningtable,diningtable_2955
-18314.632575690324,658.7455054663344,horse,horse_3963
-9214.688492160394,3945.075266929811,horse,horse_7099
-8527.53268734436,418.0117358858863,chair,chair_3801
-9781.040624550174,7434.755806560758,diningtable,diningtable_7969
-10701.154602136772,3143.6076356543504,horse,horse_7841
-17168.519378537992,-8088.526274941405,horse,horse_3543
-11903.956195875578,-1476.3539605131655,dog,dog_2105
-7135.857001670902,380.8509148081897,chair_diningtable,chair_diningtable_7346
-16604.062985932316,2603.029732195557,horse,horse_7125
-6823.701460754502,543.7032986940459,diningtable,diningtable_6554
-11906.988239774417,-406.1009929450402,horse,horse_3520
-17950.843692981398,-3938.6541065863184,dog,dog_3327
-15648.827650621499,8400.039090340195,diningtable,diningtable_3625
-10872.676583953024,-1258.6526943626675,sheep,sheep_4185
-4828.927981070645,2237.2231293526534,diningtable,diningtable_5206
-1999.9071023256745,1016.5254236936968,train,train_7700
-17233.46256724912,2368.0947711020826,diningtable,diningtable_5370
-14542.891393971566,-423.6905869426248,train,train_1384
-12059.67028133906,1020.8203019403047,horse,horse_1687
-20912.786343104188,5822.408559838415,boat,boat_3194
-12202.321588305525,2311.1381421461138,horse,horse_4799
-11254.519013071647,1297.993349164355,boat,boat_247
-12281.227853570776,-2070.5047566730946,horse,horse_1682
-11379.523236965684,853.013631072804,chair,chair_1846
-15876.54209413969,-3034.9907719209004,cow,cow_4948
-6005.850303340706,415.40440891127815,horse,horse_1817
-12954.7018804045,-1523.0051253118202,boat,boat_6268
-10328.47120693452,-366.0745613808078,dog,dog_2394
-11652.72411340387,-3338.683465702545,boat,boat_1176
-11242.607432753433,1370.817780725375,boat,boat_5340
-3949.1476916421507,1560.9158332103714,boat,boat_4480
-4123.50180428327,4047.0665747431767,bird,bird_4821
-10567.945953969642,4317.3824982842325,boat,boat_660
-13465.92813553723,522.9783049012372,train,train_3624
-9424.889053623348,1210.5222027834336,sheep,sheep_609
-12372.136832300152,4175.552419953097,horse,horse_6991
-4154.853566422751,1728.5192269135532,dog,dog_7317
-7988.929106712314,2336.987820014876,diningtable,diningtable_6624
-12490.2060330033,1828.1808356375,boat,boat_5818
-15670.381945857842,1121.9904008923347,boat,boat_5664
-5635.054102318955,6082.164553582804,chair,chair_3891
-7608.986850217338,487.5725215802673,diningtable,diningtable_6467
-5173.868577850862,-1661.4713661442233,horse,horse_1363
-15617.672124533136,6887.5611634678735,boat,boat_6950
-1044.1241015861794,1256.313235693073,chair,chair_7568
-13188.955811292783,-187.113444673264,cow,cow_1949
-13231.913597939349,2615.3675215969142,boat,boat_642
-12561.950583123686,-4845.490085649481,cow,cow_3971
-19669.500125149385,-1031.014200520504,train,train_3104
-12078.63293524704,1902.907820706864,boat,boat_2095
-12747.686270052856,2365.4683565629393,chair,chair_685
-9257.453180941851,1241.3711856471616,diningtable,diningtable_8526
-11958.38878419259,-501.91894823031504,boat,boat_7334
-9832.101943713973,3812.5087061062654,bird,bird_5847
-6556.524419635177,2051.963255694642,boat,boat_6888
-16623.398752830642,5391.430137551034,sheep,sheep_1401
-6354.517945946913,3345.001799480813,dog,dog_6644
-10332.288519423571,-825.8957999947947,chair,chair_8159
-7881.850235481221,6037.512667101076,dog,dog_6361
-12794.219812399537,758.4733126767662,sheep,sheep_3635
-16956.576830188293,11598.684634220102,boat,boat_1231
-14311.301590075842,9271.251661972165,boat,boat_7629
-8495.599903324466,-749.580856314527,bird,bird_7763
-17113.46153141964,2853.371942877924,boat,boat_4830
-9289.381837187386,7085.527483341234,horse,horse_4437
-13380.50704851336,-1648.1749906414527,boat,boat_4811
-20714.91147048652,5148.57826729984,horse,horse_7789
-2557.188409552168,6027.1000472575915,dog,dog_1367
-8889.669932413499,5114.308367260165,boat,boat_7538
-16420.28357144736,11029.482850822624,boat,boat_2607
-7817.848457543699,1197.202337262039,cow,cow_5490
-13176.10186883347,8333.342600725344,boat,boat_2643
-10922.770619658753,9409.83179565331,boat,boat_2542
-25292.44175134732,2948.633433945727,boat,boat_4562
-10157.799353608556,6253.610532203194,diningtable,diningtable_2341
-11960.60348515118,3708.318785240609,horse,horse_3562
-5727.306947900356,53.629690160439246,dog,dog_5201
-10512.773245642176,3262.880066762538,horse,horse_3912
-9728.956346703466,185.70661194034813,cow,cow_3946
-2234.6429554546635,390.2185756436583,dog,dog_3854
