ISM_1,ISM_2,labels,filename
68.21439168976389,-1900.8829795367712,train,train_7691
-9582.522072704856,2260.322227535745,bird,bird_4374
-1534.1675146454136,2824.5474158025104,boat,boat_7727
-12354.548513043195,2423.200458919804,chair,chair_5826
3036.049963915069,-1059.298709663258,bird,bird_3341
10703.261011105373,673.9965392274897,boat,boat_1171
-6575.69424432214,-1889.696757285788,boat,boat_5544
4193.058233465965,4040.4900215749212,chair_diningtable,chair_diningtable_7517
-11452.945914194574,2622.985479999954,diningtable,diningtable_3798
-4632.341414356937,-7989.637664393138,chair,chair_4742
1200.2442905820064,-6790.493813338075,horse,horse_2910
-13364.33970862847,2255.5859037320706,bird,bird_556
9949.749962702736,469.2644375649567,sheep,sheep_535
-2467.9616403598693,3416.8590893360747,boat,boat_1133
-14787.096576074411,2120.833819706406,sheep,sheep_5854
-823.7409034741133,-4395.537356106661,diningtable,diningtable_8539
-14787.09657607441,2120.833819706406,chair,chair_8086
5277.783164729221,2670.4552601850914,boat,boat_5683
-590.9432812057386,-4671.168304937011,horse,horse_3491
10726.475513127794,5477.957980115769,boat,boat_6797
-15584.199945463557,1416.6033546024191,chair,chair_5419
-7856.583622025368,435.62202706765913,boat,boat_8016
15971.943066492067,9171.166187477564,diningtable,diningtable_6423
2449.744383105169,-5685.909547439236,sheep,sheep_5586
-1034.7437469644155,-1349.1508451391658,bird,bird_1046
-14787.096576074407,2120.8338197064045,dog,dog_6228
-8372.712298747887,527.2732588381676,boat,boat_6842
-14629.560344347012,1778.9242897045722,diningtable,diningtable_5153
4821.174329139847,388.26099426076826,chair_diningtable,chair_diningtable_5817
567.1259850727142,-2488.019480615321,boat,boat_436
12962.214635299424,5475.246054263183,boat,boat_7390
-9552.021426182795,2392.574398658985,horse,horse_254
-10230.124815567206,430.16575266032027,horse,horse_97
-4630.931801824771,-3618.8729993887573,diningtable,diningtable_4282
10527.46045400683,5558.4612438415015,train,train_6397
-951.5638750417239,1744.2788388413128,chair,chair_5298
-423.9317442576348,-420.19720433916,diningtable,diningtable_6604
-8450.748916813323,1202.4858670448473,bird,bird_2901
-140.38392705492032,-2116.993740096015,boat,boat_5585
-9126.0649443952,2149.0363419837354,chair_diningtable,chair_diningtable_3282
15330.508810367626,6950.388811646816,dog,dog_164
12878.361167760448,-2326.621753764848,boat,boat_6082
-14787.096576074407,2120.8338197064045,bird,bird_6957
-2220.5022810688824,421.8478115232065,horse,horse_136
6753.27863420987,657.4080914209857,boat,boat_2642
-1255.591712737631,-7656.516046864081,sheep,sheep_601
-9764.790363631902,2033.4830336985751,horse,horse_4470
-14787.096576074411,2120.833819706406,sheep,sheep_5711
10012.673962748966,2555.6458452813963,boat,boat_2678
-621.7532209196307,2184.444399336663,boat,boat_2511
1225.442708056247,-2102.8237779508604,cow,cow_5722
10486.326372064428,-125.33493948572828,dog,dog_2134
7618.404958472301,-7694.403416317452,boat,boat_6879
-5921.957092978167,2632.980752652239,dog,dog_4301
-5103.117813657774,-236.73679854816086,horse,horse_474
9712.827115497734,1154.6721176574886,boat,boat_6099
2362.653753778888,2714.874798540433,boat,boat_1113
-12248.968946300332,1516.4007666361315,chair,chair_801
6134.955928016,-2512.2818730504173,boat,boat_1221
-5794.619200218584,-2878.01044965917,cow,cow_8565
-1821.7354946903245,2983.269430391143,dog,dog_7262
6130.094271557491,-3988.063347825645,horse,horse_2932
11990.813828264614,-3197.4978831873277,dog,dog_4304
-14787.09657607441,2120.8338197064045,dog,dog_4486
9554.510092067894,7069.961240132181,boat,boat_4803
10192.902254206945,-59.4714609012952,train,train_4781
8752.661857571891,-2225.455929124377,boat,boat_3173
