MDS_1,MDS_2,labels,filename
1024.0472608878868,3829.80941195021,train,train_7691
-5911.058267254981,843.447928407089,bird,bird_4374
-2408.475941192785,-3204.682111856895,boat,boat_7727
-5824.807209339375,1064.1499091910446,chair,chair_5826
3445.690889176484,2958.0990844129383,bird,bird_3341
5541.439689058913,-960.9809193957598,boat,boat_1171
-4526.657590095255,-508.9978399965208,boat,boat_5544
768.785206638074,-2977.957361276243,chair_diningtable,chair_diningtable_7517
-6363.6042524471495,1269.757011565957,diningtable,diningtable_3798
-2793.820842348748,-3092.673875308799,chair,chair_4742
2438.7577137981657,2367.270149357619,horse,horse_2910
-6839.519225412641,2177.646523361097,bird,bird_556
5589.3499951613585,-2213.600665594343,sheep,sheep_535
-2285.020138340918,2038.913197472635,boat,boat_1133
-5256.381763279045,2387.972054898325,sheep,sheep_5854
-1093.0391116359315,-3124.909248606279,diningtable,diningtable_8539
-5256.381763279039,2387.9720548983264,chair,chair_8086
4090.6815302137234,4172.95605582544,boat,boat_5683
1473.6068041703682,6044.290236954865,horse,horse_3491
4870.529537070694,-5249.132621593709,boat,boat_6797
-6553.001721915258,3557.9868583197626,chair,chair_5419
-3251.445776567774,1425.8325638891165,boat,boat_8016
7824.028925354176,-6828.571702648093,diningtable,diningtable_6423
2061.5348127082025,1215.523902919289,sheep,sheep_5586
-676.2109941382828,-1527.7000640830577,bird,bird_1046
-5256.38176327904,2387.9720548983223,dog,dog_6228
-3640.814359274896,4186.006442655676,boat,boat_6842
-6927.669982602646,2651.018513018693,diningtable,diningtable_5153
2647.206030812811,-1005.8275225143227,chair_diningtable,chair_diningtable_5817
-1963.0116562145795,-4126.539722347158,boat,boat_436
6118.3960704245455,-2945.175848322699,boat,boat_7390
-5560.258491827266,322.82525136705897,horse,horse_254
-4417.969961113585,1916.9302667239886,horse,horse_97
-2467.4960176170903,-183.58892075896938,diningtable,diningtable_4282
4172.786383409036,-4312.59530640561,train,train_6397
-648.1167034403227,-68.60027891891271,chair,chair_5298
-1725.0180528094309,-2028.556904235637,diningtable,diningtable_6604
-4235.265695069779,1096.0052844368283,bird,bird_2901
-253.3804082953985,123.60869395571932,boat,boat_5585
-4899.711910275714,470.81385405357287,chair_diningtable,chair_diningtable_3282
7928.937745082988,-5195.488995483005,dog,dog_164
7038.027624490994,-1693.1507797340937,boat,boat_6082
-5256.381763279034,2387.97205489832,bird,bird_6957
-1122.558996609115,2043.1701127706476,horse,horse_136
3245.6912308416754,-1527.1900086720893,boat,boat_2642
301.673968391314,3020.1034458468957,sheep,sheep_601
-5160.335500182909,637.0289440065468,horse,horse_4470
-5256.38176327904,2387.9720548983223,sheep,sheep_5711
4168.175124695968,-2198.527778433604,boat,boat_2678
81.57893038762556,2086.1131252617365,boat,boat_2511
1094.3545234273433,240.57319742793672,cow,cow_5722
6328.080027552479,-1912.7667537437385,dog,dog_2134
5927.704925506304,3143.326149749914,boat,boat_6879
-4288.570611179999,-1809.6024162822919,dog,dog_4301
-2468.747412323056,621.1390356953237,horse,horse_474
5099.2217011789835,-2346.5554510122297,boat,boat_6099
-255.40091303696846,-3804.3291865123088,boat,boat_1113
-7260.995327482552,-1116.747584847188,chair,chair_801
2085.8500605328973,-463.879968157655,boat,boat_1221
-876.9272134461563,3675.160149360425,cow,cow_8565
-2537.877788683973,-1909.7715825274854,dog,dog_7262
3092.538203320177,506.4454721461594,horse,horse_2932
6623.537710864994,-1529.6576200712875,dog,dog_4304
-5256.38176327904,2387.972054898321,dog,dog_4486
2680.6672223902083,-7015.9343530259375,boat,boat_4803
5141.626136628545,-1891.472460224392,train,train_4781
4453.096151690535,-1092.2416858202157,boat,boat_3173
-198.25982299027032,3138.576919099725,diningtable,diningtable_6430
-5256.381763279044,2387.972054898324,dog,dog_7345
-4605.3126497638,2638.104123812232,chair_diningtable,chair_diningtable_686
813.6908681933286,5332.047381703189,bird,bird_8545
3940.497322058257,-7914.320149809292,dog,dog_6210
-2338.946202865565,2524.456725107776,bird,bird_1369
3829.369404551822,-5712.920815433686,boat,boat_2597
6522.12219329401,-850.0260463272441,cow,cow_8204
4024.9831924426203,3945.286998733196,dog,dog_4592
236.49707753180684,-414.5026359979048,bird,bird_5096
-5751.880194364067,614.9946276868552,horse,horse_800
1789.8208417664346,-864.3884225738358,boat,boat_3107
2208.0421184238226,-1290.8241459270469,sheep,sheep_5975
-3720.8334528153473,-1169.2197312647004,chair,chair_7028
-58.76976853901171,3118.5165520691176,chair,chair_6816
-6874.789012823612,-436.850027528484,dog,dog_5423
5070.548073040128,-4851.662325751451,boat,boat_7547
-6790.6355865041305,3520.5279951529833,chair_diningtable,chair_diningtable_6942
5136.837585472453,-4044.107589221219,boat,boat_7648
-5520.919204437752,3436.087864608872,bird,bird_1371
-2720.590577283724,1450.6589573344445,dog,dog_98
-568.8574943451157,-4491.499538332472,diningtable,diningtable_2807
1019.1887652727561,-1420.7376138628088,boat,boat_7599
