GRP_1,GRP_2,labels,filename
-16890.263848333892,2720.2516373455137,chair_diningtable,chair_diningtable_7517
-4725.127028905548,1917.4198271543264,diningtable,diningtable_3798
-7212.994724887902,-913.1218165752657,chair,chair_4742
-4826.286992684597,1940.8258429329198,bird,bird_556
-14108.604626776254,6499.6647971058455,sheep,sheep_535
-9834.733855316572,2085.2928252008014,diningtable,diningtable_8539
-7460.831219652737,3827.7588172526475,chair,chair_8086
-17442.072154138466,3932.8057770686964,boat,boat_6797
-3645.8942210392547,4796.256483384044,chair,chair_5419
-23284.26712066492,10000.789871514142,diningtable,diningtable_6423
-7460.831219652737,3827.7588172526475,dog,dog_6228
-1710.4886997450565,-2767.7864525320256,diningtable,diningtable_5153
-4212.0542919235295,2117.0233727231603,horse,horse_97
-15730.152515108935,7016.766275657518,train,train_6397
-10599.446920756329,4015.3700773780793,chair,chair_5298
-6647.281667811462,4136.713164154068,bird,bird_2901
-11022.982477379299,1045.0968514747087,boat,boat_5585
-8768.115315722256,1322.8966737262633,horse,horse_136
-8977.720073442943,-904.8970690537053,horse,horse_4470
-15112.228281654023,1003.652045904859,boat,boat_2678
-5676.953269347929,4135.374588416088,boat,boat_2511
-15678.464419719208,-3952.857142701219,boat,boat_6879
-6905.874560087124,3764.3465342065374,cow,cow_8565
-7460.831219652737,3827.7588172526475,dog,dog_4486
-15022.049165213884,9521.386177195658,boat,boat_4803
-19238.8557389342,668.8250285296417,boat,boat_3173
-12826.545872757282,-4190.537504544037,diningtable,diningtable_6430
-21561.315877521683,4503.965634861883,boat,boat_2597
-18422.842817038214,-641.8951895740215,cow,cow_8204
-11780.405465263997,-3190.503745473889,dog,dog_4592
-11600.468805136226,1303.7003313383025,bird,bird_5096
-8346.22348155567,-1658.251960975197,horse,horse_800
-13032.724091786165,4406.646009020331,chair,chair_7028
-3248.0582073410123,7348.3024800923195,dog,dog_5423
-1962.123151500477,-1245.2618121898215,chair_diningtable,chair_diningtable_6942
-15982.563184890763,5319.467041584959,diningtable,diningtable_2807
-17067.40946774424,2168.5931510327187,boat,boat_1334
-15405.821191930096,5619.58398485574,boat,boat_6947
-11583.571706044098,-83.13778964694689,sheep,sheep_5920
-13119.163621238711,2047.9547702638492,boat,boat_4809
-9657.972865539687,3960.074314666859,diningtable,diningtable_8061
-15190.26703186616,2426.6906663644104,diningtable,diningtable_4552
-11112.564037530368,5747.341441112177,diningtable,diningtable_6737
-10835.673920528672,1759.3914605300945,train,train_4388
-14882.219339545976,5726.904947284828,boat,boat_4951
-20099.68690538532,151.88201316780913,boat,boat_5378
-7698.153933125059,-141.72222539858709,chair,chair_6178
-7000.739579726167,-602.7295903748395,chair,chair_8158
-5969.4871919925645,6222.834397270761,bird,bird_6503
-11412.778200162107,1374.19566312812,horse,horse_7080
-5697.797730828921,4794.416241238326,diningtable,diningtable_7981
-4484.401764539098,3950.7209189572322,diningtable,diningtable_3897
-19224.03304976788,10591.96969110055,boat,boat_1986
-14163.957918908609,4117.366562961992,chair_diningtable,chair_diningtable_7164
-14661.114435766223,4576.783295649206,horse,horse_8420
-9062.722788322606,-1653.6075931742275,diningtable,diningtable_2058
-7651.36944219927,822.6406895552886,boat,boat_2629
-6454.858832077363,8684.371264287438,chair_diningtable,chair_diningtable_578
-17206.750293703113,11470.243029203166,diningtable,diningtable_6424
-9691.74952995638,-2632.734571892939,dog,dog_612
-10685.109072236175,11282.395419024975,sheep,sheep_5985
-12607.185829579475,-644.2287271258404,horse,horse_5315
-7578.240543611649,1926.3580199694472,horse,horse_3129
-13326.879141234842,1329.7297546117854,boat,boat_3352
-6679.647011040758,6933.1673951499415,diningtable,diningtable_2955
-9214.688492160394,3945.075266929811,horse,horse_7099
-10701.154602136772,3143.6076356543504,horse,horse_7841
-11903.956195875578,-1476.3539605131655,dog,dog_2105
-7135.857001670902,380.8509148081897,chair_diningtable,chair_diningtable_7346
-6823.701460754502,543.7032986940459,diningtable,diningtable_6554
-11906.988239774417,-406.1009929450402,horse,horse_3520
-10872.676583953024,-1258.6526943626675,sheep,sheep_4185
-1999.9071023256745,1016.5254236936968,train,train_7700
-17233.46256724912,2368.0947711020826,diningtable,diningtable_5370
-20912.786343104188,5822.408559838415,boat,boat_3194
-11254.519013071647,1297.993349164355,boat,boat_247
-11379.523236965684,853.013631072804,chair,chair_1846
-11242.607432753433,1370.817780725375,boat,boat_5340
-4123.50180428327,4047.0665747431767,bird,bird_4821
-13465.92813553723,522.9783049012372,train,train_3624
-15670.381945857842,1121.9904008923347,boat,boat_5664
-5635.054102318955,6082.164553582804,chair,chair_3891
-13231.913597939349,2615.3675215969142,boat,boat_642
-12078.63293524704,1902.907820706864,boat,boat_2095
-12747.686270052856,2365.4683565629393,chair,chair_685
-11958.38878419259,-501.9189482303151,boat,boat_7334
-9832.101943713973,3812.5087061062654,bird,bird_5847
-6556.524419635177,2051.963255694642,boat,boat_6888
-6354.517945946913,3345.001799480813,dog,dog_6644
-7881.850235481221,6037.512667101076,dog,dog_6361
-8495.599903324466,-749.580856314527,bird,bird_7763
-17113.46153141964,2853.371942877924,boat,boat_4830
-20714.911470486517,5148.57826729984,horse,horse_7789
-2557.188409552168,6027.1000472575915,dog,dog_1367
-10922.770619658753,9409.83179565331,boat,boat_2542
-25292.44175134732,2948.633433945727,boat,boat_4562
-5727.306947900356,53.62969016043925,dog,dog_5201
-9728.956346703466,185.70661194034813,cow,cow_3946
-12834.999686667894,1697.7683003708405,boat,boat_548
-10013.33136481284,9054.060106973207,bird,bird_5735
-15228.462454213379,1417.8614323183524,chair,chair_7970
-7178.422432885221,2950.430508515102,sheep,sheep_4155
-14457.86204068184,8232.512423405107,horse,horse_4286
-12538.227028662337,-314.16515557823493,horse,horse_5356
-10381.758094280853,-177.59293421995906,boat,boat_5464
-12496.274064363955,-662.2433712972809,boat,boat_756
-17966.430410058296,5414.886566646,boat,boat_634
-5810.531393135268,-4013.287258531722,train,train_7710
-14183.729752782228,-2050.0751296508083,boat,boat_4314
-16032.02286041654,-2450.8452913164624,boat,boat_7263
-8832.421114263127,792.2034184235592,chair,chair_2861
-5305.147355630754,69.32782375118515,chair_diningtable,chair_diningtable_3150
-12099.297217578516,1172.8838838801248,cow,cow_4082
-21217.03796944277,2824.368320095381,boat,boat_3589
-10361.116398824908,1663.2432942260245,dog,dog_346
-12602.346902905269,6477.148630770451,cow,cow_1320
-13422.592625885263,5547.0951693119105,diningtable,diningtable_7057
-15646.83867697173,14393.502634172051,chair,chair_3216
-11879.718595816894,3905.033164957473,dog,dog_4537
-13541.60771903773,1066.2798665598536,boat,boat_3884
-24122.3118576344,4293.410125217961,chair_diningtable,chair_diningtable_1075
-7460.831219652737,3827.7588172526475,horse,horse_5839
-14190.069633001582,-2137.6713153581213,horse,horse_900
-15927.986312361792,7758.555426587332,horse,horse_22
-15989.384604191666,2286.443990240817,boat,boat_1480
-13907.029397624907,1048.298764608116,dog,dog_257
-10764.219633547791,4204.640605586158,train,train_4348
-22089.412761910688,-24.429994499106737,boat,boat_229
-17009.9735857317,2696.786032812365,train,train_4384
-11613.964754305978,2383.594654153274,sheep,sheep_5953
-14096.973239097668,7928.655775238503,bird,bird_1026
-10035.250384804276,724.2743764943015,chair_diningtable,chair_diningtable_3762
-12142.728139508765,1280.5265693300582,bird,bird_6585
-13872.245811722032,3909.9723812277934,diningtable,diningtable_8336
-11784.97712753926,1757.3351897071634,horse,horse_3522
-5444.928392341852,1817.2187545364166,chair_diningtable,chair_diningtable_6113
-11672.298160170489,5978.59062916003,bird,bird_8038
-6707.946317483273,-102.4780718747279,cow,cow_139
-14308.732789016887,4684.5966040139365,boat,boat_6802
-9669.291900921116,1075.918997454865,train,train_2308
-8368.049867613006,383.2577056417501,bird,bird_4687
-15202.883781228691,3224.2656259505793,boat,boat_1298
-13647.106548153723,6488.69799958186,chair,chair_2993
-12316.869786570427,-1778.8792438201444,cow,cow_4784
-14874.384561466348,-3854.118388805567,sheep,sheep_1984
-14383.772751652219,-1010.9171410848655,sheep,sheep_4191
-8187.418224884947,2811.5780409590056,bird,bird_6529
-12031.278998536622,1701.2974805198678,boat,boat_2690
-16724.201796320864,-3876.555344904002,boat,boat_8220
-13905.893501532746,4175.997027711461,dog,dog_6567
-11160.796664690257,-3958.965152735308,sheep,sheep_5884
