UMAP_1,UMAP_2,labels,filename
8.274560000000001,17.015204999999998,diningtable,diningtable_2311
3.3710103,6.7353477,diningtable,diningtable_6521
1.6994642,7.650649499999999,boat,boat_7289
11.187367,16.104376000000002,horse,horse_4225
2.680068,11.326618,bird,bird_2771
3.730648,7.1146197,bird,bird_7309
8.480828,15.545831,diningtable,diningtable_502
-1.2682403,2.3213813,boat,boat_5615
-3.6942372,2.1056151,boat,boat_2312
-0.4040015,4.516674,boat,boat_2643
3.9331226,12.674721,chair,chair_7570
5.9177337,15.222487,horse,horse_800
2.998642,9.185485,train,train_5072
2.2987063,7.517139999999999,boat,boat_1101
-2.0582283,5.119739,boat,boat_3638
-2.600695,4.534942,boat,boat_1164
5.235663,10.334667,dog,dog_3916
1.6290356,9.922052,boat,boat_5585
-3.1328866,6.8310704,sheep,sheep_5993
-3.0162215,9.64754,boat,boat_8220
1.7629905,11.817503,horse,horse_1851
-0.8994274999999999,4.867955,boat,boat_6099
1.1771113000000002,13.765606,horse,horse_6686
7.747642,17.910748,chair_diningtable,chair_diningtable_6942
4.1878910000000005,14.3082485,horse,horse_1312
-2.3381104,7.0476675,boat,boat_77
-0.12542254,11.443414,sheep,sheep_4193
5.1413198,10.173723,cow,cow_6704
2.8944972,9.6557045,diningtable,diningtable_6604
1.7661209,2.981196,boat,boat_4803
1.718496,0.54729563,boat,boat_1986
-3.2571962,5.7391086,boat,boat_7334
-3.489262,2.4039826,boat,boat_2662
-2.298327,5.2604117,boat,boat_5129
-3.5782244,2.9178975,boat,boat_6947
-2.954583,6.563343499999998,boat,boat_2566
8.710981,15.511378,chair,chair_3271
-0.87399226,9.312256,boat,boat_2432
5.417389,7.1461554000000005,diningtable,diningtable_8107
-1.8129867,7.609203999999999,diningtable,diningtable_5106
10.546282,16.428034,chair,chair_1601
0.8799812,12.146779,cow,cow_3053
0.29476407,2.1635299,chair,chair_7788
0.593434,7.2372203,boat,boat_2737
4.353137,13.2136345,horse,horse_7389
2.1519134,3.6500216,boat,boat_2607
0.31391007,7.292818,bird,bird_7149
0.70982283,5.54379,boat,boat_5478
3.1172228,9.238476,boat,boat_6836
-4.006945,5.8476870000000005,sheep,sheep_5948
13.522383,6.3871374,chair,chair_8028
3.655847,9.296876,dog,dog_6890
7.269399000000001,15.151627,dog,dog_4487
3.8799412,9.93246,horse,horse_7543
6.39741,11.354766,diningtable,diningtable_8526
1.7420748,-0.80528355,diningtable,diningtable_4999
-2.9590225,8.105687,horse,horse_3434
1.8972512,3.7671049,boat,boat_7464
2.5541747000000004,10.404618,diningtable,diningtable_1799
-2.6893964,3.6885219,boat,boat_1307
8.70352,16.377739000000002,chair,chair_4744
1.9224696,-2.55419,horse,horse_3562
-2.460048200000001,7.708575,train,train_4384
3.48729,3.491509,chair_diningtable,chair_diningtable_1075
-0.65353614,8.178001,dog,dog_1689
-1.9232632,2.9071631,boat,boat_2200
-1.1729431,5.7937865,boat,boat_5614
3.984514700000001,9.760356,dog,dog_2145
1.1344322,1.7827265,horse,horse_22
4.065707,11.041614,horse,horse_474
5.1389966,15.399359,chair,chair_4706
0.2946816,2.2490132000000003,train,train_3114
-0.08094574,3.1495667000000003,bird,bird_5735
4.1053510000000015,15.079147,chair_diningtable,chair_diningtable_2163
8.684946,15.600441,bird,bird_2053
0.44906124,2.8653584,bird,bird_1026
-4.183943,7.448924499999999,horse,horse_900
-1.0117121,5.9426236,cow,cow_1952
-0.8963619,6.4664636,boat,boat_1221
-0.077004604,0.44882357,boat,boat_2624
5.307943,15.490543,diningtable,diningtable_2795
2.5877485,3.7687628,bird,bird_8136
1.6516695,11.369099,chair_diningtable,chair_diningtable_3150
-3.5901818,7.484336999999999,dog,dog_2105
1.8031101000000005,2.498391,dog,dog_8534
1.5049814,2.7654161,boat,boat_1498
2.858204,9.423038,dog,dog_5834
2.0726268,8.258553,boat,boat_2095
1.8887626,12.535536,train,train_3624
2.330609,13.500754,diningtable,diningtable_4282
8.0665045,17.691698000000006,chair,chair_7564
2.7945642000000004,7.294167999999999,boat,boat_1113
-0.19192243,3.5234303,boat,boat_7480
1.7405217,11.548315,boat,boat_7231
8.546204,13.312226,chair,chair_1548
4.1348753,13.087225,cow,cow_6980
3.3112118,15.037138,cow,cow_4784
-1.8599612,5.136373000000002,horse,horse_4535
7.4577928,16.373068,chair,chair_2862
1.671299,0.26731320000000003,bird,bird_1044
-1.4625931,9.13974,boat,boat_4314
0.28819838,4.219618,horse,horse_4775
-1.57616,7.5907550000000015,horse,horse_2442
5.4472427,12.2715,chair,chair_4506
2.0093985,-2.7471979,bird,bird_7313
0.681659,4.161421,horse,horse_6619
2.8306563,7.007216499999998,chair,chair_7881
-1.3406432,5.332575,boat,boat_532
6.9851522,15.640811,chair_diningtable,chair_diningtable_7346
-1.9312814,3.7441354,boat,boat_5395
-2.1919117000000004,8.986286999999997,sheep,sheep_7746
2.6521163,2.614497,boat,boat_6898
0.96365947,8.066875,boat,boat_7599
3.9168615,8.6617775,chair_diningtable,chair_diningtable_6814
-1.9962308,11.548406,boat,boat_1298
6.69474,13.911043,chair_diningtable,chair_diningtable_1809
-2.3416605,2.3686867,train,train_3099
-4.383939,2.295578,cow,cow_8204
-3.403346,4.5166206,horse,horse_7160
5.5252767,12.137039,horse,horse_7220
8.221708999999999,15.623352,horse,horse_3504
0.37280712,13.287247,sheep,sheep_3635
-2.1376712,9.028593,sheep,sheep_3972
0.5313287,0.37889874,boat,boat_634
6.8852577,15.583957,chair_diningtable,chair_diningtable_3343
-1.0548187,5.5882497,boat,boat_3639
3.264616,6.877378500000002,diningtable,diningtable_6570
-2.0718424,3.5146642,sheep,sheep_535
-3.3638754,7.4255605,cow,cow_4948
-0.48547763,5.9367839999999985,chair_diningtable,chair_diningtable_5817
-1.2704335,6.614903999999999,bird,bird_8479
8.758184,14.296046,dog,dog_346
0.6559488,0.9035866,boat,boat_5617
-1.4372623,10.566521,sheep,sheep_296
1.8091561,2.4457693,boat,boat_8176
4.8335643,10.9113655,boat,boat_7538
2.6461568,9.355695,sheep,sheep_6341
2.9440215,13.364098,horse,horse_7895
-4.6434746,3.6735706,dog,dog_3725
-0.033001736000000004,5.5242615,boat,boat_5340
4.518279,8.993712,bird,bird_6503
0.36884752,2.0721548,boat,boat_2597
1.6036571000000002,7.8559994999999985,boat,boat_5624
8.420886999999999,12.834692,diningtable,diningtable_6507
4.806977,15.61869,chair,chair_6178
6.2402096,17.959754999999994,chair,chair_5241
0.7380901,7.240989999999999,boat,boat_2514
0.87922394,5.0919223,sheep,sheep_2415
-0.16438222,4.7718425,horse,horse_871
-0.4993123,12.368331,horse,horse_1588
-1.8301888,6.2637987,diningtable,diningtable_5831
0.42941537,2.5221447999999995,boat,boat_3588
-1.439869,10.823107,cow,cow_5446
4.6994066,14.19718,bird,bird_1415
5.3180239999999985,13.110442,chair,chair_1060
-2.814927,8.352253,sheep,sheep_6033
2.6722772,13.134646,dog,dog_2142
1.344723,10.5223675,cow,cow_1907
-0.6301696999999999,2.4679818,boat,boat_1480
3.2033186,13.981019,chair_diningtable,chair_diningtable_3762
1.3779197,4.562935,boat,boat_3884
1.692516,2.9734352000000004,boat,boat_3024
-1.8112803,4.8247886,train,train_6971
1.5072371,2.5535903,boat,boat_1244
6.6278815,13.123175,bird,bird_7763
2.3376558,7.588771,chair,chair_5135
-0.14498167,5.550621,boat,boat_920
4.1971145,9.448002,train,train_4217
6.2408113,15.403851500000002,horse,horse_97
-3.5062290000000003,7.721012599999999,sheep,sheep_5960
8.240877000000001,15.292437,chair,chair_5826
0.6879662,6.6596847000000015,horse,horse_3425
2.7415855,10.653751,cow,cow_1866
-2.664945,10.148595,train,train_7710
0.77732897,4.471476999999998,boat,boat_1223
3.6383135,4.6927567,bird,bird_1016
1.0660406,10.17291,bird,bird_786
7.8107185,12.666004,cow,cow_1865
7.362324,11.207028,diningtable,diningtable_3731
8.406321,16.13214,chair,chair_801
-0.6500276,10.606456,train,train_7705
-3.079428,4.4683785,horse,horse_5094
8.760385000000001,14.394474,chair,chair_3260
3.8305547,12.723135,horse,horse_7913
4.292436,13.562013,chair,chair_13
0.8713785,-3.4759593,sheep,sheep_4155
5.548543,12.893652,diningtable,diningtable_4490
4.882109,9.802587,bird,bird_2801
8.237078,18.299078,chair,chair_7568
