GRP_1,GRP_2,labels,filename
840.8238540542302,-1011.1081489687504,left down,left down_74_74
1407.3321454088643,-2784.9348536205453,mid left up,mid left up_317_317
2068.4256803727403,-5272.3932495348245,mid right down,mid right down_374_374
448.05106652517,2031.5546397350918,mid left down,mid left down_276_276
1464.6774448718836,-4991.306261480583,right down,right down_568_568
338.2672758526412,-5209.279681478001,left up,left up_121_121
2585.384535699608,-1701.1114721478755,mid left up,mid left up_306_306
-568.1663289788191,-3748.212998852554,mid left down,mid left down_267_267
-2911.0162242643737,-5611.476413360389,right down,right down_579_579
-1976.8557121632348,-5057.686661483744,left up,left up_130_130
-450.4776781892615,-794.7584569359715,left down,left down_90_90
997.3483566274052,2706.5594972752983,mid left down,mid left down_254_254
-416.8416376729412,-7986.789438624528,right down,right down_595_595
3856.483814685157,-1953.455733401049,mid left up,mid left up_335_335
-928.2869661465634,-1271.7961085896125,mid right down,mid right down_389_389
-744.5518842970872,-3448.540407046159,mid left down,mid left down_245_245
-196.83060541426588,-233.75112623206815,left down,left down_30_30
1738.3811895695874,-5379.381901060529,right down,right down_584_584
-2997.1364332026174,-7251.00111785098,mid left up,mid left up_324_324
-3636.731138412399,-5454.186688821668,mid left up,mid left up_296_296
644.9326956993609,-3534.9886478601125,left up,left up_112_112
685.8940551560837,-470.8217472332135,mid right down,mid right down_398_398
-929.7400244443812,-3226.920658221758,left up,left up_173_173
1757.3687503367214,-2153.402961277521,left down,left down_18_18
-86.80580612463623,-4405.2635149814205,mid left down,mid left down_224_224
-855.4230874934112,-5124.935120456984,mid right up,mid right up_507_507
-2068.028080607583,-6430.018300921688,mid left up,mid left up_345_345
2155.175143983908,-1376.5534618110614,left down,left down_80_80
2146.694813118117,-3610.236957593911,left up,left up_162_162
-994.5860263625424,-1409.578771836312,mid left down,mid left down_235_235
-117.29006571400585,-4712.131039633545,mid right up,mid right up_516_516
2702.1001024661678,-1292.2940328939844,left down,left down_20_20
-690.6823401463153,-4174.322500449758,mid left up,mid left up_354_354
-811.5001753429018,-2946.617124880996,mid right up,mid right up_497_497
-1241.8805341728425,-8410.107663025488,right down,right down_518_518
2754.5206685594994,-1168.384787536754,left up,left up_151_151
-2307.069749127894,-4487.122321497173,mid right down,mid right down_419_419
326.79949218720304,-6881.083226205122,right up,right up_683_683
2956.221740306585,-2802.127152086716,mid left up,mid left up_367_367
-608.3126708276291,-4595.89474145247,mid right up,mid right up_448_448
-963.3266362468194,-1704.1784527183836,mid left down,mid left down_206_206
1389.6852037158524,-2952.504195519021,left down,left down_64_64
-621.4086755275276,-4044.213358789152,mid right up,mid right up_486_486
450.5580524387312,-2749.065471350023,mid right down,mid right down_408_408
955.3359765048448,-1684.2532569577909,left up,left up_140_140
2388.850031245807,-5198.52374802169,mid right up,mid right up_459_459
-384.9246695887993,-6720.162866154479,right up,right up_692_692
-1226.932423162314,-4088.437430257591,mid left down,mid left down_217_217
-2495.4461350135034,-6743.5718801880685,mid right up,mid right up_444_444
-415.13635640285804,-3647.4643330533254,left up,left up_182_182
-1244.466321607395,-5302.565486274614,right up,right up_650_650
-700.7038450850865,-3453.116437800317,mid right down,mid right down_415_415
212.8986503472845,129.28363706164737,left down,left down_13_13
-3159.7196622749248,-5759.05917848925,mid right up,mid right up_455_455
1105.7070069275492,-2147.025043610423,left up,left up_193_193
2183.6660028422157,-4009.886863648769,right up,right up_641_641
1060.549653408577,-2095.900957569392,mid right down,mid right down_404_404
2151.150599901423,-2430.2499282707204,mid left down,mid left down_228_228
1085.3799218686563,-934.7753291565714,mid left up,mid left up_349_349
381.1222867759069,-1884.5570105132824,mid right up,mid right up_466_466
-497.84075064587995,-2791.1894894065026,mid right down,mid right down_437_437
-817.8057797523285,-5755.2021055619225,right down,right down_536_536
597.3336123327589,-4278.927191278913,right up,right up_672_672
