TSNE_1,TSNE_2,labels,filename
-49.26975,25.53277000000001,left down,left down_74_74
-21.555533999999998,16.325975,mid left up,mid left up_317_317
-26.260427000000004,-35.198597,mid right down,mid right down_374_374
20.968733,-0.25363073,mid left down,mid left down_276_276
-74.38208,-19.4711,right down,right down_568_568
32.44293,72.12092,left up,left up_121_121
-18.763379999999998,-1.0132705,mid left up,mid left up_306_306
64.827354,22.449242,mid left down,mid left down_267_267
25.40351,-61.594409999999996,right down,right down_579_579
10.170864,41.84068,left up,left up_130_130
-44.167904,54.56936999999999,left down,left down_90_90
26.518096999999997,1.5559067,mid left down,mid left down_254_254
17.845516,-55.27616,right down,right down_595_595
-32.915363,12.641210000000001,mid left up,mid left up_335_335
39.641525,-31.64854,mid right down,mid right down_389_389
-8.652923,37.74541,mid left down,mid left down_245_245
-57.748753,47.5933,left down,left down_30_30
-61.558792000000004,-33.15166,right down,right down_584_584
0.34614515,-6.1523128,mid left up,mid left up_324_324
66.71595,-4.874413,mid left up,mid left up_296_296
8.100927,68.09246999999999,left up,left up_112_112
24.403404000000002,-19.881211999999998,mid right down,mid right down_398_398
6.194089,66.270134,left up,left up_173_173
48.472004,40.357605,left down,left down_18_18
61.914375,16.713998999999998,mid left down,mid left down_224_224
7.7200494000000015,-43.554559999999995,mid right up,mid right up_507_507
10.957638000000001,37.513844,mid left up,mid left up_345_345
-49.591743,28.423346000000002,left down,left down_80_80
10.359647,52.159214,left up,left up_162_162
62.57626,-22.087951999999998,mid left down,mid left down_235_235
-0.96902704,-25.043978,mid right up,mid right up_516_516
34.762463000000004,20.732677,left down,left down_20_20
14.521679,14.299757999999999,mid left up,mid left up_354_354
-19.406063,-17.524675,mid right up,mid right up_497_497
8.226037,-70.89541,right down,right down_518_518
50.669594000000004,53.139132999999994,left up,left up_151_151
19.58163,13.868475,mid right down,mid right down_419_419
-1.9831561999999998,-53.983025,right up,right up_683_683
-23.398645000000002,3.6006407999999994,mid left up,mid left up_367_367
3.3418212,-21.465916,mid right up,mid right up_448_448
62.818259999999995,-21.767333999999998,mid left down,mid left down_206_206
-48.658997,37.760647,left down,left down_64_64
-2.040187,-23.695375,mid right up,mid right up_486_486
38.915295,-32.291794,mid right down,mid right down_408_408
-21.382978,55.149788,left up,left up_140_140
-6.8244905,-26.216927000000002,mid right up,mid right up_459_459
-1.8179173,-54.212288,right up,right up_692_692
64.15671,-10.690447,mid left down,mid left down_217_217
-0.9745341999999999,-12.764088000000001,mid right up,mid right up_444_444
-29.13384000000001,31.47223300000001,left up,left up_182_182
6.5919422999999995,-75.91509,right up,right up_650_650
43.728415999999996,-29.753906,mid right down,mid right down_415_415
-60.73911700000001,44.46437,left down,left down_13_13
-2.474827,-13.212444,mid right up,mid right up_455_455
-18.295422,69.930176,left up,left up_193_193
-62.01189,-30.682128999999996,right up,right up_641_641
38.059128,-32.221546000000004,mid right down,mid right down_404_404
30.528057,18.379107,mid left down,mid left down_228_228
-11.682485,29.204485,mid left up,mid left up_349_349
-13.884367000000001,-13.025113000000001,mid right up,mid right up_466_466
22.56685,14.471597000000001,mid right down,mid right down_437_437
26.326946000000003,-58.962284,right down,right down_536_536
-44.060986,-45.812145,right up,right up_672_672
3.4097586000000004,6.207738,mid left down,mid left down_239_239
-32.95223,-17.075283,mid right up,mid right up_477_477
11.778957,30.345457,mid left up,mid left up_358_358
32.184193,-8.826653,mid right down,mid right down_426_426
-20.64173,-61.768409999999996,right up,right up_663_663
-66.30773,41.035046,left down,left down_57_57
20.770216,-68.3666,right down,right down_527_527
-0.17837946,9.446314,mid left down,mid left down_287_287
20.649363,13.604084,mid right down,mid right down_385_385
-61.33345,-38.801975,right down,right down_546_546
27.129440000000002,1.9821403999999998,mid left down,mid left down_258_258
-72.35435,-27.040768,right down,right down_599_599
10.72377,29.694066999999997,mid left up,mid left up_339_339
-19.577133,49.47805,left down,left down_47_47
-61.293877,-36.76708,right down,right down_557_557
37.486744,-0.8924620000000001,mid right down,mid right down_394_394
-45.92568,-55.108788,right up,right up_613_613
62.113052,10.235517,mid left down,mid left down_249_249
-68.17734,-29.946802,right down,right down_603_603
7.59006,-69.82524000000001,right down,right down_588_588
-0.509087,-9.7733755,mid left up,mid left up_328_328
-64.74741999999999,-35.636715,right down,right down_564_564
-3.8138926,-50.540005,right up,right up_620_620
-25.267063,-29.494556,mid right down,mid right down_378_378
52.244053,50.71032,left down,left down_107_107
-7.995214,-50.23643,right up,right up_631_631
42.923313,-59.624382,right down,right down_575_575
17.632710999999997,-51.643707,mid right down,mid right down_379_379
-63.153576,36.563423,left down,left down_106_106
-48.829613,38.057484,left down,left down_82_82
37.429085,-70.6239,right down,right down_565_565
11.444171,-74.058685,right up,right up_621_621
51.487522,43.168213,left down,left down_22_22
-6.5884542,-49.384995,right up,right up_630_630
27.287226,-59.19060500000001,right down,right down_574_574
5.39351,12.789988000000001,mid left down,mid left down_259_259
-28.613525,12.370283,mid left up,mid left up_338_338
36.462047999999996,-69.78457,right down,right down_598_598
-62.42559,56.932959999999994,left down,left down_66_66
28.859,17.011460999999994,mid left down,mid left down_286_286
45.63193,-53.32479,right down,right down_547_547
24.985369,-20.316574,mid right down,mid right down_384_384
41.943317,11.998285000000001,mid left down,mid left down_248_248
26.567106,-71.74077,right down,right down_602_602
-40.003483,12.845832000000001,mid left up,mid left up_329_329
36.48587,-68.400406,right down,right down_589_589
47.43184,-17.326801,mid right down,mid right down_395_395
28.523867,-33.50419,right down,right down_556_556
-54.717346,-46.61815,right up,right up_612_612
55.865722999999996,-24.5365,mid right down,mid right down_436_436
-71.77909,-29.87293,right down,right down_537_537
-58.00105,-30.573254,right up,right up_673_673
63.48341800000001,-5.8485374000000006,mid left down,mid left down_229_229
-52.44416999999999,27.409575,left down,left down_76_76
-26.418627,-10.434189,mid right up,mid right up_467_467
-19.341429,15.173989,mid left up,mid left up_348_348
37.498129999999996,-32.37928,mid right down,mid right down_427_427
-11.342689,-67.99173,right up,right up_662_662
-70.75198,-18.245222000000002,right down,right down_526_526
0.86958355,10.92647,mid left down,mid left down_238_238
-1.601916,-5.2091199999999995,mid left up,mid left up_359_359
-0.08189568,-28.102743,mid right up,mid right up_476_476
-22.176525,-59.950596,right up,right up_651_651
22.455263000000002,13.803999,mid right down,mid right down_414_414
-1.8281075,-29.83639,mid right up,mid right up_445_445
30.72168,52.60531999999999,left down,left down_92_92
-2.908171,52.719288,left up,left up_183_183
5.822597,-50.361176,right up,right up_640_640
51.769459999999995,-16.277601,mid right down,mid right down_405_405
-12.792003999999999,-13.656270999999998,mid right up,mid right up_454_454
60.249348,27.16975,left down,left down_32_32
-26.672987,57.077698,left up,left up_192_192
-55.46309,-46.2072,right up,right up_682_682
-41.43208,-28.744028000000004,mid right up,mid right up_449_449
-10.885594000000001,31.93951,mid left up,mid left up_366_366
-5.615239,38.113937,mid left down,mid left down_207_207
8.808266,52.79696,left up,left up_204_204
33.4015,-33.834675,right down,right down_519_519
-2.8703982999999997,-13.543092999999999,mid right up,mid right up_496_496
50.26399,52.432777,left up,left up_150_150
27.448845000000002,-13.710872,mid right down,mid right down_418_418
-20.387376999999997,-16.093970000000002,mid right up,mid right up_458_458
-9.523959,-70.23236999999999,right up,right up_693_693
29.91392,3.8681912000000014,mid left down,mid left down_216_216
-20.264757,-1.8781276999999998,mid right up,mid right up_487_487
52.688669999999995,49.544284999999995,left down,left down_45_45
32.08996,-8.369786999999999,mid right down,mid right down_409_409
-49.27425,24.701496,left down,left down_8_8
-14.085239000000001,72.75941999999998,left up,left up_141_141
-34.243958,-17.454076999999998,mid right up,mid right up_506_506
65.67562,16.993076000000002,mid left down,mid left down_225_225
-52.70346,53.82483000000001,left down,left down_99_99
-29.33817,30.65413,mid left up,mid left up_344_344
2.4097402000000003,50.374367,left up,left up_172_172
18.787952,55.120746999999994,left down,left down_39_39
64.60683399999999,5.322198,mid left down,mid left down_234_234
-27.833434999999998,13.0328865,mid left up,mid left up_355_355
-14.909460999999999,72.05194,left up,left up_163_163
-24.840854999999998,-29.089445,mid right down,mid right down_388_388
-50.039795,38.5379,left down,left down_11_11
-12.1333065,41.803894,mid left down,mid left down_255_255
31.63169000000001,53.783545999999994,left down,left down_2_2
-54.018368,53.879734,left down,left down_89_89
-21.891792000000002,17.190199,mid left up,mid left up_334_334
42.951115,-57.228333,right down,right down_594_594
-27.49721,27.071352,mid left up,mid left up_297_297
-6.2614827,51.091232,left up,left up_113_113
40.638638,-30.97578,mid right down,mid right down_399_399
-61.747124,57.20703,left down,left down_0_0
21.539404,-0.030244462000000007,mid left down,mid left down_244_244
-28.183475,23.695597,mid left up,mid left up_325_325
26.962082000000002,-33.374775,right down,right down_585_585
45.85897,29.643162,left down,left down_29_29
-70.39107,-29.018757,right down,right down_569_569
23.852814000000002,63.81921,left up,left up_120_120
48.20055,-13.676243,mid right down,mid right down_375_375
-30.39302600000001,10.384139999999999,mid left up,mid left up_316_316
39.100758,23.943403,left down,left down_6_6
66.6641,18.214676,mid left down,mid left down_277_277
18.166887,-70.41434,right down,right down_578_578
58.46693000000001,47.319794,left down,left down_55_55
7.941407000000001,67.723114,left up,left up_131_131
9.446553999999999,38.707783,mid left up,mid left up_307_307
-49.72341,28.798489,left down,left down_4_4
17.186214,13.687403,mid left down,mid left down_266_266
-43.896496,57.266438,left up,left up_111_111
-14.385963,39.926773,mid left up,mid left up_295_295
6.443551,-50.28183,right down,right down_558_558
63.388226,-7.3185034,mid left down,mid left down_246_246
-42.214325,16.877083,mid left up,mid left up_327_327
-72.159874,-28.057205,right down,right down_587_587
61.4988,16.77344,mid left down,mid left down_288_288
43.826256,-53.600376000000004,right down,right down_549_549
66.01285,17.58323,mid left down,mid left down_257_257
-25.150179,26.43647,mid left up,mid left up_336_336
-30.316544,-40.999023,right down,right down_596_596
43.28973,33.716770000000004,left down,left down_17_17
20.470509,62.69635400000001,left up,left up_133_133
-18.473137,-0.2281261,mid left up,mid left up_305_305
-0.3370296,8.972563000000003,mid left down,mid left down_264_264
-60.35025,33.46819,left down,left down_53_53
-47.85698,21.829979,left up,left up_122_122
10.911795,39.01822,mid left up,mid left up_314_314
-30.585572999999997,-38.895267,mid right down,mid right down_377_377
3.3735359,9.797438,mid left down,mid left down_275_275
53.894794,37.528996,left down,left down_108_108
6.077892299999999,-76.01018,right up,right up_691_691
-56.812346999999995,47.870094,left down,left down_43_43
64.24844,-9.027872,mid left down,mid left down_214_214
-35.66468,-15.861406,mid right up,mid right up_485_485
-23.726004,35.86989600000001,left up,left up_143_143
-40.36271,13.739344000000001,mid left up,mid left up_364_364
-49.71376,-49.23352,right up,right up_680_680
12.627494,9.428099000000001,mid left down,mid left down_205_205
-18.945889,-2.3303627999999996,mid right up,mid right up_494_494
-19.28442,49.64505,left up,left up_152_152
-18.640547,-10.560567,mid right up,mid right up_515_515
34.784714,1.6451634999999998,mid left down,mid left down_236_236
-24.914602,0.63032156,mid right up,mid right up_478_478
14.565919000000001,12.943097999999999,mid left up,mid left up_357_357
42.751137,-48.735844,mid right down,mid right down_429_429
31.366076,73.090614,left up,left up_161_161
33.280613,-33.96799,right down,right down_528_528
-2.7837694,-23.444815,mid right up,mid right up_504_504
59.86584000000001,12.303218,mid left down,mid left down_227_227
-42.403976,15.88285,mid left up,mid left up_346_346
2.9131353,-20.417607999999998,mid right up,mid right up_469_469
-19.732117000000002,50.65927,left up,left up_170_170
25.233347,-16.901823,mid right down,mid right down_438_438
36.0083,-69.96924,right down,right down_539_539
-25.263903,-30.435259999999996,mid right down,mid right down_425_425
-74.135765,-17.39207,right down,right down_524_524
-4.70458,-33.42972,right up,right up_660_660
33.852577000000004,59.051173999999996,left down,left down_48_48
-41.169693,-27.991238,mid right up,mid right up_474_474
46.752765999999994,-16.68492,mid right down,mid right down_434_434
-61.493004000000006,33.350677000000005,left down,left down_70_70
-43.731403,-46.33706,right up,right up_671_671
18.183360999999998,-55.051716000000006,right down,right down_535_535
52.374756,-14.783149,mid right up,mid right up_508_508
-4.3312073,-23.779222,mid right up,mid right up_465_465
-8.208821,-40.190616999999996,right up,right up_642_642
-61.18544,56.54908399999999,left down,left down_34_34
1.5409267,-47.9838,mid right up,mid right up_489_489
44.11226,-29.527843,mid right down,mid right down_407_407
-40.732243,-26.194122,mid right up,mid right up_456_456
-23.750624,58.08231,left up,left up_190_190
3.4532452000000005,8.951406500000003,mid left down,mid left down_218_218
2.5881784,-48.269721999999994,mid right up,mid right up_498_498
26.637190000000004,-72.03608,right down,right down_517_517
-1.8748804000000001,-55.242535,right up,right up_653_653
-53.457798,53.433434,left down,left down_94_94
27.110243,-31.706335,mid right down,mid right down_416_416
16.006532999999994,38.77084,mid left up,mid left up_368_368
-21.377575,-17.173489,mid right up,mid right up_447_447
18.225641,13.844624,mid left down,mid left down_209_209
27.130053999999998,77.46813,left up,left up_181_181
9.926568,31.787975,mid left up,mid left up_309_309
66.63571,-4.7531834,mid left down,mid left down_268_268
26.46326,-59.729618,right down,right down_576_576
-19.067028,-54.61369300000001,right up,right up_632_632
52.88685200000001,49.0707,left down,left down_24_24
12.849685000000001,38.61334,mid left up,mid left up_318_318
-9.31789,36.398075,mid left down,mid left down_279_279
-50.440697,39.183704,left down,left down_104_104
-6.894989,-49.814777,right up,right up_623_623
-75.98770999999998,-23.703224,right down,right down_567_567
55.784153,29.264635,left down,left down_84_84
-66.66881,39.290833,left down,left down_58_58
24.860992,-60.179264,right down,right down_600_600
10.445314999999999,40.584198,mid left up,mid left up_299_299
-45.4556,-55.168246999999994,right up,right up_610_610
21.138448999999998,-68.22135,right down,right down_554_554
15.998560999999999,-0.4038685,mid right down,mid right down_397_397
63.401123,-20.974636,mid left down,mid left down_284_284
32.942364000000005,-9.325614,mid right down,mid right down_386_386
-66.53679,39.935425,left down,left down_60_60
6.539409,-57.32111999999999,right down,right down_545_545
-12.415626,40.418163,mid left up,mid left up_298_298
-18.690403,-54.50929,right up,right up_611_611
26.388933,-29.77365,mid right down,mid right down_396_396
39.629948,24.502516,left down,left down_3_3
41.453907,-61.086163,right down,right down_555_555
58.265205,48.07797,left down,left down_41_41
19.008617,-70.12791,right down,right down_601_601
33.018359999999994,57.230442000000004,left down,left down_79_79
-13.020881,2.2126005,mid left down,mid left down_285_285
-27.559578000000002,-38.31006,right down,right down_544_544
-32.597095,-35.38083599999999,mid right down,mid right down_387_387
31.734973999999998,48.64595,left down,left down_1_1
42.208923,-58.55141999999999,right down,right down_577_577
5.0704556,-44.92325200000001,right up,right up_633_633
-54.7995,53.51323000000001,left down,left down_7_7
-9.286954,23.696962,mid left up,mid left up_308_308
23.526493,15.416264000000002,mid left down,mid left down_269_269
-21.46116,-55.181194,right up,right up_622_622
-28.24475300000001,-38.797638,right down,right down_566_566
47.914566,39.455259999999996,left down,left down_5_5
-15.449129999999998,1.1546874,mid left up,mid left up_319_319
45.68913,29.533709,left down,left down_105_105
-12.440405,2.6866894,mid left down,mid left down_278_278
7.2447505,-42.490227000000004,mid right up,mid right up_457_457
-25.622293,57.62516,left up,left up_191_191
29.339882,3.4674462999999998,mid left down,mid left down_219_219
-42.638718,-31.52024500000001,right up,right up_643_643
-5.474951,-31.566969,mid right up,mid right up_488_488
25.690199,-15.375994,mid right down,mid right down_406_406
55.637905,30.46195800000001,left down,left down_9_9
-0.38113707,-27.621534000000004,mid right up,mid right up_446_446
-27.178858,13.1835,mid left up,mid left up_369_369
64.2865,6.751769500000001,mid left down,mid left down_208_208
31.47492,53.4077,left down,left down_15_15
-25.614042,28.673916,left up,left up_180_180
-40.459796999999995,-25.203104,mid right up,mid right up_499_499
-23.170444,-59.27361,right up,right up_652_652
24.450792,-21.950253,mid right down,mid right down_417_417
-16.944515,-11.005728999999999,mid right up,mid right up_475_475
-44.472862,54.860123,left down,left down_51_51
43.290848,-51.970936,mid right down,mid right down_424_424
45.462326000000004,-54.087254,right down,right down_525_525
-50.544655,-41.691257,right up,right up_661_661
-13.334585999999998,-12.941436,mid right up,mid right up_509_509
8.521827,-44.04347,mid right up,mid right up_464_464
48.917534,-18.243782,mid right down,mid right down_435_435
-47.645,-41.12253,right up,right up_670_670
44.938087,-53.59390300000001,right down,right down_534_534
50.91732800000001,51.842372999999995,left down,left down_69_69
17.242701999999998,-1.4117523,mid right down,mid right down_428_428
20.607813,56.017586,left up,left up_160_160
55.28369,38.142982,left down,left down_26_26
20.454397,-54.603683,right down,right down_529_529
38.25628,-0.98861,mid left down,mid left down_237_237
-35.10783,-19.337526,mid right up,mid right up_514_514
-20.874287,17.789386999999994,mid left up,mid left up_356_356
45.427937,-16.605857999999998,mid right up,mid right up_479_479
-21.643926999999998,63.27491,left up,left up_171_171
55.65016,-24.164942,mid right down,mid right down_439_439
8.556534,-70.94026,right down,right down_538_538
-49.185474,30.384518,left down,left down_86_86
24.173512,4.629117,mid left down,mid left down_226_226
-19.091757,-18.668642000000002,mid right up,mid right up_505_505
-20.145789999999998,-14.809860999999998,mid right up,mid right up_468_468
15.580764000000002,38.800915,mid left up,mid left up_347_347
2.7410338,-21.26555,mid right up,mid right up_484_484
-3.0540857000000003,51.331340000000004,left up,left up_142_142
-59.607519999999994,-41.499035,right up,right up_690_690
62.27336500000001,11.985894,mid left down,mid left down_215_215
-0.71697205,-11.081777,mid right up,mid right up_495_495
-60.037147999999995,48.004494,left down,left down_62_62
9.740766,51.07200200000001,left up,left up_153_153
-12.144975,39.945312,mid left up,mid left up_365_365
-3.6234879999999996,-50.54546,right up,right up_681_681
9.340415,28.47708900000001,mid left up,mid left up_304_304
27.899855,2.6554928,mid left down,mid left down_265_265
-20.267906,64.72748,left up,left up_132_132
57.65081,-26.794409,mid right down,mid right down_376_376
63.31340400000001,-3.000152,mid left up,mid left up_315_315
-62.6261,33.467754,left down,left down_109_109
40.148540000000004,13.315745000000001,mid left down,mid left down_274_274
57.641964,47.61492,left down,left down_72_72
-21.483732,61.107245999999996,left up,left up_123_123
67.38248399999999,18.418951,mid left down,mid left down_247_247
6.185336599999999,-56.368805,right down,right down_586_586
-27.540043,17.694681,mid left up,mid left up_326_326
44.522575,24.973696,left down,left down_36_36
26.06533,64.04575,left up,left up_110_110
-28.171159999999997,23.955334,mid left up,mid left up_294_294
-59.526819999999994,-36.39294,right down,right down_559_559
63.40339300000001,-3.1202846,mid left down,mid left down_256_256
16.127695000000006,-67.89837,right down,right down_597_597
-10.16494,35.52167,mid left up,mid left up_337_337
64.22511,-9.711389,mid left down,mid left down_289_289
40.29437,25.511429999999997,left down,left down_96_96
13.868479,-73.816345,right down,right down_548_548
7.653617,48.840664000000004,left up,left up_146_146
45.344105,-17.120707,mid right up,mid right up_480_480
30.814073999999998,74.00601999999998,left up,left up_199_199
28.284615999999996,16.389225,mid left down,mid left down_211_211
-10.58103,26.80058,mid left up,mid left up_370_370
5.5156918,-44.69849,right up,right up_694_694
7.340128,65.34272,left up,left up_157_157
-37.482662,-21.248701,mid right up,mid right up_491_491
57.13971700000001,46.601574,left down,left down_56_56
4.456167,50.03229,left up,left up_203_203
-21.405193,62.346127,left up,left up_188_188
4.828878400000002,-48.120483,right up,right up_685_685
-1.1879072,-4.716501,mid left up,mid left up_361_361
6.328683,-53.317562,right up,right up_669_669
8.938842999999997,50.96358,left up,left up_164_164
-10.848683,31.484013,mid left up,mid left up_352_352
-60.82852,56.33469,left down,left down_12_12
21.87642,12.720661,mid left down,mid left down_233_233
-26.977635999999997,-9.856702,mid right up,mid right up_510_510
-7.09122,-24.305744,right up,right up_678_678
-20.15783,65.89331999999999,left up,left up_175_175
-9.484094,38.813559999999995,mid left up,mid left up_343_343
66.15966999999999,16.139826,mid left down,mid left down_222_222
10.866806,-53.64268000000001,mid right up,mid right up_501_501
40.627586,-64.67086,right down,right down_582_582
9.359677,28.522907,mid left up,mid left up_322_322
30.794655,4.367883,mid left down,mid left down_243_243
-41.5004,-49.19228,right up,right up_619_619
8.302595,53.10084000000001,left up,left up_114_114
-63.94915,-35.87269600000001,right down,right down_593_593
-0.42777848,-7.2872762999999985,mid left up,mid left up_333_333
