GRP_1,GRP_2,labels,filename
840.8238540542302,-1011.1081489687504,left down,left down_74_74
2068.4256803727403,-5272.3932495348245,mid right down,mid right down_374_374
338.2672758526412,-5209.279681478001,left up,left up_121_121
2585.384535699608,-1701.1114721478755,mid left up,mid left up_306_306
-450.4776781892615,-794.7584569359715,left down,left down_90_90
997.3483566274052,2706.5594972752983,mid left down,mid left down_254_254
-928.2869661465634,-1271.7961085896125,mid right down,mid right down_389_389
644.9326956993609,-3534.9886478601125,left up,left up_112_112
-855.4230874934112,-5124.935120456984,mid right up,mid right up_507_507
-994.5860263625424,-1409.578771836312,mid left down,mid left down_235_235
-117.29006571400585,-4712.131039633545,mid right up,mid right up_516_516
2702.1001024661678,-1292.2940328939844,left down,left down_20_20
-690.6823401463153,-4174.322500449758,mid left up,mid left up_354_354
-811.5001753429018,-2946.617124880996,mid right up,mid right up_497_497
-1241.8805341728425,-8410.107663025488,right down,right down_518_518
2754.5206685594994,-1168.384787536754,left up,left up_151_151
326.79949218720304,-6881.083226205122,right up,right up_683_683
-963.3266362468194,-1704.1784527183836,mid left down,mid left down_206_206
1389.6852037158524,-2952.504195519021,left down,left down_64_64
450.5580524387312,-2749.065471350023,mid right down,mid right down_408_408
-415.13635640285804,-3647.4643330533254,left up,left up_182_182
-1244.466321607395,-5302.565486274614,right up,right up_650_650
2183.6660028422157,-4009.886863648769,right up,right up_641_641
597.3336123327589,-4278.927191278913,right up,right up_672_672
263.84714471836656,-222.22943016380898,mid right up,mid right up_477_477
1562.038328490391,87.09079228857011,mid right down,mid right down_426_426
-332.62122923259614,-6866.914968206457,right down,right down_527_527
-2174.344186648377,-4615.905833489197,mid right down,mid right down_385_385
627.1019947957147,-6070.440423366529,right down,right down_557_557
1499.8554978987374,-4589.097864473721,right down,right down_603_603
3650.22345051492,-1677.0188301910532,left down,left down_107_107
3421.854728602108,860.1192931772522,left down,left down_106_106
1055.969879268075,-3253.986387066993,left down,left down_82_82
261.5839528351022,-3215.9466186554723,right down,right down_565_565
-446.4878582841037,-4961.360846053076,right down,right down_574_574
5529.390824389902,-2663.3985144671,mid left up,mid left up_338_338
191.37900314238246,-3465.3266452573866,right down,right down_598_598
1687.2804138813876,-718.1682853537003,mid left down,mid left down_286_286
906.4221419175473,-5227.992191849016,right down,right down_602_602
-542.8508900545503,-3822.4392930216964,right down,right down_589_589
-3283.3106008319987,-8189.484705792063,mid right down,mid right down_395_395
3839.368786707482,-4843.855830690474,right up,right up_662_662
2648.9088901381665,189.80456033809762,mid left down,mid left down_238_238
