ISM_1,ISM_2,labels,filename
8944.333876366481,-6184.749853576697,mid right down,mid right down_374_374
-494.462801163877,-3002.3369745271166,mid left down,mid left down_276_276
18174.659691961388,-6777.599594238237,right down,right down_568_568
-125.00605829974094,5227.615601462648,mid left up,mid left up_306_306
7249.4528306852735,-9626.72826237245,mid right down,mid right down_389_389
-7302.7919891205875,-4248.2271914671655,mid left down,mid left down_224_224
7834.258334211182,3268.950548333753,mid right up,mid right up_507_507
-9821.446469958404,236.26593393999318,left down,left down_80_80
5151.866674925941,9736.898456721818,mid right up,mid right up_516_516
-7903.755454649941,-3627.1445387788453,left down,left down_20_20
-339.81624169711375,3053.7767341129224,mid left up,mid left up_354_354
-15547.769315444973,-4317.230163933657,left up,left up_151_151
5380.798771893965,7758.756124919602,mid right up,mid right up_448_448
-172.82648035782918,-7010.188638862904,mid left down,mid left down_206_206
-10048.071783012385,-442.04264242460715,left down,left down_64_64
6309.310318786399,9827.965833539405,mid right up,mid right up_486_486
-1515.9384890609383,-4266.2115244907,mid left down,mid left down_217_217
-12087.872257771793,-4099.087364361338,left down,left down_13_13
16807.101293653926,-2543.0286080727396,right up,right up_641_641
-5743.896170621131,-2724.4307541302633,mid left down,mid left down_228_228
5013.245076311629,3686.0176853533367,mid right up,mid right up_477_477
14701.335642323966,4567.56532744285,right up,right up_663_663
13067.764260463791,-2658.018475499354,right down,right down_527_527
-4815.315270438705,-798.1998305448967,mid left down,mid left down_287_287
442.45669000749206,-795.9198260751092,mid right down,mid right down_385_385
-4344.951328868679,4788.221253728122,mid left up,mid left up_339_339
15284.193647187736,-1259.872386272398,right down,right down_557_557
-2250.4162637140435,7971.885939042003,mid left up,mid left up_328_328
10820.99464071005,4060.613820034472,right up,right up_620_620
-15299.249542586183,-5161.377638869751,left down,left down_107_107
13583.657445039065,-6875.353241592383,right down,right down_575_575
-10167.925775472491,-1225.2929887170644,left down,left down_82_82
12077.523201810069,-99.95849508278023,right up,right up_621_621
10187.159827345602,5403.842709153357,right up,right up_630_630
-2956.9471164916986,8624.009229384626,mid left up,mid left up_338_338
-3867.722953432554,-3260.9816673266632,mid left down,mid left down_286_286
10256.75462328776,-7197.328942147372,right down,right down_547_547
-6127.447210994271,-7476.079358108143,mid left down,mid left down_248_248
-3991.144108621404,3602.8792064997774,mid left up,mid left up_329_329
17371.709907202687,-2050.035854389604,right up,right up_673_673
2285.018632984162,3577.821125447437,mid right up,mid right up_467_467
16895.70120545983,-4799.787963307221,right down,right down_526_526
-2006.237211671892,8137.1394733762345,mid left up,mid left up_359_359
5703.684607906109,9258.786324594726,mid right up,mid right up_476_476
-14454.46630591336,1161.6910085824609,left up,left up_192_192
17638.440384486687,-1229.6591909482781,right up,right up_682_682
-4061.0687326826587,2837.5559130337206,mid left up,mid left up_366_366
-12725.522627254475,1314.8063895033185,left up,left up_204_204
2246.790301203334,9209.84778069079,mid right up,mid right up_496_496
3460.412754257649,-8786.088407038738,mid right down,mid right down_418_418
17866.394618503888,8018.427541152983,right up,right up_693_693
-2849.355028106524,-7571.419110754966,mid left down,mid left down_216_216
1663.4234146140536,5310.934738187815,mid right up,mid right up_487_487
-14855.223743304694,-5972.8557224919605,left down,left down_45_45
2172.091361263773,-3397.855382471635,mid right down,mid right down_409_409
-6168.914071534076,-5355.515681393783,mid left down,mid left down_225_225
-3772.758120231759,-4254.36752514482,mid left down,mid left down_234_234
-15267.326096963921,11701.868012484,left up,left up_163_163
-9420.519241392338,-2945.7768891467244,left down,left down_11_11
-6996.151567028625,171.74730627570074,mid left down,mid left down_255_255
-12552.184876734449,-3891.294837837266,left down,left down_2_2
-15287.65435921574,-3111.253191695357,left down,left down_89_89
12168.695508287548,-7325.512816945955,right down,right down_594_594
-6903.490011081092,8111.899877996448,mid left up,mid left up_297_297
6400.143731633267,-8479.399623003794,mid right down,mid right down_399_399
-14038.541179461998,-8136.880136114162,left down,left down_0_0
11809.6682628056,-9075.27578212994,right down,right down_585_585
16436.94531903587,-5066.770360312768,right down,right down_569_569
-6854.111596638206,-5935.274830575251,mid left down,mid left down_277_277
-13874.391115447683,-6865.530069943612,left down,left down_55_55
-9384.221396175386,5450.7460027437155,mid left up,mid left up_307_307
7480.964657557699,184.333110083313,right down,right down_558_558
10320.26145525337,-6315.175412770451,right down,right down_549_549
-6404.957302040782,10629.145935644354,mid left up,mid left up_336_336
-12385.818969407957,-7901.410529785107,left down,left down_17_17
-11781.37294119534,412.2736445522032,left up,left up_133_133
-105.16095171857344,5500.408004183946,mid left up,mid left up_305_305
-7376.235375009934,-2597.342800810885,left down,left down_53_53
-9888.719366740474,3158.5064612552424,mid left up,mid left up_314_314
11170.54281967889,-2612.3905299876333,mid right down,mid right down_377_377
-13418.460911144819,-7049.797414848857,left down,left down_108_108
-12280.381980957478,-2550.382991322334,left down,left down_43_43
-3486.438886928602,-2111.851637557295,mid left down,mid left down_214_214
-4520.060003816887,4632.076529358908,mid left up,mid left up_364_364
-3285.563943661419,-1391.418217692248,mid left down,mid left down_205_205
-7995.178714513095,1172.9299127062461,left up,left up_152_152
-2285.768962552673,2254.381817253929,mid left up,mid left up_357_357
7048.210378180935,-4230.9418700838705,mid right down,mid right down_429_429
11747.418283023571,-8737.677458975308,right down,right down_528_528
-7280.300932397812,-1416.9935915257458,mid left down,mid left down_227_227
-5920.137467077304,4509.530990730009,mid left up,mid left up_346_346
-8698.105792504033,1543.8384902059402,left up,left up_170_170
3920.9830296819664,-7482.386172730913,mid right down,mid right down_438_438
14525.353352256972,-6171.026956072137,right down,right down_539_539
-10665.713823564149,-3608.0387229274797,left down,left down_48_48
-9190.004260450169,-2578.0259207700124,left down,left down_70_70
14142.477685097372,2748.363158289641,right up,right up_671_671
193.25311740092442,-235.3879489080533,mid right up,mid right up_508_508
6630.291245425785,8882.787443071853,mid right up,mid right up_465_465
-14973.59580748499,-6722.296656458232,left down,left down_34_34
6308.336270486215,2241.7004097423473,mid right up,mid right up_489_489
8370.451138606271,2823.4810824789342,mid right up,mid right up_498_498
-14510.991054900976,-2657.033311824732,left down,left down_94_94
7891.519686077166,5924.621253601611,mid right up,mid right up_447_447
-1274.7131544698586,342.47733991143747,mid left down,mid left down_209_209
-16444.715689934303,1513.5760757899375,left up,left up_181_181
11458.337400740225,5651.82308281352,right up,right up_623_623
18907.311756503026,-6115.400430538072,right down,right down_567_567
-11129.81700796917,-5000.690605723939,left down,left down_58_58
-10356.33032595345,3860.5813197784655,mid left up,mid left up_299_299
83.43007295262542,-733.1715898813478,mid right down,mid right down_397_397
-11216.787957231822,-5006.250361724428,left down,left down_60_60
9781.308998652234,-1002.9795048231357,right down,right down_545_545
11601.746429880466,2123.3707234675862,right up,right up_611_611
10451.090281502464,-8990.04931343769,mid right down,mid right down_396_396
16253.497495421912,-7371.271238456139,right down,right down_555_555
13537.702388817012,-2091.179999794195,right down,right down_601_601
