MDS_1,MDS_2,labels,filename
3866.724468995064,-1650.3173129992429,left up,left up_201_201
-718.495320105567,-4297.073255461586,mid right down,mid right down_422_422
-2306.910443625337,-737.5560647828262,right down,right down_561_561
24.77763550946591,-4412.179176964683,mid left down,mid left down_272_272
1081.9834498410912,239.31886144631144,left up,left up_186_186
3154.9517959113823,-4043.3889337075148,mid left up,mid left up_338_338
-3996.434228432949,-613.0421906151189,right up,right up_657_657
3576.786302040085,-2539.1884487726315,mid left up,mid left up_369_369
741.3317167688306,1042.3133543170804,mid right down,mid right down_401_401
194.9574487480543,-2524.936542391453,mid left down,mid left down_219_219
2720.189817367,-1751.206948132037,mid left up,mid left up_295_295
4648.298609515165,610.1372381096658,left up,left up_178_178
1470.6567613758484,3209.894277942683,mid right up,mid right up_480_480
2319.0149000128777,-2431.461852221427,left down,left down_16_16
-877.9452144192073,-741.8325781859544,right up,right up_651_651
2009.466217923213,-1557.3341334896259,left down,left down_82_82
-3959.2560677762144,-1005.2253323168358,right up,right up_645_645
-1341.6165491897152,183.4279952977013,right down,right down_552_552
2775.2115370598713,-4136.741832270584,left down,left down_73_73
-962.7770057771692,804.7021160094562,mid left down,mid left down_292_292
-2262.0142168905795,-3040.8431602359387,mid right down,mid right down_373_373
3899.807424477895,494.0809323177266,left up,left up_171_171
-2699.345360833144,-3265.2590177030247,mid right down,mid right down_403_403
-2619.55037383341,2295.051403024369,mid left up,mid left up_347_347
2569.7082217342167,385.1697762707297,mid right up,mid right up_442_442
-1618.8949926808332,-3233.818263829181,mid right up,mid right up_506_506
-804.9934858564443,-964.1648491902356,right up,right up_632_632
3821.6264384539854,-4017.245015325564,mid left up,mid left up_293_293
-3670.2156275596526,-1100.0025458393602,right down,right down_559_559
3168.162246960805,1303.0709496386462,mid left up,mid left up_302_302
190.18829195602257,3045.953622617521,right down,right down_575_575
-451.1990611604597,437.02723886108015,left up,left up_126_126
-1224.8382203027102,4315.473595682696,mid right up,mid right up_508_508
-3151.346127329032,-1664.1104352533648,right up,right up_664_664
2314.2442029059507,-3036.497672080225,left down,left down_40_40
4414.890886442495,-1712.051369306345,left up,left up_158_158
-2241.1402979841423,3727.172478799804,mid left down,mid left down_217_217
4903.452757403195,-3452.2557461870283,left up,left up_202_202
-3162.4405134959948,2147.3419292587478,mid left down,mid left down_224_224
-1267.2300635440288,4343.075085877328,mid right down,mid right down_432_432
-1463.2435018294534,17.57077238970424,right down,right down_565_565
2262.0403802548612,3224.595873589993,mid right up,mid right up_448_448
-1539.3457822977343,1819.939431239858,mid left down,mid left down_262_262
-964.6088560951962,3884.276718348288,mid right down,mid right down_383_383
2163.4011349381976,-2412.6704593666504,mid right up,mid right up_494_494
-3030.750219473321,-1010.296395620453,right up,right up_682_682
-788.1699520798015,0.2740068549718121,left down,left down_96_96
706.4358514352971,4514.00333262349,right down,right down_574_574
-3983.487528117881,-868.6844327495476,right down,right down_521_521
1451.8209545650864,1471.531314108124,right up,right up_654_654
-418.1015946824179,1371.0865607956543,left up,left up_203_203
3285.8941451056385,-288.27602637083663,left down,left down_85_85
4046.854496068667,3267.7014363400785,right up,right up_667_667
1898.5319316631715,-4078.853270337583,left down,left down_109_109
3956.907761407043,-99.70285974119852,left up,left up_123_123
2227.8208189072393,-3157.9438458661066,left down,left down_106_106
3866.0204829847557,3038.904668152755,right up,right up_676_676
2915.1096522019743,-757.0732292970165,left down,left down_90_90
1362.8035505839005,-243.37760534157368,mid left down,mid left down_279_279
647.7140632077964,2612.3657363371412,right down,right down_555_555
3319.6743534819648,-27.598355620434518,left up,left up_154_154
-43.78770993208581,2319.5765484626,left up,left up_176_176
1883.3299464068084,-4460.885420820388,mid left up,mid left up_316_316
-60.54593377303161,831.0941783372632,right down,right down_582_582
-3991.9780962074847,-1605.3972308464677,right down,right down_585_585
3501.2030986423033,4195.176903201168,mid right up,mid right up_443_443
-515.2119431872184,4959.351312572162,mid right down,mid right down_435_435
-3269.9152156545056,-1035.3189606277583,right down,right down_526_526
-675.871997961205,739.1028101308439,right down,right down_517_517
-3356.907159451195,890.588208900884,left down,left down_71_71
2902.1298062972523,608.2634697806458,left up,left up_142_142
-3828.4490769469735,-849.3614827875203,right down,right down_557_557
1333.7286195522381,3104.8887502647717,mid right down,mid right down_430_430
1208.0700219186094,4921.609473265407,mid right up,mid right up_464_464
-391.1992814013203,3374.855756924683,mid left up,mid left up_322_322
3216.5033744516386,-3355.438894813321,left down,left down_61_61
-119.2136629329645,-4640.459746545182,mid left down,mid left down_226_226
2392.6754352476955,-1299.0948492081252,mid left up,mid left up_352_352
-2987.829334987683,2177.1878159637126,mid left down,mid left down_257_257
2036.525653457024,2129.210231809903,right up,right up_623_623
1122.8092633481488,1293.205774374678,mid right down,mid right down_385_385
-2439.844626647917,-2046.5452859807635,right up,right up_671_671
-4502.158218559764,-237.166995076138,right down,right down_541_541
-3637.6244483995774,1551.4896794204542,mid left down,mid left down_213_213
-493.4235408414917,-633.6557519800946,right up,right up_611_611
3643.0365550422302,5144.800789851909,right up,right up_660_660
-3883.861808821311,-1782.0303325278906,right down,right down_531_531
1881.159065750381,-4107.1309541981045,left down,left down_102_102
-169.0847846129333,-1419.8953370333084,mid right down,mid right down_386_386
-28.71143116471004,3914.134394411012,right down,right down_547_547
917.4912253955116,2589.624844850217,right down,right down_554_554
-3108.0552618720617,-2408.529393117467,mid right down,mid right down_413_413
1735.8999314577459,-3081.9097691349357,left down,left down_57_57
2542.0019047988185,-1840.8758855127453,left down,left down_30_30
2047.4012919510128,3851.957773884534,mid right up,mid right up_455_455
3259.1683207706715,-1156.0182533763875,left up,left up_182_182
2046.391113784385,704.3621878103438,mid left up,mid left up_308_308
-986.4421134376848,-3755.055025813265,mid right up,mid right up_462_462
-132.86624243588153,4804.153023000401,mid right up,mid right up_513_513
-1379.1130692244199,-3491.897788092701,mid right up,mid right up_491_491
-2005.6573970914287,3340.836793489387,mid left up,mid left up_358_358
-3892.0615459856494,923.2751551005244,left down,left down_52_52
389.7214087767279,-3176.442807998777,mid left down,mid left down_254_254
-2868.0390311067968,-2318.3787543454896,right up,right up_643_643
1192.858601341597,4069.167666219209,right down,right down_579_579
-3180.1045817496397,500.5177055825417,left up,left up_156_156
2954.0739295099274,2393.1048601861644,mid right up,mid right up_504_504
-2361.1852117482667,822.7518995216448,left down,left down_105_105
-1729.8206172102066,2964.7426025830628,mid left up,mid left up_345_345
1831.4169056991682,-2321.0716605204448,mid left down,mid left down_240_240
-2982.48910030755,2283.233118899413,mid left down,mid left down_277_277
-47.77443493258818,-561.8373975041949,mid left down,mid left down_231_231
4329.060581985376,-1321.5832810427878,left up,left up_145_145
-305.72032202877136,845.7762338626624,left up,left up_173_173
-194.83762354329122,2113.439194379712,right down,right down_589_589
-3434.008079905561,-2381.593013431827,mid right down,mid right down_423_423
919.9286562591208,4003.4005754980985,right down,right down_576_576
1990.433390082843,-2150.146408917904,mid left up,mid left up_357_357
890.6704395762466,4579.32002740386,mid right down,mid right down_433_433
1024.703171180189,2277.335524484074,right down,right down_586_586
906.522122863912,2149.0615807884437,right down,right down_545_545
-2601.9496297857117,2738.791779625953,mid left down,mid left down_256_256
-858.5232115703775,423.43597272471646,left up,left up_167_167
-4358.175492854308,-438.2209688652133,right down,right down_537_537
-2575.2649807083194,2132.7279451225268,mid left down,mid left down_227_227
-2165.9482389846953,-3353.441303476616,mid right down,mid right down_371_371
-4188.350768577277,-588.2662667959169,right down,right down_584_584
2109.9228195928117,-2012.6274942634586,left down,left down_62_62
-3933.841159448665,1181.9274544225314,left down,left down_28_28
-2877.042325195568,681.8167347000094,left up,left up_120_120
5792.9746703428455,-863.2499056832173,left up,left up_163_163
-2835.6215679107013,1012.3513333600778,left down,left down_29_29
-471.84160261097,3306.6703320659435,mid left up,mid left up_312_312
425.59163093651847,-149.1457147148645,left down,left down_12_12
-917.5434483068224,3620.262835898601,mid left up,mid left up_339_339
