PCA_1,PCA_2,labels,filename
-1022.4288026634956,-777.7218804858952,mid right down,mid right down_374_374
935.517204595818,-2479.401788263739,mid left down,mid left down_276_276
-2454.6461405942177,-954.1916410357534,right down,right down_568_568
2342.412418504643,-1919.4063555392513,mid left up,mid left up_306_306
-915.2753005261503,-372.71237984363717,mid right down,mid right down_389_389
-2265.6707440837386,55.66287909082633,mid left down,mid left down_224_224
768.4415640619301,4221.590518169988,mid right up,mid right up_507_507
2524.880548790561,-1333.408250691326,left down,left down_80_80
1568.7805613431262,3144.9509219079027,mid right up,mid right up_516_516
613.5542171661605,-880.1250757177742,left down,left down_20_20
2073.9430350659563,-913.7566905381703,mid left up,mid left up_354_354
-3173.628889743769,-1191.555625710049,left up,left up_151_151
1220.2207470584715,3039.424809568929,mid right up,mid right up_448_448
-1999.6235857216607,1695.8895498665552,mid left down,mid left down_206_206
1554.1588557723894,-912.9044878980296,left down,left down_64_64
1452.2084370434925,3249.865070780857,mid right up,mid right up_486_486
-1600.6477091823597,1840.012356110056,mid left down,mid left down_217_217
2122.268634634071,-1421.1431083220596,left down,left down_13_13
-3662.0518170864666,-825.5444796709033,right up,right up_641_641
1028.8952207128932,-911.1758954106843,mid left down,mid left down_228_228
144.24764458296616,-1859.666830790378,mid right up,mid right up_477_477
548.2039596372479,959.0877634912532,right up,right up_663_663
255.3067905182849,2076.1301037389208,right down,right down_527_527
2343.775220399224,-3025.214249475759,mid left down,mid left down_287_287
711.0483122716649,1109.8688263648785,mid right down,mid right down_385_385
-486.69602092676973,2038.9620340669721,mid left up,mid left up_339_339
-3157.921120983322,-645.0127675348847,right down,right down_557_557
-728.8842385773199,2766.095119046823,mid left up,mid left up_328_328
1150.1638500111862,2951.350303024461,right up,right up_620_620
-3325.4172656229657,-1216.878681943361,left down,left down_107_107
-535.4284355158657,2191.4317475229063,right down,right down_575_575
1818.7245202903741,-961.9726092046362,left down,left down_82_82
233.10292456436085,1323.2459956333585,right up,right up_621_621
956.4676901790508,1973.9959211442083,right up,right up_630_630
3058.2103248566273,-2291.9523060594242,mid left up,mid left up_338_338
