TSNE_1,TSNE_2,labels,filename
-6.665907400000001,-5.9267005999999975,right down,right down_550_550
-10.063004,-4.7035203,right up,right up_626_626
-6.372278,-8.308324,right up,right up_615_615
6.7716985,-2.0816002,left down,left down_59_59
7.022188000000001,-1.0996728999999998,left down,left down_53_53
-2.2208312,-10.579616,left down,left down_23_23
-6.866131,11.187461,mid right up,mid right up_479_479
3.4824617,-0.41697827,mid left up,mid left up_330_330
2.7319133,-0.7698518,mid left up,mid left up_338_338
2.5572898,0.14631578,mid left up,mid left up_316_316
12.522784,-1.3112358999999998,left up,left up_191_191
9.379962,0.24387774,left down,left down_47_47
-2.447771,-2.2058272,mid right down,mid right down_418_418
15.364878,2.0443788,left up,left up_193_193
-4.4566693,14.907355,mid left up,mid left up_304_304
-1.143248,-11.223034,left down,left down_5_5
-7.862067999999999,10.480191,mid right up,mid right up_489_489
-0.23805825,0.9488313,mid right up,mid right up_487_487
-7.489127000000001,12.175845,mid right up,mid right up_511_511
9.696083,6.075361,mid left up,mid left up_348_348
6.673897,-9.026034,left up,left up_112_112
5.2818666,1.2876118,mid left down,mid left down_238_238
-9.366301,-2.3251278,right up,right up_622_622
-9.303929,4.42992,right up,right up_631_631
12.430475,4.644636,left up,left up_135_135
-8.194065,7.7507925,right down,right down_536_536
-13.830981,9.230336,right up,right up_697_697
3.9354606,0.5835847,mid left up,mid left up_329_329
0.09988843,-13.1166935,left up,left up_155_155
7.8691516,-12.357159,mid left up,mid left up_296_296
-7.207139999999999,-4.6594276,right down,right down_528_528
-7.166386,-7.6766733999999985,right down,right down_557_557
-1.0253911,-10.695018,left down,left down_44_44
-8.219603999999999,-6.888176400000001,right up,right up_635_635
-11.265559,11.382182,right up,right up_634_634
2.3433774,-13.13209,left up,left up_133_133
-5.6058309999999985,-5.294327,mid right down,mid right down_396_396
-9.122941,9.055201,right down,right down_558_558
6.116315,-1.3723949,left down,left down_102_102
12.953613,0.48282322,left up,left up_154_154
4.0066867,-11.867264,mid left down,mid left down_224_224
-5.8558629999999985,4.432091000000002,mid right up,mid right up_497_497
-10.464075,-1.8965875,right up,right up_608_608
-2.3847156000000003,-12.790677,left up,left up_195_195
-5.230268,8.911414,mid right down,mid right down_400_400
14.616719,3.4159255,left up,left up_141_141
-10.4323435,-2.5999475,right up,right up_690_690
12.696233,3.8954167,left up,left up_200_200
4.2051544000000005,-8.698025,mid left down,mid left down_292_292
-7.649298,-2.5672112,right up,right up_638_638
-3.492657,0.55758065,mid right up,mid right up_477_477
5.211796,-5.3664303,left down,left down_75_75
5.95256,0.60522884,left down,left down_87_87
0.79396766,-13.673123,left up,left up_156_156
7.471417,2.5279353,mid left up,mid left up_366_366
-2.6921632,1.9511238,mid right up,mid right up_473_473
0.8990629000000001,0.84928143,mid left up,mid left up_306_306
-3.7465568,9.027931,mid right down,mid right down_383_383
1.8470997,5.3605103,mid left down,mid left down_220_220
7.901037,-2.0566497,left down,left down_16_16
-6.745876299999999,-7.637676700000001,right down,right down_606_606
-3.295434,-3.9680624,mid right down,mid right down_417_417
10.117115,-3.4039292000000003,left down,left down_7_7
-9.232698,1.3467205,right down,right down_552_552
-6.3583612,-5.0457664000000015,mid right down,mid right down_413_413
0.81034184,-14.761515,left up,left up_148_148
-3.5223591,9.8515835,mid right down,mid right down_412_412
-4.5479126,-4.800965,mid right down,mid right down_421_421
-9.32492,11.18713,mid right up,mid right up_457_457
-0.1801518,-10.913862,left down,left down_27_27
2.3303697,3.1590245,mid left down,mid left down_244_244
-2.8958871,3.2408018,mid right up,mid right up_509_509
-6.1442413,0.48182362,mid right up,mid right up_471_471
