UMAP_1,UMAP_2,labels,filename
10.124351,3.5301468000000003,left down,left down_74_74
1.6681781999999998,6.4759015999999985,mid right down,mid right down_374_374
12.733465,9.052382,left up,left up_121_121
6.180668,3.97758,mid left up,mid left up_306_306
12.208157,1.9610994,left down,left down_90_90
6.9808106,6.869238,mid left down,mid left down_254_254
2.2737675,7.157205,mid right down,mid right down_389_389
11.502098,7.5403666,left up,left up_112_112
0.56063986,3.2772164,mid right up,mid right up_507_507
4.8138328,7.2696004,mid left down,mid left down_235_235
3.0357485,1.6924946,mid right up,mid right up_516_516
9.299174,9.175106,left down,left down_20_20
6.519833,5.3380527,mid left up,mid left up_354_354
1.6326448,3.2417798,mid right up,mid right up_497_497
-1.4883263,3.6711745,right down,right down_518_518
12.1340685,10.087488,left up,left up_151_151
-0.02510554,3.168256,right up,right up_683_683
4.863133,7.274685000000002,mid left down,mid left down_206_206
11.627153,3.3882813,left down,left down_64_64
2.167607,7.104522,mid right down,mid right down_408_408
8.507011,1.9462047,left up,left up_182_182
-1.5978926000000002,3.4994047,right up,right up_650_650
-4.858852400000001,5.994617,right up,right up_641_641
-3.6622677,4.4413185,right up,right up_672_672
2.3382125,4.4458523,mid right up,mid right up_477_477
5.5797567,6.632496400000001,mid right down,mid right down_426_426
-1.0340976999999998,4.499357,right down,right down_527_527
5.924412,6.075686,mid right down,mid right down_385_385
-4.4396687,6.000270400000002,right down,right down_557_557
-4.908086,6.3844833,right down,right down_603_603
11.98184,10.172486,left down,left down_107_107
13.574457999999998,3.4901867,left down,left down_106_106
11.670147,3.3616135000000003,left down,left down_82_82
-1.9506227,5.3034935,right down,right down_565_565
-0.8088105999999999,5.055219,right down,right down_574_574
7.6375145999999985,2.4105043,mid left up,mid left up_338_338
-1.9513407,5.3218083,right down,right down_598_598
6.4164879999999975,6.8307642999999985,mid left down,mid left down_286_286
-1.2736231000000002,4.616572,right down,right down_602_602
-1.8588411,5.3809853,right down,right down_589_589
4.3216276,5.926313,mid right down,mid right down_395_395
1.0561819,1.0225741,right up,right up_662_662
7.68765,5.507846400000001,mid left down,mid left down_238_238
4.6771245000000015,1.6432330000000002,mid left up,mid left up_359_359
5.935779599999999,6.196569,mid right down,mid right down_414_414
2.682689,1.5380771,mid right up,mid right up_445_445
11.662748,8.845042,left down,left down_92_92
0.23763737,3.4417098,right up,right up_640_640
4.4196606,6.1987543,mid right down,mid right down_405_405
2.4866455000000003,2.9294631,mid right up,mid right up_454_454
-4.436797,5.5907526,right up,right up_682_682
1.5663564,4.915188,mid right up,mid right up_449_449
9.5763445,5.317489599999999,mid left down,mid left down_207_207
0.9500099,0.9641372,right up,right up_693_693
11.803461,10.276755,left down,left down_45_45
11.786396,8.339777,left down,left down_39_39
9.585911,6.947931,mid left down,mid left down_234_234
11.685762,-0.07149335,left up,left up_163_163
7.175505,2.1890127999999995,mid left up,mid left up_334_334
-1.4307637,5.753262,right down,right down_594_594
13.19939,2.5632205000000003,left down,left down_0_0
7.0868635,6.392875,mid left down,mid left down_244_244
4.5353293,6.0144367,mid right down,mid right down_375_375
7.77015,2.5467603,mid left up,mid left up_316_316
9.5327215,9.481173,left down,left down_6_6
9.829076,7.9027734,mid left down,mid left down_277_277
-1.196521,4.100177,right down,right down_578_578
11.451248,6.5585,mid left up,mid left up_307_307
0.21105938,3.6820333,right down,right down_558_558
8.882782,2.9719996,mid left up,mid left up_327_327
-5.31486,6.634504,right down,right down_587_587
12.194597,7.985542,left up,left up_133_133
6.2709117,3.8933764,mid left up,mid left up_305_305
7.5250460000000015,5.561614499999999,mid left down,mid left down_264_264
9.580607,3.1698294,left up,left up_122_122
10.930543,10.203449,left down,left down_108_108
12.762085,2.6793141,left down,left down_43_43
9.985184,4.054250700000001,left up,left up_152_152
2.3779676,3.1114469,mid right up,mid right up_515_515
6.697945599999999,5.37832,mid left up,mid left up_357_357
-0.07729289,4.8853774,mid right down,mid right down_429_429
1.7903075000000002,7.179503,right down,right down_528_528
2.8244605,2.120247,mid right up,mid right up_504_504
8.856741,2.9301214,mid left up,mid left up_346_346
10.035981,4.054935,left up,left up_170_170
2.729844,7.751148700000001,mid right down,mid right down_438_438
-5.4569160000000005,7.1415443,right down,right down_524_524
13.630703,3.7438846,left down,left down_70_70
-0.08031944,4.5484905,right down,right down_535_535
4.480707,7.0943894,mid right down,mid right down_407_407
1.6845181,4.800143,mid right up,mid right up_456_456
7.577167500000002,5.658097,mid left down,mid left down_218_218
1.5607786,7.515136,mid right down,mid right down_416_416
10.220649,6.719587,mid left up,mid left up_368_368
1.7861308,3.3616283,mid right up,mid right up_447_447
6.1424856,5.9027505,mid left down,mid left down_209_209
12.955969,8.793833,left up,left up_181_181
9.74077,6.2043514,mid left down,mid left down_268_268
-1.309205,2.8476334,right up,right up_632_632
11.273002,6.555764999999999,mid left up,mid left up_318_318
-0.2013411,2.9282637,right up,right up_623_623
13.761512,3.3268871,left down,left down_58_58
-0.92013764,4.7982874,right down,right down_600_600
11.536676,6.607918700000001,mid left up,mid left up_299_299
-3.9954705,4.2277627,right up,right up_610_610
6.862209299999999,6.0634627,mid right down,mid right down_397_397
5.0454063,7.311318400000001,mid left down,mid left down_284_284
-1.8091298,5.7012796,right down,right down_555_555
-1.0205381,4.389045200000001,right down,right down_601_601
6.96863,5.519672,mid left down,mid left down_285_285
1.5326729,6.809754400000001,right down,right down_544_544
0.41657948,3.1614563,right up,right up_633_633
12.8674555,2.4534833,left down,left down_7_7
8.165262,3.7352464,mid left up,mid left up_308_308
1.4049648,6.681587,right down,right down_566_566
6.382733,4.1990185,mid left up,mid left up_319_319
0.8267527,3.067888,mid right up,mid right up_457_457
7.53522,2.4435964,mid left up,mid left up_369_369
9.645918,7.2714224,mid left down,mid left down_208_208
11.60658,8.83465,left down,left down_15_15
-1.4949027,2.796227,right up,right up_652_652
2.4575493,7.8825254,mid right down,mid right down_417_417
12.246237,1.9947304,left down,left down_51_51
2.5017853,3.0433185000000003,mid right up,mid right up_509_509
-3.72769,4.9825225,right up,right up_670_670
12.019252,10.132057,left down,left down_69_69
6.7833962,6.1805906,mid right down,mid right down_428_428
10.988519,10.304902,left down,left down_26_26
2.3238056,4.7234025,mid right up,mid right up_514_514
11.7730055,0.8927757,left up,left up_171_171
10.356825,3.3028579,left down,left down_86_86
1.981377,3.1904306,mid right up,mid right up_468_468
10.401584,6.6718745,mid left up,mid left up_347_347
8.802482000000003,1.1261545,left up,left up_142_142
-4.1825953,5.6736984,right up,right up_690_690
0.0811022,3.1107764,right up,right up_681_681
4.9257040000000005,1.1468633,mid left up,mid left up_304_304
11.76271,0.6437944999999999,left up,left up_132_132
4.496773200000002,7.199132400000001,mid right down,mid right down_376_376
8.921612,8.645515,mid left down,mid left down_274_274
11.751789,0.930447,left up,left up_123_123
9.779203,7.956092999999999,mid left down,mid left down_247_247
-0.5313818,3.706285,right down,right down_586_586
10.221626,9.413818,left down,left down_36_36
9.959967,6.5051303,mid left down,mid left down_256_256
9.729145,9.596363,left down,left down_96_96
-1.5667943000000002,3.7836301,right down,right down_548_548
4.2001667000000005,5.7890115,mid right up,mid right up_480_480
12.902229,8.69285,left up,left up_199_199
6.305873,6.821295,mid left down,mid left down_211_211
0.51913816,3.2482312,right up,right up_694_694
11.647659,10.395677,left down,left down_56_56
0.31764233,3.3261197,right up,right up_685_685
-0.12143765,3.5037432,right up,right up_669_669
8.585617999999998,3.9737053,mid left up,mid left up_352_352
13.1584,2.5848148,left down,left down_12_12
5.912729,6.188956,mid left down,mid left down_233_233
2.3388827,3.7836592,mid right up,mid right up_510_510
0.2631954,2.8299885,right up,right up_678_678
9.814121,7.8523474,mid left down,mid left down_222_222
7.173677400000001,7.3117137,mid left down,mid left down_243_243
-4.6907562999999985,6.271277400000002,right down,right down_593_593
4.411725499999998,1.5211146999999998,mid left up,mid left up_333_333
8.674201,2.8252401000000003,mid left up,mid left up_300_300
11.882572,1.6003641000000002,left up,left up_136_136
-1.6141577,3.5254717,right up,right up_637_637
-1.1035945,3.9698267,right down,right down_573_573
9.868259,9.767,left down,left down_31_31
10.787895,9.8847065,left down,left down_101_101
-4.844384,6.0805935999999985,right down,right down_551_551
8.722749,1.9209422,left up,left up_118_118
9.1538925,4.5921636,mid left down,mid left down_290_290
-1.2716051000000002,4.026002,right down,right down_540_540
2.143751,4.5747232,mid right up,mid right up_471_471
1.4391078000000002,5.1593895,mid right up,mid right up_460_460
-2.0065465,5.512335,right down,right down_530_530
-3.951196700000001,4.107654,right up,right up_674_674
12.070172,9.985298,left up,left up_195_195
6.2565465,3.7401536,mid right up,mid right up_453_453
2.883221,7.644230999999999,mid right down,mid right down_402_402
2.1144407000000003,4.023803,mid right up,mid right up_442_442
1.3989177,6.5457864,mid right down,mid right down_413_413
2.3908606,7.824076700000001,mid right down,mid right down_403_403
0.9039794,0.9533475,right up,right up_646_646
11.14257,10.073838,left down,left down_98_98
12.149913,6.899811,left up,left up_194_194
3.3911983999999995,1.6137458,mid right up,mid right up_452_452
12.775898,2.4107819,left down,left down_38_38
2.4159582000000004,1.5746435,mid right up,mid right up_443_443
-3.7557158,4.662038,right up,right up_664_664
11.824512,0.20231391,left up,left up_169_169
2.2475727,5.5762806,mid right up,mid right up_470_470
-0.60915625,3.6978972,right up,right up_675_675
0.23432934,4.0053396,mid right down,mid right down_430_430
3.2609513,1.5966783000000002,mid right up,mid right up_461_461
-4.6250300000000015,6.0452175000000015,right down,right down_604_604
1.3756331,6.5641823000000015,right down,right down_550_550
12.328904,8.036211999999999,left up,left up_119_119
7.6121979999999985,5.6091475,mid left down,mid left down_291_291
-5.276177,6.572836,right down,right down_541_541
5.6212482,6.63898,mid right down,mid right down_440_440
8.801536,8.544303999999999,mid left down,mid left down_280_280
10.215537,3.2786032999999994,left down,left down_10_10
-0.01861015,4.637332,right down,right down_572_572
-0.52942085,4.6857004,right down,right down_563_563
11.804668,0.04568023,left up,left up_137_137
8.450009,3.7142673,mid left up,mid left up_301_301
9.21723,9.131597,mid left down,mid left down_271_271
10.1515465,9.934402,left down,left down_83_83
7.17983,2.2034130000000003,mid left up,mid left up_323_323
7.1553607,6.804896,mid left down,mid left down_242_242
7.684477,2.4370527,mid left up,mid left up_353_353
9.884951,7.390602,mid left down,mid left down_232_232
-0.3927547,3.6289923,right up,right up_668_668
11.552417,7.500310000000002,left up,left up_165_165
10.1316,9.867745,left down,left down_93_93
-4.139408,4.7496730000000005,right up,right up_679_679
12.251323,1.9075422,left up,left up_198_198
9.805296,7.989505999999999,mid left down,mid left down_210_210
11.78389,3.3127022000000004,left down,left down_77_77
6.1061916,3.990894,mid right up,mid right up_481_481
8.54452,1.3794897,left up,left up_202_202
12.161754,6.9023270000000005,left up,left up_189_189
12.363608,8.240571000000001,left up,left up_156_156
1.9485446,3.2125368,mid right up,mid right up_490_490
7.69321,5.497604,mid left down,mid left down_221_221
11.635364,10.336606,left down,left down_35_35
12.904899,8.756989,left up,left up_176_176
11.391294,6.5734762999999985,mid left up,mid left up_351_351
4.2595387,5.852673,mid right up,mid right up_513_513
8.741414,1.1536316,left up,left up_200_200
8.18268,3.716923,mid left up,mid left up_362_362
2.4052486,3.8095236,mid right up,mid right up_492_492
11.77016,3.3278975,left down,left down_49_49
7.432228599999997,5.7397394,mid left down,mid left down_212_212
11.304043,8.716625,left down,left down_71_71
8.623130999999999,1.8596619,left up,left up_145_145
2.2169273,3.098009,mid right up,mid right up_483_483
-1.3903955,2.8264434,right up,right up_648_648
5.181091,1.2392689,mid left up,mid left up_312_312
8.579811999999999,1.3591651000000002,left up,left up_135_135
1.4727758999999998,5.009622,right up,right up_638_638
10.093344,7.0955460000000015,mid left down,mid left down_262_262
4.9526963,1.1569889,mid left up,mid left up_303_303
7.8148255,2.440285,mid left up,mid left up_330_330
10.390176,10.141545,left down,left down_25_25
12.26565,1.9894569,left down,left down_85_85
6.7853512999999985,5.346173,mid left down,mid left down_240_240
4.3539900000000005,6.0630713,mid right down,mid right down_380_380
10.651695,9.025063,left down,left down_52_52
-4.6637664,5.610598,right up,right up_616_616
1.9627818,6.104166,mid right down,mid right down_391_391
-2.0109718,5.281061599999999,right down,right down_552_552
12.930306,8.711022,left up,left up_128_128
-2.0077374,5.276152,right down,right down_561_561
13.157254,3.0807595,left down,left down_16_16
-4.810584,6.583005,right down,right down_570_570
1.643731,7.50571,mid right down,mid right down_410_410
12.4941225,9.495073,left up,left up_149_149
1.562669,4.906039700000001,right up,right up_644_644
1.5200049,1.2860001,right up,right up_677_677
-5.4744544,7.135867,right down,right down_533_533
4.4813589999999985,6.7358603000000015,mid right down,mid right down_432_432
13.507394,3.8315187000000006,left down,left down_42_42
3.0064912,2.277619,mid right up,mid right up_472_472
1.2523186000000002,1.1779057,right up,right up_676_676
11.004686,9.847169,left down,left down_63_63
1.5895948,1.3242865,right up,right up_667_667
6.8342257,6.130453,mid right down,mid right down_422_422
11.603108,1.2713213,left up,left up_186_186
10.582723,9.169992,left down,left down_27_27
11.7155285,-0.033513833,left up,left up_159_159
-1.5917008,3.5556235000000003,right up,right up_654_654
4.317005,7.0282507,mid right down,mid right down_400_400
2.122869,1.5630023000000002,right up,right up_624_624
11.815387,9.035841,left down,left down_103_103
9.502102,3.0553935,left up,left up_138_138
11.137454,10.18045,left down,left down_97_97
4.6474476,7.2533107,mid right down,mid right down_381_381
-3.6705263,4.4880879999999985,right up,right up_617_617
2.7559788,7.703709599999999,mid right down,mid right down_390_390
-4.8440455999999985,6.633714,right down,right down_591_591
8.168443,3.7688234,mid left up,mid left up_331_331
-1.6855686999999997,5.7286085999999985,right down,right down_580_580
6.948864,6.0771346,mid left down,mid left down_241_241
8.735377,1.1608226,left up,left up_116_116
6.923713,6.0841660000000015,mid left down,mid left down_272_272
-3.5716064,4.224038,right up,right up_628_628
5.191439599999999,1.8064306,mid left up,mid left up_302_302
11.72641,-0.03525341,left up,left up_134_134
11.587292,8.675556,left up,left up_155_155
-1.4804741,3.713919600000001,right up,right up_658_658
6.333806,3.6006577000000006,mid left up,mid left up_363_363
12.426492,7.0757303,left up,left up_144_144
2.0238237,4.3037486,mid right up,mid right up_482_482
10.264099,8.624669,mid left down,mid left down_213_213
11.5962,10.316634,left down,left down_14_14
11.694269,-0.026846739,left up,left up_166_166
9.331561,9.252043,mid left down,mid left down_231_231
2.3034866000000003,2.0329797,mid right up,mid right up_512_512
