ISM_1,ISM_2,labels,filename
-31311.000668330533,-10961.393397866132,subject12,subject12_surprised
46879.396984438135,-6107.986192537867,subject08,subject08_rightlight
588.496277730413,11155.642482797017,subject08,subject08_noglasses
-22716.221691202118,-11650.782741870466,subject05,subject05_surprised
12386.417307346,11702.207934948723,subject07,subject07_normal
-24874.74794353075,-3948.055100400264,subject01,subject01_surprised
84186.10624950846,-17806.389761393988,subject06,subject06_glasses
9939.682869816414,22747.852345718242,subject09,subject09_sad
-51293.19742310244,-29308.82294070228,subject09,subject09_leftlight
47209.965017676535,-9055.779199856444,subject15,subject15_rightlight
-36843.66489369752,-9059.28850510093,subject02,subject02_sleepy
9933.630969239066,-5247.033124348909,subject13,subject13_sleepy
3057.0718257294984,6355.709753511499,subject15,subject15_happy
9358.263748464386,-5010.608631690915,subject13,subject13_glasses
-33605.69319184662,-7605.306487230154,subject12,subject12_wink
8924.506851657552,-1920.3493391734,subject13,subject13_wink
-20972.712943369093,-377.48043590024025,subject01,subject01_happy
43926.41017894406,-6953.810088298493,subject07,subject07_rightlight
-33237.46217515925,-7127.84291115374,subject12,subject12_rightlight
-5449.848752615412,24869.900518909893,subject10,subject10_sad
8613.190454592936,-2330.2560316558092,subject13,subject13_normal
35325.33742128995,-5391.282251535298,subject13,subject13_rightlight
73350.08435775722,-16258.624124136804,subject06,subject06_rightlight
3524.9544234543364,19842.35254824215,subject07,subject07_centerlight
-16942.325956200017,995.9130659446088,subject01,subject01_sad
-19938.248415714028,34651.26587516855,subject11,subject11_sad
84076.19682881268,-17787.885633517108,subject06,subject06_surprised
-20659.132586898875,-10782.068321438672,subject05,subject05_wink
-19831.84738667386,3589.9187134648437,subject04,subject04_wink
4215.840596918817,17622.845999403246,subject08,subject08_centerlight
-21390.427827069416,38186.942966999515,subject11,subject11_surprised
53967.75723386606,-7425.997368667408,subject01,subject01_rightlight
60674.70984909149,-13142.247454542336,subject14,subject14_rightlight
4077.637850556488,20258.54845762364,subject15,subject15_surprised
-5052.229817503897,4629.518780335691,subject08,subject08_sad
7563.205460064532,-4257.100101625445,subject13,subject13_happy
12759.058432763322,11418.540407818671,subject07,subject07_sleepy
-36170.36633238443,-7902.764097151344,subject02,subject02_surprised
