SE_1,SE_2,labels,filename
-0.010747157384884487,-0.021368539511773185,subject12,subject12_surprised
-0.010747157384885221,0.05349152751835426,subject08,subject08_rightlight
-0.01074715738488482,-0.011910431812472371,subject08,subject08_noglasses
-0.010747157384884545,-0.02095758429480952,subject05,subject05_surprised
-0.010747157384884505,-0.010180253055568769,subject07,subject07_normal
-0.010747157384884222,-0.016385789643829158,subject01,subject01_surprised
-0.010747157384884213,0.07499879102830452,subject06,subject06_glasses
-0.010747157384884649,-0.011974005294291405,subject09,subject09_sad
-0.010747157384884838,-0.023677256073521797,subject09,subject09_leftlight
-0.010747157384885284,0.05347684633718668,subject15,subject15_rightlight
-0.010747157384884324,-0.022306079102095155,subject02,subject02_sleepy
-0.01074715738488474,-0.0038057402429620313,subject13,subject13_sleepy
-0.010747157384884524,-0.0114944396577,subject15,subject15_happy
-0.010747157384884735,-0.00380599429191872,subject13,subject13_glasses
-0.010747157384884465,-0.021400012233547597,subject12,subject12_wink
-0.01074715738488471,-0.00391413186475883,subject13,subject13_wink
-0.01074715738488421,-0.016385789643829158,subject01,subject01_happy
-0.010747157384885296,0.05270840520495345,subject07,subject07_rightlight
-0.010747157384884451,-0.021078421398603445,subject12,subject12_rightlight
-0.010747157384885072,-0.012702060271509129,subject10,subject10_sad
-0.010747157384884687,-0.003918443188739697,subject13,subject13_normal
-0.010747157384885176,0.047781948714814934,subject13,subject13_rightlight
-0.010747157384884616,0.07137659653289535,subject06,subject06_rightlight
-0.01074715738488502,-0.012558326328457615,subject07,subject07_centerlight
-0.010747157384884215,-0.016134614956767466,subject01,subject01_sad
0.12201616791266752,-7.238561335023879e-15,subject11,subject11_sad
-0.010747157384884218,0.07493927844225051,subject06,subject06_surprised
-0.010747157384884588,-0.02075350166482986,subject05,subject05_wink
-0.010747157384884378,-0.016500877064578832,subject04,subject04_wink
-0.01074715738488468,-0.011678923904622027,subject08,subject08_centerlight
0.12201616791266748,-7.260390795323779e-15,subject11,subject11_surprised
-0.010747157384885379,0.053250126071139985,subject01,subject01_rightlight
-0.010747157384884708,0.06564534230055133,subject14,subject14_rightlight
-0.010747157384884916,-0.012202305579729808,subject15,subject15_surprised
-0.010747157384884649,-0.011634154056165285,subject08,subject08_sad
-0.010747157384884732,-0.004179265322690961,subject13,subject13_happy
-0.0107471573848845,-0.010363721637170241,subject07,subject07_sleepy
-0.010747157384884269,-0.022338142695207376,subject02,subject02_surprised
-0.01074715738488529,0.054460371722054784,subject09,subject09_rightlight
0.12201616791266748,-7.2573048937652e-15,subject11,subject11_centerlight
-0.01074715738488441,-0.011819347683313063,subject03,subject03_glasses
-0.010747157384884309,-0.022248408647641472,subject02,subject02_normal
-0.010747157384884572,-0.010964231393383428,subject07,subject07_happy
-0.010747157384884591,-0.020753501664829862,subject05,subject05_normal
-0.010747157384884676,-0.02267992988032606,subject12,subject12_noglasses
-0.010747157384884642,-0.00834209282789351,subject08,subject08_surprised
-0.010747157384885351,0.052884941013158056,subject03,subject03_rightlight
-0.010747157384884591,-0.020796113241994273,subject05,subject05_noglasses
-0.010747157384884848,-0.012265642528357115,subject08,subject08_wink
-0.010747157384884652,-0.012089595070102536,subject09,subject09_wink
-0.01074715738488474,-0.0038059942919187475,subject13,subject13_sad
-0.010747157384884456,-0.011138153226583855,subject03,subject03_sad
-0.010747157384884395,-0.021225879341050902,subject01,subject01_noglasses
-0.01074715738488478,-0.023341349370024213,subject13,subject13_leftlight
-0.010747157384884558,0.07250099922133245,subject06,subject06_centerlight
-0.010747157384884812,-0.02371392300702897,subject04,subject04_leftlight
0.12201616791266752,-7.2541970350708e-15,subject11,subject11_rightlight
-0.010747157384885351,0.05324260169671631,subject04,subject04_rightlight
-0.01074715738488428,-0.022263970130785914,subject02,subject02_wink
-0.010747157384884477,-0.010856290648491272,subject03,subject03_wink
-0.010747157384884557,-0.012827637084164371,subject09,subject09_glasses
-0.010747157384884614,0.07293973641405778,subject14,subject14_happy
-0.010747157384884623,-0.011468153608658513,subject08,subject08_normal
-0.010747157384884418,-0.011681683764387716,subject09,subject09_centerlight
-0.0107471573848843,-0.014704557700357172,subject10,subject10_centerlight
0.1220161679126674,-7.236726979152805e-15,subject11,subject11_sleepy
-0.010747157384884931,-0.012167020260629713,subject15,subject15_glasses
-0.010747157384884591,0.07299733491272938,subject14,subject14_normal
-0.010747157384884696,-0.011756848691980872,subject08,subject08_sleepy
-0.010747157384885324,0.05301434120302445,subject05,subject05_rightlight
-0.010747157384884395,-0.014389683339724997,subject10,subject10_rightlight
0.1220161679126675,-7.257873784558007e-15,subject11,subject11_normal
-0.010747157384884395,-0.013990585255387251,subject10,subject10_glasses
-0.010747157384884591,0.07307277560643281,subject14,subject14_sleepy
-0.01074715738488426,0.0741846079383012,subject06,subject06_noglasses
0.1220161679126674,-7.244897894832325e-15,subject11,subject11_noglasses
-0.010747157384884576,-0.020391115637137698,subject05,subject05_sleepy
-0.01074715738488474,-0.02314232211325444,subject14,subject14_leftlight
-0.01074715738488445,-0.01201983836604996,subject15,subject15_wink
-0.010747157384884548,0.07300156927758314,subject14,subject14_wink
-0.01074715738488455,-0.02077983565946988,subject05,subject05_glasses
-0.01074715738488481,-0.02370243324352276,subject03,subject03_leftlight
-0.010747157384884866,-0.01211359608082507,subject15,subject15_noglasses
-0.010747157384884238,0.07492286494228972,subject06,subject06_happy
-0.01074715738488448,-0.022160136080857862,subject02,subject02_rightlight
-0.010747157384884276,-0.02232419301695865,subject02,subject02_sad
-0.010747157384884487,-0.021117536680877142,subject12,subject12_sad
-0.0107471573848843,-0.02224840864764145,subject02,subject02_noglasses
-0.0107471573848848,-0.023688813420624063,subject07,subject07_leftlight
-0.010747157384884527,-0.021159510698159974,subject12,subject12_happy
-0.010747157384884822,-0.02373236691789969,subject10,subject10_leftlight
-0.010747157384884218,0.07492286494228972,subject06,subject06_wink
-0.010747157384884468,-0.00926391313215751,subject07,subject07_wink
-0.01074715738488456,-0.009379639998125326,subject07,subject07_sad
-0.010747157384884366,-0.01590515397726114,subject04,subject04_centerlight
-0.010747157384884713,-0.022679929880326046,subject12,subject12_normal
-0.010747157384884309,-0.02221792401257761,subject02,subject02_glasses
-0.010747157384884505,-0.021495032855417942,subject12,subject12_centerlight
-0.010747157384884791,-0.023745222555601637,subject11,subject11_leftlight
-0.01074715738488478,-0.023583560464906776,subject06,subject06_leftlight
-0.010747157384884506,-0.011121686002517565,subject03,subject03_noglasses
-0.010747157384884598,0.07302416961910044,subject14,subject14_noglasses
-0.010747157384884857,-0.023623339649455042,subject02,subject02_leftlight
-0.01074715738488446,-0.01112168600251756,subject03,subject03_normal
-0.010747157384884796,-0.023678789045910392,subject15,subject15_leftlight
-0.010747157384885008,-0.012802979832684773,subject10,subject10_noglasses
-0.010747157384884205,0.0749483080960182,subject06,subject06_sleepy
-0.010747157384884508,-0.01110522639610162,subject03,subject03_happy
-0.010747157384884527,-0.010231624347504374,subject07,subject07_noglasses
-0.0107471573848848,-0.023537040746382704,subject05,subject05_leftlight
-0.010747157384884765,-0.023288015072001532,subject12,subject12_leftlight
-0.010747157384884623,-0.011644830749084515,subject08,subject08_happy
0.12201616791266745,-7.256290031159008e-15,subject11,subject11_wink
-0.010747157384885058,-0.012729533243859885,subject10,subject10_wink
-0.01074715738488483,-0.0237035709780566,subject01,subject01_leftlight
-0.010747157384884498,-0.011083258707268758,subject03,subject03_sleepy
-0.010747157384884364,-0.016135449494317302,subject04,subject04_noglasses
-0.010747157384884222,0.07461779542019757,subject06,subject06_normal
-0.010747157384884515,-0.021596077468912303,subject12,subject12_glasses
-0.010747157384884548,-0.01087821659575031,subject15,subject15_centerlight
-0.010747157384884706,-0.0039007188854460204,subject13,subject13_noglasses
-0.010747157384884664,-0.012062836314556864,subject09,subject09_surprised
-0.010747157384884541,-0.010565840832450643,subject07,subject07_glasses
-0.010747157384884236,0.07492683923449557,subject06,subject06_sad
0.12201616791266763,-7.274593181533378e-15,subject11,subject11_happy
-0.01074715738488448,-0.021117536680877128,subject12,subject12_sleepy
-0.010747157384884598,-0.02069151221681028,subject05,subject05_happy
-0.010747157384884456,-0.012629261970174324,subject03,subject03_centerlight
-0.010747157384884659,-0.01208302900488981,subject09,subject09_sleepy
-0.010747157384884843,-0.011960612212884612,subject15,subject15_sleepy
-0.010747157384884616,0.07230473886196594,subject14,subject14_centerlight
-0.010747157384884352,-0.01661002418697436,subject04,subject04_glasses
-0.010747157384885042,-0.012653155335032876,subject10,subject10_normal
0.1220161679126675,-7.257494524029469e-15,subject11,subject11_glasses
-0.010747157384884224,-0.01638578964382915,subject01,subject01_normal
-0.010747157384884591,0.07290805391331187,subject14,subject14_sad
-0.01074715738488458,-0.011185859798799932,subject03,subject03_surprised
-0.01074715738488434,-0.016976341503008596,subject04,subject04_sad
-0.010747157384884343,-0.016575610645549403,subject04,subject04_sleepy
-0.010747157384884605,0.07295820726782969,subject14,subject14_surprised
-0.01074715738488435,-0.02237207610503599,subject02,subject02_happy
-0.010747157384885063,-0.012702060271509129,subject10,subject10_surprised
-0.010747157384884487,-0.010085117042525195,subject07,subject07_surprised
-0.010747157384884359,-0.022150813107223544,subject02,subject02_centerlight
-0.01074715738488458,-0.021640865006811488,subject05,subject05_centerlight
-0.010747157384884654,-0.01208302900488981,subject09,subject09_happy
-0.010747157384884213,-0.016711170233732576,subject01,subject01_wink
-0.010747157384884841,-0.02372772070742813,subject08,subject08_leftlight
-0.010747157384884205,-0.016275671804128478,subject01,subject01_sleepy
-0.010747157384884316,-0.016624255115910622,subject04,subject04_normal
-0.01074715738488457,-0.020276974465406727,subject05,subject05_sad
-0.010747157384884515,-0.011726054254915848,subject15,subject15_sad
-0.010747157384884612,0.07248788152802678,subject14,subject14_glasses
-0.010747157384884605,-0.011506956810801505,subject08,subject08_glasses
-0.010747157384884343,-0.016522964131838708,subject04,subject04_surprised
-0.010747157384884746,-0.0037502945696595725,subject13,subject13_surprised
-0.010747157384884664,-0.01208302900488981,subject09,subject09_noglasses
-0.010747157384884352,-0.016545898503198785,subject04,subject04_happy
-0.010747157384884664,-0.012062836314556874,subject09,subject09_normal
-0.0107471573848847,0.001999707475596184,subject13,subject13_centerlight
-0.010747157384885063,-0.012709987614563038,subject10,subject10_happy
-0.010747157384884508,-0.01078076184149853,subject15,subject15_normal
-0.010747157384884229,-0.016227992223869052,subject01,subject01_glasses
-0.01074715738488507,-0.012729533243859914,subject10,subject10_sleepy
