TSNE_1,TSNE_2,labels,filename
27.609152,-8.087447000000001,subject12,subject12_surprised
-33.94273,34.795345000000005,subject08,subject08_rightlight
-23.776197,-6.178649,subject08,subject08_noglasses
29.917383,3.9684386,subject05,subject05_surprised
-21.799229,-20.913507,subject07,subject07_normal
4.4595184,9.986991,subject01,subject01_surprised
-24.315928,-54.355669999999996,subject06,subject06_glasses
-47.860294,-12.795975,subject09,subject09_sad
51.325848,-9.696966999999999,subject09,subject09_leftlight
-34.209595,36.43199,subject15,subject15_rightlight
44.991978,10.333910000000001,subject02,subject02_sleepy
4.178394,-31.301579999999998,subject13,subject13_sleepy
-8.4432535,-7.6001163,subject15,subject15_happy
4.658862,-32.49308,subject13,subject13_glasses
27.677727,-7.737692,subject12,subject12_wink
7.109053599999999,-33.796640000000004,subject13,subject13_wink
5.208267,6.684872599999999,subject01,subject01_happy
-34.873463,36.409153,subject07,subject07_rightlight
38.093876,4.8440650000000005,subject12,subject12_rightlight
-19.291937,4.342414,subject10,subject10_sad
6.0784764000000004,-34.513126,subject13,subject13_normal
-35.43127,37.555316999999995,subject13,subject13_rightlight
-27.519616999999997,39.965626,subject06,subject06_rightlight
-22.39189,3.1151955,subject07,subject07_centerlight
3.8401256,7.657729600000001,subject01,subject01_sad
20.400291,54.1029,subject11,subject11_sad
-24.654066,-53.958973,subject06,subject06_surprised
28.287445,0.9113715,subject05,subject05_wink
16.532770000000003,23.457867,subject04,subject04_wink
-24.52795,-6.3775477,subject08,subject08_centerlight
21.096678,52.392838,subject11,subject11_surprised
-36.941357,32.584644,subject01,subject01_rightlight
-30.750013,38.69389,subject14,subject14_rightlight
-30.924753000000003,1.4679388999999998,subject15,subject15_surprised
-18.142294,-3.7939806000000003,subject08,subject08_sad
5.4438252,-33.563564,subject13,subject13_happy
-22.36156,-21.54224,subject07,subject07_sleepy
44.466656,13.241876000000001,subject02,subject02_surprised
-33.94228,37.38065,subject09,subject09_rightlight
17.845157999999998,53.648254,subject11,subject11_centerlight
-3.5834483999999995,-4.4944263,subject03,subject03_glasses
44.356472,10.80677,subject02,subject02_normal
-19.568056,-20.539644,subject07,subject07_happy
28.263471999999997,1.5020095,subject05,subject05_normal
46.611732,-1.6550254,subject12,subject12_noglasses
3.3797534,-29.375212,subject08,subject08_surprised
-36.69654,34.140915,subject03,subject03_rightlight
29.826315,3.3279858,subject05,subject05_noglasses
-19.605682,-2.6586146,subject08,subject08_wink
-51.012478,-12.242349,subject09,subject09_wink
3.828928,-32.077576,subject13,subject13_sad
-12.081028,-15.820751999999999,subject03,subject03_sad
41.818733,7.705309,subject01,subject01_noglasses
49.64103,-12.95573,subject13,subject13_leftlight
-27.13822,40.211334,subject06,subject06_centerlight
54.714443,-9.865964,subject04,subject04_leftlight
17.51251,54.92695,subject11,subject11_rightlight
-36.40249,33.129314,subject04,subject04_rightlight
46.746075,11.031943,subject02,subject02_wink
-11.415536,-18.608719,subject03,subject03_wink
-17.501915,-4.2370462,subject09,subject09_glasses
-24.19138,44.09404,subject14,subject14_happy
-23.07421,-10.922948,subject08,subject08_normal
-18.207235,-19.769506,subject09,subject09_centerlight
-1.4738038,-1.9504639,subject10,subject10_centerlight
16.545973,51.85853,subject11,subject11_sleepy
-31.689686,2.5538154,subject15,subject15_glasses
-20.568474,44.12127,subject14,subject14_normal
-25.628418,-6.927689999999999,subject08,subject08_sleepy
-37.59086,33.5109,subject05,subject05_rightlight
-0.8027029,-1.023145,subject10,subject10_rightlight
20.129616,52.631130000000006,subject11,subject11_normal
-2.2930267000000004,-2.9421467999999997,subject10,subject10_glasses
-19.536512,44.46605,subject14,subject14_sleepy
-28.915108,-56.818565,subject06,subject06_noglasses
16.476028,50.985896999999994,subject11,subject11_noglasses
26.549131,1.2954501,subject05,subject05_sleepy
52.085304,-16.132109,subject14,subject14_leftlight
-8.155161,-6.460946,subject15,subject15_wink
-22.687012,44.996613,subject14,subject14_wink
29.647213,1.8978635,subject05,subject05_glasses
51.12719,-11.72498,subject03,subject03_leftlight
-31.628582,1.1314813,subject15,subject15_noglasses
-28.469503000000003,-55.99821,subject06,subject06_happy
33.419277,3.4629017999999996,subject02,subject02_rightlight
44.397934,12.309788000000001,subject02,subject02_sad
24.78315,-7.4030414,subject12,subject12_sad
44.15113,10.15322,subject02,subject02_noglasses
51.329094,-13.006749000000001,subject07,subject07_leftlight
26.60707,-8.282257000000001,subject12,subject12_happy
54.36589,-11.261781,subject10,subject10_leftlight
-27.079290000000004,-55.249916000000006,subject06,subject06_wink
-21.986452,-24.660345,subject07,subject07_wink
-21.186163,-23.271557,subject07,subject07_sad
16.113209,21.629597,subject04,subject04_centerlight
46.612095000000004,-1.6555449,subject12,subject12_normal
47.734455,11.246779,subject02,subject02_glasses
38.335495,4.312729,subject12,subject12_centerlight
52.706444,-12.676635000000001,subject11,subject11_leftlight
53.551773,-15.857157999999998,subject06,subject06_leftlight
-13.103580000000001,-16.612032,subject03,subject03_noglasses
-20.567575,44.696987,subject14,subject14_noglasses
51.021713,-7.050395,subject02,subject02_leftlight
-13.361601,-16.935753,subject03,subject03_normal
51.79564,-13.813476000000001,subject15,subject15_leftlight
-19.954952,3.5726607000000006,subject10,subject10_noglasses
-26.097364000000002,-54.832519999999995,subject06,subject06_sleepy
-12.49015,-18.027744000000002,subject03,subject03_happy
-22.275078,-20.71236,subject07,subject07_noglasses
51.026306,-8.426797,subject05,subject05_leftlight
50.498470000000005,-7.0249796,subject12,subject12_leftlight
-23.86814,-7.202190400000001,subject08,subject08_happy
15.78911,51.716183,subject11,subject11_wink
-20.078688,5.9498050000000005,subject10,subject10_wink
54.280823,-10.739447,subject01,subject01_leftlight
-11.69421,-17.627337,subject03,subject03_sleepy
16.427751999999998,22.749332,subject04,subject04_noglasses
-28.244528000000003,-57.11488000000001,subject06,subject06_normal
38.352295,3.4989274,subject12,subject12_glasses
-23.082016,-18.458307,subject15,subject15_centerlight
6.2323713,-32.69601,subject13,subject13_noglasses
-49.93436,-11.6738825,subject09,subject09_surprised
-24.024957999999998,-21.670267000000003,subject07,subject07_glasses
-27.167786,-56.06040600000001,subject06,subject06_sad
19.643572,51.882053000000006,subject11,subject11_happy
24.525170000000003,-7.306582499999999,subject12,subject12_sleepy
27.973678999999997,-0.120757975,subject05,subject05_happy
-3.0361862,-3.826423,subject03,subject03_centerlight
-49.291183000000004,-12.5914955,subject09,subject09_sleepy
-31.353325,0.6173900999999999,subject15,subject15_sleepy
-25.355648000000002,43.538703999999996,subject14,subject14_centerlight
18.804373000000002,26.632134999999998,subject04,subject04_glasses
-21.451399,5.242697,subject10,subject10_normal
17.951221,52.455006000000004,subject11,subject11_glasses
3.5685050000000005,8.696741000000001,subject01,subject01_normal
-24.767262,45.243256,subject14,subject14_sad
-14.81189,-16.075432,subject03,subject03_surprised
20.06942,24.515148,subject04,subject04_sad
18.503505999999998,26.08779,subject04,subject04_sleepy
-23.587652,45.562020000000004,subject14,subject14_surprised
42.981148,11.388238000000001,subject02,subject02_happy
-20.608223000000002,2.4759862,subject10,subject10_surprised
