GRP_1,GRP_2,labels,filename
-26105.256697331566,-52264.76364411352,subject12,subject12_surprised
-19236.36553882296,-39496.070217704764,subject08,subject08_rightlight
-20427.643753929744,-53902.61472986666,subject08,subject08_noglasses
-32331.073587634062,-57919.68145040525,subject05,subject05_surprised
-20890.844397014796,-60740.11523954439,subject07,subject07_normal
-28594.661254547562,-50502.805559029875,subject01,subject01_surprised
-25797.758303836505,-54800.785373306084,subject06,subject06_glasses
-11090.819136051749,-63152.84192496178,subject09,subject09_sad
-14389.111491788031,-51845.51833966347,subject09,subject09_leftlight
-15746.548005362605,-47513.500915293465,subject15,subject15_rightlight
-23262.923589807764,-47630.28393478876,subject02,subject02_sleepy
-25208.47816907041,-66795.00670314001,subject13,subject13_sleepy
-26145.07227846829,-47031.577353540306,subject15,subject15_happy
-28066.777457913122,-63664.06821667126,subject13,subject13_glasses
-28384.350846638517,-49090.163858239335,subject12,subject12_wink
-35702.677623254036,-68056.69851722843,subject13,subject13_wink
-16922.975767641798,-49448.17072876449,subject01,subject01_happy
-15343.630144249284,-57476.098019496174,subject07,subject07_rightlight
-19590.578612593024,-57091.549551290285,subject12,subject12_rightlight
-26073.096665518846,-62950.84043477664,subject10,subject10_sad
-30182.854113702164,-63582.371991207605,subject13,subject13_normal
-5386.936295259316,-54538.082227532526,subject13,subject13_rightlight
-8866.33958845304,-65238.45686553093,subject06,subject06_rightlight
-22268.025805885165,-56943.3450217587,subject07,subject07_centerlight
-18294.61438426672,-52279.352556613514,subject01,subject01_sad
-23710.768269383407,-46999.64469416624,subject11,subject11_sad
-24184.0867263151,-55836.997246943516,subject06,subject06_surprised
-33235.90007610023,-59622.658580218165,subject05,subject05_wink
-21769.386010231497,-55079.8371432206,subject04,subject04_wink
-13403.557944583044,-59551.115595087824,subject08,subject08_centerlight
-41604.11573716772,-46289.3771927244,subject11,subject11_surprised
-9663.811786809296,-32449.82214294712,subject01,subject01_rightlight
-10927.491578739804,-45596.95573793716,subject14,subject14_rightlight
-19778.495979718995,-55633.458162453535,subject15,subject15_surprised
-22885.14755835457,-57464.556517305224,subject08,subject08_sad
-30135.072901196498,-60266.52155505888,subject13,subject13_happy
-21154.027633391423,-59348.90064178887,subject07,subject07_sleepy
-17211.490043363396,-54241.77646982935,subject02,subject02_surprised
-9641.244016412349,-51345.64074470004,subject09,subject09_rightlight
-28203.48532996875,-33034.89373465863,subject11,subject11_centerlight
-24235.74695880152,-48438.22229659118,subject03,subject03_glasses
-24360.220702409068,-48008.496660828154,subject02,subject02_normal
-23980.43019402373,-53898.27865381278,subject07,subject07_happy
-32604.372401089087,-60414.77528794449,subject05,subject05_normal
-39271.300352178405,-48483.25906990419,subject12,subject12_noglasses
-23377.521688363573,-63570.25597650964,subject08,subject08_surprised
-14141.059791201875,-49112.396996082745,subject03,subject03_rightlight
-33013.84411770939,-61320.0229094133,subject05,subject05_noglasses
-27245.020618991002,-51986.521260136105,subject08,subject08_wink
-3663.9274021835527,-67563.93335213441,subject09,subject09_wink
-26102.316241704855,-64096.61189439345,subject13,subject13_sad
-23442.094849962145,-52314.5164939628,subject03,subject03_sad
-24756.295638693337,-47536.27225951588,subject01,subject01_noglasses
-19068.36138958724,-53996.18016849862,subject13,subject13_leftlight
-17410.378347889,-64182.30130255963,subject06,subject06_centerlight
-24504.479332973344,-37161.53008966238,subject04,subject04_leftlight
-24840.000279010503,-36230.330595079286,subject11,subject11_rightlight
-13113.70776523672,-39606.935967729085,subject04,subject04_rightlight
-23312.02863849894,-49967.93440443875,subject02,subject02_wink
-24287.00468713021,-51062.542464282815,subject03,subject03_wink
-22342.2739823902,-56694.92967764015,subject09,subject09_glasses
-11865.909388862892,-58171.65100575237,subject14,subject14_happy
-21417.67229811856,-57114.253046757156,subject08,subject08_normal
-15784.789932836931,-56275.331083560726,subject09,subject09_centerlight
-24881.18707691811,-51178.47670684082,subject10,subject10_centerlight
-25152.094443439422,-40037.758237970316,subject11,subject11_sleepy
-20083.613156133168,-55393.742369666375,subject15,subject15_glasses
-6830.444394248175,-61654.82135359784,subject14,subject14_normal
-13908.075282110105,-76866.63279547832,subject08,subject08_sleepy
-17313.764138271825,-44519.15938600206,subject05,subject05_rightlight
-10287.819258609192,-49695.99867459956,subject10,subject10_rightlight
-33329.482766704656,-41320.35586420422,subject11,subject11_normal
-21882.58872126597,-55226.34891656977,subject10,subject10_glasses
59.165464556876195,-60161.901670074636,subject14,subject14_sleepy
-15000.995210716565,-61078.857589870175,subject06,subject06_noglasses
-24825.64751021707,-42992.61552851276,subject11,subject11_noglasses
-33000.950746625385,-59292.17990951039,subject05,subject05_sleepy
-6225.946812766486,-55855.68536925182,subject14,subject14_leftlight
-28666.25423628076,-51842.866712971016,subject15,subject15_wink
-8367.469616936272,-59787.88584801533,subject14,subject14_wink
-31571.579321759316,-59725.69906557602,subject05,subject05_glasses
-27059.263196294687,-36948.43512493161,subject03,subject03_leftlight
-17478.392529783214,-58768.969545165586,subject15,subject15_noglasses
-21278.16131229165,-61398.92493811066,subject06,subject06_happy
-17402.69540343322,-47765.34513004703,subject02,subject02_rightlight
-18889.049727086454,-48044.26583982084,subject02,subject02_sad
-27140.765072295035,-48983.11464018496,subject12,subject12_sad
-24360.220702409068,-48008.496660828154,subject02,subject02_noglasses
-17940.938759791836,-42222.699168451116,subject07,subject07_leftlight
-31709.95262006992,-51641.372860658426,subject12,subject12_happy
-22744.16621633674,-38352.81121213748,subject10,subject10_leftlight
-20790.803879085044,-53513.88200964584,subject06,subject06_wink
-26167.503134174945,-62246.57733529174,subject07,subject07_wink
-23802.28107909093,-59477.43839294785,subject07,subject07_sad
-26150.737900245902,-44882.045268093425,subject04,subject04_centerlight
-39271.300352178405,-48483.25906990419,subject12,subject12_normal
-21378.7103226949,-50539.1717016906,subject02,subject02_glasses
-26945.84692777379,-47485.68875960281,subject12,subject12_centerlight
-18538.038760879823,-26586.005088941787,subject11,subject11_leftlight
-23966.29207675908,-48074.03288125158,subject06,subject06_leftlight
-26874.225012735933,-49938.346315726,subject03,subject03_noglasses
-6830.444394248175,-61654.82135359784,subject14,subject14_noglasses
-29398.043555902066,-38705.09093608504,subject02,subject02_leftlight
-26874.225012735933,-49938.346315726,subject03,subject03_normal
-17387.798590129598,-35510.526328579894,subject15,subject15_leftlight
-23077.08831415746,-58947.39910111084,subject10,subject10_noglasses
-20625.197576318325,-57057.72881583009,subject06,subject06_sleepy
-24602.314144875494,-49678.39312404816,subject03,subject03_happy
-20890.844397014796,-60740.11523954439,subject07,subject07_noglasses
-30347.916054316796,-38473.79662790613,subject05,subject05_leftlight
-38405.526053960704,-36100.59586259589,subject12,subject12_leftlight
-15470.788758460218,-62679.883255540524,subject08,subject08_happy
-21367.8061001102,-39262.09454314538,subject11,subject11_wink
-20704.81360293292,-62928.540554126295,subject10,subject10_wink
-17939.049175397136,-30528.72567645981,subject01,subject01_leftlight
-27012.174670209093,-46379.91501252966,subject03,subject03_sleepy
-23447.4561231424,-50977.74635738151,subject04,subject04_noglasses
-15000.995210716565,-61078.857589870175,subject06,subject06_normal
-27041.3791151017,-52309.547222909765,subject12,subject12_glasses
-22045.469944715544,-56204.717432278536,subject15,subject15_centerlight
-30251.29748499305,-62170.46820914272,subject13,subject13_noglasses
-6145.988311712817,-76550.68988845302,subject09,subject09_surprised
-14377.507880581985,-62728.99607326474,subject07,subject07_glasses
-19521.491532579705,-60558.42026738617,subject06,subject06_sad
-32549.226623734303,-35020.487485107784,subject11,subject11_happy
-24854.457423709155,-46979.11224419659,subject12,subject12_sleepy
-34724.41367735152,-59508.87063722803,subject05,subject05_happy
-26491.31060841828,-53909.341278396736,subject03,subject03_centerlight
-1809.92823266928,-73336.43518567576,subject09,subject09_sleepy
-17497.08380274347,-60588.176808639466,subject15,subject15_sleepy
-9282.135384058703,-55377.60021013251,subject14,subject14_centerlight
-20641.38516736149,-42116.41695594074,subject04,subject04_glasses
-21467.787151379973,-60749.26612863193,subject10,subject10_normal
-29098.206750431305,-46468.660944806885,subject11,subject11_glasses
-25027.114751450248,-50176.09458366785,subject01,subject01_normal
-10751.771013006795,-58816.054146290924,subject14,subject14_sad
-17007.517761133797,-68314.08210595332,subject03,subject03_surprised
-19460.54191508316,-51790.812599731835,subject04,subject04_sad
-20137.22381463413,-49137.38967399339,subject04,subject04_sleepy
-9099.710977112329,-52272.747516540665,subject14,subject14_surprised
-20722.002876051407,-47123.74919461083,subject02,subject02_happy
