ISM_1,ISM_2,labels,filename
-32754.256696351837,-15495.424161483113,subject12,subject12_surprised
52236.967320896416,-6797.9485910092335,subject08,subject08_rightlight
-260.6165158607832,19266.16642686913,subject08,subject08_noglasses
-26022.092406905544,-12219.823040149422,subject05,subject05_surprised
8671.655749453841,12348.885878163146,subject07,subject07_normal
-9861.978988011058,38564.86412738594,subject01,subject01_surprised
104092.98082046496,-27047.51487615189,subject06,subject06_glasses
-12224.859810521382,33903.64087576335,subject09,subject09_sad
-52825.64755047363,-33932.218891029064,subject09,subject09_leftlight
46738.880816423065,-6944.625038810495,subject15,subject15_rightlight
-49386.07175417496,-29427.835939021035,subject02,subject02_sleepy
9178.679727006733,-2101.013152003035,subject13,subject13_sleepy
-4514.735793337401,11414.244073939719,subject15,subject15_happy
7200.49368312854,-1374.6103003021499,subject13,subject13_glasses
-33053.156017844085,-15689.022967981631,subject12,subject12_wink
8533.543588729195,-714.4853224872064,subject13,subject13_wink
-9070.224904374296,35530.83048740962,subject01,subject01_happy
43204.540605085385,-5251.442944469565,subject07,subject07_rightlight
-34762.77650536168,-18316.11506068699,subject12,subject12_rightlight
-11781.265581244214,27393.845176422292,subject10,subject10_sad
7744.513402786562,-608.3285212770262,subject13,subject13_normal
34369.901137924484,-3149.0867380249215,subject13,subject13_rightlight
74639.17754725972,-16228.984423354155,subject06,subject06_rightlight
-9950.206568765174,33991.383139500555,subject07,subject07_centerlight
-8045.438875749557,32156.802338651025,subject01,subject01_sad
13107.757260165168,-18522.946249719404,subject11,subject11_sad
103852.27012125473,-26952.635310506826,subject06,subject06_surprised
-22875.71427129252,-10290.282963760848,subject05,subject05_wink
-10031.755688530955,41241.03564803596,subject04,subject04_wink
-5400.016482616898,19597.5035388388,subject08,subject08_centerlight
13112.144219073518,-18539.917930184518,subject11,subject11_surprised
53192.43968564852,-7071.338103492502,subject01,subject01_rightlight
60806.166162225374,-11544.112056902317,subject14,subject14_rightlight
-2605.672885463181,28902.646628393544,subject15,subject15_surprised
-8423.92046088952,5089.68494628071,subject08,subject08_sad
6415.841595932458,-923.6667933809176,subject13,subject13_happy
9033.509648306657,12206.389885962728,subject07,subject07_sleepy
-55553.107373729785,-34442.979503910065,subject02,subject02_surprised
46134.526367131104,-6746.567447426736,subject09,subject09_rightlight
13137.684085519126,-18638.657170321367,subject11,subject11_centerlight
-9389.227652851832,18202.163637469566,subject03,subject03_glasses
-49573.804619875256,-29619.8493233276,subject02,subject02_normal
3214.363698053546,8702.323781014868,subject07,subject07_happy
-22913.555169236548,-10271.110136802077,subject05,subject05_normal
-40981.24045350778,-24122.77961713688,subject12,subject12_noglasses
-406.5182189562322,585.6164455794842,subject08,subject08_surprised
46106.60927169539,-5583.043823720565,subject03,subject03_rightlight
-25514.874489153237,-11946.427733662993,subject05,subject05_noglasses
-11227.97712514974,17068.890025044693,subject08,subject08_wink
-11826.16957401991,32784.34495336045,subject09,subject09_wink
8874.54107567196,-2020.8663978595853,subject13,subject13_sad
-9231.349244185843,21900.25398931673,subject03,subject03_sad
-42629.22774431174,-23380.503873403683,subject01,subject01_noglasses
-41104.89179381737,-24133.493669290194,subject13,subject13_leftlight
85953.67677672867,-20014.327128309742,subject06,subject06_centerlight
-61991.829588906076,-41674.34179862996,subject04,subject04_leftlight
13102.814116252765,-18503.820380979974,subject11,subject11_rightlight
52433.41613454659,-6911.732267764022,subject04,subject04_rightlight
-44098.60879247993,-24849.406732793304,subject02,subject02_wink
-9408.536817206801,21227.42510696035,subject03,subject03_wink
-10251.886839039336,-268.7025921362782,subject09,subject09_glasses
78336.66369407515,-17017.774483259618,subject14,subject14_happy
-11544.845238218686,23369.758052826557,subject08,subject08_normal
-7128.391840956271,2730.9353114687324,subject09,subject09_centerlight
-6174.310484676111,25929.199511574057,subject10,subject10_centerlight
13125.563988432234,-18591.826837247896,subject11,subject11_sleepy
-13748.13802471412,23967.298252033263,subject15,subject15_glasses
80046.63936079682,-17395.46595421265,subject14,subject14_normal
-7495.983335799406,20735.918176927546,subject08,subject08_sleepy
