MDS_1,MDS_2,labels,filename
-8977.651113249014,-2663.784668797532,subject12,subject12_surprised
13648.3443754084,-8160.13145441597,subject08,subject08_rightlight
-1802.9735017412024,9275.777770969185,subject08,subject08_noglasses
-5038.683895317116,-4228.7079445367945,subject05,subject05_surprised
2084.2367376460793,7912.406632064653,subject07,subject07_normal
-538.9494007598166,-7462.136896760507,subject01,subject01_surprised
22096.621853516717,-6327.151722931061,subject06,subject06_glasses
6308.0880519423035,6398.064398588554,subject09,subject09_sad
-18949.89284564897,-1859.7767482779004,subject09,subject09_leftlight
14829.83424026645,12505.796765164348,subject15,subject15_rightlight
-8989.071897967404,-9443.92594110148,subject02,subject02_sleepy
3705.7119276491762,-5072.573644447419,subject13,subject13_sleepy
-2365.977202629185,5081.184647636997,subject15,subject15_happy
3106.839549979274,-5436.8995044739095,subject13,subject13_glasses
-9320.136851324844,-2456.8973340655725,subject12,subject12_wink
3306.115656449226,-7660.500388529206,subject13,subject13_wink
323.7081336930406,-1871.8673348418952,subject01,subject01_happy
10774.964358351779,14525.404098687231,subject07,subject07_rightlight
-399.53693580761006,-8654.99001825527,subject12,subject12_rightlight
-5460.027806274038,7692.981222955866,subject10,subject10_sad
2419.469841329861,-7450.148640974974,subject13,subject13_normal
11199.777217564138,12023.783195699476,subject13,subject13_rightlight
20594.91787020365,6652.4871175814205,subject06,subject06_rightlight
-3466.248402716856,8974.20618915624,subject07,subject07_centerlight
-300.108317289655,-2693.809056135526,subject01,subject01_sad
-4181.188644208124,-14580.9720951586,subject11,subject11_sad
21717.610053134096,-6803.624189016689,subject06,subject06_surprised
-4125.182963697527,-3352.0964247761713,subject05,subject05_wink
-4020.69096731526,-7994.543602747973,subject04,subject04_wink
3203.197586787696,9943.66412269249,subject08,subject08_centerlight
-1322.055485570305,-14049.705857732137,subject11,subject11_surprised
15865.344335204816,-13522.097825247904,subject01,subject01_rightlight
22111.832709908686,4328.056619592939,subject14,subject14_rightlight
-2977.3138228775347,12702.703856905016,subject15,subject15_surprised
-305.138731783815,2115.975708536371,subject08,subject08_sad
2804.066993399767,-6654.352542170946,subject13,subject13_happy
2431.126927754326,8165.441251257768,subject07,subject07_sleepy
-7949.583681091582,-10533.758754948289,subject02,subject02_surprised
13889.924701570159,-2533.6876178267207,subject09,subject09_rightlight
-12645.720006929434,3879.9170184939776,subject11,subject11_centerlight
-3362.9589157307555,5142.9442090830125,subject03,subject03_glasses
-8942.454085224728,-9667.383718240906,subject02,subject02_normal
-79.62139996733276,5253.466108156841,subject07,subject07_happy
-3767.397866003677,-3176.7892959090104,subject05,subject05_normal
-12796.478693591855,-10756.938502882513,subject12,subject12_noglasses
-1207.7522609084551,-606.0391090666523,subject08,subject08_surprised
17514.034107672982,-11872.981763875283,subject03,subject03_rightlight
-4487.16392325356,-3990.9019578437733,subject05,subject05_noglasses
-4745.272243626091,5291.930768797564,subject08,subject08_wink
9456.703642705086,2001.171196410368,subject09,subject09_wink
3374.574949770112,-5011.080287736801,subject13,subject13_sad
-43.07814839082228,7732.142736511015,subject03,subject03_sad
-2189.0723038272117,-11050.177690143862,subject01,subject01_noglasses
-15530.772543064337,821.8226823068285,subject13,subject13_leftlight
15898.72755769106,250.72340459619045,subject06,subject06_centerlight
-16994.738449434746,-4231.77517980753,subject04,subject04_leftlight
4283.173555132944,-15379.612586698342,subject11,subject11_rightlight
9518.63019874187,18480.02746470196,subject04,subject04_rightlight
-8862.226499658365,-7255.009778858026,subject02,subject02_wink
115.112773961483,8962.75532546202,subject03,subject03_wink
-3025.447500655542,1410.2872822846273,subject09,subject09_glasses
15448.480702160537,4340.485443321834,subject14,subject14_happy
1310.5621185668672,10915.01948139951,subject08,subject08_normal
3605.394223670365,1723.20245711724,subject09,subject09_centerlight
-8476.134648341858,427.1109530881912,subject10,subject10_centerlight
2208.4427058145407,-12525.778848712951,subject11,subject11_sleepy
-5560.002452106428,10805.515350656482,subject15,subject15_glasses
13326.659567882449,6693.565647825644,subject14,subject14_normal
6029.724620006778,9198.141587810407,subject08,subject08_sleepy
13985.532342702749,15888.493937104287,subject05,subject05_rightlight
6180.790480972362,-9552.720760417778,subject10,subject10_rightlight
-1985.3652170145533,-14302.718445144299,subject11,subject11_normal
-6284.427326847909,1103.1541430100162,subject10,subject10_glasses
12446.102832355442,7063.323371872748,subject14,subject14_sleepy
19986.70372364437,-1387.6311930654404,subject06,subject06_noglasses
3055.579278091147,-11981.906157439906,subject11,subject11_noglasses
-3807.806664576264,-2548.5146273715995,subject05,subject05_sleepy
-11854.308982872504,10701.418609677108,subject14,subject14_leftlight
-2115.1674170696588,2356.934313565019,subject15,subject15_wink
14333.358439097434,5419.495769621053,subject14,subject14_wink
-4566.935845980887,-2940.485714235572,subject05,subject05_glasses
