PCA_1,PCA_2,labels,filename
-6352.81319184516,1259.9280205964153,subject12,subject12_surprised
8086.396758336175,3446.930444290053,subject08,subject08_rightlight
2210.0780645368072,-5602.717930171386,subject08,subject08_noglasses
-4510.88249595825,-717.2740770116028,subject05,subject05_surprised
2777.2628147655464,-6152.678366386148,subject07,subject07_normal
-3945.593615276736,-1697.878401813267,subject01,subject01_surprised
16439.995792193924,8913.202217981512,subject06,subject06_glasses
4538.258141616933,-5669.333815890358,subject09,subject09_sad
-11363.845508594855,6463.614299928448,subject09,subject09_leftlight
12906.836234120105,5335.030042597378,subject15,subject15_rightlight
-8894.655709277353,2088.4799127172173,subject02,subject02_sleepy
-2419.078693119848,-3500.767338079927,subject13,subject13_sleepy
-492.4882379357917,-5518.840629114363,subject15,subject15_happy
-2718.0406435966847,-3198.310059407621,subject13,subject13_glasses
-6509.588452557096,1198.1965261825858,subject12,subject12_wink
-3283.029638715468,-2616.186247844148,subject13,subject13_wink
-2149.727941194109,-2570.536990939379,subject01,subject01_happy
11399.3926368665,3067.366040499901,subject07,subject07_rightlight
-3187.7816972877085,278.3035925448437,subject12,subject12_rightlight
-409.42832930171517,-5181.252112363752,subject10,subject10_sad
-3655.161367239521,-2563.369198041427,subject13,subject13_normal
9843.389478644145,2867.84883294563,subject13,subject13_rightlight
16061.490228059749,5202.478471419021,subject06,subject06_rightlight
756.3630258475031,-5135.821508377146,subject07,subject07_centerlight
-2566.3495875728536,-1692.772659252692,subject01,subject01_sad
-7056.791184693248,3426.489197812975,subject11,subject11_sad
16260.996501626465,8902.911623919168,subject06,subject06_surprised
-3904.794379328156,-687.214804560921,subject05,subject05_wink
-6177.27193784069,-451.9322175545368,subject04,subject04_wink
4300.180893512981,-5463.754621830445,subject08,subject08_centerlight
-5574.96505779602,2546.6283531146355,subject11,subject11_surprised
9301.051352046752,11873.339322866348,subject01,subject01_rightlight
18201.35991214556,7674.999645204243,subject14,subject14_rightlight
2557.945474494046,-4640.149926770538,subject15,subject15_surprised
-673.8697539456348,-4590.521380506411,subject08,subject08_sad
-3276.105252201921,-2820.6434017475435,subject13,subject13_happy
2993.962523014533,-6158.891644617358,subject07,subject07_sleepy
-8509.79616792786,1734.0438168725739,subject02,subject02_surprised
10758.959383461086,2580.466737721787,subject09,subject09_rightlight
-4054.115931457576,3748.595428498147,subject11,subject11_centerlight
-697.0356623104686,-5041.773564400407,subject03,subject03_glasses
-8945.950432645042,2087.0400987469334,subject02,subject02_normal
849.1088264487007,-6185.371982386403,subject07,subject07_happy
-3672.173877532655,-813.2786441641435,subject05,subject05_normal
-8745.158890826118,4970.553805907919,subject12,subject12_noglasses
-2894.8634198167842,-3293.100077910567,subject08,subject08_surprised
11228.075195463602,9669.881950842306,subject03,subject03_rightlight
-4129.348854238617,-306.20294216492687,subject05,subject05_noglasses
-510.1226833206703,-4299.813753718676,subject08,subject08_wink
5815.799736517353,-3757.9385420247054,subject09,subject09_wink
-2530.6602516741073,-3468.6484977402006,subject13,subject13_sad
2041.0189676540128,-6241.721352484527,subject03,subject03_sad
-5216.073371383513,1097.13813564707,subject01,subject01_noglasses
-8366.970471931263,4586.491346237553,subject13,subject13_leftlight
10857.018525034047,1520.8760773121055,subject06,subject06_centerlight
-11233.599836305464,6634.790034778808,subject04,subject04_leftlight
-2090.5575486732487,5216.761716681071,subject11,subject11_rightlight
8443.013414895291,10247.467176438271,subject04,subject04_rightlight
-8429.66414715597,1112.2376706939247,subject02,subject02_wink
2404.6658910768833,-5732.419390564095,subject03,subject03_wink
-2296.035915095,-4297.088562404714,subject09,subject09_glasses
12092.135751895965,865.0510326623091,subject14,subject14_happy
3412.7179166589117,-6269.6218616072265,subject08,subject08_normal
1596.1188011824274,-5036.055451876458,subject09,subject09_centerlight
-5163.401914037633,-1282.1480729843754,subject10,subject10_centerlight
-3096.092981785514,1759.2986656469798,subject11,subject11_sleepy
408.6491677990764,-4285.187921562053,subject15,subject15_glasses
