TSNE_1,TSNE_2,labels,filename
-8.923589,-13.112443,subject12,subject12_surprised
27.585012,2.52532,subject08,subject08_rightlight
2.7321663,22.524559,subject08,subject08_noglasses
-11.95019,-18.548576,subject05,subject05_surprised
0.7329901999999999,14.503271,subject07,subject07_normal
-8.240138,-4.660611,subject01,subject01_surprised
36.336037,11.8333645,subject06,subject06_glasses
10.023998,24.151676,subject09,subject09_sad
-16.466993,-33.29443,subject09,subject09_leftlight
29.40734,2.8606234,subject15,subject15_rightlight
-20.631483,-14.119647,subject02,subject02_sleepy
-17.905523000000006,12.430677,subject13,subject13_sleepy
-5.255502,10.976827,subject15,subject15_happy
-18.153294,13.763654999999998,subject13,subject13_glasses
-8.892497,-12.8853445,subject12,subject12_wink
-19.888384,12.740848,subject13,subject13_wink
-9.300644,-2.5096147,subject01,subject01_happy
28.76927,3.2073765,subject07,subject07_rightlight
-17.017052,-17.307232,subject12,subject12_rightlight
-6.155227,21.942312,subject10,subject10_sad
-19.845442,13.774892,subject13,subject13_normal
28.790102,4.2096562,subject13,subject13_rightlight
37.427006,4.874339,subject06,subject06_rightlight
-8.90283,22.510136,subject07,subject07_centerlight
-7.9725447,-2.727584,subject01,subject01_sad
8.201303999999999,-19.21158,subject11,subject11_sad
35.74426,11.826839,subject06,subject06_surprised
-10.125185,-18.16288,subject05,subject05_wink
-18.300497,-4.879098,subject04,subject04_wink
3.3898013,22.75136,subject08,subject08_centerlight
9.40938,-18.414297,subject11,subject11_surprised
28.390926,0.37235996,subject01,subject01_rightlight
35.11254,4.5790668,subject14,subject14_rightlight
-1.5378306000000002,26.49222,subject15,subject15_surprised
-6.6430125,16.55505,subject08,subject08_sad
-19.008595,13.86653,subject13,subject13_happy
0.90937966,15.017315,subject07,subject07_sleepy
-22.95468,-13.442749,subject02,subject02_surprised
29.774216,3.6761334,subject09,subject09_rightlight
7.07145,-17.843464,subject11,subject11_centerlight
-8.505419999999999,6.919650999999999,subject03,subject03_glasses
-21.28856,-14.136567,subject02,subject02_normal
