UMAP_1,UMAP_2,labels,filename
11.345014,9.92936,subject12,subject12_surprised
2.0040636000000003,2.5708632,subject08,subject08_rightlight
18.600014,11.421292,subject08,subject08_noglasses
10.514748,9.130414,subject05,subject05_surprised
18.857931,15.326998,subject07,subject07_normal
13.736242,10.452258,subject01,subject01_surprised
4.073,3.7032273,subject06,subject06_glasses
20.837082,14.242983,subject09,subject09_sad
9.091537,5.5963693,subject09,subject09_leftlight
2.4411127999999995,2.6798863,subject15,subject15_rightlight
13.1256,7.227886,subject02,subject02_sleepy
14.940588,14.549596,subject13,subject13_sleepy
16.873972,14.197674,subject15,subject15_happy
14.408568,14.104931,subject13,subject13_glasses
11.688333,9.644829,subject12,subject12_wink
14.024697,15.211193,subject13,subject13_wink
14.733998,10.523892,subject01,subject01_happy
2.164277,1.5570563999999998,subject07,subject07_rightlight
11.611243,8.542358,subject12,subject12_rightlight
16.991594,10.245526,subject10,subject10_sad
14.209158,14.954122,subject13,subject13_normal
2.442269,1.8378359,subject13,subject13_rightlight
4.8058866999999985,2.2534466,subject06,subject06_rightlight
18.320372,10.058137,subject07,subject07_centerlight
14.661348,10.700327,subject01,subject01_sad
15.23675,5.471654,subject11,subject11_sad
4.044461,3.2563117000000004,subject06,subject06_surprised
9.987189,9.818083,subject05,subject05_wink
14.826143,8.519147,subject04,subject04_wink
19.375702,12.164293,subject08,subject08_centerlight
15.090425,5.503625,subject11,subject11_surprised
1.7596205000000005,2.1818554,subject01,subject01_rightlight
3.580342,2.3570735000000003,subject14,subject14_rightlight
18.920822,10.702088,subject15,subject15_surprised
16.970728,12.189025,subject08,subject08_sad
14.005032,14.5954075,subject13,subject13_happy
18.279112,15.062494,subject07,subject07_sleepy
13.584907,7.320616999999999,subject02,subject02_surprised
2.5247438,2.5722406,subject09,subject09_rightlight
16.011862,4.892347,subject11,subject11_centerlight
16.529343,13.323601000000002,subject03,subject03_glasses
12.978316,7.0737770000000015,subject02,subject02_normal
17.479206,14.927218,subject07,subject07_happy
10.081704,10.250815,subject05,subject05_normal
10.686392,7.1673800000000005,subject12,subject12_noglasses
14.965966,13.626012,subject08,subject08_surprised
1.3807492,1.7788681,subject03,subject03_rightlight
9.999524,9.357802,subject05,subject05_noglasses
17.590015,11.152839,subject08,subject08_wink
21.413492,14.046397,subject09,subject09_wink
14.69715,14.694121,subject13,subject13_sad
17.910427,13.494611,subject03,subject03_sad
12.029498,7.896708500000001,subject01,subject01_noglasses
9.364307,7.080277400000001,subject13,subject13_leftlight
5.003927,1.6707171000000005,subject06,subject06_centerlight
9.438104,6.171686,subject04,subject04_leftlight
15.725585999999998,4.8005047,subject11,subject11_rightlight
1.555916,2.5554063,subject04,subject04_rightlight
13.240178,7.8413954,subject02,subject02_wink
18.381107,14.417435,subject03,subject03_wink
15.840849,12.928226,subject09,subject09_glasses
4.094966,1.1360075,subject14,subject14_happy
19.299906,12.988647,subject08,subject08_normal
17.080742,13.8815,subject09,subject09_centerlight
15.131834,10.219859,subject10,subject10_centerlight
15.852341,5.5007668,subject11,subject11_sleepy
